ds,symbol,close,volume
1996-08-09,CSV,16.5,1601500
1996-08-12,CSV,16.5,260900
1996-08-13,CSV,16.375,162800
1996-08-14,CSV,16.375,59500
1996-08-15,CSV,16.625,62300
1996-08-16,CSV,16.375,40600
1996-08-19,CSV,16.75,381500
1996-08-20,CSV,17.25,115000
1996-08-21,CSV,17.625,167600
1996-08-22,CSV,17.875,42400
1996-08-23,CSV,18.75,80300
1996-08-26,CSV,19.125,117800
1996-08-27,CSV,19.5,318700
1996-08-28,CSV,19.0,202600
1996-08-29,CSV,18.5,35600
1996-08-30,CSV,18.25,127500
1996-09-03,CSV,17.75,89900
1996-09-04,CSV,18.25,64100
1996-09-05,CSV,17.625,41800
1996-09-06,CSV,17.75,30200
1996-09-09,CSV,18.0,50100
1996-09-10,CSV,18.125,36400
1996-09-11,CSV,18.0,8200
1996-09-12,CSV,18.375,42100
1996-09-13,CSV,18.75,106400
1996-09-16,CSV,19.625,71700
1996-09-17,CSV,20.75,171300
1996-09-18,CSV,22.75,121600
1996-09-19,CSV,21.5,275800
1996-09-20,CSV,19.5,289400
1996-09-23,CSV,19.0,59900
1996-09-24,CSV,18.625,134900
1996-09-25,CSV,19.0,91600
1996-09-26,CSV,18.875,85300
1996-09-27,CSV,19.0,36800
1996-09-30,CSV,19.25,254700
1996-10-01,CSV,19.25,54000
1996-10-02,CSV,19.625,10000
1996-10-03,CSV,19.25,19300
1996-10-04,CSV,19.75,45400
1996-10-07,CSV,20.375,41500
1996-10-08,CSV,21.75,61100
1996-10-09,CSV,21.75,25700
1996-10-10,CSV,21.875,102500
1996-10-11,CSV,21.875,30700
1996-10-14,CSV,22.25,19100
1996-10-15,CSV,22.125,13900
1996-10-16,CSV,21.5,40200
1996-10-17,CSV,21.5,201200
1996-10-18,CSV,22.0,4600
1996-10-21,CSV,22.0,54000
1996-10-22,CSV,21.75,58900
1996-10-23,CSV,22.125,43400
1996-10-24,CSV,22.5,107500
1996-10-25,CSV,23.125,328500
1996-10-28,CSV,23.25,210800
1996-10-29,CSV,22.75,11900
1996-10-30,CSV,23.25,36300
1996-10-31,CSV,22.625,38700
1996-11-01,CSV,22.5,10100
1996-11-04,CSV,21.625,32200
1996-11-05,CSV,20.875,87300
1996-11-06,CSV,19.875,144800
1996-11-07,CSV,20.25,34700
1996-11-08,CSV,20.0,54000
1996-11-11,CSV,20.375,105800
1996-11-12,CSV,20.0,3400
1996-11-13,CSV,20.0,178700
1996-11-14,CSV,19.75,5700
1996-11-15,CSV,19.75,8900
