ds,symbol,close,volume
2003-05-29,CTIB,2.3084883027,5700
2003-05-30,CTIB,2.2597860178,6400
2003-06-02,CTIB,2.3766715015,6300
2003-06-03,CTIB,2.2403051039,3300
2003-06-04,CTIB,2.3377096736,1900
2003-06-05,CTIB,2.3377096736,0
2003-06-06,CTIB,2.201343276,600
2003-06-09,CTIB,2.201343276,1400
2003-06-10,CTIB,2.3377096736,400
2003-06-11,CTIB,2.2208241899,3500
2003-06-12,CTIB,2.1429005341,7600
2003-06-13,CTIB,2.0454959644,4600
2003-06-16,CTIB,1.9480913947,5300
2003-06-17,CTIB,1.8799081958,1900
2003-06-18,CTIB,1.9383509377,2000
2003-06-19,CTIB,1.9480913947,2400
2003-06-20,CTIB,1.8993891098,700
2003-06-23,CTIB,1.9480913947,6900
2003-06-24,CTIB,1.9480913947,500
2003-06-25,CTIB,1.9480913947,0
2003-06-26,CTIB,1.811724997,2400
2003-06-27,CTIB,1.8019845401,2800
2003-06-30,CTIB,1.7143204273,6900
2003-07-01,CTIB,1.7143204273,200
2003-07-02,CTIB,1.7630227122,600
2003-07-03,CTIB,1.7143204273,100
2003-07-07,CTIB,1.7240608843,11200
2003-07-08,CTIB,1.7240608843,0
2003-07-09,CTIB,1.821465454,2100
2003-07-10,CTIB,1.8019845401,1500
2003-07-11,CTIB,1.8993891098,14300
2003-07-14,CTIB,1.9383509377,9200
2003-07-15,CTIB,1.7825036261,1200
2003-07-16,CTIB,1.6558776855,2000
2003-07-17,CTIB,1.6558776855,7600
2003-07-18,CTIB,1.8029585858,1800
2003-07-21,CTIB,1.6665921881,100
2003-07-22,CTIB,1.6656181424,6600
2003-07-23,CTIB,1.6656181424,0
2003-07-24,CTIB,1.7532822552,10800
2003-07-25,CTIB,1.8019845401,7400
2003-07-28,CTIB,1.8506868249,4900
2003-07-29,CTIB,1.811724997,2000
2003-07-30,CTIB,2.0932242036,5900
2003-07-31,CTIB,2.1526409911,3800
