ds,symbol,close,volume
2004-10-22,CUBE,8.2638441068,5590100
2004-10-25,CUBE,8.1502347736,896200
2004-10-26,CUBE,8.1897510634,526700
2004-10-27,CUBE,8.1749324547,393400
2004-10-28,CUBE,8.1996301359,409400
2004-10-29,CUBE,8.2539650344,280500
2004-11-01,CUBE,8.3972115849,498400
2004-11-02,CUBE,8.3527557589,244900
2004-11-03,CUBE,8.4268488023,192500
2004-11-04,CUBE,8.4811837008,259500
2004-11-05,CUBE,8.3478162227,569100
2004-11-08,CUBE,8.3675743676,170000
2004-11-09,CUBE,8.3972115849,194200
2004-11-10,CUBE,8.3972115849,243300
2004-11-11,CUBE,8.3972115849,263800
2004-11-12,CUBE,8.3972115849,359900
2004-11-15,CUBE,8.4960023094,174400
2004-11-16,CUBE,8.4713046283,245000
2004-11-17,CUBE,8.5700953528,320400
2004-11-18,CUBE,8.4515464834,180900
2004-11-19,CUBE,8.6194907151,304100
2004-11-22,CUBE,8.5700953528,204100
2004-11-23,CUBE,8.5256395268,207400
2004-11-24,CUBE,8.5898534977,161700
2004-11-26,CUBE,8.5898534977,50600
2004-11-29,CUBE,8.4021511211,305100
2004-11-30,CUBE,8.4268488023,658000
2004-12-01,CUBE,8.5997325702,301400
2004-12-02,CUBE,8.594793034,242400
2004-12-03,CUBE,8.6194907151,193300
2004-12-06,CUBE,8.5453976717,179400
2004-12-07,CUBE,8.5157604544,161300
2004-12-08,CUBE,8.4762441645,172100
2004-12-09,CUBE,8.4466069472,400600
2004-12-10,CUBE,8.4268488023,110700
2004-12-13,CUBE,8.4021511211,244700
2004-12-14,CUBE,8.3675743676,173900
2004-12-15,CUBE,8.3626348313,168400
2004-12-16,CUBE,8.3478162227,204300
2004-12-17,CUBE,8.4466069472,1366900
2004-12-20,CUBE,8.4070906574,247200
2004-12-21,CUBE,8.4564860196,186100
2004-12-22,CUBE,8.4762441645,352400
2004-12-23,CUBE,8.3972115849,204700
2004-12-27,CUBE,8.3478162227,267400
2004-12-28,CUBE,8.4960023094,147000
2004-12-29,CUBE,8.4960023094,72700
2004-12-30,CUBE,8.5552767442,172200
2004-12-31,CUBE,8.5700953528,212800
2005-01-03,CUBE,8.5404581355,142200
2005-01-04,CUBE,8.5157604544,193000
2005-01-05,CUBE,8.224327817,244100
2005-01-06,CUBE,8.1704374768,99600
2005-01-07,CUBE,8.1704374768,116900
2005-01-10,CUBE,8.1254350672,115600
2005-01-11,CUBE,8.0504310512,188500
2005-01-12,CUBE,8.0104289093,179600
2005-01-13,CUBE,8.0504310512,99000
2005-01-14,CUBE,8.1454361381,63800
2005-01-18,CUBE,8.1804380122,167600
2005-01-19,CUBE,8.3504471152,215500
2005-01-20,CUBE,8.2004390832,100200
2005-01-21,CUBE,8.2254404218,76700
2005-01-24,CUBE,8.2004390832,80800
2005-01-25,CUBE,8.1754377445,118500
2005-01-26,CUBE,8.2104396186,160300
2005-01-27,CUBE,8.1004337285,118100
2005-01-28,CUBE,8.0854329253,64200
2005-01-31,CUBE,8.2004390832,149500
2005-02-01,CUBE,8.3004444378,194000
2005-02-02,CUBE,8.4154505957,440300
2005-02-03,CUBE,8.260442296,70400
2005-02-04,CUBE,8.3504471152,224700
2005-02-07,CUBE,8.2754430992,56800
2005-02-08,CUBE,8.3404465797,99500
2005-02-09,CUBE,8.2554420282,78500
2005-02-10,CUBE,8.2254404218,58000
2005-02-11,CUBE,8.335446312,87100
2005-02-14,CUBE,8.3404465797,56000
2005-02-15,CUBE,8.3604476506,100600
2005-02-16,CUBE,8.4404519344,45000
2005-02-17,CUBE,8.390449257,102500
2005-02-18,CUBE,8.2504417605,95500
2005-02-22,CUBE,8.2004390832,637100
2005-02-23,CUBE,8.1804380122,369300
2005-02-24,CUBE,8.2304406896,46100
2005-02-25,CUBE,8.2154398864,83400
2005-02-28,CUBE,8.2154398864,122200
2005-03-01,CUBE,8.3754484538,143500
2005-03-02,CUBE,8.3504471152,53700
