ds,symbol,close,volume
2021-06-30,CVRX,28.0,2856070
2021-07-01,CVRX,26.07,552940
2021-07-02,CVRX,25.46,195099
2021-07-06,CVRX,22.17,387690
2021-07-07,CVRX,20.04,120112
2021-07-08,CVRX,18.39,195576
2021-07-09,CVRX,18.54,228331
2021-07-12,CVRX,20.1,225097
2021-07-13,CVRX,19.86,184882
2021-07-14,CVRX,20.73,96979
2021-07-15,CVRX,19.91,196062
2021-07-16,CVRX,20.01,206592
2021-07-19,CVRX,20.09,120068
2021-07-20,CVRX,19.9,153462
2021-07-21,CVRX,20.32,86863
2021-07-22,CVRX,20.33,74237
2021-07-23,CVRX,20.22,102082
2021-07-26,CVRX,19.93,150689
2021-07-27,CVRX,19.41,95581
2021-07-28,CVRX,19.48,144060
2021-07-29,CVRX,19.23,74988
2021-07-30,CVRX,19.74,50295
2021-08-02,CVRX,22.34,226214
2021-08-03,CVRX,22.4,86131
2021-08-04,CVRX,22.12,120019
2021-08-05,CVRX,21.14,221843
2021-08-06,CVRX,21.73,120960
2021-08-09,CVRX,20.72,103888
2021-08-10,CVRX,20.7,92653
2021-08-11,CVRX,20.23,104615
2021-08-12,CVRX,20.14,88561
2021-08-13,CVRX,18.9,119053
2021-08-16,CVRX,20.08,64071
2021-08-17,CVRX,18.25,114086
2021-08-18,CVRX,19.11,113682
2021-08-19,CVRX,18.02,60054
2021-08-20,CVRX,18.91,38751
2021-08-23,CVRX,19.29,76183
2021-08-24,CVRX,19.65,26853
2021-08-25,CVRX,19.9,50349
2021-08-26,CVRX,18.8,128582
2021-08-27,CVRX,19.0,72264
2021-08-30,CVRX,19.45,63258
2021-08-31,CVRX,19.06,60266
2021-09-01,CVRX,19.27,59880
2021-09-02,CVRX,18.9,116997
2021-09-03,CVRX,18.86,112115
2021-09-07,CVRX,19.46,184984
2021-09-08,CVRX,18.9,99094
2021-09-09,CVRX,18.83,130646
2021-09-10,CVRX,18.82,58976
2021-09-13,CVRX,18.29,101740
2021-09-14,CVRX,17.89,105076
2021-09-15,CVRX,15.75,399859
2021-09-16,CVRX,15.78,268226
2021-09-17,CVRX,15.17,1329887
2021-09-20,CVRX,14.65,426082
2021-09-21,CVRX,15.77,310185
2021-09-22,CVRX,15.74,119374
2021-09-23,CVRX,15.53,94449
2021-09-24,CVRX,16.19,48980
2021-09-27,CVRX,16.23,41357
2021-09-28,CVRX,15.75,31428
2021-09-29,CVRX,15.48,40226
2021-09-30,CVRX,16.54,84787
2021-10-01,CVRX,16.91,58150
2021-10-04,CVRX,16.19,37928
2021-10-05,CVRX,16.83,81928
2021-10-06,CVRX,16.3,101313
2021-10-07,CVRX,16.56,51900
2021-10-08,CVRX,16.52,64502
2021-10-11,CVRX,16.06,35121
2021-10-12,CVRX,15.99,60258
2021-10-13,CVRX,15.95,54113
2021-10-14,CVRX,15.9,30765
2021-10-15,CVRX,15.66,33017
2021-10-18,CVRX,15.11,27494
2021-10-19,CVRX,15.96,28979
2021-10-20,CVRX,15.97,43041
2021-10-21,CVRX,15.65,11411
2021-10-22,CVRX,15.61,22331
2021-10-25,CVRX,16.07,39339
2021-10-26,CVRX,17.19,125012
2021-10-27,CVRX,16.91,19589
2021-10-28,CVRX,17.12,66535
2021-10-29,CVRX,16.91,26496
2021-11-01,CVRX,17.04,46929
2021-11-02,CVRX,17.68,37097
2021-11-03,CVRX,17.75,49591
2021-11-04,CVRX,16.97,72324
2021-11-05,CVRX,18.6,109672
2021-11-08,CVRX,18.61,92207
2021-11-09,CVRX,18.48,31042
2021-11-10,CVRX,18.54,33954
2021-11-11,CVRX,18.56,19895
2021-11-12,CVRX,18.48,25952
2021-11-15,CVRX,18.43,53947
2021-11-16,CVRX,16.2,120687
2021-11-17,CVRX,15.01,175647
2021-11-18,CVRX,14.34,128944
2021-11-19,CVRX,13.22,109347
2021-11-22,CVRX,13.68,132948
2021-11-23,CVRX,13.29,98172
2021-11-24,CVRX,13.21,108059
2021-11-26,CVRX,12.95,57202
2021-11-29,CVRX,11.95,171454
2021-11-30,CVRX,11.58,180675
2021-12-01,CVRX,11.26,80912
2021-12-02,CVRX,11.53,90332
2021-12-03,CVRX,11.28,103101
2021-12-06,CVRX,11.19,244347
2021-12-07,CVRX,11.86,85631
2021-12-08,CVRX,11.75,61966
2021-12-09,CVRX,11.29,49636
2021-12-10,CVRX,10.99,68328
2021-12-13,CVRX,11.7,81782
2021-12-14,CVRX,11.55,65704
2021-12-15,CVRX,11.25,128866
2021-12-16,CVRX,10.65,184305
2021-12-17,CVRX,10.71,333610
2021-12-20,CVRX,10.87,201460
2021-12-21,CVRX,11.38,129338
2021-12-22,CVRX,11.34,167454
2021-12-23,CVRX,12.18,74765
2021-12-27,CVRX,12.02,49491
2021-12-28,CVRX,11.78,53481
2021-12-29,CVRX,11.5,47441
