ds,symbol,close,volume
1994-12-16,CYD,10.125,730800
1994-12-19,CYD,10.0,66000
1994-12-20,CYD,10.0,21600
1994-12-21,CYD,10.0,60900
1994-12-22,CYD,10.0,110300
1994-12-23,CYD,10.125,18000
1994-12-27,CYD,10.0,20500
1994-12-28,CYD,10.125,73500
1994-12-29,CYD,10.375,71000
1994-12-30,CYD,10.375,13300
1995-01-03,CYD,10.0,26100
1995-01-04,CYD,10.125,18900
1995-01-05,CYD,10.0,42100
1995-01-06,CYD,10.0,261800
1995-01-09,CYD,9.625,136100
1995-01-10,CYD,9.25,217700
1995-01-11,CYD,9.5,228900
1995-01-12,CYD,9.75,122600
1995-01-13,CYD,9.5,409900
1995-01-16,CYD,9.625,20900
1995-01-17,CYD,9.5,8500
1995-01-18,CYD,9.5,52300
1995-01-19,CYD,9.375,27900
1995-01-20,CYD,9.625,34600
1995-01-23,CYD,9.375,19800
1995-01-24,CYD,9.375,22800
1995-01-25,CYD,9.375,31800
1995-01-26,CYD,9.5,43700
1995-01-27,CYD,9.5,11900
1995-01-30,CYD,9.375,12200
1995-01-31,CYD,9.25,15900
1995-02-01,CYD,9.25,21300
1995-02-02,CYD,9.25,8100
1995-02-03,CYD,9.375,23800
1995-02-06,CYD,9.25,15300
1995-02-07,CYD,9.375,9100
1995-02-08,CYD,9.25,3100
1995-02-09,CYD,9.5,18300
1995-02-10,CYD,9.375,4000
1995-02-13,CYD,9.5,9200
1995-02-14,CYD,9.375,1600
1995-02-15,CYD,9.375,7900
1995-02-16,CYD,9.0,19800
1995-02-17,CYD,8.25,29400
1995-02-21,CYD,8.0,13600
1995-02-22,CYD,7.75,10200
1995-02-23,CYD,8.375,43100
1995-02-24,CYD,8.625,15100
1995-02-27,CYD,8.5,3500
1995-02-28,CYD,8.5,10200
1995-03-01,CYD,8.875,12100
1995-03-02,CYD,9.0,11400
1995-03-03,CYD,8.875,15900
1995-03-06,CYD,8.625,122000
1995-03-07,CYD,8.375,6100
1995-03-08,CYD,7.75,416300
1995-03-09,CYD,7.875,54800
1995-03-10,CYD,8.375,34800
1995-03-13,CYD,8.25,7800
