ds,symbol,close,volume
2014-09-18,CZR,13.8,2276147.0
2014-09-19,CZR,14.19,2277295.0
2014-09-22,CZR,14.11,1726052.0
2014-09-23,CZR,13.6,1194637.0
2014-09-24,CZR,13.62,977821.0
2014-09-25,CZR,13.2,944972.0
2014-09-26,CZR,13.4,922095.0
2014-09-29,CZR,13.17,805528.0
2014-09-30,CZR,12.58,1221812.0
2014-10-01,CZR,12.32,1775889.0
2014-10-02,CZR,12.08,2423798.0
2014-10-03,CZR,11.98,877907.0
2014-10-06,CZR,11.65,1395912.0
2014-10-07,CZR,11.4,965277.0
2014-10-08,CZR,11.25,1637338.0
2014-10-09,CZR,11.06,1279145.0
2014-10-10,CZR,9.14,3520363.0
2014-10-13,CZR,8.59,2193539.0
2014-10-14,CZR,9.39,2555032.0
2014-10-15,CZR,10.04,2003567.0
2014-10-16,CZR,10.39,1760531.0
2014-10-17,CZR,11.71,3549999.0
2014-10-20,CZR,11.41,1476581.0
2014-10-21,CZR,12.44,2230243.0
2014-10-22,CZR,11.57,1543690.0
2014-10-23,CZR,11.73,724616.0
2014-10-24,CZR,12.07,695779.0
2014-10-27,CZR,11.56,1088132.0
2014-10-28,CZR,11.73,820568.0
2014-10-29,CZR,11.73,690454.0
2014-10-30,CZR,12.0,550200.0
2014-10-31,CZR,12.19,1185452.0
2014-11-03,CZR,12.19,787093.0
2014-11-04,CZR,11.63,1066328.0
2014-11-05,CZR,11.56,794268.0
2014-11-06,CZR,11.45,918707.0
2014-11-07,CZR,12.1,1114110.0
2014-11-10,CZR,11.54,1703276.0
2014-11-11,CZR,11.14,1834288.0
2014-11-12,CZR,13.67,7275217.0
2014-11-13,CZR,16.51,7816464.0
2014-11-14,CZR,16.5,3605431.0
2014-11-17,CZR,15.78,1295433.0
2014-11-18,CZR,15.32,952783.0
2014-11-19,CZR,14.37,1675353.0
2014-11-20,CZR,15.14,2710102.0
2014-11-21,CZR,16.02,1335564.0
2014-11-24,CZR,16.13,1025507.0
2014-11-25,CZR,16.31,1053771.0
2014-11-26,CZR,17.13,1779149.0
2014-11-28,CZR,16.96,616579.0
2014-12-01,CZR,15.98,1097489.0
2014-12-02,CZR,16.24,903048.0
2014-12-03,CZR,16.14,819700.0
2014-12-04,CZR,15.68,967156.0
2014-12-05,CZR,15.86,538438.0
2014-12-08,CZR,15.18,530425.0
2014-12-09,CZR,15.62,917053.0
2014-12-10,CZR,14.59,1024243.0
2014-12-11,CZR,14.86,759716.0
2014-12-12,CZR,12.83,4969177.0
2014-12-15,CZR,12.29,2214577.0
2014-12-16,CZR,12.16,1694483.0
2014-12-17,CZR,12.69,2292306.0
2014-12-18,CZR,13.17,2374751.0
2014-12-19,CZR,13.49,2660558.0
2014-12-22,CZR,15.0,3708896.0
2014-12-23,CZR,15.24,890452.0
2014-12-24,CZR,15.44,522552.0
2014-12-26,CZR,15.46,366470.0
2014-12-29,CZR,15.45,542212.0
2014-12-30,CZR,16.16,593429.0
2014-12-31,CZR,15.69,645653.0
2015-01-02,CZR,15.44,523877
2015-01-05,CZR,14.28,1082027
2015-01-06,CZR,13.31,1665827
2015-01-07,CZR,13.2,945466
2015-01-08,CZR,14.08,1304898
2015-01-09,CZR,13.83,755985
2015-01-12,CZR,13.25,685089
2015-01-13,CZR,12.63,1079682
2015-01-14,CZR,12.71,1618416
2015-01-15,CZR,11.9,2082317
2015-01-16,CZR,11.83,1353060
2015-01-20,CZR,11.43,1154909
2015-01-21,CZR,11.39,534699
2015-01-22,CZR,11.59,1099917
2015-01-23,CZR,11.66,487392
2015-01-26,CZR,12.0,841369
2015-01-27,CZR,11.67,726592
2015-01-28,CZR,11.71,1115091
2015-01-29,CZR,11.71,474802
2015-01-30,CZR,10.89,838858
2015-02-02,CZR,10.85,641869
2015-02-03,CZR,11.28,632818
2015-02-04,CZR,11.29,679263
2015-02-05,CZR,11.51,278536
2015-02-06,CZR,11.07,599668
2015-02-09,CZR,10.93,537046
2015-02-10,CZR,10.84,410943
2015-02-11,CZR,10.53,334465
2015-02-12,CZR,10.6,766699
2015-02-13,CZR,10.785,550523
2015-02-17,CZR,10.79,429831
2015-02-18,CZR,10.86,667566
2015-02-19,CZR,10.93,487777
2015-02-20,CZR,10.94,395905
2015-02-23,CZR,10.84,762614
2015-02-24,CZR,10.8,484294
2015-02-25,CZR,11.54,2368716
2015-02-26,CZR,10.79,1000975
2015-02-27,CZR,10.6,707041
2015-03-02,CZR,11.02,1012549
2015-03-03,CZR,10.58,1892699
2015-03-04,CZR,10.36,866183
2015-03-05,CZR,10.16,732651
2015-03-06,CZR,9.63,1558802
2015-03-09,CZR,9.88,1328365
2015-03-10,CZR,9.62,857387
2015-03-11,CZR,9.61,391418
2015-03-12,CZR,9.74,474842
