ds,symbol,close,volume
2007-05-03,DAL,20.72,8067800
2007-05-04,DAL,20.98,5450100
2007-05-07,DAL,20.36,2646300
2007-05-08,DAL,19.63,4166100
2007-05-09,DAL,19.79,7541100
2007-05-10,DAL,19.7,3170600
2007-05-11,DAL,19.3,3539600
2007-05-14,DAL,18.89,1925000
2007-05-15,DAL,18.2,3419800
2007-05-16,DAL,18.34,2608100
2007-05-17,DAL,19.02,8970500
2007-05-18,DAL,19.31,6562200
2007-05-21,DAL,19.0,2077700
2007-05-22,DAL,19.48,4017600
2007-05-23,DAL,19.21,2387100
2007-05-24,DAL,19.02,2362000
2007-05-25,DAL,18.76,895000
2007-05-29,DAL,19.09,2918800
2007-05-30,DAL,18.98,2829500
2007-05-31,DAL,19.05,3435200
2007-06-01,DAL,19.55,2300400
2007-06-04,DAL,18.84,5667000
2007-06-05,DAL,18.95,4510000
2007-06-06,DAL,18.93,2595300
2007-06-07,DAL,18.48,3062500
2007-06-08,DAL,18.83,2124100
2007-06-11,DAL,18.38,1869919
2007-06-12,DAL,18.4,8636200
2007-06-13,DAL,18.64,3110200
2007-06-14,DAL,18.9,8069700
2007-06-15,DAL,18.88,3418900
2007-06-18,DAL,18.54,1341100
2007-06-19,DAL,18.87,3113000
2007-06-20,DAL,19.36,4031500
2007-06-21,DAL,19.51,3982700
2007-06-22,DAL,19.75,11822000
2007-06-25,DAL,19.43,1974400
2007-06-26,DAL,19.49,2237000
2007-06-27,DAL,19.42,2216000
2007-06-28,DAL,19.67,2547200
2007-06-29,DAL,19.7,2022200
2007-07-02,DAL,19.58,1831600
2007-07-03,DAL,20.25,2960900
2007-07-05,DAL,20.52,2640100
2007-07-06,DAL,20.83,1966900
2007-07-09,DAL,21.33,2872800
2007-07-10,DAL,20.65,2367168
2007-07-11,DAL,20.12,2387700
2007-07-12,DAL,20.43,3455400
2007-07-13,DAL,20.5,1751700
2007-07-16,DAL,20.94,2892200
2007-07-17,DAL,21.19,4385400
2007-07-18,DAL,21.37,9011219
2007-07-19,DAL,21.51,8636500
2007-07-20,DAL,21.4,4248400
2007-07-23,DAL,21.11,4398970
