ds,symbol,close,volume
2014-04-10,DARE,68.5,98476.0
2014-04-11,DARE,68.5,15044.0
2014-04-14,DARE,70.5,3682.0
2014-04-15,DARE,65.6,3531.0
2014-04-16,DARE,68.3,4659.0
2014-04-17,DARE,65.5,2490.0
2014-04-21,DARE,69.9,5549.0
2014-04-22,DARE,71.0,2751.0
2014-04-23,DARE,69.0,13271.0
2014-04-24,DARE,67.4,6121.0
2014-04-25,DARE,66.5,3707.0
2014-04-28,DARE,67.1,1434.0
2014-04-29,DARE,68.1,862.0
2014-04-30,DARE,69.4,3709.0
2014-05-01,DARE,69.1,1871.0
2014-05-02,DARE,69.4,4734.0
2014-05-05,DARE,67.5,643.0
2014-05-06,DARE,68.4,1431.0
2014-05-07,DARE,67.4,2714.0
2014-05-08,DARE,66.8,2153.0
2014-05-09,DARE,65.0,1457.0
2014-05-12,DARE,64.1,2464.0
2014-05-13,DARE,64.9,3324.0
2014-05-14,DARE,68.6,616.0
2014-05-15,DARE,64.6,709.0
2014-05-16,DARE,64.6,182.0
2014-05-19,DARE,64.9,263.0
2014-05-20,DARE,62.7,639.0
2014-05-21,DARE,63.5,2479.0
2014-05-22,DARE,62.5,3976.0
2014-05-23,DARE,57.1,3928.0
2014-05-27,DARE,57.5,3676.0
2014-05-28,DARE,57.3,975.0
2014-05-29,DARE,56.0,1306.0
2014-05-30,DARE,57.1,1920.0
2014-06-02,DARE,56.7,2942.0
2014-06-03,DARE,56.9,3685.0
2014-06-04,DARE,57.8,2133.0
2014-06-05,DARE,55.92,1486.0
2014-06-06,DARE,54.3,1647.0
2014-06-09,DARE,62.55,2627.0
2014-06-10,DARE,66.0,2145.0
2014-06-11,DARE,66.1,1598.0
2014-06-12,DARE,68.9,2229.0
2014-06-13,DARE,69.3,1459.0
2014-06-16,DARE,68.6,2440.0
2014-06-17,DARE,70.35,1891.0
2014-06-18,DARE,71.4,4277.0
2014-06-19,DARE,72.7,4295.0
2014-06-20,DARE,58.1,11434.0
2014-06-23,DARE,63.2,8928.0
2014-06-24,DARE,57.3,6216.0
2014-06-25,DARE,56.8,5057.0
2014-06-26,DARE,58.6,2216.0
2014-06-27,DARE,57.9,1294.0
2014-06-30,DARE,58.0,4612.0
2014-07-01,DARE,56.2,4457.0
2014-07-02,DARE,53.7,3357.0
2014-07-03,DARE,52.5,5354.0
2014-07-07,DARE,52.3,1174.0
2014-07-08,DARE,53.0,1284.0
2014-07-09,DARE,55.2,1558.0
2014-07-10,DARE,56.0,749.0
2014-07-11,DARE,56.7,3299.0
2014-07-14,DARE,54.1,1387.0
2014-07-15,DARE,52.4,474.0
2014-07-16,DARE,52.6,544.0
2014-07-17,DARE,49.8,3745.0
2014-07-18,DARE,50.1,614.0
2014-07-21,DARE,50.2,1515.0
2014-07-22,DARE,51.2,1766.0
2014-07-23,DARE,51.1,261.0
2014-07-24,DARE,50.7,868.0
2014-07-25,DARE,48.0,1106.0
2014-07-28,DARE,42.8,3173.0
2014-07-29,DARE,44.1,1796.0
2014-07-30,DARE,41.6,2872.0
2014-07-31,DARE,40.3,2758.0
2014-08-01,DARE,40.4,1068.0
2014-08-04,DARE,39.4,2158.0
2014-08-05,DARE,37.2,1780.0
2014-08-06,DARE,37.5,730.0
2014-08-07,DARE,37.7,962.0
2014-08-08,DARE,35.9,896.0
2014-08-11,DARE,34.5,1843.0
2014-08-12,DARE,34.6,1935.0
2014-08-13,DARE,45.2,6015.0
2014-08-14,DARE,50.7,99258.0
2014-08-15,DARE,50.44,14831.0
2014-08-18,DARE,51.5,4241.0
2014-08-19,DARE,48.4,8638.0
2014-08-20,DARE,44.8,5104.0
2014-08-21,DARE,46.7,1963.0
2014-08-22,DARE,44.9,4232.0
2014-08-25,DARE,43.0,2069.0
2014-08-26,DARE,40.7,4273.0
2014-08-27,DARE,40.7,4140.0
2014-08-28,DARE,42.9,2006.0
2014-08-29,DARE,43.4,3408.0
2014-09-02,DARE,42.8,1553.0
2014-09-03,DARE,43.4,2593.0
2014-09-04,DARE,43.084,1443.0
2014-09-05,DARE,41.5,2201.0
2014-09-08,DARE,41.4,982.0
2014-09-09,DARE,40.6,1350.0
