ds,symbol,close,volume
2018-07-27,DAVA,25.2,4784497
2018-07-30,DAVA,23.25,886073
2018-07-31,DAVA,23.91,292530
2018-08-01,DAVA,23.8,202169
2018-08-02,DAVA,24.8,283357
2018-08-03,DAVA,25.08,70440
2018-08-06,DAVA,26.41,77536
2018-08-07,DAVA,26.19,29686
2018-08-08,DAVA,26.4,29835
2018-08-09,DAVA,26.78,195407
2018-08-10,DAVA,27.61,48647
2018-08-13,DAVA,29.63,65147
2018-08-14,DAVA,30.43,150035
2018-08-15,DAVA,29.49,107942
2018-08-16,DAVA,29.2,50418
2018-08-17,DAVA,28.57,11171
2018-08-20,DAVA,27.49,69944
2018-08-21,DAVA,25.5,93609
2018-08-22,DAVA,26.2,68674
2018-08-23,DAVA,27.31,73070
2018-08-24,DAVA,26.3,45336
2018-08-27,DAVA,26.85,46095
2018-08-28,DAVA,26.35,13967
2018-08-29,DAVA,26.49,86696
2018-08-30,DAVA,26.4,16422
2018-08-31,DAVA,26.22,17314
2018-09-04,DAVA,26.42,20909
2018-09-05,DAVA,26.25,21563
2018-09-06,DAVA,25.5,54291
2018-09-07,DAVA,25.45,99583
2018-09-10,DAVA,25.5,58358
2018-09-11,DAVA,25.46,18593
2018-09-12,DAVA,25.59,12201
2018-09-13,DAVA,25.71,28828
2018-09-14,DAVA,25.87,122453
2018-09-17,DAVA,25.82,28260
2018-09-18,DAVA,26.85,24104
2018-09-19,DAVA,27.66,25230
2018-09-20,DAVA,27.7,19359
2018-09-21,DAVA,28.15,15350
2018-09-24,DAVA,28.9,74148
2018-09-25,DAVA,29.8,17917
2018-09-26,DAVA,29.8,87759
2018-09-27,DAVA,29.67,9547
2018-09-28,DAVA,28.53,11613
2018-10-01,DAVA,30.74,53112
2018-10-02,DAVA,29.15,150122
2018-10-03,DAVA,28.19,40167
2018-10-04,DAVA,27.79,14920
2018-10-05,DAVA,27.86,10154
2018-10-08,DAVA,27.43,10297
2018-10-09,DAVA,26.16,20475
2018-10-10,DAVA,24.43,24791
2018-10-11,DAVA,21.2,89544
2018-10-12,DAVA,23.88,202580
2018-10-15,DAVA,23.6,9197
2018-10-16,DAVA,25.0,7369
2018-10-17,DAVA,25.2,5593
2018-10-18,DAVA,24.03,11089
2018-10-19,DAVA,23.27,37751
2018-10-22,DAVA,23.0,25302
2018-10-23,DAVA,23.19,8444
2018-10-24,DAVA,23.0,26423
2018-10-25,DAVA,23.96,38859
2018-10-26,DAVA,23.05,45362
2018-10-29,DAVA,23.38,36316
2018-10-30,DAVA,22.63,35472
2018-10-31,DAVA,23.26,36566
2018-11-01,DAVA,23.6,4570
2018-11-02,DAVA,24.35,8209
2018-11-05,DAVA,24.29,11941
2018-11-06,DAVA,24.03,30994
2018-11-07,DAVA,24.0,24419
2018-11-08,DAVA,24.46,56934
2018-11-09,DAVA,23.95,28882
2018-11-12,DAVA,24.06,6873
2018-11-13,DAVA,23.31,38417
2018-11-14,DAVA,24.2,6721
2018-11-15,DAVA,24.38,16111
2018-11-16,DAVA,25.0,26918
2018-11-19,DAVA,25.15,8247
2018-11-20,DAVA,24.82,19042
2018-11-21,DAVA,25.25,6007
2018-11-23,DAVA,25.5,208
2018-11-26,DAVA,23.99,16007
2018-11-27,DAVA,24.32,1116
2018-11-28,DAVA,24.57,2057
2018-11-29,DAVA,24.8,24476
2018-11-30,DAVA,24.7,55731
2018-12-03,DAVA,24.5,9423
2018-12-04,DAVA,24.3,146912
2018-12-06,DAVA,23.75,65837
2018-12-07,DAVA,23.5,54775
2018-12-10,DAVA,23.5,53234
2018-12-11,DAVA,23.3,29583
2018-12-12,DAVA,23.6,47599
2018-12-13,DAVA,23.25,8136
2018-12-14,DAVA,24.43,21057
