ds,symbol,close,volume
1996-06-26,DCOM,3.462963,19982700
1996-06-27,DCOM,3.5,6264600
1996-06-28,DCOM,3.481482,4206700
1996-07-01,DCOM,3.5,2459700
1996-07-02,DCOM,3.481482,2759400
1996-07-03,DCOM,3.555556,5943600
1996-07-05,DCOM,3.555556,976900
1996-07-08,DCOM,3.555556,1557400
1996-07-09,DCOM,3.592592,503500
1996-07-10,DCOM,3.555556,2089900
1996-07-11,DCOM,3.481482,1448700
1996-07-12,DCOM,3.481482,546300
1996-07-15,DCOM,3.481482,903300
1996-07-16,DCOM,3.481482,2082300
1996-07-17,DCOM,3.518518,753900
1996-07-18,DCOM,3.555556,378000
1996-07-19,DCOM,3.546296,746700
1996-07-22,DCOM,3.518518,484800
1996-07-23,DCOM,3.518518,262000
1996-07-24,DCOM,3.518518,1251000
1996-07-25,DCOM,3.555556,123400
1996-07-26,DCOM,3.518518,1005900
1996-07-29,DCOM,3.592592,382900
1996-07-30,DCOM,3.555556,399700
1996-07-31,DCOM,3.555556,393400
1996-08-01,DCOM,3.537037,1235800
1996-08-02,DCOM,3.592592,2019100
1996-08-05,DCOM,3.611111,1985800
1996-08-06,DCOM,3.703704,1010400
1996-08-07,DCOM,3.703704,1644900
1996-08-08,DCOM,3.740741,333000
1996-08-09,DCOM,3.703704,76500
1996-08-12,DCOM,3.740741,234900
1996-08-13,DCOM,3.648148,405900
1996-08-14,DCOM,3.703704,311800
1996-08-15,DCOM,3.777778,143700
1996-08-16,DCOM,3.814815,308400
1996-08-19,DCOM,3.814815,131100
1996-08-20,DCOM,3.777778,342900
1996-08-21,DCOM,3.814815,124300
1996-08-22,DCOM,3.782408,467100
1996-08-23,DCOM,3.814815,149400
1996-08-26,DCOM,3.814815,78300
1996-08-27,DCOM,3.925926,641800
1996-08-28,DCOM,4.0,661000
1996-08-29,DCOM,4.0,668200
1996-08-30,DCOM,3.962963,384300
1996-09-03,DCOM,4.0,128400
1996-09-04,DCOM,4.074074,492900
1996-09-05,DCOM,3.925926,441000
1996-09-06,DCOM,4.0,58000
1996-09-09,DCOM,4.0,212800
1996-09-10,DCOM,4.0,294900
1996-09-11,DCOM,3.925926,71100
1996-09-12,DCOM,3.962963,414600
1996-09-13,DCOM,4.074074,56800
1996-09-16,DCOM,4.148148,352900
1996-09-17,DCOM,4.148148,277300
1996-09-18,DCOM,4.111111,178800
1996-09-19,DCOM,4.037037,63600
1996-09-20,DCOM,4.037037,71100
1996-09-23,DCOM,4.037037,81600
1996-09-24,DCOM,4.037037,125700
1996-09-25,DCOM,4.037037,96000
1996-09-26,DCOM,3.962963,235000
1996-09-27,DCOM,4.0,154500
1996-09-30,DCOM,4.074074,378000
1996-10-01,DCOM,4.111111,382200
1996-10-02,DCOM,4.074074,59500
1996-10-03,DCOM,4.074074,153400
1996-10-04,DCOM,4.074074,87300
1996-10-07,DCOM,4.037037,90000
1996-10-08,DCOM,3.962963,93700
1996-10-09,DCOM,4.0,131100
1996-10-10,DCOM,4.074074,132300
1996-10-11,DCOM,4.055555,81100
1996-10-14,DCOM,4.074074,70300
1996-10-15,DCOM,4.037037,71100
1996-10-16,DCOM,4.037037,42000
1996-10-17,DCOM,4.037037,171400
1996-10-18,DCOM,4.074074,249900
1996-10-21,DCOM,4.111111,267400
1996-10-22,DCOM,4.074074,105300
1996-10-23,DCOM,4.111111,101800
1996-10-24,DCOM,4.0,78900
1996-10-25,DCOM,4.0,35200
1996-10-28,DCOM,3.962963,155800
1996-10-29,DCOM,3.962963,249300
1996-10-30,DCOM,3.962963,177700
1996-10-31,DCOM,4.037037,480700
1996-11-01,DCOM,3.962963,111600
1996-11-04,DCOM,3.925926,91800
1996-11-05,DCOM,4.037037,559800
1996-11-06,DCOM,4.055555,289800
1996-11-07,DCOM,4.111111,611100
1996-11-08,DCOM,4.148148,1274500
1996-11-11,DCOM,4.111111,473400
1996-11-12,DCOM,4.148148,392100
1996-11-13,DCOM,4.185185,361300
1996-11-14,DCOM,4.148148,290800
1996-11-15,DCOM,4.185185,473100
1996-11-18,DCOM,4.185185,276900
1996-11-19,DCOM,4.185185,242500
1996-11-20,DCOM,4.166667,601600
1996-11-21,DCOM,4.185185,227400
1996-11-22,DCOM,4.166667,86400
1996-11-25,DCOM,4.148148,168300
