ds,symbol,close,volume
1998-06-19,DOX,14.0,4214000
1998-06-22,DOX,14.0,1448800
1998-06-23,DOX,14.0625,285300
1998-06-24,DOX,14.9375,649200
1998-06-25,DOX,16.5,694000
1998-06-26,DOX,16.125,618700
1998-06-29,DOX,15.8125,274900
1998-06-30,DOX,15.125,112600
1998-07-01,DOX,14.375,243900
1998-07-02,DOX,14.5,77900
1998-07-06,DOX,14.5,223800
1998-07-07,DOX,14.125,269300
1998-07-08,DOX,14.625,142300
1998-07-09,DOX,14.5,179100
1998-07-10,DOX,15.0625,336200
1998-07-13,DOX,15.5,403700
1998-07-14,DOX,15.3125,324300
1998-07-15,DOX,14.625,297900
1998-07-16,DOX,14.375,253600
1998-07-17,DOX,14.6875,108000
1998-07-20,DOX,14.0625,350200
1998-07-21,DOX,13.25,716000
1998-07-22,DOX,12.375,294500
1998-07-23,DOX,13.0,204000
1998-07-24,DOX,13.1875,252900
1998-07-27,DOX,12.5,398900
1998-07-28,DOX,12.25,181500
1998-07-29,DOX,13.375,77500
1998-07-30,DOX,13.9375,381900
1998-07-31,DOX,13.6875,111400
1998-08-03,DOX,13.0625,129000
1998-08-04,DOX,12.9375,167300
1998-08-05,DOX,12.9375,191900
1998-08-06,DOX,12.6875,37800
1998-08-07,DOX,11.6875,71400
1998-08-10,DOX,11.25,54500
1998-08-11,DOX,10.5,68700
1998-08-12,DOX,10.75,78500
1998-08-13,DOX,10.25,25000
1998-08-14,DOX,9.25,82500
1998-08-17,DOX,8.75,583000
1998-08-18,DOX,9.75,544600
1998-08-19,DOX,10.625,118900
1998-08-20,DOX,10.1875,53600
1998-08-21,DOX,10.625,86900
1998-08-24,DOX,10.25,57700
1998-08-25,DOX,10.375,81300
1998-08-26,DOX,10.375,16400
1998-08-27,DOX,9.6875,58100
1998-08-28,DOX,9.5625,121700
1998-08-31,DOX,9.0,199600
1998-09-01,DOX,8.5,2017400
1998-09-02,DOX,8.375,130200
1998-09-03,DOX,8.625,93500
1998-09-04,DOX,8.5625,36200
1998-09-08,DOX,9.75,176000
1998-09-09,DOX,9.1875,63400
1998-09-10,DOX,8.375,56900
1998-09-11,DOX,8.4375,58900
1998-09-14,DOX,8.75,170800
1998-09-15,DOX,9.0,87300
1998-09-16,DOX,9.5,148800
1998-09-17,DOX,9.75,158000
1998-09-18,DOX,9.9375,55300
1998-09-21,DOX,9.875,76500
1998-09-22,DOX,9.875,101200
1998-09-23,DOX,10.25,611000
1998-09-24,DOX,10.125,298500
1998-09-25,DOX,11.0,848700
1998-09-28,DOX,11.375,311600
1998-09-29,DOX,11.6875,217700
1998-09-30,DOX,11.3125,95700
1998-10-01,DOX,10.5,90300
1998-10-02,DOX,11.125,65600
1998-10-05,DOX,10.25,98300
1998-10-06,DOX,10.0625,131500
1998-10-07,DOX,9.5625,284100
1998-10-08,DOX,8.875,85700
1998-10-09,DOX,9.125,81700
1998-10-12,DOX,10.0,209600
1998-10-13,DOX,10.125,79100
1998-10-14,DOX,10.25,39100
1998-10-15,DOX,10.4375,90500
1998-10-16,DOX,10.9375,116200
1998-10-19,DOX,11.75,58700
1998-10-20,DOX,11.125,256100
1998-10-21,DOX,11.5,65900
1998-10-22,DOX,11.3125,39800
1998-10-23,DOX,11.75,86800
1998-10-26,DOX,11.6875,67100
1998-10-27,DOX,12.5,191100
1998-10-28,DOX,13.0,51000
1998-10-29,DOX,12.375,129500
1998-10-30,DOX,13.0,232700
1998-11-02,DOX,12.6875,52500
1998-11-03,DOX,12.5625,61500
1998-11-04,DOX,12.3125,281600
1998-11-05,DOX,13.125,117400
1998-11-06,DOX,13.25,118900
1998-11-09,DOX,13.6875,52600
1998-11-10,DOX,14.0,149500
1998-11-11,DOX,13.6875,94400
1998-11-12,DOX,13.875,642000
1998-11-13,DOX,13.125,93400
1998-11-16,DOX,12.75,57400
1998-11-17,DOX,13.0,113700
1998-11-18,DOX,12.875,15100
1998-11-19,DOX,12.8125,51300
1998-11-20,DOX,13.625,114300
1998-11-23,DOX,13.875,105600
