ds,symbol,close,volume
2010-10-07,DQ,10.25,3850058.0
2010-10-08,DQ,10.13,1135596.0
2010-10-11,DQ,11.13,712463.0
2010-10-12,DQ,12.05,777143.0
2010-10-13,DQ,12.71,1414052.0
2010-10-14,DQ,13.94,1895466.0
2010-10-15,DQ,14.21,1649530.0
2010-10-18,DQ,13.4,815009.0
2010-10-19,DQ,11.71,1288620.0
2010-10-20,DQ,12.0,592214.0
2010-10-21,DQ,11.91,584560.0
2010-10-22,DQ,13.4,783834.0
2010-10-25,DQ,13.84,911502.0
2010-10-26,DQ,13.25,543285.0
2010-10-27,DQ,13.5,370285.0
2010-10-28,DQ,13.32,239568.0
2010-10-29,DQ,12.76,491729.0
2010-11-01,DQ,12.12,344000.0
2010-11-02,DQ,12.9,344146.0
2010-11-03,DQ,13.39,626492.0
2010-11-04,DQ,14.24,986106.0
2010-11-05,DQ,13.81,537193.0
2010-11-08,DQ,14.319,294232.0
2010-11-09,DQ,14.39,631442.0
2010-11-10,DQ,14.24,152389.0
2010-11-11,DQ,14.61,285810.0
2010-11-12,DQ,13.96,932394.0
2010-11-15,DQ,14.13,240628.0
2010-11-16,DQ,13.39,496561.0
2010-11-17,DQ,11.19,1700259.0
2010-11-18,DQ,11.49,575362.0
2010-11-19,DQ,11.52,380277.0
2010-11-22,DQ,11.68,385788.0
2010-11-23,DQ,11.5,101794.0
2010-11-24,DQ,12.05,293275.0
2010-11-26,DQ,11.57,265745.0
2010-11-29,DQ,11.1,258927.0
2010-11-30,DQ,10.51,401768.0
2010-12-01,DQ,11.36,532094.0
2010-12-02,DQ,11.73,186547.0
2010-12-03,DQ,11.77,81105.0
2010-12-06,DQ,11.6,127807.0
2010-12-07,DQ,11.15,451204.0
2010-12-08,DQ,11.32,105042.0
2010-12-09,DQ,11.38,120127.0
2010-12-10,DQ,11.12,110840.0
2010-12-13,DQ,10.97,167411.0
2010-12-14,DQ,10.46,142705.0
2010-12-15,DQ,10.3,110128.0
2010-12-16,DQ,10.19,68051.0
2010-12-17,DQ,10.14,390538.0
2010-12-20,DQ,10.23,189763.0
2010-12-21,DQ,10.08,81208.0
2010-12-22,DQ,9.99,159374.0
2010-12-23,DQ,10.45,169242.0
2010-12-27,DQ,10.26,92233.0
2010-12-28,DQ,10.019,122799.0
2010-12-29,DQ,10.08,111308.0
2010-12-30,DQ,10.0,258507.0
2010-12-31,DQ,10.16,132440.0
2011-01-03,DQ,10.31,116309.0
2011-01-04,DQ,10.39,90473.0
2011-01-05,DQ,11.27,491149.0
2011-01-06,DQ,13.5,1806449.0
2011-01-07,DQ,13.25,284340.0
2011-01-10,DQ,13.08,207507.0
2011-01-11,DQ,13.6,216252.0
2011-01-12,DQ,13.52,292262.0
2011-01-13,DQ,13.35,108750.0
2011-01-14,DQ,12.91,186329.0
2011-01-18,DQ,13.08,319851.0
2011-01-19,DQ,12.39,238248.0
2011-01-20,DQ,12.14,135770.0
2011-01-21,DQ,12.04,143370.0
2011-01-24,DQ,12.895,558743.0
2011-01-25,DQ,12.62,302238.0
2011-01-26,DQ,13.17,619070.0
2011-01-27,DQ,13.28,196218.0
2011-01-28,DQ,13.11,269517.0
2011-01-31,DQ,13.14,81426.0
2011-02-01,DQ,13.83,739797.0
2011-02-02,DQ,14.74,1242420.0
2011-02-03,DQ,14.491,354297.0
2011-02-04,DQ,13.18,633554.0
2011-02-07,DQ,13.74,242101.0
2011-02-08,DQ,13.39,80959.0
2011-02-09,DQ,13.28,65426.0
2011-02-10,DQ,13.35,145894.0
2011-02-11,DQ,13.349,218303.0
2011-02-14,DQ,12.75,346046.0
2011-02-15,DQ,13.08,112174.0
2011-02-16,DQ,13.52,493942.0
2011-02-17,DQ,13.5,191450.0
2011-02-18,DQ,13.53,249611.0
2011-02-22,DQ,12.77,365780.0
2011-02-23,DQ,12.31,358080.0
2011-02-24,DQ,12.3,482600.0
2011-02-25,DQ,12.07,345690.0
2011-02-28,DQ,12.16,383155.0
2011-03-01,DQ,11.849,210603.0
2011-03-02,DQ,11.95,183685.0
2011-03-03,DQ,12.26,488772.0
2011-03-04,DQ,12.18,159536.0
2011-03-07,DQ,12.14,909576.0
2011-03-08,DQ,12.31,216111.0
2011-03-09,DQ,12.12,193954.0
2011-03-10,DQ,11.2,708709.0
2011-03-11,DQ,11.41,106939.0
2011-03-14,DQ,12.24,210024.0
2011-03-15,DQ,12.75,540219.0
2011-03-16,DQ,12.79,243502.0
2011-03-17,DQ,13.06,304415.0
2011-03-18,DQ,12.9,396879.0
2011-03-21,DQ,13.16,324653.0
2011-03-22,DQ,13.2,252820.0
2011-03-23,DQ,13.14,183261.0
2011-03-24,DQ,13.13,174240.0
2011-03-25,DQ,13.19,111276.0
2011-03-28,DQ,13.25,193059.0
2011-03-29,DQ,12.98,432769.0
2011-03-30,DQ,12.99,409771.0
2011-03-31,DQ,12.88,327756.0
2011-04-01,DQ,12.42,335151.0
2011-04-04,DQ,11.93,280169.0
2011-04-05,DQ,12.24,83980.0
2011-04-06,DQ,12.26,65706.0
2011-04-07,DQ,12.12,39944.0
2011-04-08,DQ,11.71,153569.0
2011-04-11,DQ,11.19,133443.0
2011-04-12,DQ,11.13,220208.0
2011-04-13,DQ,11.47,73802.0
2011-04-14,DQ,11.21,123768.0
2011-04-15,DQ,11.18,124435.0
2011-04-18,DQ,10.92,233345.0
2011-04-19,DQ,11.5,269345.0
2011-04-20,DQ,11.98,264936.0
2011-04-21,DQ,12.06,111093.0
2011-04-25,DQ,12.09,85397.0
2011-04-26,DQ,12.15,116133.0
2011-04-27,DQ,12.29,127883.0
2011-04-28,DQ,12.0,380024.0
2011-04-29,DQ,12.27,121056.0
2011-05-02,DQ,12.37,433646.0
2011-05-03,DQ,11.92,102787.0
2011-05-04,DQ,12.01,85240.0
2011-05-05,DQ,12.32,198762.0
2011-05-06,DQ,12.46,268754.0
2011-05-09,DQ,13.0,530123.0
2011-05-10,DQ,13.38,508056.0
2011-05-11,DQ,13.59,490400.0
2011-05-12,DQ,13.33,284998.0
2011-05-13,DQ,13.25,165458.0
2011-05-16,DQ,11.81,312217.0
2011-05-17,DQ,11.29,240857.0
2011-05-18,DQ,11.64,118401.0
2011-05-19,DQ,11.65,247980.0
2011-05-20,DQ,11.25,277065.0
2011-05-23,DQ,11.25,95741.0
2011-05-24,DQ,11.41,172419.0
2011-05-25,DQ,10.96,356736.0
2011-05-26,DQ,10.95,249291.0
2011-05-27,DQ,10.95,126577.0
2011-05-31,DQ,10.96,297911.0
2011-06-01,DQ,10.53,107931.0
2011-06-02,DQ,10.35,95403.0
2011-06-03,DQ,9.28,380887.0
2011-06-06,DQ,8.83,193899.0
2011-06-07,DQ,8.6,177457.0
2011-06-08,DQ,8.28,177675.0
2011-06-09,DQ,8.4,138893.0
2011-06-10,DQ,7.89,247165.0
2011-06-13,DQ,8.39,111659.0
2011-06-14,DQ,8.75,207430.0
2011-06-15,DQ,8.6,183056.0
2011-06-16,DQ,8.43,218548.0
2011-06-17,DQ,8.24,288089.0
2011-06-20,DQ,7.69,319994.0
2011-06-21,DQ,7.99,161271.0
2011-06-22,DQ,8.26,164000.0
2011-06-23,DQ,7.83,154752.0
2011-06-24,DQ,7.6,112637.0
2011-06-27,DQ,7.565,150881.0
2011-06-28,DQ,7.55,160077.0
2011-06-29,DQ,7.83,168568.0
2011-06-30,DQ,7.84,122721.0
2011-07-01,DQ,7.83,118933.0
2011-07-05,DQ,7.45,688906.0
2011-07-06,DQ,7.11,159427.0
2011-07-07,DQ,7.17,87320.0
2011-07-08,DQ,7.11,122913.0
2011-07-11,DQ,6.98,132018.0
2011-07-12,DQ,6.425,440007.0
2011-07-13,DQ,6.54,395736.0
2011-07-14,DQ,6.37,199925.0
2011-07-15,DQ,6.4,93392.0
