ds,symbol,close,volume
1990-01-02,DTE,21.808512,333700
1990-01-03,DTE,21.702127,584563
1990-01-04,DTE,21.276596,272600
1990-01-05,DTE,21.170214,466828
1990-01-08,DTE,21.063829,264258
1990-01-09,DTE,21.276596,199163
1990-01-10,DTE,21.170214,270955
1990-01-11,DTE,21.170214,196343
1990-01-12,DTE,20.638298,833075
1990-01-15,DTE,20.425531,278828
1990-01-16,DTE,20.425531,210795
1990-01-17,DTE,20.531916,262965
1990-01-18,DTE,20.319149,356260
1990-01-19,DTE,20.531916,367775
1990-01-22,DTE,20.319149,135125
1990-01-23,DTE,20.638298,180245
1990-01-24,DTE,20.212767,185415
1990-01-25,DTE,20.212767,335228
1990-01-26,DTE,20.319149,569405
1990-01-29,DTE,20.319149,142645
1990-01-30,DTE,20.319149,337695
1990-01-31,DTE,21.063829,399618
1990-02-01,DTE,21.382978,330880
1990-02-02,DTE,21.276596,248983
1990-02-05,DTE,21.170214,178835
1990-02-06,DTE,21.276596,205273
1990-02-07,DTE,21.489363,161798
1990-02-08,DTE,21.276596,142763
1990-02-09,DTE,21.595745,433458
1990-02-12,DTE,21.382978,98583
1990-02-13,DTE,21.595745,532745
1990-02-14,DTE,21.595745,215143
1990-02-15,DTE,21.808512,246985
1990-02-16,DTE,21.702127,171668
1990-02-20,DTE,21.489363,174723
1990-02-21,DTE,21.382978,605948
1990-02-22,DTE,21.382978,816273
1990-02-23,DTE,21.489363,639553
1990-02-26,DTE,21.702127,170023
1990-02-27,DTE,21.595745,164618
1990-02-28,DTE,21.595745,177190
1990-03-01,DTE,21.808512,236998
1990-03-02,DTE,21.914894,937533
1990-03-05,DTE,22.127661,431225
1990-03-06,DTE,22.127661,342748
1990-03-07,DTE,22.127661,177543
1990-03-08,DTE,22.021276,879253
1990-03-09,DTE,21.702127,1270645
1990-03-12,DTE,21.702127,1043165
1990-03-13,DTE,21.489363,491855
1990-03-14,DTE,21.595745,146758
1990-03-15,DTE,21.489363,737430
1990-03-16,DTE,21.489363,349210
1990-03-19,DTE,21.595745,268723
1990-03-20,DTE,21.595745,349210
1990-03-21,DTE,21.276596,110803
1990-03-22,DTE,21.063829,232180
1990-03-23,DTE,21.063829,164148
1990-03-26,DTE,21.063829,178483
1990-03-27,DTE,21.170214,94353
1990-03-28,DTE,21.276596,181068
1990-03-29,DTE,21.276596,131248
1990-03-30,DTE,21.382978,264610
