ds,symbol,close,volume
2015-06-05,DTEA,27.0,7713921
2015-06-08,DTEA,28.81,1797455
2015-06-09,DTEA,29.6,743067
2015-06-10,DTEA,27.74,384047
2015-06-11,DTEA,27.06,245575
2015-06-12,DTEA,26.98,606600
2015-06-15,DTEA,27.25,168210
2015-06-16,DTEA,29.16,355284
2015-06-17,DTEA,22.0,2266764
2015-06-18,DTEA,21.32,487469
2015-06-19,DTEA,22.0,429858
2015-06-22,DTEA,21.81,276052
2015-06-23,DTEA,22.41,175271
2015-06-24,DTEA,22.24,143971
2015-06-25,DTEA,22.77,176027
2015-06-26,DTEA,22.57,106371
2015-06-29,DTEA,22.48,83427
2015-06-30,DTEA,21.49,580398
2015-07-01,DTEA,20.94,227217
2015-07-02,DTEA,21.16,63643
2015-07-06,DTEA,20.91,101157
2015-07-07,DTEA,21.19,96173
2015-07-08,DTEA,19.0,170591
2015-07-09,DTEA,19.2,95385
2015-07-10,DTEA,20.51,163119
2015-07-13,DTEA,19.64,120151
2015-07-14,DTEA,19.47,78730
2015-07-15,DTEA,19.46,115403
2015-07-16,DTEA,19.52,102408
2015-07-17,DTEA,20.04,58162
2015-07-20,DTEA,19.82,134206
2015-07-21,DTEA,19.95,119101
2015-07-22,DTEA,19.73,108967
2015-07-23,DTEA,19.86,172575
2015-07-24,DTEA,19.63,166272
2015-07-27,DTEA,17.83,172256
2015-07-28,DTEA,16.21,238123
2015-07-29,DTEA,16.68,174891
2015-07-30,DTEA,17.1,68770
2015-07-31,DTEA,16.54,65698
2015-08-03,DTEA,16.11,134787
2015-08-04,DTEA,15.11,215402
2015-08-05,DTEA,14.9,67494
2015-08-06,DTEA,14.7,159568
2015-08-07,DTEA,14.41,80993
2015-08-10,DTEA,14.66,56292
2015-08-11,DTEA,13.93,121141
2015-08-12,DTEA,13.45,238363
2015-08-13,DTEA,12.64,100476
2015-08-14,DTEA,12.86,154071
2015-08-17,DTEA,13.49,199169
2015-08-18,DTEA,12.73,104373
2015-08-19,DTEA,12.47,55504
2015-08-20,DTEA,12.96,248439
2015-08-21,DTEA,13.49,240193
2015-08-24,DTEA,13.085,192330
2015-08-25,DTEA,13.08,110364
2015-08-26,DTEA,12.91,92011
2015-08-27,DTEA,12.77,61542
2015-08-28,DTEA,13.15,85883
2015-08-31,DTEA,13.79,104013
2015-09-01,DTEA,12.77,90801
2015-09-02,DTEA,12.99,49443
2015-09-03,DTEA,13.12,63400
2015-09-04,DTEA,13.17,38705
2015-09-08,DTEA,13.72,311306
2015-09-09,DTEA,12.99,62174
2015-09-10,DTEA,14.02,229346
2015-09-11,DTEA,15.51,232729
2015-09-14,DTEA,15.88,141975
2015-09-15,DTEA,16.37,88008
