ds,symbol,close,volume
2016-04-06,DTSS,1.2,666
2016-04-07,DTSS,3.03,303
2016-04-08,DTSS,5.25,3322
2016-04-11,DTSS,5.91,4699
2016-04-12,DTSS,7.2,2972
2016-04-13,DTSS,7.32,3998
2016-04-14,DTSS,5.55,1212
2016-04-15,DTSS,6.15,446
2016-04-18,DTSS,6.3,314
2016-04-19,DTSS,5.85,33
2016-04-20,DTSS,4.5,463
2016-04-21,DTSS,6.9,566
2016-04-22,DTSS,6.12,283
2016-04-25,DTSS,6.75,995
2016-04-26,DTSS,8.31,998
2016-04-27,DTSS,8.4,1620
2016-04-28,DTSS,8.4,898
2016-04-29,DTSS,8.1,266
2016-05-02,DTSS,7.209,152
2016-05-03,DTSS,7.35,106
2016-05-04,DTSS,7.35,223
2016-05-05,DTSS,6.78,875
2016-05-06,DTSS,6.75,562
2016-05-09,DTSS,6.81,366
2016-05-10,DTSS,6.0,1232
2016-05-11,DTSS,6.0,0
2016-05-12,DTSS,5.7,1630
2016-05-13,DTSS,5.61,248
2016-05-16,DTSS,4.8,299
2016-05-17,DTSS,4.35,99
2016-05-18,DTSS,4.35,0
2016-05-19,DTSS,4.35,0
2016-05-20,DTSS,4.35,61
2016-05-23,DTSS,4.35,33
2016-05-24,DTSS,5.43,529
2016-05-25,DTSS,5.25,71
2016-05-26,DTSS,5.352,33
2016-05-27,DTSS,5.37,186
2016-05-31,DTSS,4.95,378
2016-06-01,DTSS,4.95,16
2016-06-02,DTSS,4.95,199
2016-06-03,DTSS,4.95,0
2016-06-06,DTSS,4.5,233
2016-06-07,DTSS,4.74,49
2016-06-08,DTSS,4.95,33
2016-06-09,DTSS,5.052,133
2016-06-10,DTSS,4.65,166
2016-06-13,DTSS,5.07,33
2016-06-14,DTSS,4.65,166
2016-06-15,DTSS,4.65,59
2016-06-16,DTSS,3.15,181
2016-06-17,DTSS,3.15,0
2016-06-20,DTSS,3.15,0
2016-06-21,DTSS,4.5,116
2016-06-22,DTSS,4.5,16
2016-06-23,DTSS,4.5,99
2016-06-24,DTSS,4.5,166
2016-06-27,DTSS,4.5,233
2016-06-28,DTSS,4.5,99
2016-06-29,DTSS,4.5,244
2016-06-30,DTSS,5.34,530
2016-07-01,DTSS,5.22,99
2016-07-05,DTSS,5.7,673
2016-07-06,DTSS,6.3,116
2016-07-07,DTSS,6.24,399
2016-07-08,DTSS,6.24,0
2016-07-11,DTSS,6.24,23
2016-07-12,DTSS,6.24,0
2016-07-13,DTSS,6.24,0
2016-07-14,DTSS,6.24,0
2016-07-15,DTSS,6.24,0
2016-07-18,DTSS,6.24,0
2016-07-19,DTSS,6.24,0
2016-07-20,DTSS,6.24,0
2016-07-21,DTSS,6.24,0
2016-07-22,DTSS,4.8,566
2016-07-25,DTSS,7.3875,366
2016-07-26,DTSS,7.26,66
2016-07-27,DTSS,7.14,103
2016-07-28,DTSS,7.14,166
2016-07-29,DTSS,7.11,266
2016-08-01,DTSS,7.11,0
2016-08-02,DTSS,7.11,0
2016-08-03,DTSS,7.11,0
2016-08-04,DTSS,7.11,0
2016-08-05,DTSS,7.11,0
2016-08-08,DTSS,7.11,0
2016-08-09,DTSS,8.4,549
2016-08-10,DTSS,8.4,0
2016-08-11,DTSS,8.1,333
2016-08-12,DTSS,7.95,199
2016-08-15,DTSS,7.95,133
2016-08-16,DTSS,7.95,0
2016-08-17,DTSS,7.95,0
2016-08-18,DTSS,7.95,0
2016-08-19,DTSS,7.95,0
2016-08-22,DTSS,7.95,9
2016-08-23,DTSS,7.95,0
2016-08-24,DTSS,7.95,0
2016-08-25,DTSS,7.95,0
2016-08-26,DTSS,7.95,0
2016-08-29,DTSS,7.95,3
2016-08-30,DTSS,7.6845,79
2016-08-31,DTSS,8.4,2100
2016-09-01,DTSS,8.4,0
2016-09-02,DTSS,8.4,0
2016-09-06,DTSS,9.0,890
2016-09-07,DTSS,9.0,0
2016-09-08,DTSS,9.6,166
2016-09-09,DTSS,9.6,0
2016-09-12,DTSS,9.6,0
2016-09-13,DTSS,9.6,0
2016-09-14,DTSS,13.8,1439
2016-09-15,DTSS,15.0,539
2016-09-16,DTSS,15.0,33
2016-09-19,DTSS,9.33,1319
2016-09-20,DTSS,13.5,266
2016-09-21,DTSS,16.5,102
2016-09-22,DTSS,12.75,791
2016-09-23,DTSS,15.0,33
2016-09-26,DTSS,17.7,333
2016-09-27,DTSS,17.7,0
2016-09-28,DTSS,17.7,0
2016-09-29,DTSS,20.88,216
2016-09-30,DTSS,20.88,0
2016-10-03,DTSS,20.88,3
2016-10-04,DTSS,15.0,216
2016-10-05,DTSS,18.0,33
2016-10-06,DTSS,18.0,0
2016-10-07,DTSS,18.3,43
2016-10-10,DTSS,16.5,33
2016-10-11,DTSS,18.0,99
2016-10-12,DTSS,18.0,0
2016-10-13,DTSS,18.0,0
2016-10-14,DTSS,18.0,0
2016-10-17,DTSS,17.85,110
2016-10-18,DTSS,17.85,27
2016-10-19,DTSS,18.0,36
2016-10-20,DTSS,18.0,0
2016-10-21,DTSS,18.0,0
2016-10-24,DTSS,18.0,33
2016-10-25,DTSS,16.5,99
2016-10-26,DTSS,16.5,0
2016-10-27,DTSS,16.5,0
2016-10-28,DTSS,17.55,249
2016-10-31,DTSS,17.55,0
2016-11-01,DTSS,17.55,0
2016-11-02,DTSS,17.55,0
2016-11-03,DTSS,17.55,0
2016-11-04,DTSS,17.55,0
2016-11-07,DTSS,17.55,0
2016-11-08,DTSS,17.4,33
2016-11-09,DTSS,17.4,0
2016-11-10,DTSS,17.4,183
2016-11-11,DTSS,17.4,0
2016-11-14,DTSS,16.8,62
2016-11-15,DTSS,16.8,0
2016-11-16,DTSS,16.95,42
2016-11-17,DTSS,16.95,0
2016-11-18,DTSS,16.95,0
2016-11-21,DTSS,16.95,0
2016-11-22,DTSS,15.75,281
2016-11-23,DTSS,12.75,66
2016-11-25,DTSS,17.355,106
2016-11-28,DTSS,17.355,0
2016-11-29,DTSS,17.355,0
2016-11-30,DTSS,17.355,0
2016-12-01,DTSS,17.355,0
2016-12-02,DTSS,17.355,0
2016-12-05,DTSS,17.1,33
2016-12-06,DTSS,17.1,0
2016-12-07,DTSS,17.1,0
2016-12-08,DTSS,17.1,0
2016-12-09,DTSS,17.1,0
2016-12-12,DTSS,17.1,0
2016-12-13,DTSS,17.1,0
2016-12-14,DTSS,16.8,66
2016-12-15,DTSS,17.97,116
2016-12-16,DTSS,17.97,0
2016-12-19,DTSS,17.97,0
2016-12-20,DTSS,17.97,0
2016-12-21,DTSS,17.7,66
2016-12-22,DTSS,17.7,0
2016-12-23,DTSS,17.7,0
2016-12-27,DTSS,17.7,66
2016-12-28,DTSS,17.88,133
2016-12-29,DTSS,17.88,0
2016-12-30,DTSS,17.88,0
2017-01-03,DTSS,17.88,0
2017-01-04,DTSS,17.88,0
2017-01-05,DTSS,17.88,0
2017-01-06,DTSS,17.88,5
2017-01-09,DTSS,12.0,144
2017-01-10,DTSS,18.0,321
2017-01-11,DTSS,18.6,33
2017-01-12,DTSS,18.6,0
2017-01-13,DTSS,18.6,0
2017-01-17,DTSS,18.6,0
2017-01-18,DTSS,18.6,0
2017-01-19,DTSS,18.6,0
2017-01-20,DTSS,18.6,0
2017-01-23,DTSS,18.6,0
2017-01-24,DTSS,18.6,0
2017-01-25,DTSS,18.6,0
2017-01-26,DTSS,18.6,0
2017-01-27,DTSS,18.6,0
2017-01-30,DTSS,18.6,0
2017-01-31,DTSS,18.6,0
2017-02-01,DTSS,18.6,0
2017-02-02,DTSS,18.6,0
2017-02-03,DTSS,18.6,0
2017-02-06,DTSS,18.6,0
2017-02-07,DTSS,18.6,0
2017-02-08,DTSS,18.6,0
2017-02-10,DTSS,15.0,0
2017-02-13,DTSS,15.0,0
2017-02-14,DTSS,15.0,0
2017-02-15,DTSS,15.0,0
2017-02-16,DTSS,15.0,0
2017-02-17,DTSS,15.0,0
2017-02-21,DTSS,16.5,99
2017-02-22,DTSS,16.5,0
2017-02-23,DTSS,16.5,0
2017-02-24,DTSS,16.5,0
2017-02-27,DTSS,16.5,0
2017-02-28,DTSS,16.5,0
2017-03-01,DTSS,12.0,66
2017-03-02,DTSS,17.4,66
2017-03-03,DTSS,17.4,0
2017-03-06,DTSS,17.4,0
2017-03-07,DTSS,17.4,0
2017-03-08,DTSS,12.0,48
2017-03-09,DTSS,18.15,133
2017-03-10,DTSS,18.15,0
2017-03-13,DTSS,18.15,0
2017-03-14,DTSS,18.15,0
2017-03-15,DTSS,18.15,0
2017-03-16,DTSS,18.15,0
2017-03-17,DTSS,18.15,0
2017-03-20,DTSS,18.15,0
2017-03-21,DTSS,18.15,12
2017-03-22,DTSS,18.15,0
2017-03-23,DTSS,18.15,0
2017-03-24,DTSS,18.15,0
2017-03-27,DTSS,18.15,0
2017-03-28,DTSS,18.15,0
2017-03-29,DTSS,18.15,0
2017-03-30,DTSS,18.15,0
2017-03-31,DTSS,18.15,0
2017-04-03,DTSS,18.15,0
2017-04-04,DTSS,18.15,0
2017-04-05,DTSS,18.15,0
2017-04-06,DTSS,18.15,0
2017-04-07,DTSS,18.15,0
2017-04-10,DTSS,18.15,0
2017-04-11,DTSS,18.15,0
2017-04-12,DTSS,18.15,8
2017-04-13,DTSS,13.5,33
2017-04-17,DTSS,15.0,99
2017-04-18,DTSS,15.0,0
2017-04-19,DTSS,15.0,16
2017-04-20,DTSS,15.0,0
2017-04-21,DTSS,15.0,0
2017-04-24,DTSS,15.0,0
2017-04-25,DTSS,15.0,0
2017-04-26,DTSS,15.0,0
2017-04-27,DTSS,15.0,0
2017-04-28,DTSS,15.0,0
2017-05-01,DTSS,15.0,0
2017-05-02,DTSS,15.0,0
2017-05-03,DTSS,15.0,26
2017-05-04,DTSS,15.0,0
2017-05-05,DTSS,15.0,0
2017-05-08,DTSS,15.0,0
2017-05-09,DTSS,15.0,0
2017-05-10,DTSS,15.0,0
2017-05-11,DTSS,15.0,0
2017-05-12,DTSS,15.0,0
2017-05-15,DTSS,15.0,0
2017-05-16,DTSS,15.0,0
2017-05-17,DTSS,15.0,0
2017-05-18,DTSS,15.0,0
2017-05-19,DTSS,15.0,0
2017-05-22,DTSS,15.0,0
2017-05-23,DTSS,15.0,0
2017-05-24,DTSS,14.97,33
2017-05-25,DTSS,14.97,33
2017-05-26,DTSS,14.97,0
2017-05-30,DTSS,12.0,33
2017-05-31,DTSS,14.97,33
2017-06-01,DTSS,14.97,0
2017-06-02,DTSS,14.97,66
2017-06-05,DTSS,14.97,9
2017-06-06,DTSS,14.97,0
2017-06-07,DTSS,14.97,0
2017-06-08,DTSS,14.97,0
2017-06-09,DTSS,14.97,0
2017-06-12,DTSS,14.97,0
2017-06-13,DTSS,14.97,0
2017-06-14,DTSS,14.97,0
2017-06-15,DTSS,14.97,0
2017-06-16,DTSS,14.97,0
2017-06-19,DTSS,14.97,0
2017-06-20,DTSS,14.97,8
2017-06-21,DTSS,14.97,0
2017-06-22,DTSS,14.97,199
