ds,symbol,close,volume
2005-04-14,DXCM,2.935,7594096
2005-04-15,DXCM,2.5625,1129068
2005-04-18,DXCM,2.625,237860
2005-04-19,DXCM,2.645,549608
2005-04-20,DXCM,2.65,34280
2005-04-21,DXCM,2.625,135800
2005-04-22,DXCM,2.63,92340
2005-04-25,DXCM,2.6375,277192
2005-04-26,DXCM,2.625,132780
2005-04-27,DXCM,2.4475,272172
2005-04-28,DXCM,2.475,150572
2005-04-29,DXCM,2.5,81768
2005-05-02,DXCM,2.4775,62880
2005-05-03,DXCM,2.5,85444
2005-05-04,DXCM,2.525,63368
2005-05-05,DXCM,2.475,60700
2005-05-06,DXCM,2.5,72512
2005-05-09,DXCM,2.475,172344
2005-05-10,DXCM,2.8475,517200
2005-05-11,DXCM,2.8675,258612
2005-05-12,DXCM,2.8275,225424
2005-05-13,DXCM,2.9075,116240
2005-05-16,DXCM,3.1425,1212572
2005-05-17,DXCM,3.4875,790948
2005-05-18,DXCM,3.4975,932952
2005-05-19,DXCM,3.4975,125504
2005-05-20,DXCM,3.47,164840
2005-05-23,DXCM,3.5,396776
2005-05-24,DXCM,3.5,340140
2005-05-25,DXCM,3.5125,225728
2005-05-26,DXCM,3.5025,227948
2005-05-27,DXCM,3.55,70832
2005-05-31,DXCM,3.5,3311856
2005-06-01,DXCM,3.4775,88416
2005-06-02,DXCM,3.39,205424
2005-06-03,DXCM,3.435,103736
2005-06-06,DXCM,3.5,157924
2005-06-07,DXCM,3.6475,173892
2005-06-08,DXCM,3.725,303852
2005-06-09,DXCM,3.7225,407604
2005-06-10,DXCM,3.77,125720
2005-06-13,DXCM,3.85,198300
2005-06-14,DXCM,3.77,215688
2005-06-15,DXCM,3.8475,126680
2005-06-16,DXCM,3.8125,129156
2005-06-17,DXCM,3.8,153704
2005-06-20,DXCM,3.7525,131656
2005-06-21,DXCM,3.61,189956
2005-06-22,DXCM,3.3825,173932
2005-06-23,DXCM,3.1825,88480
2005-06-24,DXCM,3.0,1342744
2005-06-27,DXCM,2.9875,145272
