ds,symbol,close,volume
2014-10-08,ECC,19.16,2128171.0
2014-10-09,ECC,19.1,114996.0
2014-10-10,ECC,19.15,75675.0
2014-10-13,ECC,19.0,42867.0
2014-10-14,ECC,19.03,41348.0
2014-10-15,ECC,19.01,39969.0
2014-10-16,ECC,19.18,12155.0
2014-10-17,ECC,19.15,20335.0
2014-10-20,ECC,19.27,12893.0
2014-10-21,ECC,19.27,68905.0
2014-10-22,ECC,19.25,21958.0
2014-10-23,ECC,19.76,32501.0
2014-10-24,ECC,19.6,10640.0
2014-10-27,ECC,19.78,43408.0
2014-10-28,ECC,19.91,59476.0
2014-10-29,ECC,19.95,64099.0
2014-10-30,ECC,20.005,25595.0
2014-10-31,ECC,20.09,4183.0
2014-11-03,ECC,20.02,7001.0
2014-11-04,ECC,20.15,34250.0
2014-11-05,ECC,20.2,143174.0
2014-11-06,ECC,20.3101,24996.0
2014-11-07,ECC,20.49,461623.0
2014-11-10,ECC,20.23,40105.0
2014-11-11,ECC,20.56,31931.0
2014-11-12,ECC,20.4,10939.0
2014-11-13,ECC,20.43,14646.0
2014-11-14,ECC,20.48,13371.0
2014-11-17,ECC,20.45,19509.0
2014-11-18,ECC,20.59,27358.0
2014-11-19,ECC,20.45,15985.0
2014-11-20,ECC,20.68,5559.0
2014-11-21,ECC,20.98,41414.0
2014-11-24,ECC,20.78,17881.0
2014-11-25,ECC,21.0,20633.0
2014-11-26,ECC,21.0,12927.0
2014-11-28,ECC,21.25,7393.0
2014-12-01,ECC,21.03,5719.0
2014-12-02,ECC,20.85,18734.0
2014-12-03,ECC,21.1,22249.0
2014-12-04,ECC,21.06,32777.0
2014-12-05,ECC,21.19,31552.0
2014-12-08,ECC,21.01,36648.0
2014-12-09,ECC,21.34,87382.0
2014-12-10,ECC,21.16,61188.0
2014-12-11,ECC,21.0,44884.0
2014-12-12,ECC,21.0,25577.0
2014-12-15,ECC,20.7,9658.0
2014-12-16,ECC,20.35,63062.0
2014-12-17,ECC,20.75,43304.0
2014-12-18,ECC,20.76,25228.0
2014-12-19,ECC,20.45,24112.0
2014-12-22,ECC,20.66,7235.0
2014-12-23,ECC,20.5,15820.0
2014-12-24,ECC,20.55,5879.0
2014-12-26,ECC,20.54,5129.0
2014-12-29,ECC,20.1,6454.0
2014-12-30,ECC,20.09,12312.0
2014-12-31,ECC,20.1,29592.0
2015-01-02,ECC,20.32,15689
2015-01-05,ECC,20.4397,2327
2015-01-06,ECC,20.35,22847
2015-01-07,ECC,20.48,9885
2015-01-08,ECC,20.51,15550
2015-01-09,ECC,20.495,9625
2015-01-12,ECC,20.74,8946
2015-01-13,ECC,20.532,4960
2015-01-14,ECC,20.511,2080
2015-01-15,ECC,20.5603,3540
2015-01-16,ECC,20.7397,8449
2015-01-20,ECC,20.52,5871
2015-01-21,ECC,20.53,2298
2015-01-22,ECC,20.56,6518
2015-01-23,ECC,20.75,22033
2015-01-26,ECC,20.62,8033
2015-01-27,ECC,20.67,11149
2015-01-28,ECC,20.85,8752
2015-01-29,ECC,20.86,6954
2015-01-30,ECC,20.89,3093
2015-02-02,ECC,21.04,9331
2015-02-03,ECC,21.14,2689
2015-02-04,ECC,20.97,3938
2015-02-05,ECC,20.73,8258
2015-02-06,ECC,20.98,3978
2015-02-09,ECC,21.05,5971
2015-02-10,ECC,21.0,10412
2015-02-11,ECC,21.25,25846
2015-02-12,ECC,21.2,9216
2015-02-13,ECC,21.11,7803
2015-02-17,ECC,21.199,2658
2015-02-18,ECC,21.295,19446
2015-02-19,ECC,21.25,4491
2015-02-20,ECC,21.25,14133
2015-02-23,ECC,21.25,3425
2015-02-24,ECC,21.25,18064
2015-02-25,ECC,21.29,15762
2015-02-26,ECC,21.25,18575
2015-02-27,ECC,21.0,21725
2015-03-02,ECC,21.04,17631
2015-03-03,ECC,20.48,45563
2015-03-04,ECC,20.93,21403
2015-03-05,ECC,20.87,31919
2015-03-06,ECC,20.92,36350
2015-03-09,ECC,20.49,17093
2015-03-10,ECC,20.65,20168
2015-03-11,ECC,20.76,35482
2015-03-12,ECC,20.6,15012
2015-03-13,ECC,20.66,23751
2015-03-16,ECC,20.5,21342
2015-03-17,ECC,20.61,21943
2015-03-18,ECC,20.49,22102
2015-03-19,ECC,20.49,5769
2015-03-20,ECC,20.9,19803
2015-03-23,ECC,20.8,5550
2015-03-24,ECC,20.79,26838
2015-03-25,ECC,21.02,15689
2015-03-26,ECC,21.18,11383
2015-03-27,ECC,20.47,21883
2015-03-30,ECC,20.8399,8860
2015-03-31,ECC,21.0,22360
2015-04-01,ECC,20.96,3574
2015-04-02,ECC,20.98,5465
2015-04-06,ECC,20.96,1310
2015-04-07,ECC,21.0,9349
2015-04-08,ECC,20.99,3435
2015-04-09,ECC,21.09,8858
2015-04-10,ECC,20.86,2513
2015-04-13,ECC,21.08,50311
2015-04-14,ECC,21.14,8484
2015-04-15,ECC,20.77,20199
