ds,symbol,close,volume
2022-05-05,EDBL,86.7,132726
2022-05-06,EDBL,84.9,58663
2022-05-09,EDBL,78.0,55127
2022-05-10,EDBL,78.0,37399
2022-05-11,EDBL,64.2,26291
2022-05-12,EDBL,56.1,26505
2022-05-13,EDBL,54.9,52127
2022-05-16,EDBL,60.6,36039
2022-05-17,EDBL,56.4,9253
2022-05-18,EDBL,52.8,14425
2022-05-19,EDBL,52.833,5261
2022-05-20,EDBL,48.6,5587
2022-05-23,EDBL,53.1,8460
2022-05-24,EDBL,51.3,4442
2022-05-25,EDBL,56.1,14417
2022-05-26,EDBL,58.2,7931
2022-05-27,EDBL,58.2,3991
2022-05-31,EDBL,56.1,5367
2022-06-01,EDBL,53.7,1513
2022-06-02,EDBL,53.4,3437
2022-06-03,EDBL,52.2,2043
2022-06-06,EDBL,52.5,5539
2022-06-07,EDBL,49.8,1896
2022-06-08,EDBL,51.3,3908
2022-06-09,EDBL,50.1,3100
2022-06-10,EDBL,48.9,1667
2022-06-13,EDBL,45.9,7186
2022-06-14,EDBL,45.0,4435
2022-06-15,EDBL,45.6,1554
2022-06-16,EDBL,47.4,2747
2022-06-17,EDBL,43.5,4687
2022-06-21,EDBL,51.9,19016
2022-06-22,EDBL,47.4,8758
2022-06-23,EDBL,43.5,8144
2022-06-24,EDBL,43.5,3988
2022-06-27,EDBL,39.9,3776
2022-06-28,EDBL,41.4,2913
2022-06-29,EDBL,38.1,1514
2022-06-30,EDBL,38.7,17874
2022-07-01,EDBL,35.4,3615
2022-07-05,EDBL,32.7,3479
2022-07-06,EDBL,35.1,2258
2022-07-07,EDBL,35.4,644
2022-07-08,EDBL,35.4,2132
2022-07-11,EDBL,35.964,2053
2022-07-12,EDBL,39.0,6757
2022-07-13,EDBL,39.516,932
2022-07-14,EDBL,38.4,1888
2022-07-15,EDBL,37.8,1562
2022-07-18,EDBL,36.9,1106
2022-07-19,EDBL,37.2,766
2022-07-20,EDBL,36.0,930
2022-07-21,EDBL,35.7,608
2022-07-22,EDBL,34.5,425
2022-07-25,EDBL,33.3,2946
2022-07-26,EDBL,31.95,2416
2022-07-27,EDBL,32.55,3012
2022-07-28,EDBL,37.5,5299
2022-07-29,EDBL,39.9,16594
2022-08-01,EDBL,37.5,3443
2022-08-02,EDBL,41.1,18948
2022-08-03,EDBL,40.5,25147
2022-08-04,EDBL,36.3,11942
2022-08-05,EDBL,35.1,5247
2022-08-08,EDBL,34.83,3994
2022-08-09,EDBL,34.2,1694
2022-08-10,EDBL,36.0,3364
2022-08-11,EDBL,34.8,1942
2022-08-12,EDBL,35.1,1360
2022-08-15,EDBL,35.4,1073
2022-08-16,EDBL,32.7,5290
2022-08-17,EDBL,32.4,1274
2022-08-18,EDBL,40.2,412189
2022-08-19,EDBL,36.6,20877
2022-08-22,EDBL,35.4,25372
2022-08-23,EDBL,33.0,9072
2022-08-24,EDBL,32.1,5208
2022-08-25,EDBL,32.25,4656
2022-08-26,EDBL,30.6,3765
2022-08-29,EDBL,26.853,12006
2022-08-30,EDBL,25.2,5226
2022-08-31,EDBL,24.663,3891
2022-09-01,EDBL,24.0,1437
2022-09-02,EDBL,23.946,3266
2022-09-06,EDBL,24.3,1531
2022-09-07,EDBL,24.9,2232
2022-09-08,EDBL,24.09,970
2022-09-09,EDBL,24.6,668
2022-09-12,EDBL,27.96,3940
2022-09-13,EDBL,26.847,1955
2022-09-14,EDBL,28.452,9552
2022-09-15,EDBL,27.3,3499
2022-09-16,EDBL,27.216,862
2022-09-19,EDBL,25.2,1789
2022-09-20,EDBL,25.8,4078
2022-09-21,EDBL,24.981,6788
2022-09-22,EDBL,24.867,2214
2022-09-23,EDBL,21.966,1694
2022-09-26,EDBL,21.918,2022
2022-09-27,EDBL,21.3,431
2022-09-28,EDBL,20.529,1790
2022-09-29,EDBL,19.74,1087
2022-09-30,EDBL,18.9,484
2022-10-03,EDBL,18.603,843
2022-10-04,EDBL,20.022,253
2022-10-05,EDBL,20.784,939
2022-10-06,EDBL,23.4,2159
2022-10-07,EDBL,22.161,1438
2022-10-10,EDBL,18.6,1844
2022-10-11,EDBL,19.506,1696
2022-10-12,EDBL,19.794,958
2022-10-13,EDBL,19.653,1083
2022-10-14,EDBL,19.014,302
2022-10-17,EDBL,17.868,2996
2022-10-18,EDBL,17.43,1089
2022-10-19,EDBL,17.865,734
2022-10-20,EDBL,16.512,336
2022-10-21,EDBL,15.33,1530
2022-10-24,EDBL,17.13,49299
2022-10-25,EDBL,19.779,5239
2022-10-26,EDBL,19.809,2189
2022-10-27,EDBL,20.7,1435
2022-10-28,EDBL,21.375,760
2022-10-31,EDBL,17.106,2710
2022-11-01,EDBL,16.629,2787
2022-11-02,EDBL,16.797,2477
2022-11-03,EDBL,15.597,1563
2022-11-04,EDBL,14.82,2744
2022-11-07,EDBL,14.778,68361
2022-11-08,EDBL,14.28,10301
2022-11-09,EDBL,12.012,5439
2022-11-10,EDBL,12.819,12207
2022-11-11,EDBL,12.0,5398
2022-11-14,EDBL,10.68,6204
2022-11-15,EDBL,11.106,2271
2022-11-16,EDBL,10.581,8442
2022-11-17,EDBL,10.47,8013
2022-11-18,EDBL,9.372,6217
2022-11-21,EDBL,9.6,3004
2022-11-22,EDBL,9.63,2893
2022-11-23,EDBL,9.213,4180
2022-11-25,EDBL,9.171,1656
2022-11-28,EDBL,9.27,3500
2022-11-29,EDBL,9.294,3778
2022-11-30,EDBL,11.031,61371
2022-12-01,EDBL,10.164,13224
2022-12-02,EDBL,9.33,6350
2022-12-05,EDBL,9.447,3538
2022-12-06,EDBL,9.42,6087
2022-12-07,EDBL,8.7,5447
2022-12-08,EDBL,8.694,1832
2022-12-09,EDBL,8.076,5378
2022-12-12,EDBL,12.87,287164
2022-12-13,EDBL,11.247,28704
2022-12-14,EDBL,10.125,8844
2022-12-15,EDBL,7.95,13620
2022-12-16,EDBL,6.777,17983
2022-12-19,EDBL,6.735,9097
2022-12-20,EDBL,6.168,5096
2022-12-21,EDBL,6.363,6817
2022-12-22,EDBL,6.9,9591
2022-12-23,EDBL,6.807,2655
2022-12-27,EDBL,7.497,15290
2022-12-28,EDBL,6.831,5044
2022-12-29,EDBL,6.894,5395
2022-12-30,EDBL,6.3,8000
2023-01-03,EDBL,7.203,23276
2023-01-04,EDBL,7.377,126807
2023-01-05,EDBL,6.969,75455
2023-01-06,EDBL,6.969,13537
2023-01-09,EDBL,7.053,5182
2023-01-10,EDBL,7.503,13172
2023-01-11,EDBL,7.422,15621
2023-01-12,EDBL,7.701,10266
2023-01-13,EDBL,7.743,6921
2023-01-17,EDBL,7.629,7970
2023-01-18,EDBL,7.557,5461
2023-01-19,EDBL,9.3,66871
2023-01-20,EDBL,10.485,24767
2023-01-23,EDBL,10.653,118562
2023-01-24,EDBL,10.95,37870
2023-01-25,EDBL,10.5,54224
2023-01-26,EDBL,9.2,1479390
2023-01-27,EDBL,7.99,133721
2023-01-30,EDBL,8.04,212067
2023-01-31,EDBL,10.8,961045
2023-02-01,EDBL,11.7,785932
2023-02-02,EDBL,8.35,349212
2023-02-03,EDBL,4.75,2492979
2023-02-06,EDBL,4.78,656995
2023-02-07,EDBL,4.8,519248
2023-02-08,EDBL,4.28,696675
2023-02-09,EDBL,4.23,1462932
2023-02-10,EDBL,4.47,3492445
2023-02-13,EDBL,4.12,636512
2023-02-14,EDBL,3.84,372790
2023-02-15,EDBL,4.06,204228
2023-02-16,EDBL,3.95,183338
2023-02-17,EDBL,3.67,117161
2023-02-21,EDBL,3.26,186843
2023-02-22,EDBL,2.95,209783
2023-02-23,EDBL,3.51,441397
2023-02-24,EDBL,3.17,384017
2023-02-27,EDBL,3.2,56973
2023-02-28,EDBL,3.39,120986
2023-03-01,EDBL,2.75,417581
2023-03-02,EDBL,2.7,270991
2023-03-03,EDBL,2.69,71254
2023-03-06,EDBL,2.81,125524
2023-03-07,EDBL,3.02,149220
2023-03-08,EDBL,3.5,23614262
2023-03-09,EDBL,3.08,699884
2023-03-10,EDBL,3.21,611354
2023-03-13,EDBL,3.27,128307
2023-03-14,EDBL,3.26,207288
2023-03-15,EDBL,3.38,181899
2023-03-16,EDBL,3.36,239348
2023-03-17,EDBL,3.23,277519
2023-03-20,EDBL,3.69,799749
2023-03-21,EDBL,4.09,1295387
2023-03-22,EDBL,2.79,1323386
2023-03-23,EDBL,2.31,520426
2023-03-24,EDBL,2.21,308982
2023-03-27,EDBL,2.32,172614
2023-03-28,EDBL,2.26,230251
2023-03-29,EDBL,2.2,246296
2023-03-30,EDBL,2.22,122352
2023-03-31,EDBL,2.3,65176
2023-04-03,EDBL,2.27,50334
2023-04-04,EDBL,2.15,112711
2023-04-05,EDBL,1.98,173141
2023-04-06,EDBL,2.01,52025
2023-04-10,EDBL,1.91,506021
2023-04-11,EDBL,1.81,172412
2023-04-12,EDBL,1.87,66540
2023-04-13,EDBL,1.71,117806
