ds,symbol,close,volume
1997-03-07,EEFT,15.0,2860800
1997-03-10,EEFT,13.875,493600
1997-03-11,EEFT,14.25,72400
1997-03-12,EEFT,14.0,131600
1997-03-13,EEFT,13.75,177700
1997-03-14,EEFT,14.125,122700
1997-03-17,EEFT,14.125,407400
1997-03-18,EEFT,14.125,43400
1997-03-19,EEFT,14.0,120400
1997-03-20,EEFT,13.75,89900
1997-03-21,EEFT,13.875,19200
1997-03-24,EEFT,13.75,42700
1997-03-25,EEFT,13.875,32800
1997-03-26,EEFT,13.875,53800
1997-03-27,EEFT,13.5,90900
1997-03-31,EEFT,12.75,43800
1997-04-01,EEFT,13.0,223300
1997-04-02,EEFT,13.125,270900
1997-04-03,EEFT,13.375,96000
1997-04-04,EEFT,14.0,121100
1997-04-07,EEFT,14.25,168200
1997-04-08,EEFT,13.75,101100
1997-04-09,EEFT,13.75,4800
1997-04-10,EEFT,14.125,79600
1997-04-11,EEFT,14.0,40000
1997-04-14,EEFT,14.0,27700
1997-04-15,EEFT,14.0,77900
1997-04-16,EEFT,14.0,56600
1997-04-17,EEFT,13.875,300
1997-04-18,EEFT,14.125,50200
1997-04-21,EEFT,13.9375,1000
1997-04-22,EEFT,13.75,50000
1997-04-23,EEFT,13.75,0
1997-04-24,EEFT,13.25,8600
1997-04-25,EEFT,13.125,11000
1997-04-28,EEFT,12.875,24700
1997-04-29,EEFT,12.75,52500
1997-04-30,EEFT,12.5625,45000
1997-05-01,EEFT,13.0,10100
1997-05-02,EEFT,13.0,10000
1997-05-05,EEFT,12.6875,48300
1997-05-06,EEFT,12.625,100
1997-05-07,EEFT,12.625,0
1997-05-08,EEFT,12.625,40000
1997-05-09,EEFT,13.0,1300
1997-05-12,EEFT,12.625,1000
1997-05-13,EEFT,12.625,1000
1997-05-14,EEFT,12.625,0
1997-05-15,EEFT,12.625,0
1997-05-16,EEFT,12.375,16000
1997-05-19,EEFT,11.625,2300
1997-05-20,EEFT,11.5,7500
1997-05-21,EEFT,10.375,42500
1997-05-22,EEFT,10.0,54400
1997-05-23,EEFT,10.5,253700
1997-05-27,EEFT,10.625,6300
1997-05-28,EEFT,10.625,69100
1997-05-29,EEFT,11.0,18500
1997-05-30,EEFT,11.0,57400
1997-06-02,EEFT,10.5,27400
1997-06-03,EEFT,10.875,700
1997-06-04,EEFT,9.875,46300
1997-06-05,EEFT,9.625,13000
1997-06-06,EEFT,9.875,16100
1997-06-09,EEFT,9.75,50800
1997-06-10,EEFT,10.0,64700
1997-06-11,EEFT,10.75,4900
1997-06-12,EEFT,11.625,58200
1997-06-13,EEFT,11.0,22100
1997-06-16,EEFT,12.0,28700
1997-06-17,EEFT,12.125,4200
1997-06-18,EEFT,12.125,400
1997-06-19,EEFT,11.875,300
1997-06-20,EEFT,11.875,0
1997-06-23,EEFT,11.625,27000
1997-06-24,EEFT,11.75,28900
1997-06-25,EEFT,11.625,45300
1997-06-26,EEFT,11.875,27200
1997-06-27,EEFT,11.0,76800
1997-06-30,EEFT,11.0625,39100
1997-07-01,EEFT,11.0625,0
1997-07-02,EEFT,11.25,1700
1997-07-03,EEFT,10.875,63300
1997-07-07,EEFT,10.875,77200
1997-07-08,EEFT,11.25,119400
1997-07-09,EEFT,11.25,54600
1997-07-10,EEFT,11.0,40400
1997-07-11,EEFT,10.5,90700
1997-07-14,EEFT,10.0,205200
1997-07-15,EEFT,10.125,100
1997-07-16,EEFT,10.5,86600
1997-07-17,EEFT,10.5,0
1997-07-18,EEFT,10.5,0
1997-07-21,EEFT,10.75,31300
1997-07-22,EEFT,11.25,5600
1997-07-23,EEFT,11.25,65400
1997-07-24,EEFT,11.25,0
1997-07-25,EEFT,11.625,203400
1997-07-28,EEFT,11.75,6000
1997-07-29,EEFT,11.75,14600
1997-07-30,EEFT,11.875,2300
1997-07-31,EEFT,11.875,2500
1997-08-01,EEFT,11.875,400
1997-08-04,EEFT,11.375,1400
1997-08-05,EEFT,14.25,113100
1997-08-06,EEFT,14.0,1700
1997-08-07,EEFT,14.375,24500
1997-08-08,EEFT,13.875,32100
1997-08-11,EEFT,14.25,21200
1997-08-12,EEFT,13.75,30800
1997-08-13,EEFT,14.375,30300
1997-08-14,EEFT,13.625,1000
1997-08-15,EEFT,13.625,1000
1997-08-18,EEFT,13.625,1300
1997-08-19,EEFT,13.625,10200
1997-08-20,EEFT,13.75,200
1997-08-21,EEFT,13.125,26000
1997-08-22,EEFT,13.375,16000
1997-08-25,EEFT,14.0,16100
1997-08-26,EEFT,14.375,29700
1997-08-27,EEFT,13.625,5000
1997-08-28,EEFT,13.625,0
1997-08-29,EEFT,13.25,22100
1997-09-02,EEFT,13.25,0
1997-09-03,EEFT,13.25,11800
1997-09-04,EEFT,13.25,0
1997-09-05,EEFT,13.25,3800
1997-09-08,EEFT,13.25,300
1997-09-09,EEFT,13.25,0
1997-09-10,EEFT,11.75,7500
1997-09-11,EEFT,11.375,3600
1997-09-12,EEFT,11.5,76700
1997-09-15,EEFT,11.4375,1100
1997-09-16,EEFT,11.75,400
1997-09-17,EEFT,12.0,18900
1997-09-18,EEFT,12.25,13400
1997-09-19,EEFT,11.875,1700
1997-09-22,EEFT,11.5,1300
1997-09-23,EEFT,11.0,3700
1997-09-24,EEFT,10.75,97800
1997-09-25,EEFT,10.75,145600
1997-09-26,EEFT,11.125,145700
1997-09-29,EEFT,11.25,30500
1997-09-30,EEFT,11.5,13600
1997-10-01,EEFT,12.375,16100
1997-10-02,EEFT,12.125,60900
1997-10-03,EEFT,12.625,1100
1997-10-06,EEFT,12.0,2000
1997-10-07,EEFT,12.0,0
1997-10-08,EEFT,12.0,0
1997-10-09,EEFT,12.625,1100
1997-10-10,EEFT,12.75,100
1997-10-13,EEFT,12.5,1700
1997-10-14,EEFT,12.125,500
1997-10-15,EEFT,12.75,600
1997-10-16,EEFT,11.875,2000
1997-10-17,EEFT,11.875,0
1997-10-20,EEFT,12.5,42100
1997-10-21,EEFT,12.1875,5900
1997-10-22,EEFT,12.1875,0
1997-10-23,EEFT,10.5,31500
1997-10-24,EEFT,11.5,20300
1997-10-27,EEFT,9.5625,30700
1997-10-28,EEFT,10.625,12600
1997-10-29,EEFT,10.125,1000
1997-10-30,EEFT,9.0,27000
1997-10-31,EEFT,10.0,108200
1997-11-03,EEFT,10.0,0
1997-11-04,EEFT,10.25,700
1997-11-05,EEFT,10.75,11300
1997-11-06,EEFT,9.75,100
1997-11-07,EEFT,10.125,1700
1997-11-10,EEFT,10.0,7700
1997-11-11,EEFT,9.875,12800
1997-11-12,EEFT,8.25,115500
1997-11-13,EEFT,8.5,7000
1997-11-14,EEFT,8.5,114600
1997-11-17,EEFT,8.375,79200
1997-11-18,EEFT,8.5,200
1997-11-19,EEFT,8.5,100
1997-11-20,EEFT,8.5,3000
1997-11-21,EEFT,8.125,6400
1997-11-24,EEFT,8.375,5300
1997-11-25,EEFT,8.25,10100
1997-11-26,EEFT,7.75,1700
1997-11-28,EEFT,7.25,1000
1997-12-01,EEFT,6.3125,159500
1997-12-02,EEFT,7.5,99500
1997-12-03,EEFT,8.125,42900
1997-12-04,EEFT,7.75,130100
1997-12-05,EEFT,7.625,14400
1997-12-08,EEFT,7.75,249100
1997-12-09,EEFT,7.875,4000
1997-12-10,EEFT,7.875,3900
1997-12-11,EEFT,7.5,18000
1997-12-12,EEFT,7.125,1100
1997-12-15,EEFT,7.25,91000
1997-12-16,EEFT,6.9375,200
1997-12-17,EEFT,7.25,91400
1997-12-18,EEFT,7.25,1500
1997-12-19,EEFT,7.0,9000
1997-12-22,EEFT,7.0,10700
1997-12-23,EEFT,7.0,5200
1997-12-24,EEFT,7.0,800
1997-12-26,EEFT,7.0,100
1997-12-29,EEFT,7.25,4200
1997-12-30,EEFT,7.25,1000
1997-12-31,EEFT,7.75,14100
1998-01-02,EEFT,7.875,2300
1998-01-05,EEFT,8.25,6700
1998-01-06,EEFT,8.375,7200
1998-01-07,EEFT,8.375,800
1998-01-08,EEFT,9.0,73100
1998-01-09,EEFT,9.0,600
1998-01-12,EEFT,9.0,0
