ds,symbol,close,volume
1990-01-02,EIX,20.125,931400
1990-01-03,EIX,19.9375,543200
1990-01-04,EIX,19.625,280000
1990-01-05,EIX,19.1875,862200
1990-01-08,EIX,19.3125,393600
1990-01-09,EIX,18.9375,460800
1990-01-10,EIX,19.0,592800
1990-01-11,EIX,19.1875,414400
1990-01-12,EIX,18.6875,866200
1990-01-15,EIX,18.75,392800
1990-01-16,EIX,18.875,624800
1990-01-17,EIX,18.75,317800
1990-01-18,EIX,18.8125,412400
1990-01-19,EIX,18.6875,511400
1990-01-22,EIX,18.375,456600
1990-01-23,EIX,18.75,616400
1990-01-24,EIX,18.4375,464400
1990-01-25,EIX,18.375,532200
1990-01-26,EIX,18.5,873200
1990-01-29,EIX,18.4375,331000
1990-01-30,EIX,18.5,417200
1990-01-31,EIX,18.875,461000
1990-02-01,EIX,18.75,701400
1990-02-02,EIX,18.875,294400
1990-02-05,EIX,18.9375,443800
1990-02-06,EIX,18.9375,208800
1990-02-07,EIX,19.3125,790000
1990-02-08,EIX,19.3125,289000
1990-02-09,EIX,19.5625,368800
1990-02-12,EIX,19.3125,186600
1990-02-13,EIX,19.25,357800
1990-02-14,EIX,19.4375,264400
1990-02-15,EIX,19.3125,305400
1990-02-16,EIX,18.9375,568600
1990-02-20,EIX,18.625,679200
1990-02-21,EIX,18.8125,436200
1990-02-22,EIX,18.5,288600
1990-02-23,EIX,18.625,248400
1990-02-26,EIX,18.8125,619600
1990-02-27,EIX,18.9375,192000
1990-02-28,EIX,19.0625,297200
1990-03-01,EIX,19.1875,497800
1990-03-02,EIX,19.375,293600
1990-03-05,EIX,19.3125,235800
1990-03-06,EIX,19.5625,879200
1990-03-07,EIX,19.625,509600
1990-03-08,EIX,19.6875,463200
1990-03-09,EIX,19.3125,403800
1990-03-12,EIX,19.25,717000
1990-03-13,EIX,19.0625,518200
1990-03-14,EIX,19.0,378000
1990-03-15,EIX,19.0625,299800
1990-03-16,EIX,19.1875,519200
1990-03-19,EIX,19.0,325400
1990-03-20,EIX,19.0,270600
1990-03-21,EIX,19.0,259800
1990-03-22,EIX,19.0,695000
1990-03-23,EIX,19.0,186000
1990-03-26,EIX,18.9375,228000
1990-03-27,EIX,19.125,251000
1990-03-28,EIX,19.1875,3541600
1990-03-29,EIX,19.1875,4049000
1990-03-30,EIX,18.625,755600
1990-04-02,EIX,18.6875,233000
1990-04-03,EIX,18.9375,231600
1990-04-04,EIX,18.625,721200
1990-04-05,EIX,18.6875,247200
1990-04-06,EIX,18.625,222800
1990-04-09,EIX,18.8125,228400
1990-04-10,EIX,18.6875,202200
1990-04-11,EIX,18.625,113800
1990-04-12,EIX,18.75,304000
1990-04-16,EIX,18.8125,312600
1990-04-17,EIX,18.75,166600
1990-04-18,EIX,18.5625,369600
1990-04-19,EIX,18.4375,862400
1990-04-20,EIX,18.0625,456000
1990-04-23,EIX,17.9375,464000
1990-04-24,EIX,18.0,630600
1990-04-25,EIX,18.0625,249400
1990-04-26,EIX,18.1875,401400
1990-04-27,EIX,18.0625,358600
1990-04-30,EIX,17.9375,477800
1990-05-01,EIX,18.25,388000
1990-05-02,EIX,18.3125,367200
1990-05-03,EIX,18.5,227800
1990-05-04,EIX,18.875,348600
1990-05-07,EIX,18.9375,167400
1990-05-08,EIX,19.25,383000
1990-05-09,EIX,19.25,1071400
1990-05-10,EIX,19.3125,388600
1990-05-11,EIX,19.75,713200
1990-05-14,EIX,19.6875,373000
