ds,symbol,close,volume
2014-01-16,EKSO,246.75,335.0
2014-01-17,EKSO,257.25,1482.0
2014-01-21,EKSO,278.25,1697.0
2014-01-22,EKSO,278.25,761.0
2014-01-23,EKSO,248.85,588.0
2014-01-24,EKSO,266.7,215.0
2014-01-27,EKSO,273.0,247.0
2014-01-28,EKSO,262.5,190.0
2014-01-29,EKSO,273.0,27.0
2014-01-30,EKSO,256.2,561.0
2014-01-31,EKSO,257.25,186.0
2014-02-03,EKSO,246.75,420.0
2014-02-04,EKSO,252.0,110.0
2014-02-05,EKSO,262.5,115.0
2014-02-06,EKSO,308.7,1570.0
2014-02-07,EKSO,333.9,495.0
2014-02-10,EKSO,315.0,605.0
2014-02-11,EKSO,312.9,319.0
2014-02-12,EKSO,315.0,911.0
2014-02-13,EKSO,315.0,252.0
2014-02-14,EKSO,299.25,649.0
2014-02-18,EKSO,315.0,1330.0
2014-02-19,EKSO,346.5,1416.0
2014-02-20,EKSO,400.05,3950.0
2014-02-21,EKSO,544.95,6874.0
2014-02-24,EKSO,803.25,14454.0
2014-02-25,EKSO,625.8,9253.0
2014-02-26,EKSO,672.0,2546.0
2014-02-27,EKSO,682.5,1873.0
2014-02-28,EKSO,630.0,2876.0
2014-03-03,EKSO,557.55,2363.0
2014-03-04,EKSO,540.75,935.0
2014-03-05,EKSO,567.0,1873.0
2014-03-06,EKSO,605.85,1817.0
2014-03-07,EKSO,567.0,1569.0
2014-03-10,EKSO,543.9,1099.0
2014-03-11,EKSO,509.25,2032.0
2014-03-12,EKSO,476.7,1952.0
2014-03-13,EKSO,472.5,1299.0
2014-03-14,EKSO,464.1,485.0
2014-03-17,EKSO,467.25,1002.0
2014-03-18,EKSO,522.9,3547.0
2014-03-19,EKSO,467.25,1785.0
2014-03-20,EKSO,446.25,1671.0
2014-03-21,EKSO,408.45,1943.0
2014-03-24,EKSO,374.85,2284.0
2014-03-25,EKSO,361.2,1376.0
2014-03-26,EKSO,343.35,2332.0
2014-03-27,EKSO,346.5,2532.0
2014-03-28,EKSO,346.5,1153.0
2014-03-31,EKSO,334.95,1240.0
2014-04-01,EKSO,340.2,1677.0
2014-04-02,EKSO,330.75,1003.0
2014-04-03,EKSO,325.5,686.0
2014-04-04,EKSO,315.0,1127.0
2014-04-07,EKSO,283.5,1133.0
2014-04-08,EKSO,273.0,1434.0
2014-04-09,EKSO,263.55,987.0
2014-04-10,EKSO,263.55,1243.0
2014-04-11,EKSO,238.35,1070.0
2014-04-14,EKSO,242.55,578.0
2014-04-15,EKSO,245.7,408.0
2014-04-16,EKSO,257.25,293.0
2014-04-17,EKSO,278.25,344.0
2014-04-21,EKSO,265.65,394.0
2014-04-22,EKSO,281.4,207.0
2014-04-23,EKSO,294.0,426.0
2014-04-24,EKSO,367.5,1207.0
2014-04-25,EKSO,325.5,696.0
2014-04-28,EKSO,298.2,901.0
2014-04-29,EKSO,294.0,535.0
2014-04-30,EKSO,299.25,190.0
2014-05-01,EKSO,294.0,226.0
2014-05-02,EKSO,286.65,270.0
2014-05-05,EKSO,277.2,303.0
2014-05-06,EKSO,297.15,335.0
2014-05-07,EKSO,275.1,363.0
2014-05-08,EKSO,273.0,1014.0
2014-05-09,EKSO,261.45,714.0
2014-05-12,EKSO,241.5,573.0
2014-05-13,EKSO,247.8,227.0
2014-05-14,EKSO,256.2,374.0
2014-05-15,EKSO,255.15,105.0
2014-05-16,EKSO,252.0,57.0
2014-05-19,EKSO,256.2,140.0
2014-05-20,EKSO,241.5,93.0
2014-05-21,EKSO,225.75,418.0
2014-05-22,EKSO,235.2,264.0
2014-05-23,EKSO,235.2,190.0
2014-05-27,EKSO,231.0,309.0
2014-05-28,EKSO,241.5,180.0
2014-05-29,EKSO,244.65,137.0
2014-05-30,EKSO,273.0,141.0
2014-06-02,EKSO,299.25,699.0
2014-06-03,EKSO,294.0,124.0
2014-06-04,EKSO,292.95,141.0
2014-06-05,EKSO,304.5,320.0
2014-06-06,EKSO,299.25,680.0
2014-06-09,EKSO,299.25,346.0
2014-06-10,EKSO,283.5,161.0
2014-06-11,EKSO,282.45,48.0
2014-06-12,EKSO,282.45,426.0
2014-06-13,EKSO,283.5,935.0
2014-06-16,EKSO,241.5,966.0
2014-06-17,EKSO,239.4,818.0
2014-06-18,EKSO,229.95,1235.0
2014-06-19,EKSO,234.15,894.0
2014-06-20,EKSO,237.3,532.0
2014-06-23,EKSO,176.4,17870.0
2014-06-24,EKSO,164.4405,6192.0
2014-06-25,EKSO,173.25,2614.0
2014-06-26,EKSO,168.0,1692.0
2014-06-27,EKSO,163.8,1421.0
2014-06-30,EKSO,154.35,1278.0
2014-07-01,EKSO,154.35,1671.0
