ds,symbol,close,volume
1993-10-20,ENIA,11.7057056,2698657
1993-10-21,ENIA,11.4381466,523996
1993-10-22,ENIA,11.6388159,443640
1993-10-25,ENIA,11.3712568,635560
1993-10-26,ENIA,11.1036978,491293
1993-10-27,ENIA,10.9699192,422897
1993-10-28,ENIA,10.8361387,332076
1993-10-29,ENIA,10.9699192,377860
1993-11-01,ENIA,11.2374783,101099
1993-11-02,ENIA,10.9699192,355809
1993-11-03,ENIA,10.7023602,323293
1993-11-04,ENIA,10.6354704,299560
1993-11-05,ENIA,10.4348011,169682
1993-11-08,ENIA,10.3679113,150994
1993-11-09,ENIA,10.3679113,264427
1993-11-10,ENIA,10.7023602,68583
1993-11-11,ENIA,10.7023602,215840
1993-11-12,ENIA,11.1705875,159590
1993-11-15,ENIA,10.9030294,110816
1993-11-16,ENIA,11.304368,249290
1993-11-17,ENIA,11.1036978,142772
1993-11-18,ENIA,10.9699192,177157
1993-11-19,ENIA,10.8361387,146135
1993-11-22,ENIA,10.6354704,128569
1993-11-23,ENIA,10.4348011,194349
1993-11-24,ENIA,10.7023602,225744
1993-11-26,ENIA,10.5685797,111003
1993-11-29,ENIA,10.6354704,266109
1993-11-30,ENIA,10.5016909,275079
1993-12-01,ENIA,10.5016909,151929
1993-12-02,ENIA,10.5016909,247235
1993-12-03,ENIA,10.4348011,244618
1993-12-06,ENIA,10.3679113,205188
1993-12-07,ENIA,10.3010206,289655
1993-12-08,ENIA,10.3679113,150434
1993-12-09,ENIA,10.4348011,355809
1993-12-10,ENIA,10.5016909,69704
1993-12-13,ENIA,10.7023602,132867
1993-12-14,ENIA,10.6354704,84467
1993-12-15,ENIA,10.5016909,90447
1993-12-16,ENIA,10.5685797,230603
1993-12-17,ENIA,10.6354704,266857
1993-12-20,ENIA,10.5016909,261437
1993-12-21,ENIA,10.6354704,143332
1993-12-22,ENIA,10.9030294,402341
1993-12-23,ENIA,11.304368,420281
1993-12-27,ENIA,11.7725964,125579
1993-12-28,ENIA,12.1070452,272837
1993-12-29,ENIA,11.9063749,357491
1993-12-30,ENIA,11.9732647,119412
1993-12-31,ENIA,12.5752726,49521
1994-01-03,ENIA,12.5083828,305353
1994-01-04,ENIA,12.3077145,338616
1994-01-05,ENIA,12.7090521,283115
1994-01-06,ENIA,12.9097223,395987
1994-01-07,ENIA,13.1103907,501571
1994-01-10,ENIA,13.1103907,86149
1994-01-11,ENIA,13.1772814,110442
1994-01-12,ENIA,13.0435009,254710
1994-01-13,ENIA,12.7090521,193602
1994-01-14,ENIA,12.7090521,100351
1994-01-17,ENIA,12.5752726,137913
1994-01-18,ENIA,12.5083828,81103
1994-01-19,ENIA,12.5083828,62416
1994-01-20,ENIA,12.5752726,157161
1994-01-21,ENIA,12.5083828,318247
1994-01-24,ENIA,12.3746042,207057
1994-01-25,ENIA,11.9732647,82037
1994-01-26,ENIA,12.3077145,376552
1994-01-27,ENIA,12.0401554,204814
1994-01-28,ENIA,11.6388159,93437
1994-01-31,ENIA,12.5752726,327591
1994-02-01,ENIA,12.9766111,435231
1994-02-02,ENIA,13.578619,521567
1994-02-03,ENIA,13.1103907,87083
1994-02-04,ENIA,13.2441702,382719
1994-02-07,ENIA,13.1772814,257139
1994-02-08,ENIA,13.31106,179025
1994-02-09,ENIA,13.1103907,106144
1994-02-10,ENIA,12.441493,231537
1994-02-11,ENIA,12.5083828,108200
1994-02-14,ENIA,12.7759418,305540
1994-02-15,ENIA,12.7759418,251533
1994-02-16,ENIA,12.7090521,125206
1994-02-17,ENIA,12.6421633,34198
1994-02-18,ENIA,12.3077145,5979
1994-02-22,ENIA,12.3077145,267978
1994-02-23,ENIA,11.9732647,128009
1994-02-24,ENIA,11.3712568,56623
1994-02-25,ENIA,11.2374783,145762
1994-02-28,ENIA,11.3712568,165944
1994-03-01,ENIA,11.1705875,134923
1994-03-02,ENIA,10.7023602,570528
1994-03-03,ENIA,9.8327932,246300
1994-03-04,ENIA,9.9665728,562866
1994-03-07,ENIA,9.899683,215653
1994-03-08,ENIA,10.0334616,469242
1994-03-09,ENIA,10.3010206,46158
1994-03-10,ENIA,10.2341318,233593
1994-03-11,ENIA,10.3010206,163889
1994-03-14,ENIA,10.8361387,204440
1994-03-15,ENIA,10.9699192,247422
1994-03-16,ENIA,10.9699192,101099
1994-03-17,ENIA,10.8361387,91007
1994-03-18,ENIA,10.6354704,115114
1994-03-21,ENIA,10.1003523,148004
1994-03-22,ENIA,10.9030294,58491
1994-03-23,ENIA,10.9030294,305540
1994-03-24,ENIA,10.6354704,72320
1994-03-25,ENIA,10.6354704,150620
1994-03-28,ENIA,10.4348011,12520
1994-03-29,ENIA,10.3679113,80542
1994-03-30,ENIA,9.899683,381037
1994-03-31,ENIA,9.7659035,165384
1994-04-04,ENIA,9.2976751,207057
1994-04-05,ENIA,9.4983444,318621
1994-04-06,ENIA,10.0334616,164636
1994-04-07,ENIA,10.5685797,75684
1994-04-08,ENIA,10.4348011,38496
1994-04-11,ENIA,10.2341318,109508
1994-04-12,ENIA,10.0334616,46718
1994-04-13,ENIA,10.3679113,54380
1994-04-14,ENIA,10.4348011,96240
1994-04-15,ENIA,10.7692499,112498
1994-04-18,ENIA,10.5685797,129504
1994-04-19,ENIA,10.4348011,54006
1994-04-20,ENIA,10.1672421,155105
1994-04-21,ENIA,10.3679113,177344
