ds,symbol,close,volume
2016-04-21,ENIC,6.55,58800
2016-04-22,ENIC,6.7,35800
2016-04-25,ENIC,6.48,35400
2016-04-26,ENIC,6.34,21000
2016-04-27,ENIC,6.18,453314
2016-04-28,ENIC,6.11,240026
2016-04-29,ENIC,6.37,1304899
2016-05-02,ENIC,6.14,378373
2016-05-03,ENIC,6.2,441544
2016-05-04,ENIC,6.04,3020749
2016-05-05,ENIC,6.02,1467720
2016-05-06,ENIC,5.96,395554
2016-05-09,ENIC,5.9,457852
2016-05-10,ENIC,5.9,808946
2016-05-11,ENIC,5.93,435393
2016-05-12,ENIC,5.92,145680
2016-05-13,ENIC,5.65,241449
2016-05-16,ENIC,5.55,1045366
2016-05-17,ENIC,5.63,656807
2016-05-18,ENIC,5.45,456987
2016-05-19,ENIC,5.45,411645
2016-05-20,ENIC,5.42,288285
2016-05-23,ENIC,5.31,553740
2016-05-24,ENIC,5.36,1109454
2016-05-25,ENIC,5.57,648559
2016-05-26,ENIC,5.55,951448
2016-05-27,ENIC,5.56,498618
2016-05-31,ENIC,5.68,1855141
2016-06-01,ENIC,5.73,907127
2016-06-02,ENIC,5.68,950070
2016-06-03,ENIC,5.74,1411017
2016-06-06,ENIC,5.73,388355
2016-06-07,ENIC,5.75,490803
2016-06-08,ENIC,5.79,445865
2016-06-09,ENIC,5.67,897296
2016-06-10,ENIC,5.53,443629
2016-06-13,ENIC,5.47,664464
2016-06-14,ENIC,5.38,698145
2016-06-15,ENIC,5.45,250291
2016-06-16,ENIC,5.46,552275
2016-06-17,ENIC,5.59,394077
2016-06-20,ENIC,5.68,268980
2016-06-21,ENIC,5.6,357673
2016-06-22,ENIC,5.64,378654
2016-06-23,ENIC,5.74,264231
2016-06-24,ENIC,5.65,236676
2016-06-27,ENIC,5.51,489319
2016-06-28,ENIC,5.75,280515
2016-06-29,ENIC,5.77,320128
2016-06-30,ENIC,5.83,190311
2016-07-01,ENIC,5.75,154585
2016-07-05,ENIC,5.74,118978
2016-07-06,ENIC,5.82,309107
2016-07-07,ENIC,5.71,98013
2016-07-08,ENIC,5.63,9595161
2016-07-11,ENIC,5.74,210222
2016-07-12,ENIC,5.76,355875
2016-07-13,ENIC,5.78,362100
2016-07-14,ENIC,5.79,325938
2016-07-15,ENIC,5.79,1329256
2016-07-18,ENIC,5.92,153993
2016-07-19,ENIC,5.86,658286
2016-07-20,ENIC,5.78,1151669
2016-07-21,ENIC,5.82,446489
2016-07-22,ENIC,5.85,404723
2016-07-25,ENIC,5.81,405109
2016-07-26,ENIC,5.76,290985
2016-07-27,ENIC,5.7,409643
2016-07-28,ENIC,5.73,471703
2016-07-29,ENIC,5.74,323312
2016-08-01,ENIC,5.73,433012
2016-08-02,ENIC,5.75,172261
2016-08-03,ENIC,5.87,143019
2016-08-04,ENIC,5.88,127082
2016-08-05,ENIC,5.91,585709
2016-08-08,ENIC,5.99,1112875
2016-08-09,ENIC,5.96,269845
2016-08-10,ENIC,5.95,329704
2016-08-11,ENIC,5.96,123992
2016-08-12,ENIC,5.85,298068
2016-08-15,ENIC,5.7,716055
2016-08-16,ENIC,5.53,955080
2016-08-17,ENIC,5.27,917654
2016-08-18,ENIC,5.46,1038695
2016-08-19,ENIC,5.38,492064
2016-08-22,ENIC,5.46,283352
2016-08-23,ENIC,5.46,634721
2016-08-24,ENIC,5.49,883223
2016-08-25,ENIC,5.56,259600
2016-08-26,ENIC,5.49,247478
2016-08-29,ENIC,5.48,143641
2016-08-30,ENIC,5.52,1017703
2016-08-31,ENIC,5.42,340041
2016-09-01,ENIC,5.35,166309
2016-09-02,ENIC,5.42,206208
2016-09-06,ENIC,5.38,161211
2016-09-07,ENIC,5.34,135269
2016-09-08,ENIC,5.33,210619
2016-09-09,ENIC,5.25,353861
2016-09-12,ENIC,5.31,163007
2016-09-13,ENIC,5.18,329960
2016-09-14,ENIC,5.1,197928
2016-09-15,ENIC,5.07,429432
2016-09-16,ENIC,5.05,289638
2016-09-19,ENIC,4.98,339718
2016-09-20,ENIC,5.12,284011
2016-09-21,ENIC,5.25,225995
2016-09-22,ENIC,5.24,148924
2016-09-23,ENIC,5.18,316591
2016-09-26,ENIC,4.99,351534
2016-09-27,ENIC,4.88,184819
2016-09-28,ENIC,4.9,262139
2016-09-29,ENIC,4.71,420016
2016-09-30,ENIC,4.75,1352824
2016-10-03,ENIC,4.79,361415
2016-10-04,ENIC,4.77,315628
2016-10-05,ENIC,4.86,253848
2016-10-06,ENIC,4.86,368940
2016-10-07,ENIC,4.9,478881
2016-10-10,ENIC,4.85,108574
2016-10-11,ENIC,4.86,226209
2016-10-12,ENIC,4.97,174538
2016-10-13,ENIC,4.96,449483
2016-10-14,ENIC,5.07,694472
2016-10-17,ENIC,5.07,269951
2016-10-18,ENIC,5.14,279167
2016-10-19,ENIC,5.12,258425
2016-10-20,ENIC,5.01,347296
2016-10-21,ENIC,5.08,524651
2016-10-24,ENIC,5.04,279363
2016-10-25,ENIC,4.99,324191
2016-10-26,ENIC,4.94,828906
2016-10-27,ENIC,4.9,210604
2016-10-28,ENIC,4.96,1001906
2016-10-31,ENIC,4.97,209872
2016-11-01,ENIC,5.04,88498
2016-11-02,ENIC,5.17,107710
2016-11-03,ENIC,5.15,270665
2016-11-04,ENIC,5.12,143130
2016-11-07,ENIC,5.14,75604
2016-11-08,ENIC,5.19,183754
2016-11-09,ENIC,5.17,171583
2016-11-10,ENIC,4.98,656016
2016-11-11,ENIC,4.8,231259
2016-11-14,ENIC,4.55,160395
2016-11-15,ENIC,4.53,408571
2016-11-16,ENIC,4.56,496159
2016-11-17,ENIC,4.44,339169
2016-11-18,ENIC,4.56,196302
2016-11-21,ENIC,4.48,188370
2016-11-22,ENIC,4.49,469450
2016-11-23,ENIC,4.7,222088
2016-11-25,ENIC,4.64,38372
2016-11-28,ENIC,4.59,150012
2016-11-29,ENIC,4.71,229851
2016-11-30,ENIC,4.71,369103
2016-12-01,ENIC,4.75,202606
2016-12-02,ENIC,4.92,282911
2016-12-05,ENIC,4.74,104523
2016-12-06,ENIC,4.68,281986
2016-12-07,ENIC,4.71,772520
2016-12-08,ENIC,4.75,238283
2016-12-09,ENIC,4.77,371902
2016-12-12,ENIC,4.8,274817
2016-12-13,ENIC,4.83,275253
2016-12-14,ENIC,4.64,130701
2016-12-15,ENIC,4.66,231366
2016-12-16,ENIC,4.61,162298
2016-12-19,ENIC,4.68,151375
2016-12-20,ENIC,4.59,174685
2016-12-21,ENIC,4.53,144036
2016-12-22,ENIC,4.62,579718
2016-12-23,ENIC,4.4,180425
2016-12-27,ENIC,4.39,188450
2016-12-28,ENIC,4.56,366345
2016-12-29,ENIC,4.57,365676
2016-12-30,ENIC,4.55,176905
2017-01-03,ENIC,4.62,246706
2017-01-04,ENIC,4.51,106687
2017-01-05,ENIC,4.64,239396
2017-01-06,ENIC,4.58,122847
2017-01-09,ENIC,4.61,116384
2017-01-10,ENIC,4.54,185103
