ds,symbol,close,volume
2004-07-30,ENS,1.25,54147000
2004-08-02,ENS,1.25,3540000
2004-08-03,ENS,1.25,3721000
2004-08-04,ENS,1.253,2778000
2004-08-05,ENS,1.212,3609000
2004-08-06,ENS,1.21,2898000
2004-08-09,ENS,1.198,1930000
2004-08-10,ENS,1.185,1381000
2004-08-11,ENS,1.199,873000
2004-08-12,ENS,1.2,621000
2004-08-13,ENS,1.2,482000
2004-08-16,ENS,1.2,556000
2004-08-17,ENS,1.2,328000
2004-08-18,ENS,1.194,199000
2004-08-19,ENS,1.2,582000
2004-08-20,ENS,1.265,2182000
2004-08-23,ENS,1.242,322000
2004-08-24,ENS,1.252,719000
2004-08-25,ENS,1.25,778000
2004-08-26,ENS,1.255,359000
2004-08-27,ENS,1.253,257000
2004-08-30,ENS,1.259,816000
2004-08-31,ENS,1.27,699000
2004-09-01,ENS,1.284,1053000
2004-09-02,ENS,1.293,299000
2004-09-03,ENS,1.32,1689000
2004-09-07,ENS,1.311,848000
2004-09-08,ENS,1.32,673000
2004-09-09,ENS,1.328,949000
2004-09-10,ENS,1.34,1631000
2004-09-13,ENS,1.35,1647000
2004-09-14,ENS,1.41,2917000
2004-09-15,ENS,1.398,878000
2004-09-16,ENS,1.384,1250000
2004-09-17,ENS,1.395,1167000
2004-09-20,ENS,1.403,883000
2004-09-21,ENS,1.372,1041000
2004-09-22,ENS,1.36,885000
2004-09-23,ENS,1.335,562000
2004-09-24,ENS,1.285,976000
2004-09-27,ENS,1.31,1038000
2004-09-28,ENS,1.282,2556000
2004-09-29,ENS,1.282,922000
2004-09-30,ENS,1.285,5192000
2004-10-01,ENS,1.33,5193000
2004-10-04,ENS,1.327,1811000
2004-10-05,ENS,1.303,1552000
2004-10-06,ENS,1.348,2045000
2004-10-07,ENS,1.324,549000
2004-10-08,ENS,1.305,1504000
2004-10-11,ENS,1.308,270000
2004-10-12,ENS,1.31,236000
2004-10-13,ENS,1.295,537000
2004-10-14,ENS,1.28,465000
2004-10-15,ENS,1.287,220000
2004-10-18,ENS,1.289,408000
2004-10-19,ENS,1.28,299000
2004-10-20,ENS,1.324,584000
2004-10-21,ENS,1.321,357000
2004-10-22,ENS,1.305,536000
2004-10-25,ENS,1.3,417000
2004-10-26,ENS,1.3,543000
2004-10-27,ENS,1.287,1253000
2004-10-28,ENS,1.293,125000
2004-10-29,ENS,1.32,368000
2004-11-01,ENS,1.302,432000
2004-11-02,ENS,1.306,497000
2004-11-03,ENS,1.354,1595000
2004-11-04,ENS,1.348,622000
2004-11-05,ENS,1.353,661000
2004-11-08,ENS,1.38,1275000
2004-11-09,ENS,1.384,257000
2004-11-10,ENS,1.41,528000
2004-11-11,ENS,1.455,753000
2004-11-12,ENS,1.438,144000
2004-11-15,ENS,1.434,342000
2004-11-16,ENS,1.395,625000
2004-11-17,ENS,1.4,2139000
2004-11-18,ENS,1.381,747000
2004-11-19,ENS,1.363,421000
2004-11-22,ENS,1.344,599000
