ds,symbol,close,volume
2018-06-28,ENTX,6.28,285955
2018-06-29,ENTX,6.3,41858
2018-07-02,ENTX,6.65,18223
2018-07-03,ENTX,6.6501,5287
2018-07-05,ENTX,6.51,6776
2018-07-06,ENTX,6.6,3642
2018-07-09,ENTX,6.65,15229
2018-07-10,ENTX,6.7,26218
2018-07-11,ENTX,6.6,38492
2018-07-12,ENTX,6.65,10662
2018-07-13,ENTX,6.614,1663
2018-07-16,ENTX,6.4,12053
2018-07-17,ENTX,6.45,17024
2018-07-18,ENTX,6.32,2213
2018-07-19,ENTX,5.97,2327
2018-07-20,ENTX,5.97,50
2018-07-23,ENTX,6.25,724
2018-07-24,ENTX,5.93,1150
2018-07-25,ENTX,5.36,5247
2018-07-26,ENTX,5.85,1665
2018-07-27,ENTX,5.54,6017
2018-07-30,ENTX,5.0,8067
2018-07-31,ENTX,5.3999,11330
2018-08-01,ENTX,5.796,7559
2018-08-02,ENTX,5.0796,3100
2018-08-03,ENTX,5.58,5050
2018-08-06,ENTX,5.05,14567
2018-08-07,ENTX,5.47,2150
2018-08-08,ENTX,5.05,1652
2018-08-09,ENTX,4.95,16997
2018-08-10,ENTX,5.45,12062
2018-08-13,ENTX,5.24,8622
2018-08-14,ENTX,5.0,6006
2018-08-15,ENTX,5.04,4731
2018-08-16,ENTX,5.3,225
2018-08-17,ENTX,5.1,5722
2018-08-20,ENTX,4.95,5015
2018-08-21,ENTX,4.98,2018
2018-08-22,ENTX,4.59,17029
2018-08-23,ENTX,4.5,2329
2018-08-24,ENTX,4.7,900
2018-08-27,ENTX,4.65,11424
2018-08-28,ENTX,4.5,6093
2018-08-29,ENTX,4.69,506
2018-08-30,ENTX,4.7,10372
2018-08-31,ENTX,5.4,15139
2018-09-04,ENTX,5.0,4212
2018-09-05,ENTX,5.22,3902
2018-09-06,ENTX,5.9,4955
2018-09-07,ENTX,5.6409,555
2018-09-10,ENTX,4.74,9900
2018-09-11,ENTX,5.0,6374
2018-09-12,ENTX,4.9,5925
2018-09-13,ENTX,5.01,1050
2018-09-14,ENTX,5.1296,2982
2018-09-17,ENTX,5.1301,1000
2018-09-18,ENTX,5.1301,59
2018-09-19,ENTX,5.1301,0
2018-09-20,ENTX,5.25,1731
2018-09-21,ENTX,5.24,3318
2018-09-24,ENTX,5.1,519
2018-09-25,ENTX,5.45,2806
2018-09-26,ENTX,5.48,12741
2018-09-27,ENTX,5.4,5462
2018-09-28,ENTX,5.81,2312
2018-10-01,ENTX,5.06,1864
2018-10-02,ENTX,5.7,300
2018-10-03,ENTX,5.83,6715
2018-10-04,ENTX,5.83,3769
2018-10-05,ENTX,5.85,1050
2018-10-08,ENTX,5.85,50
2018-10-09,ENTX,5.26,4282
2018-10-10,ENTX,5.05,900
2018-10-11,ENTX,5.45,352
2018-10-12,ENTX,5.426,572
2018-10-15,ENTX,5.65,1560
2018-10-16,ENTX,5.62,1549
2018-10-17,ENTX,5.62,15
2018-10-18,ENTX,5.674,1206
2018-10-19,ENTX,5.7239,1335
2018-10-22,ENTX,5.72,8461
2018-10-23,ENTX,5.29,3493
2018-10-24,ENTX,5.65,754
2018-10-25,ENTX,5.5754,1413
2018-10-26,ENTX,5.61,2214
2018-10-29,ENTX,5.75,3256
2018-10-30,ENTX,5.23,1000
2018-10-31,ENTX,5.7,2200
2018-11-01,ENTX,5.49,1099
2018-11-02,ENTX,5.25,7799
2018-11-05,ENTX,5.2,1301
2018-11-06,ENTX,5.25,1196
2018-11-07,ENTX,5.7,200
2018-11-08,ENTX,5.25,16734
2018-11-09,ENTX,5.24,1500
2018-11-12,ENTX,5.21,17990
2018-11-13,ENTX,5.2184,400
2018-11-14,ENTX,5.17,1577
2018-11-15,ENTX,5.3,1587
2018-11-16,ENTX,5.3,0
2018-11-19,ENTX,5.3,0
2018-11-20,ENTX,5.3,0
2018-11-21,ENTX,5.3,300
2018-11-23,ENTX,5.3,50
2018-11-26,ENTX,5.3,0
2018-11-27,ENTX,5.3,22
2018-11-28,ENTX,5.3,591
2018-11-29,ENTX,5.3,0
2018-11-30,ENTX,5.31,1850
2018-12-03,ENTX,5.3,5201
2018-12-04,ENTX,5.27,6848
2018-12-06,ENTX,4.99,8606
2018-12-07,ENTX,4.99,0
2018-12-10,ENTX,5.49,4423
2018-12-11,ENTX,4.89,210453
2018-12-12,ENTX,4.6,26183
2018-12-13,ENTX,4.4,13268
2018-12-14,ENTX,3.96,30677
2018-12-17,ENTX,3.89,7809
2018-12-18,ENTX,3.9,800
2018-12-19,ENTX,3.7228,8080
2018-12-20,ENTX,3.2,7667
2018-12-21,ENTX,3.25,15500
2018-12-24,ENTX,3.43,2366
2018-12-26,ENTX,2.9999,56868
2018-12-27,ENTX,3.2103,3345
2018-12-28,ENTX,3.28,6583
2018-12-31,ENTX,3.05,6105
2019-01-02,ENTX,3.01,34697
2019-01-03,ENTX,3.24,9402
2019-01-04,ENTX,3.1488,2526
2019-01-07,ENTX,3.22,4535
2019-01-08,ENTX,3.23,1377
2019-01-09,ENTX,3.45,40565
2019-01-10,ENTX,3.26,4737
2019-01-11,ENTX,3.15,9950
2019-01-14,ENTX,3.27,27194
2019-01-15,ENTX,3.06,2593
2019-01-16,ENTX,3.92,96328
2019-01-17,ENTX,3.97,44153
2019-01-18,ENTX,3.7,72655
2019-01-22,ENTX,3.48,14611
2019-01-23,ENTX,3.4,61407
2019-01-24,ENTX,3.7,8164
2019-01-25,ENTX,3.8,606422
2019-01-28,ENTX,4.04,22869
2019-01-29,ENTX,4.04,0
2019-01-30,ENTX,4.0,30046
2019-01-31,ENTX,4.0,121928
2019-02-01,ENTX,4.1797,13709
2019-02-04,ENTX,4.25,31980
2019-02-05,ENTX,4.33,15441
2019-02-06,ENTX,4.17,20298
2019-02-07,ENTX,4.1515,2031
2019-02-08,ENTX,4.21,6516
2019-02-11,ENTX,4.84,24429
2019-02-12,ENTX,4.6,22922
2019-02-13,ENTX,4.8,6870
2019-02-14,ENTX,4.76,7810
2019-02-15,ENTX,4.75,2622
2019-02-19,ENTX,4.4827,3350
2019-02-20,ENTX,4.45,7802
2019-02-21,ENTX,4.12,10465
2019-02-22,ENTX,4.54,22426
2019-02-25,ENTX,4.48,1018
2019-02-26,ENTX,4.34,2260
2019-02-27,ENTX,4.33,2400
2019-02-28,ENTX,4.35,2064
2019-03-01,ENTX,4.43,15183
2019-03-04,ENTX,4.4,353
2019-03-05,ENTX,4.3093,122
2019-03-06,ENTX,4.2797,9702
2019-03-07,ENTX,4.11,26125
2019-03-08,ENTX,4.5,10783
2019-03-11,ENTX,4.31,3800
2019-03-12,ENTX,4.46,3400
2019-03-13,ENTX,4.39,1200
2019-03-14,ENTX,4.39,0
2019-03-15,ENTX,4.29,5800
2019-03-18,ENTX,4.13,1431
2019-03-19,ENTX,4.15,30653
2019-03-20,ENTX,4.19,220
2019-03-21,ENTX,4.23,3101
2019-03-22,ENTX,4.23,50
2019-03-25,ENTX,3.8,3592
2019-03-26,ENTX,3.99,1826
2019-03-27,ENTX,4.15,1200
2019-03-28,ENTX,4.3254,12688
2019-03-29,ENTX,4.3254,50
2019-04-01,ENTX,4.35,1330
2019-04-02,ENTX,4.27,6077
2019-04-03,ENTX,4.1,1830
2019-04-04,ENTX,4.1,2000
2019-04-05,ENTX,3.9,2100
2019-04-08,ENTX,4.2,501
2019-04-09,ENTX,4.2,50
2019-04-10,ENTX,4.21,19300
2019-04-11,ENTX,4.27,8336
2019-04-12,ENTX,4.2299,1493
2019-04-15,ENTX,4.21,18363
2019-04-16,ENTX,4.3,10931
2019-04-17,ENTX,4.27,9500
2019-04-18,ENTX,4.2,2192
2019-04-22,ENTX,4.29,1100
2019-04-23,ENTX,4.27,2780
2019-04-24,ENTX,4.2758,4113
2019-04-25,ENTX,4.33,1305
2019-04-26,ENTX,4.33,1
2019-04-29,ENTX,4.3299,3101
2019-04-30,ENTX,4.4,500
2019-05-01,ENTX,4.35,1100
2019-05-02,ENTX,4.35,3242
2019-05-03,ENTX,4.05,8908
2019-05-06,ENTX,3.978,500
2019-05-07,ENTX,3.978,0
2019-05-08,ENTX,3.9938,100
2019-05-09,ENTX,4.1,5500
2019-05-10,ENTX,4.1,0
2019-05-13,ENTX,3.9,3065
2019-05-14,ENTX,4.031,850
2019-05-15,ENTX,4.031,0
2019-05-16,ENTX,4.031,50
2019-05-17,ENTX,3.99,600
2019-05-20,ENTX,3.98,750
2019-05-21,ENTX,3.8,6068
2019-05-22,ENTX,3.82,350
2019-05-23,ENTX,3.69,14805
2019-05-24,ENTX,2.9252,91799
2019-05-28,ENTX,2.9799,16074
2019-05-29,ENTX,3.2003,33745
2019-05-30,ENTX,3.39,3086
2019-05-31,ENTX,3.45,39561
2019-06-03,ENTX,3.3999,2700
2019-06-04,ENTX,3.3999,9101
2019-06-05,ENTX,3.55,11598
2019-06-06,ENTX,3.65,5779
2019-06-07,ENTX,3.82,5200
2019-06-10,ENTX,3.82,32653
2019-06-11,ENTX,3.9,16454
2019-06-12,ENTX,3.61,12930
2019-06-13,ENTX,3.8,1697
2019-06-14,ENTX,3.87,13402
2019-06-17,ENTX,3.8,9225
2019-06-18,ENTX,3.73,17153
2019-06-19,ENTX,3.81,102
2019-06-20,ENTX,3.77,304
2019-06-21,ENTX,3.75,626
2019-06-24,ENTX,3.63,520
2019-06-25,ENTX,3.27,45744
2019-06-26,ENTX,3.28,3746
2019-06-27,ENTX,3.51,3504
2019-06-28,ENTX,3.43,16198
2019-07-01,ENTX,3.39,860
2019-07-02,ENTX,3.36,2679
2019-07-03,ENTX,3.36,0
2019-07-05,ENTX,3.28,650
2019-07-08,ENTX,3.0,65133
2019-07-09,ENTX,2.97,7931
2019-07-10,ENTX,2.93,15518
2019-07-11,ENTX,2.94,6794
2019-07-12,ENTX,3.25,39618
2019-07-15,ENTX,3.29,5140
2019-07-16,ENTX,3.29,3445
2019-07-17,ENTX,3.29,1660
2019-07-18,ENTX,3.59,4888
2019-07-19,ENTX,3.65,627
2019-07-22,ENTX,3.75,590
2019-07-23,ENTX,3.75,0
2019-07-24,ENTX,3.75,2
2019-07-25,ENTX,3.75,0
2019-07-26,ENTX,3.75,0
2019-07-29,ENTX,3.3,81141
2019-07-30,ENTX,3.29,10019
2019-07-31,ENTX,3.27,34085
2019-08-01,ENTX,3.1,27576
2019-08-02,ENTX,2.91,21105
2019-08-05,ENTX,2.75,36690
2019-08-06,ENTX,2.85,14838
2019-08-07,ENTX,2.5,14697
2019-08-08,ENTX,2.65,3968
2019-08-09,ENTX,2.9,7648
2019-08-12,ENTX,2.44,2984
2019-08-13,ENTX,2.42,5715
2019-08-14,ENTX,2.11,5588
2019-08-15,ENTX,2.6,23472
2019-08-16,ENTX,2.57,11593
2019-08-19,ENTX,2.6974,24857
2019-08-20,ENTX,2.8,11174
2019-08-21,ENTX,2.94,249
2019-08-22,ENTX,2.69,8322
2019-08-23,ENTX,2.77,500
2019-08-26,ENTX,2.8,701
2019-08-27,ENTX,2.75,6741
2019-08-28,ENTX,2.75,10
2019-08-29,ENTX,2.75,1
2019-08-30,ENTX,2.6,3504
2019-09-03,ENTX,2.6784,424
2019-09-04,ENTX,2.8,1159
2019-09-05,ENTX,2.8,0
2019-09-06,ENTX,2.8,1241
2019-09-09,ENTX,2.77,1159
2019-09-10,ENTX,2.77,1
2019-09-11,ENTX,2.75,3469
2019-09-12,ENTX,2.65,21215
2019-09-13,ENTX,2.65,8
2019-09-16,ENTX,2.65,103
2019-09-17,ENTX,2.52,2437
2019-09-18,ENTX,2.575,2430
2019-09-19,ENTX,2.59,9845
2019-09-20,ENTX,2.55,4900
2019-09-23,ENTX,2.5999,1816
2019-09-24,ENTX,2.31,4636
2019-09-25,ENTX,2.45,10607
2019-09-26,ENTX,2.49,2137
2019-09-27,ENTX,2.49,20
2019-09-30,ENTX,2.49,2205
2019-10-01,ENTX,2.5,1790
2019-10-02,ENTX,2.5,1757
2019-10-03,ENTX,2.49,1155
2019-10-04,ENTX,2.49,0
2019-10-07,ENTX,2.25,1916
2019-10-08,ENTX,2.25,0
2019-10-09,ENTX,2.0695,9573
2019-10-10,ENTX,1.99,1736
2019-10-11,ENTX,2.61,9468
2019-10-14,ENTX,2.9699,8478
2019-10-15,ENTX,2.88,1255
2019-10-16,ENTX,2.3216,23775
2019-10-17,ENTX,2.3248,4468
2019-10-18,ENTX,2.32,1110
2019-10-21,ENTX,2.35,832
2019-10-22,ENTX,2.355,2474
2019-10-23,ENTX,2.355,72
2019-10-24,ENTX,2.665,493
2019-10-25,ENTX,2.665,15
2019-10-28,ENTX,2.665,40
2019-10-29,ENTX,2.365,678
2019-10-30,ENTX,2.06,6971
2019-10-31,ENTX,2.43,12853
2019-11-01,ENTX,2.43,24
2019-11-04,ENTX,2.403,1645
2019-11-05,ENTX,2.4,8171
2019-11-06,ENTX,2.4,2098
2019-11-07,ENTX,2.46,6312
2019-11-08,ENTX,2.41,2480
2019-11-11,ENTX,2.4185,6231
2019-11-12,ENTX,2.31,1000
2019-11-13,ENTX,2.43,3955
2019-11-14,ENTX,2.475,2076
2019-11-15,ENTX,2.475,3
2019-11-18,ENTX,2.5261,3373
2019-11-19,ENTX,2.51,1942
2019-11-20,ENTX,2.5,7711
2019-11-21,ENTX,2.45,16765
2019-11-22,ENTX,2.37,6070
2019-11-25,ENTX,2.22,7118
2019-11-26,ENTX,2.25,6860
2019-11-27,ENTX,2.24,3483
2019-11-29,ENTX,2.25,1689
2019-12-02,ENTX,2.14,2459
2019-12-03,ENTX,2.195,4284
2019-12-04,ENTX,2.19,7062
2019-12-05,ENTX,2.09,3755
2019-12-06,ENTX,2.25,17068
2019-12-09,ENTX,2.04,38827
2019-12-10,ENTX,2.04,19501
2019-12-11,ENTX,1.84,45759
2019-12-12,ENTX,1.88,42158
2019-12-13,ENTX,2.24,71014
2019-12-16,ENTX,2.0373,21198
2019-12-17,ENTX,2.25,51205
2019-12-18,ENTX,2.07,39935
2019-12-19,ENTX,2.0473,15760
2019-12-20,ENTX,1.98,50062
2019-12-23,ENTX,1.95,52509
2019-12-24,ENTX,2.2536,12082
2019-12-26,ENTX,2.01,43465
2019-12-27,ENTX,2.01,11
2019-12-30,ENTX,2.05,9979
2019-12-31,ENTX,2.14,10340
2020-01-02,ENTX,2.1575,6464
2020-01-03,ENTX,2.13,2156
2020-01-06,ENTX,2.09,127
2020-01-07,ENTX,2.36,27869
2020-01-08,ENTX,2.25,6704
2020-01-09,ENTX,2.65,17751
2020-01-10,ENTX,2.76,21460
2020-01-13,ENTX,2.7292,8994
2020-01-14,ENTX,2.78,1958
2020-01-15,ENTX,2.8,8014
2020-01-16,ENTX,2.765,196
2020-01-17,ENTX,2.85,5053
2020-01-21,ENTX,2.81,18739
2020-01-22,ENTX,2.86,222
2020-01-23,ENTX,3.05,4890
2020-01-24,ENTX,3.1518,85951
2020-01-27,ENTX,3.0392,4919
2020-01-28,ENTX,3.1863,13953
2020-01-29,ENTX,3.04,5909
2020-01-30,ENTX,3.1105,4221
2020-01-31,ENTX,3.15,10447
2020-02-03,ENTX,3.2,9274
2020-02-04,ENTX,3.12,5246
2020-02-05,ENTX,3.3,8348
2020-02-06,ENTX,3.155,3708
2020-02-07,ENTX,3.3,4150
2020-02-10,ENTX,3.3,3
2020-02-11,ENTX,3.34,5537
2020-02-12,ENTX,3.26,837
2020-02-13,ENTX,3.3,794
2020-02-14,ENTX,3.15,143
2020-02-18,ENTX,3.08,2006
2020-02-19,ENTX,3.1406,1957
2020-02-20,ENTX,3.1406,53
2020-02-21,ENTX,3.2,5931
2020-02-24,ENTX,3.15,2260
2020-02-25,ENTX,2.9147,5045
2020-02-26,ENTX,2.855,2275
2020-02-27,ENTX,3.19,3949
2020-02-28,ENTX,3.14,256
2020-03-02,ENTX,3.15,344
2020-03-03,ENTX,3.15,136
2020-03-04,ENTX,2.74,13976
2020-03-05,ENTX,2.84,8681
2020-03-06,ENTX,2.75,880
2020-03-09,ENTX,2.75,3306
2020-03-10,ENTX,2.85,3072
2020-03-11,ENTX,2.78,1164
2020-03-12,ENTX,2.5,1713
2020-03-13,ENTX,2.49,2006
2020-03-16,ENTX,2.14,10393
2020-03-17,ENTX,2.04,10736
2020-03-18,ENTX,1.6,12317
2020-03-19,ENTX,2.0,12144
2020-03-20,ENTX,2.05,15843
2020-03-23,ENTX,2.05,1091
2020-03-24,ENTX,2.18,2381
2020-03-25,ENTX,2.34,8608
2020-03-26,ENTX,2.3665,16257
2020-03-27,ENTX,2.3665,7
2020-03-30,ENTX,2.0581,8048
2020-03-31,ENTX,2.0581,27
2020-04-01,ENTX,2.0581,317
2020-04-02,ENTX,1.95,21450
2020-04-03,ENTX,1.8,8433
2020-04-06,ENTX,1.71,3352
2020-04-07,ENTX,1.83,322
2020-04-08,ENTX,1.9,506
2020-04-09,ENTX,2.1386,1923
2020-04-13,ENTX,2.01,733
2020-04-14,ENTX,2.27,1825
2020-04-15,ENTX,2.34,2597
2020-04-16,ENTX,2.34,138
2020-04-17,ENTX,1.98,198
2020-04-20,ENTX,1.98,78
2020-04-21,ENTX,1.9312,21438
2020-04-22,ENTX,1.86,2202
2020-04-23,ENTX,1.77,13930
2020-04-24,ENTX,1.9623,11124
2020-04-27,ENTX,2.2994,5384
2020-04-28,ENTX,2.28,616
2020-04-29,ENTX,2.28,2675
2020-04-30,ENTX,2.28,30
2020-05-01,ENTX,2.0,3858
2020-05-04,ENTX,1.9,781
2020-05-05,ENTX,1.7979,4619
2020-05-06,ENTX,1.8,9485
2020-05-07,ENTX,2.04,3147
2020-05-08,ENTX,2.14,552
2020-05-11,ENTX,2.2001,7760
2020-05-12,ENTX,2.265,1406
2020-05-13,ENTX,2.36,3266
2020-05-14,ENTX,2.22,5679
2020-05-15,ENTX,2.2297,1906
2020-05-18,ENTX,2.78,60472
2020-05-19,ENTX,3.01,110336
2020-05-20,ENTX,2.7023,122497
2020-05-21,ENTX,2.08,478369
2020-05-22,ENTX,2.04,113189
2020-05-26,ENTX,2.12,496783
2020-05-27,ENTX,2.0,165631
2020-05-28,ENTX,2.0,515691
2020-05-29,ENTX,1.92,96711
2020-06-01,ENTX,1.95,131972
2020-06-02,ENTX,1.9344,43867
2020-06-03,ENTX,1.9003,146188
2020-06-04,ENTX,1.9387,242718
2020-06-05,ENTX,1.98,221135
2020-06-08,ENTX,2.0152,239588
2020-06-09,ENTX,2.02,60405
2020-06-10,ENTX,1.96,50741
2020-06-11,ENTX,1.9376,386179
2020-06-12,ENTX,1.87,220232
2020-06-15,ENTX,1.86,198751
2020-06-16,ENTX,1.92,187062
2020-06-17,ENTX,1.9,40100
2020-06-18,ENTX,1.88,35073
2020-06-19,ENTX,1.86,27218
2020-06-22,ENTX,1.92,279826
2020-06-23,ENTX,1.87,44539
2020-06-24,ENTX,1.95,158394
2020-06-25,ENTX,1.91,59307
2020-06-26,ENTX,1.9,41780
2020-06-29,ENTX,1.87,24547
2020-06-30,ENTX,1.84,34596
2020-07-01,ENTX,1.71,57030
2020-07-02,ENTX,1.76,29033
2020-07-06,ENTX,1.84,31191
2020-07-07,ENTX,1.9,420353
2020-07-08,ENTX,1.8,169104
2020-07-09,ENTX,1.8,130801
2020-07-10,ENTX,1.76,11604
2020-07-13,ENTX,1.85,167389
2020-07-14,ENTX,1.79,33219
2020-07-15,ENTX,1.91,518841
2020-07-16,ENTX,1.84,50095
2020-07-17,ENTX,1.88,23278
2020-07-20,ENTX,1.98,49869
2020-07-21,ENTX,1.92,21657
2020-07-22,ENTX,1.91,3709575
2020-07-23,ENTX,2.2,28999164
2020-07-24,ENTX,2.02,1388436
2020-07-27,ENTX,1.8,635782
2020-07-28,ENTX,1.77,316752
2020-07-29,ENTX,1.8,487567
2020-07-30,ENTX,1.74,176906
2020-07-31,ENTX,1.69,110790
2020-08-03,ENTX,1.65,162347
