ds,symbol,close,volume
1990-01-02,EQC,38.5,2650
1990-01-03,EQC,38.0,6400
1990-01-04,EQC,38.5,2025
1990-01-05,EQC,39.0,13175
1990-01-08,EQC,39.0,2225
1990-01-09,EQC,38.5,4750
1990-01-10,EQC,39.0,2875
1990-01-11,EQC,38.0,3100
1990-01-12,EQC,39.0,8350
1990-01-15,EQC,37.0,39600
1990-01-16,EQC,38.5,14425
1990-01-17,EQC,38.0,4875
1990-01-18,EQC,38.5,2425
1990-01-19,EQC,38.5,13750
1990-01-22,EQC,38.5,8700
1990-01-23,EQC,37.0,3975
1990-01-24,EQC,37.0,6175
1990-01-25,EQC,36.5,7125
1990-01-26,EQC,36.5,2250
1990-01-29,EQC,36.0,20675
1990-01-30,EQC,35.0,8800
1990-01-31,EQC,35.0,2300
1990-02-01,EQC,35.5,2700
1990-02-02,EQC,36.5,2975
1990-02-05,EQC,36.5,1775
1990-02-06,EQC,36.0,4650
1990-02-07,EQC,35.5,2650
1990-02-08,EQC,37.0,4125
1990-02-09,EQC,36.0,3200
1990-02-12,EQC,36.0,3050
1990-02-13,EQC,36.0,7075
1990-02-14,EQC,35.5,1300
1990-02-15,EQC,36.0,4950
1990-02-16,EQC,36.5,4175
1990-02-20,EQC,36.0,3650
1990-02-21,EQC,36.0,1500
1990-02-22,EQC,36.0,2225
1990-02-23,EQC,35.5,5300
1990-02-26,EQC,35.0,2100
1990-02-27,EQC,34.5,2550
1990-02-28,EQC,34.5,7575
1990-03-01,EQC,34.5,7700
1990-03-02,EQC,35.0,1450
1990-03-05,EQC,36.0,2250
1990-03-06,EQC,36.0,8150
1990-03-07,EQC,37.5,4075
1990-03-08,EQC,37.5,1775
1990-03-09,EQC,37.5,1900
1990-03-12,EQC,37.0,1300
1990-03-13,EQC,36.5,3075
1990-03-14,EQC,35.5,2900
1990-03-15,EQC,37.0,2250
1990-03-16,EQC,35.5,1525
1990-03-19,EQC,36.0,1500
1990-03-20,EQC,36.5,3275
1990-03-21,EQC,37.0,1175
1990-03-22,EQC,35.5,1450
1990-03-23,EQC,36.0,3875
1990-03-26,EQC,36.5,2300
1990-03-27,EQC,36.5,2550
1990-03-28,EQC,36.0,6525
1990-03-29,EQC,35.5,1800
1990-03-30,EQC,36.0,2475
1990-04-02,EQC,36.0,1125
1990-04-03,EQC,36.0,1475
1990-04-04,EQC,36.0,1025
1990-04-05,EQC,36.0,1625
1990-04-06,EQC,36.0,1075
1990-04-09,EQC,36.0,725
1990-04-10,EQC,36.5,2800
1990-04-11,EQC,36.5,1950
1990-04-12,EQC,37.0,4650
1990-04-16,EQC,37.5,2400
1990-04-17,EQC,36.5,2375
1990-04-18,EQC,36.5,2300
1990-04-19,EQC,37.0,2750
1990-04-20,EQC,37.0,3950
1990-04-23,EQC,36.0,1225
1990-04-24,EQC,36.0,10075
1990-04-25,EQC,36.0,13175
1990-04-26,EQC,36.5,3125
1990-04-27,EQC,35.0,3550
1990-04-30,EQC,36.0,3450
1990-05-01,EQC,35.0,2525
1990-05-02,EQC,34.5,3575
1990-05-03,EQC,35.5,1275
1990-05-04,EQC,35.5,1925
1990-05-07,EQC,35.0,6250
1990-05-08,EQC,35.0,2775
1990-05-09,EQC,34.5,2350
1990-05-10,EQC,34.0,2800
1990-05-11,EQC,35.5,5400
1990-05-14,EQC,35.5,3925
1990-05-15,EQC,34.5,4600
1990-05-16,EQC,34.5,9575
1990-05-17,EQC,34.5,2550
1990-05-18,EQC,35.0,8350
1990-05-21,EQC,35.5,5700
1990-05-22,EQC,36.5,2275
1990-05-23,EQC,35.0,15825
1990-05-24,EQC,34.5,4625
1990-05-25,EQC,35.0,975
1990-05-29,EQC,34.5,1050
1990-05-30,EQC,35.0,4800
1990-05-31,EQC,36.5,4225
1990-06-01,EQC,36.5,5875
1990-06-04,EQC,37.0,3525
1990-06-05,EQC,36.0,27525
1990-06-06,EQC,36.0,3950
1990-06-07,EQC,36.5,4425
1990-06-08,EQC,36.0,1875
1990-06-11,EQC,36.5,3750
1990-06-12,EQC,36.0,62625
1990-06-13,EQC,36.0,44525
1990-06-14,EQC,35.5,27475
1990-06-15,EQC,35.5,6400
1990-06-18,EQC,35.0,2225
1990-06-19,EQC,35.5,3700
1990-06-20,EQC,36.0,2025
1990-06-21,EQC,35.5,5875
1990-06-22,EQC,35.0,2400
1990-06-25,EQC,35.5,8525
1990-06-26,EQC,35.0,925
1990-06-27,EQC,36.5,2550
1990-06-28,EQC,36.5,2650
1990-06-29,EQC,36.0,5350
1990-07-02,EQC,36.0,725
1990-07-03,EQC,36.0,3125
1990-07-05,EQC,36.0,175
1990-07-06,EQC,36.5,3925
