ds,symbol,close,volume
2021-06-03,EQRX,10.08,6000
2021-06-04,EQRX,10.295,4700
2021-06-07,EQRX,10.4,3400
2021-06-08,EQRX,10.31,9900
2021-06-09,EQRX,10.16,13400
2021-06-10,EQRX,10.25,27600
2021-06-11,EQRX,10.2,10900
2021-06-14,EQRX,10.18,35500
2021-06-15,EQRX,10.12,35000
2021-06-16,EQRX,10.185,20300
2021-06-17,EQRX,10.21,17700
2021-06-18,EQRX,10.19,70700
2021-06-21,EQRX,10.17,28900
2021-06-22,EQRX,10.21,51100
2021-06-23,EQRX,10.25,6800
2021-06-24,EQRX,10.15,9100
2021-06-25,EQRX,10.49,207100
2021-06-28,EQRX,10.32,119000
2021-06-29,EQRX,10.31,13400
2021-06-30,EQRX,10.32,15100
2021-07-01,EQRX,10.37,8400
2021-07-02,EQRX,10.37,13800
2021-07-06,EQRX,10.28,9500
2021-07-07,EQRX,10.37,18500
2021-07-08,EQRX,10.17,67900
2021-07-09,EQRX,10.35,47400
2021-07-12,EQRX,10.34,31100
2021-07-13,EQRX,10.25,123700
2021-07-14,EQRX,10.22,16500
2021-07-15,EQRX,10.17,12400
2021-07-16,EQRX,10.12,38800
2021-07-19,EQRX,10.08,30500
2021-07-20,EQRX,10.07,6100
2021-07-21,EQRX,10.072,5900
2021-07-22,EQRX,10.09,9500
2021-07-23,EQRX,10.27,18700
2021-07-26,EQRX,10.14,3300
2021-07-27,EQRX,10.08,19200
2021-07-28,EQRX,10.13,5300
2021-07-29,EQRX,10.11,23000
2021-07-30,EQRX,10.085,9600
2021-08-02,EQRX,10.05,4900
2021-08-03,EQRX,10.0,19900
2021-08-04,EQRX,10.03,15300
2021-08-05,EQRX,10.01,118600
2021-08-06,EQRX,9.98,4965300
2021-08-09,EQRX,10.02,300500
2021-08-10,EQRX,9.97,273800
2021-08-11,EQRX,9.955,888600
2021-08-12,EQRX,9.92,208700
2021-08-13,EQRX,9.9,76800
2021-08-16,EQRX,9.91,39300
2021-08-17,EQRX,9.85,299400
2021-08-18,EQRX,9.84,38800
2021-08-19,EQRX,9.85,415500
2021-08-20,EQRX,9.82,190200
2021-08-23,EQRX,9.83,18400
2021-08-24,EQRX,9.86,220000
2021-08-25,EQRX,9.86,77200
2021-08-26,EQRX,9.85,269700
2021-08-27,EQRX,9.86,67200
2021-08-30,EQRX,9.86,29100
2021-08-31,EQRX,9.88,1198600
2021-09-01,EQRX,9.89,20000
2021-09-02,EQRX,9.94,48600
2021-09-03,EQRX,9.89,30400
2021-09-07,EQRX,9.895,284600
2021-09-08,EQRX,9.88,367200
2021-09-09,EQRX,9.91,3590200
2021-09-10,EQRX,9.92,2034200
2021-09-13,EQRX,9.9,324700
2021-09-14,EQRX,9.91,34000
2021-09-15,EQRX,9.92,45700
2021-09-16,EQRX,9.91,204100
2021-09-17,EQRX,9.91,42500
2021-09-20,EQRX,9.92,55100
2021-09-21,EQRX,9.92,431700
2021-09-22,EQRX,9.91,41400
2021-09-23,EQRX,9.94,18100
2021-09-24,EQRX,9.92,35000
2021-09-27,EQRX,9.93,23000
2021-09-28,EQRX,9.91,46300
2021-09-29,EQRX,9.93,154100
2021-09-30,EQRX,9.92,84600
2021-10-01,EQRX,9.92,2156500
2021-10-04,EQRX,9.92,92900
2021-10-05,EQRX,9.91,521300
2021-10-06,EQRX,9.92,355600
2021-10-07,EQRX,9.92,88200
2021-10-08,EQRX,9.92,184000
2021-10-11,EQRX,9.93,209400
2021-10-12,EQRX,9.94,497400
2021-10-13,EQRX,9.94,440400
2021-10-14,EQRX,9.93,105400
2021-10-15,EQRX,9.94,459800
2021-10-18,EQRX,9.93,212600
2021-10-19,EQRX,9.92,342500
2021-10-20,EQRX,9.93,290900
2021-10-21,EQRX,9.92,212900
2021-10-22,EQRX,9.93,27300
2021-10-25,EQRX,9.97,325500
2021-10-26,EQRX,9.96,185600
2021-10-27,EQRX,9.96,257600
2021-10-28,EQRX,9.96,726900
2021-10-29,EQRX,9.97,344700
2021-11-01,EQRX,9.98,25100
2021-11-02,EQRX,9.96,29900
2021-11-03,EQRX,9.96,55600
2021-11-04,EQRX,9.97,21700
2021-11-05,EQRX,9.97,7300
2021-11-08,EQRX,9.98,48900
2021-11-09,EQRX,9.97,136000
2021-11-10,EQRX,9.97,14300
2021-11-11,EQRX,9.96,484200
2021-11-12,EQRX,9.96,140000
2021-11-15,EQRX,9.965,36600
2021-11-16,EQRX,9.97,21200
2021-11-17,EQRX,9.95,387700
2021-11-18,EQRX,9.96,110800
2021-11-19,EQRX,9.95,80800
2021-11-22,EQRX,9.95,119700
2021-11-23,EQRX,9.95,12300
2021-11-24,EQRX,9.95,225400
2021-11-26,EQRX,9.96,122300
2021-11-29,EQRX,9.95,52900
2021-11-30,EQRX,9.96,159600
2021-12-01,EQRX,9.94,154000
2021-12-02,EQRX,9.98,933800
2021-12-03,EQRX,9.96,1095700
2021-12-06,EQRX,9.97,106500
2021-12-07,EQRX,9.96,2160200
2021-12-08,EQRX,9.96,1716800
2021-12-09,EQRX,9.97,824900
2021-12-10,EQRX,9.97,1682800
2021-12-13,EQRX,9.8,353300
2021-12-14,EQRX,9.72,315700
2021-12-15,EQRX,9.57,63400
2021-12-16,EQRX,9.21,118300
2021-12-17,EQRX,8.69,563200
2021-12-20,EQRX,8.17,141812
2021-12-21,EQRX,6.41,851228
2021-12-22,EQRX,6.86,459902
2021-12-23,EQRX,6.21,717446
2021-12-27,EQRX,6.28,1242667
2021-12-28,EQRX,6.32,581191
2021-12-29,EQRX,5.92,790275
2021-12-30,EQRX,6.57,390042
2021-12-31,EQRX,6.82,234314
2022-01-03,EQRX,7.03,384199
2022-01-04,EQRX,6.7,868136
2022-01-05,EQRX,6.65,648416
2022-01-06,EQRX,6.55,558237
2022-01-07,EQRX,6.46,631240
2022-01-10,EQRX,6.43,334786
2022-01-11,EQRX,7.39,414013
2022-01-12,EQRX,7.2,412135
