ds,symbol,close,volume
1990-01-02,ES,22.625,169600
1990-01-03,ES,22.375,209900
1990-01-04,ES,22.25,143700
1990-01-05,ES,22.0,147100
1990-01-08,ES,21.875,91100
1990-01-09,ES,21.75,125400
1990-01-10,ES,21.625,232600
1990-01-11,ES,22.0,380500
1990-01-12,ES,21.625,334900
1990-01-15,ES,21.875,317300
1990-01-16,ES,21.875,223500
1990-01-17,ES,22.0,42600
1990-01-18,ES,21.75,68400
1990-01-19,ES,21.75,47600
1990-01-22,ES,21.75,52500
1990-01-23,ES,21.625,158700
1990-01-24,ES,21.25,86700
1990-01-25,ES,21.0,76700
1990-01-26,ES,20.875,82100
1990-01-29,ES,20.75,64500
1990-01-30,ES,20.875,96200
1990-01-31,ES,21.75,134500
1990-02-01,ES,21.5,59400
1990-02-02,ES,21.75,66000
1990-02-05,ES,21.75,28800
1990-02-06,ES,21.75,127400
1990-02-07,ES,21.625,194800
1990-02-08,ES,21.75,71100
1990-02-09,ES,21.75,27300
1990-02-12,ES,21.625,29200
1990-02-13,ES,21.375,38400
1990-02-14,ES,21.625,67100
1990-02-15,ES,21.625,91200
1990-02-16,ES,21.375,43900
1990-02-20,ES,21.125,86600
1990-02-21,ES,21.0,57600
1990-02-22,ES,21.125,532700
1990-02-23,ES,20.375,359100
1990-02-26,ES,20.375,323900
1990-02-27,ES,20.5,130800
1990-02-28,ES,20.875,245400
1990-03-01,ES,21.125,306800
1990-03-02,ES,21.0,155800
1990-03-05,ES,21.0,111000
1990-03-06,ES,21.0,225300
1990-03-07,ES,20.875,56800
1990-03-08,ES,21.25,180300
1990-03-09,ES,21.125,53200
1990-03-12,ES,20.875,41700
1990-03-13,ES,21.0,67100
1990-03-14,ES,21.0,66600
1990-03-15,ES,21.0,125000
1990-03-16,ES,21.125,93200
1990-03-19,ES,21.125,41500
1990-03-20,ES,21.125,31800
1990-03-21,ES,21.0,77100
1990-03-22,ES,20.875,33500
1990-03-23,ES,20.625,63300
1990-03-26,ES,20.625,66100
1990-03-27,ES,20.5,19200
1990-03-28,ES,20.75,70400
1990-03-29,ES,20.5,55900
1990-03-30,ES,20.75,171800
1990-04-02,ES,20.75,93400
1990-04-03,ES,20.75,400100
1990-04-04,ES,20.75,269000
1990-04-05,ES,20.75,93100
1990-04-06,ES,20.75,184900
1990-04-09,ES,20.75,33600
1990-04-10,ES,20.625,140300
1990-04-11,ES,20.625,108300
1990-04-12,ES,20.5,58300
1990-04-16,ES,20.75,105500
1990-04-17,ES,20.75,31600
1990-04-18,ES,20.75,81400
1990-04-19,ES,20.5,69000
1990-04-20,ES,20.25,93500
1990-04-23,ES,20.125,65800
1990-04-24,ES,20.0,99300
1990-04-25,ES,19.625,209100
1990-04-26,ES,19.875,60200
1990-04-27,ES,19.625,74700
1990-04-30,ES,19.875,68800
1990-05-01,ES,20.0,247400
1990-05-02,ES,19.5,39800
1990-05-03,ES,19.875,58100
1990-05-04,ES,20.0,85800
1990-05-07,ES,20.0,291600
1990-05-08,ES,20.125,147400
1990-05-09,ES,20.375,184000
1990-05-10,ES,20.5,68500
1990-05-11,ES,20.625,598300
1990-05-14,ES,20.625,165300
1990-05-15,ES,20.5,92800
1990-05-16,ES,20.375,111500
1990-05-17,ES,20.5,52200
1990-05-18,ES,20.625,84600
1990-05-21,ES,20.625,29300
1990-05-22,ES,20.375,174000
1990-05-23,ES,20.375,86200
1990-05-24,ES,20.125,963900
1990-05-25,ES,19.375,384200
1990-05-29,ES,19.25,195200
1990-05-30,ES,19.375,321100
1990-05-31,ES,19.5,153100
1990-06-01,ES,19.625,136100
1990-06-04,ES,20.125,90600
1990-06-05,ES,20.125,132100
1990-06-06,ES,20.0,212100
1990-06-07,ES,20.0,49200
1990-06-08,ES,20.0,33600
1990-06-11,ES,20.0,73500
1990-06-12,ES,19.875,140200
1990-06-13,ES,20.0,103800
1990-06-14,ES,19.875,52600
1990-06-15,ES,19.875,108200
1990-06-18,ES,19.75,95900
1990-06-19,ES,19.875,533000
1990-06-20,ES,19.75,73800
1990-06-21,ES,19.875,853300
1990-06-22,ES,19.625,153700
1990-06-25,ES,19.5,136000
1990-06-26,ES,19.25,144100
1990-06-27,ES,19.125,173300
1990-06-28,ES,19.375,285200
1990-06-29,ES,19.375,78600
1990-07-02,ES,19.5,175400
1990-07-03,ES,19.5,62100
1990-07-05,ES,19.375,49900
1990-07-06,ES,19.5,48500
1990-07-09,ES,19.375,56400
1990-07-10,ES,19.375,98300
1990-07-11,ES,19.375,83200
1990-07-12,ES,19.375,60000
1990-07-13,ES,19.25,71300
1990-07-16,ES,19.25,121200
1990-07-17,ES,19.0,129000
1990-07-18,ES,18.75,99400
1990-07-19,ES,19.0,155700
1990-07-20,ES,19.5,129700
1990-07-23,ES,19.25,95700
1990-07-24,ES,19.0,76400
1990-07-25,ES,19.25,242800
1990-07-26,ES,19.125,77900
1990-07-27,ES,19.125,92200
1990-07-30,ES,19.5,261200
1990-07-31,ES,19.75,270400
1990-08-01,ES,20.375,223400
1990-08-02,ES,20.0,153200
1990-08-03,ES,19.875,293400
1990-08-06,ES,19.75,81000
1990-08-07,ES,19.25,147200
1990-08-08,ES,19.375,112000
1990-08-09,ES,19.375,76400
1990-08-10,ES,19.25,41000
1990-08-13,ES,19.5,43400
1990-08-14,ES,19.5,54900
1990-08-15,ES,19.75,109700
1990-08-16,ES,19.75,54700
1990-08-17,ES,19.375,89900
1990-08-20,ES,19.5,39200
1990-08-21,ES,19.375,83700
1990-08-22,ES,19.125,158400
1990-08-23,ES,18.5,185300
1990-08-24,ES,18.5,455200
1990-08-27,ES,18.25,1341700
1990-08-28,ES,18.5,1037600
1990-08-29,ES,18.5,59100
1990-08-30,ES,18.25,100900
1990-08-31,ES,18.375,75100
1990-09-04,ES,18.375,60100
1990-09-05,ES,18.375,51900
1990-09-06,ES,18.375,54300
1990-09-07,ES,18.25,127900
1990-09-10,ES,18.5,60300
1990-09-11,ES,18.25,59300
1990-09-12,ES,18.5,60700
1990-09-13,ES,18.375,50800
1990-09-14,ES,18.375,294700
1990-09-17,ES,18.625,57000
1990-09-18,ES,18.125,79600
1990-09-19,ES,18.125,118400
1990-09-20,ES,18.25,246600
1990-09-21,ES,18.0,120400
1990-09-24,ES,18.0,106000
1990-09-25,ES,18.0,92300
1990-09-26,ES,18.25,34200
1990-09-27,ES,18.125,136100
1990-09-28,ES,18.375,45100
1990-10-01,ES,18.875,384200
1990-10-02,ES,19.125,85500
1990-10-03,ES,19.0,93300
1990-10-04,ES,19.25,193200
1990-10-05,ES,19.0,46500
1990-10-08,ES,19.25,57400
1990-10-09,ES,19.125,71200
1990-10-10,ES,19.125,112300
1990-10-11,ES,19.0,53100
1990-10-12,ES,19.25,361000
1990-10-15,ES,19.125,187500
1990-10-16,ES,19.25,62000
1990-10-17,ES,19.5,481400
1990-10-18,ES,19.5,48800
1990-10-19,ES,19.625,296100
1990-10-22,ES,19.625,45600
1990-10-23,ES,19.75,521900
1990-10-24,ES,19.75,85500
1990-10-25,ES,19.75,43100
1990-10-26,ES,19.75,69300
1990-10-29,ES,19.875,185400
1990-10-30,ES,19.875,57700
1990-10-31,ES,19.75,123300
1990-11-01,ES,19.875,75600
1990-11-02,ES,20.0,139300
1990-11-05,ES,20.625,91600
1990-11-06,ES,20.875,83800
1990-11-07,ES,20.625,119900
1990-11-08,ES,20.625,97500
1990-11-09,ES,20.5,68500
1990-11-12,ES,20.5,296900
1990-11-13,ES,20.375,134000
1990-11-14,ES,20.375,209600
1990-11-15,ES,20.375,294100
1990-11-16,ES,20.5,183400
