ds,symbol,close,volume
2022-03-29,ESAB,49.8167280659,100
2022-03-30,ESAB,49.8167280659,0
2022-03-31,ESAB,49.8167280659,0
2022-04-01,ESAB,49.8167280659,0
2022-04-04,ESAB,49.8167280659,0
2022-04-05,ESAB,44.88,2234654
2022-04-06,ESAB,45.05,2231100
2022-04-07,ESAB,45.76,1540247
2022-04-08,ESAB,46.91,1521508
2022-04-11,ESAB,48.73,917698
2022-04-12,ESAB,52.41,1374097
2022-04-13,ESAB,55.46,1051714
2022-04-14,ESAB,54.9,454320
2022-04-18,ESAB,54.15,419547
2022-04-19,ESAB,53.52,425494
2022-04-20,ESAB,53.72,258176
2022-04-21,ESAB,51.68,451170
2022-04-22,ESAB,51.5,378587
2022-04-25,ESAB,50.14,296697
2022-04-26,ESAB,48.77,367142
2022-04-27,ESAB,47.04,392099
2022-04-28,ESAB,48.97,277777
2022-04-29,ESAB,47.0,269783
2022-05-02,ESAB,48.21,354940
2022-05-03,ESAB,50.12,647047
2022-05-04,ESAB,50.95,435435
2022-05-05,ESAB,48.87,427114
2022-05-06,ESAB,48.25,307650
2022-05-09,ESAB,46.13,763582
2022-05-10,ESAB,48.0,804262
2022-05-11,ESAB,45.46,682351
2022-05-12,ESAB,47.34,306085
2022-05-13,ESAB,50.25,446072
2022-05-16,ESAB,49.87,275708
2022-05-17,ESAB,50.93,473094
2022-05-18,ESAB,48.13,164625
2022-05-19,ESAB,46.79,340011
2022-05-20,ESAB,47.5,371232
2022-05-23,ESAB,49.34,521131
2022-05-24,ESAB,48.92,437722
2022-05-25,ESAB,48.85,267160
2022-05-26,ESAB,49.45,374332
2022-05-27,ESAB,50.07,215849
2022-05-31,ESAB,50.0,526710
2022-06-01,ESAB,49.84,317273
2022-06-02,ESAB,51.42,753047
2022-06-03,ESAB,49.18,478119
2022-06-06,ESAB,51.24,547576
2022-06-07,ESAB,50.21,718403
2022-06-08,ESAB,49.4,416620
2022-06-09,ESAB,48.43,349622
2022-06-10,ESAB,45.64,277511
2022-06-13,ESAB,44.47,730655
2022-06-14,ESAB,45.01,658503
2022-06-15,ESAB,45.21,431444
2022-06-16,ESAB,44.29,683238
2022-06-17,ESAB,43.43,697811
2022-06-21,ESAB,43.67,478410
2022-06-22,ESAB,43.47,536377
2022-06-23,ESAB,43.34,539924
2022-06-24,ESAB,45.64,992968
2022-06-27,ESAB,46.37,384619
2022-06-28,ESAB,43.67,230131
2022-06-29,ESAB,43.08,289934
2022-06-30,ESAB,43.75,440622
2022-07-01,ESAB,43.82,241793
2022-07-05,ESAB,41.38,442118
2022-07-06,ESAB,41.26,931969
2022-07-07,ESAB,42.49,275825
2022-07-08,ESAB,41.66,221727
2022-07-11,ESAB,40.91,235703
2022-07-12,ESAB,40.85,331213
2022-07-13,ESAB,40.46,197005
2022-07-14,ESAB,39.71,372089
2022-07-15,ESAB,40.0,334068
2022-07-18,ESAB,40.57,351226
2022-07-19,ESAB,43.36,194446
2022-07-20,ESAB,42.5,394935
2022-07-21,ESAB,42.91,174053
2022-07-22,ESAB,42.01,183272
2022-07-25,ESAB,41.57,471599
2022-07-26,ESAB,40.51,663928
2022-07-27,ESAB,41.18,534240
2022-07-28,ESAB,41.24,391550
2022-07-29,ESAB,41.22,530545
2022-08-01,ESAB,42.16,307160
2022-08-02,ESAB,42.6,249747
2022-08-03,ESAB,44.32,172742
2022-08-04,ESAB,44.31,174582
2022-08-05,ESAB,44.6,136689
2022-08-08,ESAB,44.16,258618
2022-08-09,ESAB,42.54,387338
2022-08-10,ESAB,44.25,135134
2022-08-11,ESAB,44.8,128962
2022-08-12,ESAB,45.26,124805
2022-08-15,ESAB,45.81,152482
2022-08-16,ESAB,45.35,441680
2022-08-17,ESAB,44.04,236842
2022-08-18,ESAB,44.79,279903
2022-08-19,ESAB,45.0,275764
2022-08-22,ESAB,43.72,351066
2022-08-23,ESAB,43.48,257079
2022-08-24,ESAB,43.83,140132
2022-08-25,ESAB,44.64,184439
2022-08-26,ESAB,43.16,259549
2022-08-29,ESAB,42.36,143217
2022-08-30,ESAB,41.51,188293
2022-08-31,ESAB,41.09,302656
2022-09-01,ESAB,40.2,304370
2022-09-02,ESAB,39.91,371003
2022-09-06,ESAB,38.71,497696
2022-09-07,ESAB,39.34,293308
2022-09-08,ESAB,40.19,218305
2022-09-09,ESAB,40.9,275780
2022-09-12,ESAB,41.35,233216
2022-09-13,ESAB,39.77,213253
2022-09-14,ESAB,39.25,477197
2022-09-15,ESAB,38.38,392218
2022-09-16,ESAB,37.5,795333
