ds,symbol,close,volume
2015-04-16,ETSY,30.0,19763334
2015-04-17,ETSY,27.58,3965469
2015-04-20,ETSY,24.9,3076216
2015-04-21,ETSY,25.75,2185407
2015-04-22,ETSY,25.12,1442915
2015-04-23,ETSY,25.62,1299238
2015-04-24,ETSY,25.58,532833
2015-04-27,ETSY,25.9,731504
2015-04-28,ETSY,24.49,954977
2015-04-29,ETSY,22.42,1674691
2015-04-30,ETSY,22.24,1221650
2015-05-01,ETSY,21.75,687379
2015-05-04,ETSY,23.24,648635
2015-05-05,ETSY,24.15,1065845
2015-05-06,ETSY,23.4,1290653
2015-05-07,ETSY,23.69,616890
2015-05-08,ETSY,22.71,784007
2015-05-11,ETSY,20.85,2115351
2015-05-12,ETSY,20.57,1140278
2015-05-13,ETSY,19.83,1536009
2015-05-14,ETSY,20.6,1044166
2015-05-15,ETSY,20.05,1177791
2015-05-18,ETSY,20.56,1211067
2015-05-19,ETSY,21.0,2015138
2015-05-20,ETSY,17.2,11105196
2015-05-21,ETSY,17.51,2319080
2015-05-22,ETSY,17.17,2012076
2015-05-26,ETSY,17.09,1798475
2015-05-27,ETSY,17.06,878589
2015-05-28,ETSY,17.04,489191
2015-05-29,ETSY,16.76,940363
2015-06-01,ETSY,16.05,858370
2015-06-02,ETSY,15.86,763034
2015-06-03,ETSY,15.32,1432977
2015-06-04,ETSY,15.07,807976
2015-06-05,ETSY,15.03,712415
2015-06-08,ETSY,14.86,503307
2015-06-09,ETSY,15.99,2273800
2015-06-10,ETSY,16.78,3384287
2015-06-11,ETSY,16.86,1418064
2015-06-12,ETSY,16.64,747291
2015-06-15,ETSY,16.32,1088417
2015-06-16,ETSY,16.29,767566
2015-06-17,ETSY,15.77,1427871
2015-06-18,ETSY,15.33,1386563
2015-06-19,ETSY,14.31,2590318
2015-06-22,ETSY,14.42,1537430
2015-06-23,ETSY,14.34,916859
2015-06-24,ETSY,14.39,842452
2015-06-25,ETSY,14.9,874884
2015-06-26,ETSY,14.25,4215946
2015-06-29,ETSY,14.23,1251403
2015-06-30,ETSY,14.05,1509222
2015-07-01,ETSY,14.01,1764880
2015-07-02,ETSY,13.27,1977538
2015-07-06,ETSY,13.4,1435040
2015-07-07,ETSY,13.32,1030716
2015-07-08,ETSY,14.55,961003
2015-07-09,ETSY,16.2,1937262
2015-07-10,ETSY,16.53,1260259
2015-07-13,ETSY,16.03,715285
2015-07-14,ETSY,16.51,520176
2015-07-15,ETSY,16.82,1070849
2015-07-16,ETSY,16.83,987952
2015-07-17,ETSY,21.98,11961130
2015-07-20,ETSY,19.56,3561256
2015-07-21,ETSY,18.98,1734628
2015-07-22,ETSY,18.45,869429
2015-07-23,ETSY,18.44,1156252
2015-07-24,ETSY,19.31,1292397
2015-07-27,ETSY,18.3,645512
2015-07-28,ETSY,18.65,955764
2015-07-29,ETSY,18.98,874734
2015-07-30,ETSY,21.2,2323709
2015-07-31,ETSY,20.84,1922560
2015-08-03,ETSY,20.5,1829680
2015-08-04,ETSY,19.23,3028649
2015-08-05,ETSY,13.78,4141866
2015-08-06,ETSY,13.59,2054276
2015-08-07,ETSY,13.44,1104970
2015-08-10,ETSY,14.29,680611
2015-08-11,ETSY,16.01,1201183
2015-08-12,ETSY,16.88,2097513
2015-08-13,ETSY,16.99,1288571
2015-08-14,ETSY,17.08,1143199
2015-08-17,ETSY,17.35,1132284
2015-08-18,ETSY,15.86,793448
2015-08-19,ETSY,14.98,845062
2015-08-20,ETSY,14.25,853919
2015-08-21,ETSY,13.46,1224424
2015-08-24,ETSY,12.93,1002612
2015-08-25,ETSY,12.87,638717
2015-08-26,ETSY,13.04,580913
2015-08-27,ETSY,14.29,838406
2015-08-28,ETSY,14.82,661493
2015-08-31,ETSY,14.33,782887
2015-09-01,ETSY,14.06,440741
2015-09-02,ETSY,14.35,431796
2015-09-03,ETSY,14.02,398438
2015-09-04,ETSY,14.21,297827
2015-09-08,ETSY,14.36,252365
2015-09-09,ETSY,13.99,501774
2015-09-10,ETSY,14.23,337045
2015-09-11,ETSY,14.31,270272
2015-09-14,ETSY,14.38,209887
2015-09-15,ETSY,14.6,189978
2015-09-16,ETSY,14.39,207256
2015-09-17,ETSY,15.61,643488
2015-09-18,ETSY,15.4,617239
2015-09-21,ETSY,15.9,897399
2015-09-22,ETSY,15.18,393386
2015-09-23,ETSY,14.61,341399
2015-09-24,ETSY,14.98,244146
2015-09-25,ETSY,14.11,425515
2015-09-28,ETSY,13.88,592046
2015-09-29,ETSY,13.82,540583
2015-09-30,ETSY,13.69,500820
2015-10-01,ETSY,14.15,315892
2015-10-02,ETSY,14.32,394217
2015-10-05,ETSY,14.66,261402
2015-10-06,ETSY,14.07,385901
2015-10-07,ETSY,14.18,299129
2015-10-08,ETSY,13.57,902394
2015-10-09,ETSY,13.86,290006
2015-10-12,ETSY,12.31,612748
2015-10-13,ETSY,11.6,1466542
2015-10-14,ETSY,10.99,1091111
2015-10-15,ETSY,11.03,2087125
2015-10-16,ETSY,10.99,1187684
2015-10-19,ETSY,10.94,1050677
2015-10-20,ETSY,11.34,2070970
2015-10-21,ETSY,10.68,1023279
2015-10-22,ETSY,11.39,660060
2015-10-23,ETSY,11.18,588642
2015-10-26,ETSY,11.27,704659
2015-10-27,ETSY,10.98,1157191
2015-10-28,ETSY,11.09,786349
2015-10-29,ETSY,10.91,748142
