ds,symbol,close,volume
2016-09-16,EVBG,15.25,8156011
2016-09-19,EVBG,16.5,3914316
2016-09-20,EVBG,17.01,1123803
2016-09-21,EVBG,17.55,893692
2016-09-22,EVBG,16.86,1167788
2016-09-23,EVBG,15.06,859685
2016-09-26,EVBG,16.24,752405
2016-09-27,EVBG,17.02,809650
2016-09-28,EVBG,16.5,559553
2016-09-29,EVBG,16.32,338533
2016-09-30,EVBG,16.86,678651
2016-10-03,EVBG,16.74,878999
2016-10-04,EVBG,17.01,1209078
2016-10-05,EVBG,15.72,1211715
2016-10-06,EVBG,16.22,408714
2016-10-07,EVBG,16.13,263953
2016-10-10,EVBG,15.76,321367
2016-10-11,EVBG,15.68,568148
2016-10-12,EVBG,15.14,423794
2016-10-13,EVBG,15.2,166903
2016-10-14,EVBG,15.57,245114
2016-10-17,EVBG,14.97,98801
2016-10-18,EVBG,14.78,325169
2016-10-19,EVBG,14.44,188504
2016-10-20,EVBG,14.83,108169
2016-10-21,EVBG,15.14,134232
2016-10-24,EVBG,15.45,141748
2016-10-25,EVBG,15.56,119447
2016-10-26,EVBG,15.59,131406
2016-10-27,EVBG,15.18,159534
2016-10-28,EVBG,14.55,195498
2016-10-31,EVBG,14.72,71294
2016-11-01,EVBG,14.56,78069
2016-11-02,EVBG,14.42,240079
2016-11-03,EVBG,14.01,262550
2016-11-04,EVBG,13.88,131566
2016-11-07,EVBG,14.54,212865
2016-11-08,EVBG,14.43,310855
2016-11-09,EVBG,14.89,83095
2016-11-10,EVBG,15.25,244334
2016-11-11,EVBG,15.23,280899
2016-11-14,EVBG,15.22,45560
2016-11-15,EVBG,15.38,98345
2016-11-16,EVBG,15.39,67562
2016-11-17,EVBG,16.12,205857
2016-11-18,EVBG,16.75,156094
2016-11-21,EVBG,16.77,91929
2016-11-22,EVBG,16.87,174638
2016-11-23,EVBG,16.57,65539
2016-11-25,EVBG,16.58,41318
2016-11-28,EVBG,16.99,274076
2016-11-29,EVBG,16.15,198378
2016-11-30,EVBG,15.91,278784
2016-12-01,EVBG,15.53,126572
2016-12-02,EVBG,15.26,160113
2016-12-05,EVBG,15.93,247239
2016-12-06,EVBG,16.2,420979
2016-12-07,EVBG,16.53,105262
2016-12-08,EVBG,17.0,143026
2016-12-09,EVBG,16.94,262925
2016-12-12,EVBG,17.42,213215
2016-12-13,EVBG,17.97,971978
2016-12-14,EVBG,17.92,188702
2016-12-15,EVBG,19.06,507677
2016-12-16,EVBG,19.58,1503716
2016-12-19,EVBG,20.25,259872
2016-12-20,EVBG,19.83,277403
2016-12-21,EVBG,19.63,241669
2016-12-22,EVBG,19.26,62914
2016-12-23,EVBG,19.43,161370
2016-12-27,EVBG,18.83,175930
2016-12-28,EVBG,18.06,178893
2016-12-29,EVBG,18.24,214852
2016-12-30,EVBG,18.45,254220
2017-01-03,EVBG,18.05,171548
2017-01-04,EVBG,19.03,184531
2017-01-05,EVBG,19.33,264680
2017-01-06,EVBG,19.31,221265
2017-01-09,EVBG,18.65,101047
2017-01-10,EVBG,18.64,128311
2017-01-11,EVBG,19.11,125614
2017-01-12,EVBG,18.55,220254
2017-01-13,EVBG,19.02,122263
2017-01-17,EVBG,18.71,126089
2017-01-18,EVBG,18.73,82787
2017-01-19,EVBG,18.72,87086
2017-01-20,EVBG,18.58,106839
2017-01-23,EVBG,18.31,108532
2017-01-24,EVBG,18.97,166088
2017-01-25,EVBG,19.5,281212
2017-01-26,EVBG,19.46,133522
2017-01-27,EVBG,19.25,58722
2017-01-30,EVBG,18.77,158174
2017-01-31,EVBG,18.47,173380
2017-02-01,EVBG,18.54,66099
2017-02-02,EVBG,18.72,56526
2017-02-03,EVBG,18.97,60969
2017-02-06,EVBG,18.56,44359
2017-02-07,EVBG,18.52,87654
2017-02-08,EVBG,18.26,155454
2017-02-09,EVBG,18.44,123240
2017-02-10,EVBG,18.9,174262
2017-02-13,EVBG,19.5,216610
2017-02-14,EVBG,19.3,114536
2017-02-15,EVBG,19.6,211100
