ds,symbol,close,volume
2018-05-08,EVLO,16.0,0
2018-05-09,EVLO,16.25,2020229
2018-05-10,EVLO,16.15,192789
2018-05-11,EVLO,16.0,68196
2018-05-14,EVLO,16.1,50474
2018-05-15,EVLO,16.0,84453
2018-05-16,EVLO,16.01,71518
2018-05-17,EVLO,16.0,31682
2018-05-18,EVLO,16.0,34361
2018-05-21,EVLO,16.0,39781
2018-05-22,EVLO,16.0,36294
2018-05-23,EVLO,16.0,26706
2018-05-24,EVLO,16.0,78418
2018-05-25,EVLO,16.26,145765
2018-05-29,EVLO,15.99,60247
2018-05-30,EVLO,15.69,81821
2018-05-31,EVLO,15.89,90130
2018-06-01,EVLO,15.97,101239
2018-06-04,EVLO,16.0,221710
2018-06-05,EVLO,16.04,163098
2018-06-06,EVLO,15.95,70327
2018-06-07,EVLO,15.05,59820
2018-06-08,EVLO,14.75,87503
2018-06-11,EVLO,13.9,156807
2018-06-12,EVLO,14.11,111429
2018-06-13,EVLO,13.15,136552
2018-06-14,EVLO,11.96,100265
2018-06-15,EVLO,11.39,165323
2018-06-18,EVLO,12.02,186757
2018-06-19,EVLO,12.23,43625
2018-06-20,EVLO,13.55,134676
2018-06-21,EVLO,13.72,162509
2018-06-22,EVLO,13.3,672020
2018-06-25,EVLO,12.59,116081
2018-06-26,EVLO,12.2,146149
2018-06-27,EVLO,11.51,114715
2018-06-28,EVLO,11.81,122230
2018-06-29,EVLO,11.8,108397
2018-07-02,EVLO,11.97,112518
2018-07-03,EVLO,12.2,137473
2018-07-05,EVLO,13.15,72879
2018-07-06,EVLO,12.54,131312
2018-07-09,EVLO,12.49,137912
2018-07-10,EVLO,12.91,41456
2018-07-11,EVLO,12.93,48502
2018-07-12,EVLO,13.15,112447
2018-07-13,EVLO,13.04,57099
2018-07-16,EVLO,13.18,154177
2018-07-17,EVLO,13.79,71557
2018-07-18,EVLO,13.95,57829
2018-07-19,EVLO,14.76,134096
2018-07-20,EVLO,14.49,90105
2018-07-23,EVLO,14.25,136895
2018-07-24,EVLO,13.7,49969
2018-07-25,EVLO,13.52,22824
2018-07-26,EVLO,13.47,12420
2018-07-27,EVLO,13.0,19046
2018-07-30,EVLO,12.64,41600
2018-07-31,EVLO,12.64,103626
2018-08-01,EVLO,13.13,68548
2018-08-02,EVLO,13.59,221282
2018-08-03,EVLO,12.69,48796
2018-08-06,EVLO,12.59,31573
2018-08-07,EVLO,12.35,33086
2018-08-08,EVLO,12.88,31858
2018-08-09,EVLO,12.85,23428
2018-08-10,EVLO,13.13,40875
2018-08-13,EVLO,13.22,35052
2018-08-14,EVLO,13.09,33368
2018-08-15,EVLO,13.22,95774
2018-08-16,EVLO,13.37,25820
2018-08-17,EVLO,12.45,90853
2018-08-20,EVLO,12.84,22465
2018-08-21,EVLO,13.2,81844
2018-08-22,EVLO,12.37,59009
2018-08-23,EVLO,12.64,37655
2018-08-24,EVLO,13.74,153568
2018-08-27,EVLO,13.75,78242
2018-08-28,EVLO,13.68,28439
2018-08-29,EVLO,13.65,35847
2018-08-30,EVLO,13.45,25278
2018-08-31,EVLO,13.47,9808
2018-09-04,EVLO,13.24,36443
2018-09-05,EVLO,13.38,27020
2018-09-06,EVLO,13.1,27594
2018-09-07,EVLO,12.96,28371
2018-09-10,EVLO,13.04,19518
2018-09-11,EVLO,12.81,17745
2018-09-12,EVLO,12.95,25352
2018-09-13,EVLO,13.29,21403
2018-09-14,EVLO,13.15,121061
2018-09-17,EVLO,13.21,25428
2018-09-18,EVLO,13.57,35532
2018-09-19,EVLO,13.56,38685
2018-09-20,EVLO,13.49,35838
2018-09-21,EVLO,12.67,63710
2018-09-24,EVLO,12.25,37381
2018-09-25,EVLO,12.2,24094
2018-09-26,EVLO,11.93,20515
2018-09-27,EVLO,12.23,28595
2018-09-28,EVLO,12.18,16439
2018-10-01,EVLO,11.73,53487
2018-10-02,EVLO,11.54,19960
2018-10-03,EVLO,11.13,34337
2018-10-04,EVLO,12.3,50084
2018-10-05,EVLO,11.71,12933
2018-10-08,EVLO,11.51,23846
2018-10-09,EVLO,11.35,16000
2018-10-10,EVLO,10.06,22635
2018-10-11,EVLO,10.77,50963
2018-10-12,EVLO,10.56,11538
2018-10-15,EVLO,9.7,29668
2018-10-16,EVLO,9.65,99415
2018-10-17,EVLO,9.81,93925
2018-10-18,EVLO,9.99,34591
2018-10-19,EVLO,9.61,8494
2018-10-22,EVLO,9.7,10696
2018-10-23,EVLO,9.11,20685
2018-10-24,EVLO,9.05,15306
2018-10-25,EVLO,8.63,21640
2018-10-26,EVLO,8.5,25743
2018-10-29,EVLO,8.98,18208
2018-10-30,EVLO,9.33,51046
2018-10-31,EVLO,9.11,15376
2018-11-01,EVLO,9.57,22379
2018-11-02,EVLO,9.73,11073
2018-11-05,EVLO,9.59,16280
2018-11-06,EVLO,9.83,7211
2018-11-07,EVLO,9.9,26197
2018-11-08,EVLO,9.22,43301
2018-11-09,EVLO,8.04,28349
2018-11-12,EVLO,7.68,29534
2018-11-13,EVLO,7.74,32490
2018-11-14,EVLO,7.33,51453
2018-11-15,EVLO,7.29,75361
2018-11-16,EVLO,8.29,22560
2018-11-19,EVLO,8.74,9269
2018-11-20,EVLO,9.21,16671
2018-11-21,EVLO,9.0,14201
2018-11-23,EVLO,9.01,1715
2018-11-26,EVLO,9.66,10093
2018-11-27,EVLO,9.66,7619
2018-11-28,EVLO,10.49,32215
2018-11-29,EVLO,9.9,19917
2018-11-30,EVLO,9.92,25993
2018-12-03,EVLO,10.45,49554
2018-12-04,EVLO,10.89,66390
2018-12-06,EVLO,10.81,89724
2018-12-07,EVLO,9.14,82310
2018-12-10,EVLO,10.5,152440
2018-12-11,EVLO,9.99,135443
2018-12-12,EVLO,9.94,97691
2018-12-13,EVLO,10.32,60626
2018-12-14,EVLO,11.39,58282
2018-12-17,EVLO,11.7,115116
2018-12-18,EVLO,11.72,77686
2018-12-19,EVLO,11.05,108631
2018-12-20,EVLO,10.45,111396
2018-12-21,EVLO,11.31,813159
2018-12-24,EVLO,11.86,66606
2018-12-26,EVLO,12.1,94877
2018-12-27,EVLO,11.27,92472
2018-12-28,EVLO,12.4,60035
2018-12-31,EVLO,13.01,101066
2019-01-02,EVLO,13.45,72608
2019-01-03,EVLO,13.48,106014
2019-01-04,EVLO,15.31,100720
2019-01-07,EVLO,14.82,50792
2019-01-08,EVLO,13.99,114922
2019-01-09,EVLO,14.0,92528
2019-01-10,EVLO,13.6,67499
2019-01-11,EVLO,13.51,53523
2019-01-14,EVLO,13.71,72850
2019-01-15,EVLO,13.27,109516
2019-01-16,EVLO,13.0,72152
2019-01-17,EVLO,12.0,47908
2019-01-18,EVLO,10.06,57401
2019-01-22,EVLO,9.66,32540
2019-01-23,EVLO,8.83,32798
2019-01-24,EVLO,8.45,130284
2019-01-25,EVLO,8.62,76848
2019-01-28,EVLO,8.83,51447
2019-01-29,EVLO,9.01,55218
2019-01-30,EVLO,9.23,133206
2019-01-31,EVLO,8.98,150832
2019-02-01,EVLO,9.01,31803
2019-02-04,EVLO,9.0,36344
2019-02-05,EVLO,9.24,35113
2019-02-06,EVLO,9.16,19138
2019-02-07,EVLO,9.03,15669
2019-02-08,EVLO,9.12,24915
2019-02-11,EVLO,8.92,38188
2019-02-12,EVLO,8.95,65243
2019-02-13,EVLO,8.74,106082
2019-02-14,EVLO,9.59,60275
2019-02-15,EVLO,9.19,39571
2019-02-19,EVLO,9.71,32506
