ds,symbol,close,volume
1999-02-03,EWBC,4.75,52000
1999-02-04,EWBC,4.875,400
1999-02-05,EWBC,4.875,0
1999-02-08,EWBC,4.8125,495200
1999-02-09,EWBC,4.78125,88200
1999-02-10,EWBC,4.71875,83800
1999-02-11,EWBC,4.625,938600
1999-02-12,EWBC,4.5625,112600
1999-02-16,EWBC,4.625,23200
1999-02-17,EWBC,4.65625,34800
1999-02-18,EWBC,4.625,12000
1999-02-19,EWBC,4.625,5000
1999-02-22,EWBC,4.625,12600
1999-02-23,EWBC,4.6875,144400
1999-02-24,EWBC,4.6875,1800
1999-02-25,EWBC,4.5625,30800
1999-02-26,EWBC,4.6875,408400
1999-03-01,EWBC,4.625,800
1999-03-02,EWBC,4.875,75000
1999-03-03,EWBC,4.75,18000
1999-03-04,EWBC,4.75,2200
1999-03-05,EWBC,4.625,8000
1999-03-08,EWBC,4.75,11600
1999-03-09,EWBC,4.65625,205800
1999-03-10,EWBC,4.625,10000
1999-03-11,EWBC,4.75,209000
1999-03-12,EWBC,4.8125,408400
1999-03-15,EWBC,4.8125,4800
1999-03-16,EWBC,4.8125,767800
1999-03-17,EWBC,4.875,118200
1999-03-18,EWBC,4.9375,150400
1999-03-19,EWBC,4.84375,56200
1999-03-22,EWBC,4.75,10600
1999-03-23,EWBC,4.75,34800
1999-03-24,EWBC,4.75,80000
1999-03-25,EWBC,4.6875,52800
1999-03-26,EWBC,4.625,200
1999-03-29,EWBC,3.75,348400
1999-03-30,EWBC,4.5,216600
1999-03-31,EWBC,4.46875,206400
1999-04-01,EWBC,4.46875,309600
1999-04-05,EWBC,4.4375,46600
1999-04-06,EWBC,4.46875,14000
1999-04-07,EWBC,4.40625,5600
1999-04-08,EWBC,4.25,20400
1999-04-09,EWBC,4.25,355800
1999-04-12,EWBC,4.375,5200
1999-04-13,EWBC,4.4375,28600
1999-04-14,EWBC,4.625,48400
1999-04-15,EWBC,4.875,253600
1999-04-16,EWBC,4.78125,326400
1999-04-19,EWBC,4.84375,215400
1999-04-20,EWBC,4.875,108200
1999-04-21,EWBC,4.875,210400
1999-04-22,EWBC,4.8125,365000
1999-04-23,EWBC,4.75,183800
1999-04-26,EWBC,4.875,104200
1999-04-27,EWBC,4.8125,344800
1999-04-28,EWBC,4.9375,35000
1999-04-29,EWBC,4.875,36400
