ds,symbol,close,volume
1990-01-02,EXC,8.291726,1177400
1990-01-03,EXC,8.291726,1056828
1990-01-04,EXC,8.157989,956444
1990-01-05,EXC,8.157989,742780
1990-01-08,EXC,8.202568,1322086
1990-01-09,EXC,8.113409,887186
1990-01-10,EXC,8.202568,852696
1990-01-11,EXC,7.623039,3183381
1990-01-12,EXC,7.623039,5875502
1990-01-15,EXC,7.623039,1568277
1990-01-16,EXC,7.667618,1694177
1990-01-17,EXC,7.756776,1061594
1990-01-18,EXC,7.845934,1006356
1990-01-19,EXC,7.712197,1136742
1990-01-22,EXC,7.623039,983082
1990-01-23,EXC,7.667618,1050098
1990-01-24,EXC,7.712197,1042247
1990-01-25,EXC,7.444722,2163286
1990-01-26,EXC,7.53388,1050378
1990-01-29,EXC,7.667618,923918
1990-01-30,EXC,7.489301,863912
1990-01-31,EXC,7.667618,1040845
1990-02-01,EXC,7.756776,903449
1990-02-02,EXC,7.801355,1206000
1990-02-05,EXC,7.845934,1325170
1990-02-06,EXC,7.667618,1212169
1990-02-07,EXC,7.712197,1423871
1990-02-08,EXC,7.667618,825778
1990-02-09,EXC,7.712197,1158613
1990-02-12,EXC,7.623039,1027386
1990-02-13,EXC,7.578459,2796429
1990-02-14,EXC,7.355563,2130760
1990-02-15,EXC,7.310984,1000187
1990-02-16,EXC,7.355563,1421067
1990-02-20,EXC,7.177247,2393214
1990-02-21,EXC,7.132668,1700626
1990-02-22,EXC,7.132668,1296009
1990-02-23,EXC,7.132668,1022058
1990-02-26,EXC,7.132668,857463
1990-02-27,EXC,7.177247,827741
1990-02-28,EXC,7.177247,1083185
1990-03-01,EXC,6.419401,8208990
1990-03-02,EXC,6.330243,6160949
1990-03-05,EXC,6.508559,2974764
1990-03-06,EXC,6.419401,1663333
1990-03-07,EXC,6.419401,1696420
1990-03-08,EXC,6.508559,1286756
1990-03-09,EXC,6.508559,1011683
1990-03-12,EXC,6.419401,1359099
1990-03-13,EXC,6.46398,912422
1990-03-14,EXC,6.46398,811197
1990-03-15,EXC,6.374822,1303299
1990-03-16,EXC,6.419401,1354052
1990-03-19,EXC,6.419401,864193
1990-03-20,EXC,6.285663,1786148
1990-03-21,EXC,6.374822,1039162
1990-03-22,EXC,6.419401,2968034
1990-03-23,EXC,6.419401,1390784
1990-03-26,EXC,6.330243,1370876
1990-03-27,EXC,6.374822,840359
