ds,symbol,close,volume
2021-11-10,EXFY,41.06,10656632
2021-11-11,EXFY,44.45,2004631
2021-11-12,EXFY,47.62,990392
2021-11-15,EXFY,45.69,1075792
2021-11-16,EXFY,44.13,1665880
2021-11-17,EXFY,44.62,418733
2021-11-18,EXFY,43.89,361663
2021-11-19,EXFY,43.05,338722
2021-11-22,EXFY,42.84,442008
2021-11-23,EXFY,45.18,514899
2021-11-24,EXFY,47.84,289837
2021-11-26,EXFY,48.54,211141
2021-11-29,EXFY,48.26,372446
2021-11-30,EXFY,45.14,322176
2021-12-01,EXFY,40.1,353871
2021-12-02,EXFY,42.29,221625
2021-12-03,EXFY,35.8,520419
2021-12-06,EXFY,35.07,983763
2021-12-07,EXFY,40.46,435692
2021-12-08,EXFY,39.63,281549
2021-12-09,EXFY,38.88,280577
2021-12-10,EXFY,36.36,329759
2021-12-13,EXFY,36.88,588679
2021-12-14,EXFY,35.73,502337
2021-12-15,EXFY,38.04,347094
2021-12-16,EXFY,34.61,648227
2021-12-17,EXFY,35.01,1419228
2021-12-20,EXFY,35.23,425301
2021-12-21,EXFY,35.36,238962
2021-12-22,EXFY,37.55,188741
2021-12-23,EXFY,36.93,112864
2021-12-27,EXFY,38.51,128765
2021-12-28,EXFY,35.88,157711
2021-12-29,EXFY,38.44,147579
2021-12-30,EXFY,42.42,341595
2021-12-31,EXFY,44.0,410055
2022-01-03,EXFY,40.38,476094
2022-01-04,EXFY,37.98,229721
2022-01-05,EXFY,32.87,414577
2022-01-06,EXFY,33.4,373263
2022-01-07,EXFY,32.33,390835
2022-01-10,EXFY,31.92,423737
2022-01-11,EXFY,31.5,247260
2022-01-12,EXFY,31.3,199076
2022-01-13,EXFY,31.06,351431
2022-01-14,EXFY,29.68,273461
2022-01-18,EXFY,27.57,347674
2022-01-19,EXFY,26.7,252212
2022-01-20,EXFY,27.05,217790
2022-01-21,EXFY,25.12,446895
2022-01-24,EXFY,27.34,482156
2022-01-25,EXFY,25.9,341977
2022-01-26,EXFY,25.65,266344
2022-01-27,EXFY,25.15,170896
2022-01-28,EXFY,26.66,339359
2022-01-31,EXFY,29.25,262804
2022-02-01,EXFY,28.85,230573
2022-02-02,EXFY,26.39,170522
2022-02-03,EXFY,25.42,288564
2022-02-04,EXFY,26.89,138539
2022-02-07,EXFY,27.11,156096
2022-02-08,EXFY,28.66,149120
2022-02-09,EXFY,28.0,367076
2022-02-10,EXFY,27.37,317832
2022-02-11,EXFY,25.64,220023
2022-02-14,EXFY,26.18,145334
2022-02-15,EXFY,27.12,119189
2022-02-16,EXFY,26.64,161779
2022-02-17,EXFY,25.25,520650
2022-02-18,EXFY,22.85,362853
2022-02-22,EXFY,22.99,211325
2022-02-23,EXFY,20.77,276074
2022-02-24,EXFY,22.01,695582
2022-02-25,EXFY,21.33,428953
2022-02-28,EXFY,20.5,351546
2022-03-01,EXFY,21.92,599944
2022-03-02,EXFY,20.3,177890
2022-03-03,EXFY,19.47,184657
2022-03-04,EXFY,18.51,384690
2022-03-07,EXFY,18.34,418456
2022-03-08,EXFY,18.73,547167
2022-03-09,EXFY,19.82,320049
2022-03-10,EXFY,19.08,247932
2022-03-11,EXFY,17.74,512179
2022-03-14,EXFY,15.86,366170
2022-03-15,EXFY,16.75,360608
2022-03-16,EXFY,18.05,405043
2022-03-17,EXFY,19.13,885003
