ds,symbol,close,volume
2006-10-20,EXLS,18.84,6523108
2006-10-23,EXLS,18.29,798202
2006-10-24,EXLS,17.69,444983
2006-10-25,EXLS,19.5,592049
2006-10-26,EXLS,20.1,151528
2006-10-27,EXLS,20.6,356397
2006-10-30,EXLS,20.69,98970
2006-10-31,EXLS,20.8,88768
2006-11-01,EXLS,20.15,111412
2006-11-02,EXLS,20.67,78984
2006-11-03,EXLS,20.3,43222
2006-11-06,EXLS,19.5,94472
2006-11-07,EXLS,19.01,131093
2006-11-08,EXLS,19.12,109825
2006-11-09,EXLS,20.0,132097
2006-11-10,EXLS,19.81,57724
2006-11-13,EXLS,19.62,25939
2006-11-14,EXLS,20.19,48690
2006-11-15,EXLS,21.34,172817
2006-11-16,EXLS,25.8,726514
2006-11-17,EXLS,25.48,282797
2006-11-20,EXLS,25.32,168508
2006-11-21,EXLS,25.36,130046
2006-11-22,EXLS,24.81,111928
2006-11-24,EXLS,24.49,28431
2006-11-27,EXLS,24.47,92127
2006-11-28,EXLS,24.5,135640
2006-11-29,EXLS,22.47,455884
2006-11-30,EXLS,22.59,70265
2006-12-01,EXLS,22.43,64705
2006-12-04,EXLS,22.05,141101
2006-12-05,EXLS,20.99,286598
2006-12-06,EXLS,21.0,154587
2006-12-07,EXLS,20.8,105256
2006-12-08,EXLS,20.78,12650
2006-12-11,EXLS,20.83,43029
2006-12-12,EXLS,21.3401,71341
2006-12-13,EXLS,21.35,18172
2006-12-14,EXLS,21.92,27607
2006-12-15,EXLS,22.05,359497
2006-12-18,EXLS,22.0,166930
2006-12-19,EXLS,21.37,155897
2006-12-20,EXLS,21.82,22847
2006-12-21,EXLS,21.64,6105
2006-12-22,EXLS,21.1,84551
2006-12-26,EXLS,20.96,63628
2006-12-27,EXLS,20.92,47302
2006-12-28,EXLS,20.85,19571
2006-12-29,EXLS,21.04,238079
2007-01-03,EXLS,20.58,71148
2007-01-04,EXLS,21.0,43634
2007-01-05,EXLS,21.1,32995
2007-01-08,EXLS,21.09,43931
2007-01-09,EXLS,21.05,13881
2007-01-10,EXLS,21.57,87545
2007-01-11,EXLS,22.39,84034
2007-01-12,EXLS,22.71,71128
2007-01-16,EXLS,23.02,51937
2007-01-17,EXLS,22.99,49006
2007-01-18,EXLS,23.01,100979
2007-01-19,EXLS,23.56,70271
2007-01-22,EXLS,23.4,81219
2007-01-23,EXLS,23.34,88182
2007-01-24,EXLS,23.36,26910
2007-01-25,EXLS,23.71,34879
2007-01-26,EXLS,23.73,18496
2007-01-29,EXLS,24.4,22591
2007-01-30,EXLS,24.74,25901
2007-01-31,EXLS,24.72,48797
2007-02-01,EXLS,24.92,30222
2007-02-02,EXLS,25.19,63429
2007-02-05,EXLS,26.19,56317
2007-02-06,EXLS,26.58,32946
2007-02-07,EXLS,26.67,23776
2007-02-08,EXLS,26.81,24174
2007-02-09,EXLS,26.95,71631
2007-02-12,EXLS,26.79,40946
2007-02-13,EXLS,26.84,74495
2007-02-14,EXLS,25.41,315730
2007-02-15,EXLS,24.48,159947
2007-02-16,EXLS,24.0,47575
2007-02-20,EXLS,23.86,50041
2007-02-21,EXLS,23.9011,36890
2007-02-22,EXLS,24.66,55269
2007-02-23,EXLS,24.67,41537
2007-02-26,EXLS,24.39,51980
2007-02-27,EXLS,23.48,163157
2007-02-28,EXLS,22.66,155092
2007-03-01,EXLS,23.43,51171
2007-03-02,EXLS,22.88,51450
2007-03-05,EXLS,23.56,65155
2007-03-06,EXLS,22.86,114737
2007-03-07,EXLS,22.69,44029
2007-03-08,EXLS,22.91,69949
2007-03-09,EXLS,23.52,48018
2007-03-12,EXLS,23.7,17690
2007-03-13,EXLS,23.15,36507
2007-03-14,EXLS,22.7,42013
2007-03-15,EXLS,22.66,43872
2007-03-16,EXLS,22.6,50183
2007-03-19,EXLS,22.95,27051
2007-03-20,EXLS,23.4,27102
2007-03-21,EXLS,24.08,140470
2007-03-22,EXLS,23.53,34471
2007-03-23,EXLS,22.7,33171
2007-03-26,EXLS,21.65,48770
2007-03-27,EXLS,20.76,60603
2007-03-28,EXLS,21.1,25140
2007-03-29,EXLS,21.18,19576
2007-03-30,EXLS,20.63,38386
2007-04-02,EXLS,20.08,44434
2007-04-03,EXLS,20.4,100874
2007-04-04,EXLS,20.94,20073
2007-04-05,EXLS,20.36,70417
2007-04-09,EXLS,20.98,23882
2007-04-10,EXLS,21.09,32991
2007-04-11,EXLS,20.46,46927
2007-04-12,EXLS,20.0,61382
2007-04-13,EXLS,20.01,64946
2007-04-16,EXLS,19.7,56011
2007-04-17,EXLS,19.94,34452
2007-04-18,EXLS,19.44,60969
2007-04-19,EXLS,19.3,149951
2007-04-20,EXLS,20.01,74645
2007-04-23,EXLS,20.3,42110
2007-04-24,EXLS,20.29,31260
2007-04-25,EXLS,20.82,110440
2007-04-26,EXLS,20.76,84466
2007-04-27,EXLS,20.8,27445
2007-04-30,EXLS,20.8,87072
2007-05-01,EXLS,21.24,377412
2007-05-02,EXLS,22.37,756429
2007-05-03,EXLS,21.0,85632
2007-05-04,EXLS,21.48,52830
2007-05-07,EXLS,21.25,39085
2007-05-08,EXLS,21.0,99347
2007-05-09,EXLS,20.8499,30746
2007-05-10,EXLS,19.86,183438
2007-05-11,EXLS,19.88,399814
2007-05-14,EXLS,20.01,146476
2007-05-15,EXLS,20.68,112966
2007-05-16,EXLS,21.11,2114451
2007-05-17,EXLS,20.8,1252971
2007-05-18,EXLS,20.28,109268
2007-05-21,EXLS,20.04,86243
2007-05-22,EXLS,20.35,273915
2007-05-23,EXLS,20.27,87947
2007-05-24,EXLS,19.35,107483
2007-05-25,EXLS,18.94,104520
2007-05-29,EXLS,19.0,121372
2007-05-30,EXLS,19.0,83525
2007-05-31,EXLS,18.79,157052
2007-06-01,EXLS,19.19,80801
2007-06-04,EXLS,18.98,106826
2007-06-05,EXLS,18.49,174318
2007-06-06,EXLS,18.3,99363
2007-06-07,EXLS,18.74,75565
2007-06-08,EXLS,19.11,94368
2007-06-11,EXLS,19.44,65140
2007-06-12,EXLS,19.41,76342
2007-06-13,EXLS,19.81,46121
2007-06-14,EXLS,20.29,87388
2007-06-15,EXLS,20.02,120967
2007-06-18,EXLS,20.3,41749
2007-06-19,EXLS,20.34,67166
2007-06-20,EXLS,19.77,44999
2007-06-21,EXLS,19.04,98363
2007-06-22,EXLS,18.52,1883657
2007-06-25,EXLS,18.55,142968
2007-06-26,EXLS,18.68,64163
2007-06-27,EXLS,19.39,34574
2007-06-28,EXLS,19.0,41815
2007-06-29,EXLS,18.73,193439
2007-07-02,EXLS,18.75,274078
2007-07-03,EXLS,18.73,19085
2007-07-05,EXLS,18.21,181437
2007-07-06,EXLS,18.2,69588
2007-07-09,EXLS,17.8,157129
2007-07-10,EXLS,17.36,190862
2007-07-11,EXLS,18.29,171852
2007-07-12,EXLS,18.21,146026
2007-07-13,EXLS,18.85,121025
2007-07-16,EXLS,18.29,78393
2007-07-17,EXLS,17.92,39817
2007-07-18,EXLS,17.55,69611
2007-07-19,EXLS,18.14,146838
2007-07-20,EXLS,17.28,121495
2007-07-23,EXLS,17.1,120014
2007-07-24,EXLS,15.97,179379
2007-07-25,EXLS,16.35,127044
2007-07-26,EXLS,16.37,112457
2007-07-27,EXLS,16.2,164184
2007-07-30,EXLS,16.61,115810
2007-07-31,EXLS,16.91,144233
2007-08-01,EXLS,17.26,110375
2007-08-02,EXLS,17.9,111653
2007-08-03,EXLS,17.52,166348
2007-08-06,EXLS,18.33,161524
2007-08-07,EXLS,19.36,188374
2007-08-08,EXLS,20.25,354477
2007-08-09,EXLS,20.31,221237
2007-08-10,EXLS,20.77,228640
2007-08-13,EXLS,19.65,207303
2007-08-14,EXLS,18.39,128348
2007-08-15,EXLS,18.18,127015
2007-08-16,EXLS,19.96,179389
2007-08-17,EXLS,18.26,212988
2007-08-20,EXLS,17.9,127063
2007-08-21,EXLS,18.58,89433
2007-08-22,EXLS,18.3,100403
2007-08-23,EXLS,17.64,134895
2007-08-24,EXLS,18.44,125106
2007-08-27,EXLS,18.5,98001
2007-08-28,EXLS,18.22,80859
2007-08-29,EXLS,19.01,89305
2007-08-30,EXLS,19.45,168130
2007-08-31,EXLS,19.0,97291
2007-09-04,EXLS,19.17,124634
2007-09-05,EXLS,18.85,83649
2007-09-06,EXLS,20.02,158022
2007-09-07,EXLS,19.98,118050
2007-09-10,EXLS,21.21,397838
2007-09-11,EXLS,21.46,263696
2007-09-12,EXLS,21.2,101924
2007-09-13,EXLS,20.95,67924
2007-09-14,EXLS,20.54,93974
2007-09-17,EXLS,20.28,76882
2007-09-18,EXLS,21.45,116300
2007-09-19,EXLS,21.99,260573
2007-09-20,EXLS,22.47,58593
2007-09-21,EXLS,22.1,166918
2007-09-24,EXLS,21.91,68472
2007-09-25,EXLS,21.61,66914
2007-09-26,EXLS,21.22,53739
2007-09-27,EXLS,21.24,142860
2007-09-28,EXLS,21.26,86607
2007-10-01,EXLS,22.5,83156
2007-10-02,EXLS,22.54,77672
2007-10-03,EXLS,22.32,51190
2007-10-04,EXLS,23.88,184062
2007-10-05,EXLS,24.76,187678
2007-10-08,EXLS,24.92,92029
2007-10-09,EXLS,25.42,203104
2007-10-10,EXLS,25.37,152919
2007-10-11,EXLS,24.46,112160
2007-10-12,EXLS,25.85,120642
2007-10-15,EXLS,26.02,118399
2007-10-16,EXLS,26.46,112478
2007-10-17,EXLS,26.99,116781
2007-10-18,EXLS,27.0,126698
2007-10-19,EXLS,26.17,209945
2007-10-22,EXLS,26.99,141279
2007-10-23,EXLS,27.0,126451
2007-10-24,EXLS,26.99,64893
2007-10-25,EXLS,26.7,100717
2007-10-26,EXLS,26.56,73869
2007-10-29,EXLS,26.85,105780
2007-10-30,EXLS,26.57,52634
2007-10-31,EXLS,27.0,116083
2007-11-01,EXLS,25.31,151603
2007-11-02,EXLS,26.56,154605
2007-11-05,EXLS,26.65,163617
2007-11-06,EXLS,26.99,311368
2007-11-07,EXLS,26.36,190043
2007-11-08,EXLS,28.73,326284
2007-11-09,EXLS,25.43,332004
2007-11-12,EXLS,22.85,332381
2007-11-13,EXLS,24.18,329403
2007-11-14,EXLS,26.93,188876
2007-11-15,EXLS,26.34,101901
2007-11-16,EXLS,25.99,144160
2007-11-19,EXLS,26.68,143810
2007-11-20,EXLS,25.12,264630
2007-11-21,EXLS,23.29,170751
2007-11-23,EXLS,23.4,62062
2007-11-26,EXLS,22.43,95776
2007-11-27,EXLS,22.03,242175
2007-11-28,EXLS,23.25,127682
2007-11-29,EXLS,23.77,93279
2007-11-30,EXLS,23.97,106140
2007-12-03,EXLS,23.84,111423
2007-12-04,EXLS,23.75,77712
2007-12-05,EXLS,24.03,77871
2007-12-06,EXLS,24.19,116001
2007-12-07,EXLS,24.09,55961
2007-12-10,EXLS,25.47,193082
2007-12-11,EXLS,24.0,151378
2007-12-12,EXLS,23.39,222474
2007-12-13,EXLS,23.27,134425
2007-12-14,EXLS,21.57,124171
2007-12-17,EXLS,19.98,204533
2007-12-18,EXLS,22.15,137783
2007-12-19,EXLS,22.0,85330
2007-12-20,EXLS,22.14,94675
2007-12-21,EXLS,22.35,215571
2007-12-24,EXLS,23.21,41718
2007-12-26,EXLS,23.18,78897
2007-12-27,EXLS,22.3,92568
2007-12-28,EXLS,22.75,79365
2007-12-31,EXLS,23.08,114365
2008-01-02,EXLS,20.91,192822
2008-01-03,EXLS,20.07,187224
2008-01-04,EXLS,18.83,197507
2008-01-07,EXLS,17.81,259800
2008-01-08,EXLS,19.25,411191
2008-01-09,EXLS,20.05,501719
2008-01-10,EXLS,19.71,199831
2008-01-11,EXLS,18.95,247118
2008-01-14,EXLS,18.97,172669
2008-01-15,EXLS,18.69,253736
2008-01-16,EXLS,17.01,446092
2008-01-17,EXLS,17.13,230793
2008-01-18,EXLS,16.69,254345
2008-01-22,EXLS,17.25,230459
2008-01-23,EXLS,19.11,274670
