ds,symbol,close,volume
2020-09-02,FFIE,9.65,700
2020-09-03,FFIE,9.69,26821
2020-09-04,FFIE,9.74,637713
2020-09-08,FFIE,9.74,29
2020-09-09,FFIE,9.74,8353
2020-09-10,FFIE,9.75,1463081
2020-09-11,FFIE,9.73,10613
2020-09-14,FFIE,9.75,340590
2020-09-15,FFIE,9.71,86422
2020-09-16,FFIE,9.7199,76503
2020-09-17,FFIE,9.74,1090978
2020-09-18,FFIE,9.77,228687
2020-09-21,FFIE,9.77,547728
2020-09-22,FFIE,9.75,99024
2020-09-23,FFIE,9.76,514604
2020-09-24,FFIE,9.75,315225
2020-09-25,FFIE,9.75,165303
2020-09-28,FFIE,9.76,1308
2020-09-29,FFIE,9.77,829764
2020-09-30,FFIE,9.81,609523
2020-10-01,FFIE,9.77,209612
2020-10-02,FFIE,9.75,356572
2020-10-05,FFIE,9.8,129
2020-10-06,FFIE,9.76,16543
2020-10-07,FFIE,9.77,1223
2020-10-08,FFIE,9.77,20613
2020-10-09,FFIE,9.74,23786
2020-10-12,FFIE,9.76,3542
2020-10-13,FFIE,9.73,153329
2020-10-14,FFIE,9.73,311536
2020-10-15,FFIE,9.72,105563
2020-10-16,FFIE,9.73,14415
2020-10-19,FFIE,9.73,80153
2020-10-20,FFIE,9.73,5630
2020-10-21,FFIE,9.73,113
2020-10-22,FFIE,9.72,207060
2020-10-23,FFIE,9.7,2372
2020-10-26,FFIE,9.75,115055
2020-10-27,FFIE,9.685,9623
2020-10-28,FFIE,9.71,161621
2020-10-29,FFIE,9.67,125104
2020-10-30,FFIE,9.66,100489
2020-11-02,FFIE,9.65,20082
2020-11-03,FFIE,9.66,23430
2020-11-04,FFIE,9.7,8177
2020-11-05,FFIE,9.71,3239
2020-11-06,FFIE,9.6881,400
2020-11-09,FFIE,9.7102,10241
2020-11-10,FFIE,9.7,7502
2020-11-11,FFIE,9.7,10280
2020-11-12,FFIE,9.7199,10320
2020-11-13,FFIE,9.72,7534
2020-11-16,FFIE,9.73,106786
2020-11-17,FFIE,9.75,565711
2020-11-18,FFIE,9.78,128492
2020-11-19,FFIE,9.77,2761
2020-11-20,FFIE,9.73,7303
2020-11-23,FFIE,9.73,56606
2020-11-24,FFIE,9.77,1656
2020-11-25,FFIE,9.77,2174
2020-11-27,FFIE,9.81,11978
2020-11-30,FFIE,9.8,751
2020-12-01,FFIE,9.8,9446
2020-12-02,FFIE,9.81,107812
2020-12-03,FFIE,9.84,20416
2020-12-04,FFIE,9.83,3235
2020-12-07,FFIE,9.81,78399
2020-12-08,FFIE,9.85,21907
2020-12-09,FFIE,9.92,44389
2020-12-10,FFIE,9.91,15950
2020-12-11,FFIE,9.96,228208
2020-12-14,FFIE,9.99,21947
2020-12-15,FFIE,9.98,255683
2020-12-16,FFIE,10.0,177285
2020-12-17,FFIE,10.0,109137
2020-12-18,FFIE,10.0,234741
2020-12-21,FFIE,10.0,64658
2020-12-22,FFIE,10.0,126369
2020-12-23,FFIE,10.01,123534
2020-12-24,FFIE,10.0,114703
2020-12-28,FFIE,9.98,28738
2020-12-29,FFIE,9.98,110066
2020-12-30,FFIE,9.97,19884
2020-12-31,FFIE,10.0,160367
2021-01-04,FFIE,10.08,60800
2021-01-05,FFIE,10.06,42075
2021-01-06,FFIE,10.02,34121
2021-01-07,FFIE,10.07,233012
2021-01-08,FFIE,10.1,71157
2021-01-11,FFIE,12.0,8909287
2021-01-12,FFIE,11.6,3048914
2021-01-13,FFIE,11.65,3055501
2021-01-14,FFIE,11.9,2137389
2021-01-15,FFIE,11.86,1453838
2021-01-19,FFIE,11.64,1151500
2021-01-20,FFIE,11.45,680372
2021-01-21,FFIE,11.13,976015
2021-01-22,FFIE,11.15,688075
2021-01-25,FFIE,11.42,1992953
2021-01-26,FFIE,13.23,5243233
2021-01-27,FFIE,13.0,4484763
2021-01-28,FFIE,15.43,15979496
2021-01-29,FFIE,18.45,14706357
2021-02-01,FFIE,19.16,6534870
2021-02-02,FFIE,17.78,4140243
2021-02-03,FFIE,16.2,4839199
2021-02-04,FFIE,16.63,2910873
2021-02-05,FFIE,17.26,3782905
2021-02-08,FFIE,17.49,2303505
2021-02-09,FFIE,16.89,2118887
2021-02-10,FFIE,16.38,2003295
2021-02-11,FFIE,15.79,1856171
2021-02-12,FFIE,15.58,1206752
2021-02-16,FFIE,16.92,2387743
2021-02-17,FFIE,17.82,2478771
2021-02-18,FFIE,17.17,1218897
2021-02-19,FFIE,17.1,1235461
2021-02-22,FFIE,17.62,2331789
2021-02-23,FFIE,15.6,3021717
2021-02-24,FFIE,15.41,1377921
2021-02-25,FFIE,15.0,1864033
2021-02-26,FFIE,14.09,1757258
2021-03-01,FFIE,14.9,1302186
2021-03-02,FFIE,14.17,874751
2021-03-03,FFIE,12.78,1705724
2021-03-04,FFIE,11.51,2785524
2021-03-05,FFIE,11.9,3075279
2021-03-08,FFIE,11.4,1063155
2021-03-09,FFIE,12.17,1212474
2021-03-10,FFIE,12.1,1771896
2021-03-11,FFIE,13.36,1473666
2021-03-12,FFIE,13.79,1237023
2021-03-15,FFIE,13.33,913200
2021-03-16,FFIE,13.2,1031519
2021-03-17,FFIE,13.14,954204
2021-03-18,FFIE,12.83,613425
2021-03-19,FFIE,12.66,581167
2021-03-22,FFIE,12.27,775517
2021-03-23,FFIE,12.21,650818
2021-03-24,FFIE,11.98,1045020
2021-03-25,FFIE,11.61,979075
2021-03-26,FFIE,12.19,677722
2021-03-29,FFIE,12.01,399657
2021-03-30,FFIE,11.89,361552
2021-03-31,FFIE,12.06,420617
2021-04-01,FFIE,12.4,454397
2021-04-05,FFIE,12.39,356694
2021-04-06,FFIE,13.63,3091550
2021-04-07,FFIE,14.03,1353539
2021-04-08,FFIE,14.86,1393438
2021-04-09,FFIE,14.99,1300183
2021-04-12,FFIE,13.07,2409712
2021-04-13,FFIE,12.58,1188252
2021-04-14,FFIE,11.69,2074057
2021-04-15,FFIE,12.36,1209897
2021-04-16,FFIE,11.92,591693
2021-04-19,FFIE,11.55,703116
2021-04-20,FFIE,11.26,595439
