ds,symbol,close,volume
2014-11-03,FFWM,9.33,19016.0
2014-11-04,FFWM,9.0,2420.0
2014-11-05,FFWM,9.275,4208.0
2014-11-06,FFWM,9.275,5928.0
2014-11-07,FFWM,9.5,3330.0
2014-11-10,FFWM,10.0,5064.0
2014-11-11,FFWM,9.25,4600.0
2014-11-12,FFWM,9.25,6484.0
2014-11-13,FFWM,9.2501,3000.0
2014-11-14,FFWM,9.4724,6070.0
2014-11-17,FFWM,9.31,4200.0
2014-11-18,FFWM,9.325,2300.0
2014-11-19,FFWM,9.25,6970.0
2014-11-20,FFWM,9.22,2300.0
2014-11-21,FFWM,9.1995,2100.0
2014-11-24,FFWM,9.0905,27844.0
2014-11-25,FFWM,9.075,29608.0
2014-11-26,FFWM,9.491,1218.0
2014-11-28,FFWM,9.2,2000.0
2014-12-01,FFWM,9.375,39064.0
2014-12-02,FFWM,9.4,3618.0
2014-12-03,FFWM,9.39,16130.0
2014-12-04,FFWM,9.5,5318.0
2014-12-05,FFWM,9.475,200.0
2014-12-08,FFWM,9.45,200.0
2014-12-09,FFWM,9.425,17400.0
2014-12-10,FFWM,9.4172,3706.0
2014-12-11,FFWM,9.445,20170.0
2014-12-12,FFWM,9.4,14812.0
2014-12-15,FFWM,9.375,6740.0
2014-12-16,FFWM,9.275,9520.0
2014-12-17,FFWM,9.325,3884.0
2014-12-18,FFWM,9.25,3658.0
2014-12-19,FFWM,9.25,6400.0
2014-12-22,FFWM,9.175,2200.0
2014-12-23,FFWM,9.0,20482.0
2014-12-24,FFWM,8.925,187022.0
2014-12-26,FFWM,9.0,83024.0
2014-12-29,FFWM,9.015,6336.0
2014-12-30,FFWM,9.05,3760.0
2014-12-31,FFWM,9.07,12054.0
2015-01-02,FFWM,9.07,21200
2015-01-05,FFWM,8.98,28300
2015-01-06,FFWM,8.9,35742
2015-01-07,FFWM,8.95,30400
2015-01-08,FFWM,8.95,29524
2015-01-09,FFWM,8.94,20200
2015-01-12,FFWM,8.96,21828
2015-01-13,FFWM,8.94,18200
