ds,symbol,close,volume
1990-01-02,FICO,1.0,16875
1990-01-03,FICO,1.0,13500
1990-01-04,FICO,1.0,0
1990-01-05,FICO,1.0,0
1990-01-08,FICO,1.0,0
1990-01-09,FICO,1.0,0
1990-01-10,FICO,1.0,0
1990-01-11,FICO,0.962963,675
1990-01-12,FICO,0.925926,33750
1990-01-15,FICO,0.925926,0
1990-01-16,FICO,0.925926,17550
1990-01-17,FICO,0.925926,20250
1990-01-18,FICO,0.925926,0
1990-01-19,FICO,0.925926,0
1990-01-22,FICO,0.925926,4050
1990-01-23,FICO,0.925926,0
1990-01-24,FICO,0.925926,1350
1990-01-25,FICO,0.925926,0
1990-01-26,FICO,0.888889,12150
1990-01-29,FICO,0.888889,0
1990-01-30,FICO,0.851852,4725
1990-01-31,FICO,0.722222,95850
1990-02-01,FICO,0.777778,10125
1990-02-02,FICO,0.777778,8100
1990-02-05,FICO,0.777778,0
1990-02-06,FICO,0.777778,675
1990-02-07,FICO,0.740741,6750
1990-02-08,FICO,0.740741,0
1990-02-09,FICO,0.740741,0
1990-02-12,FICO,0.740741,0
1990-02-13,FICO,0.703704,2025
1990-02-14,FICO,0.722222,371250
1990-02-15,FICO,0.740741,13500
1990-02-16,FICO,0.740741,0
1990-02-20,FICO,0.740741,0
1990-02-21,FICO,0.740741,18900
1990-02-22,FICO,0.777778,3375
1990-02-23,FICO,0.796296,37800
1990-02-26,FICO,0.851852,675
1990-02-27,FICO,0.851852,0
1990-02-28,FICO,0.851852,0
1990-03-01,FICO,0.851852,0
1990-03-02,FICO,0.814815,67500
1990-03-05,FICO,0.814815,0
1990-03-06,FICO,0.814815,0
1990-03-07,FICO,0.851852,6750
1990-03-08,FICO,0.851852,0
1990-03-09,FICO,0.851852,0
1990-03-12,FICO,0.777778,4725
1990-03-13,FICO,0.777778,0
1990-03-14,FICO,0.777778,1350
1990-03-15,FICO,0.777778,0
1990-03-16,FICO,0.777778,0
1990-03-19,FICO,0.851852,3375
1990-03-20,FICO,0.851852,0
1990-03-21,FICO,0.777778,3375
1990-03-22,FICO,0.777778,1350
1990-03-23,FICO,0.777778,0
1990-03-26,FICO,0.777778,0
1990-03-27,FICO,0.777778,4050
1990-03-28,FICO,0.777778,0
1990-03-29,FICO,0.777778,0
1990-03-30,FICO,0.777778,0
1990-04-02,FICO,0.777778,0
1990-04-03,FICO,0.740741,6750
1990-04-04,FICO,0.740741,10125
1990-04-05,FICO,0.740741,0
1990-04-06,FICO,0.740741,0
1990-04-09,FICO,0.814815,6750
1990-04-10,FICO,0.814815,0
1990-04-11,FICO,0.814815,5400
1990-04-12,FICO,0.740741,675
1990-04-16,FICO,0.814815,2025
1990-04-17,FICO,0.814815,0
1990-04-18,FICO,0.814815,0
1990-04-19,FICO,0.814815,0
1990-04-20,FICO,0.740741,675
1990-04-23,FICO,0.814815,2025
1990-04-24,FICO,0.777778,8775
1990-04-25,FICO,0.777778,0
1990-04-26,FICO,0.740741,13500
1990-04-27,FICO,0.740741,0
1990-04-30,FICO,0.740741,0
1990-05-01,FICO,0.796296,675
1990-05-02,FICO,0.814815,6750
1990-05-03,FICO,0.814815,8775
1990-05-04,FICO,0.814815,2025
1990-05-07,FICO,0.814815,0
1990-05-08,FICO,0.777778,232875
1990-05-09,FICO,0.777778,0
1990-05-10,FICO,0.740741,2025
1990-05-11,FICO,0.740741,2700
1990-05-14,FICO,0.740741,0
1990-05-15,FICO,0.740741,7425
1990-05-16,FICO,0.740741,0
1990-05-17,FICO,0.740741,0
1990-05-18,FICO,0.740741,1350
1990-05-21,FICO,0.814815,13500
1990-05-22,FICO,0.796296,13500
1990-05-23,FICO,0.796296,0
1990-05-24,FICO,0.796296,0
1990-05-25,FICO,0.777778,15525
1990-05-29,FICO,0.777778,0
1990-05-30,FICO,0.777778,0
1990-05-31,FICO,0.740741,1350
1990-06-01,FICO,0.740741,0
1990-06-04,FICO,0.740741,164025
1990-06-05,FICO,0.740741,0
1990-06-06,FICO,0.814815,675
1990-06-07,FICO,0.814815,0
1990-06-08,FICO,0.740741,1350
1990-06-11,FICO,0.814815,3375
1990-06-12,FICO,0.814815,0
1990-06-13,FICO,0.814815,0
1990-06-14,FICO,0.814815,9450
1990-06-15,FICO,0.814815,0
1990-06-18,FICO,0.740741,675
1990-06-19,FICO,0.740741,0
1990-06-20,FICO,0.740741,0
1990-06-21,FICO,0.740741,0
1990-06-22,FICO,0.740741,0
1990-06-25,FICO,0.740741,0
1990-06-26,FICO,0.740741,0
1990-06-27,FICO,0.740741,3375
1990-06-28,FICO,0.814815,6750
1990-06-29,FICO,0.814815,9450
1990-07-02,FICO,0.814815,2025
1990-07-03,FICO,0.814815,3375
1990-07-05,FICO,0.814815,0
1990-07-06,FICO,0.814815,0
1990-07-09,FICO,0.814815,0
1990-07-10,FICO,0.740741,675
1990-07-11,FICO,0.740741,0
1990-07-12,FICO,0.740741,9450
1990-07-13,FICO,0.740741,0
1990-07-16,FICO,0.740741,1350
1990-07-17,FICO,0.740741,0
1990-07-18,FICO,0.740741,8775
1990-07-19,FICO,0.740741,6750
1990-07-20,FICO,0.740741,0
1990-07-23,FICO,0.740741,6750
1990-07-24,FICO,0.740741,5400
1990-07-25,FICO,0.740741,0
1990-07-26,FICO,0.740741,0
1990-07-27,FICO,0.740741,0
1990-07-30,FICO,0.740741,0
1990-07-31,FICO,0.703704,3375
1990-08-01,FICO,0.703704,3375
1990-08-02,FICO,0.703704,0
1990-08-03,FICO,0.703704,0
1990-08-06,FICO,0.814815,6075
1990-08-07,FICO,0.703704,16200
1990-08-08,FICO,0.722222,13500
