ds,symbol,close,volume
2021-05-11,FLGC,4.79,3640731
2021-05-12,FLGC,4.68,2699718
2021-05-13,FLGC,3.76,1592227
2021-05-14,FLGC,4.05,817477
2021-05-17,FLGC,3.58,1984311
2021-05-18,FLGC,3.32,704093
2021-05-19,FLGC,2.99,1898633
2021-05-20,FLGC,3.36,679064
2021-05-21,FLGC,3.25,304002
2021-05-24,FLGC,3.5,482803
2021-05-25,FLGC,3.89,832287
2021-05-26,FLGC,4.03,288574
2021-05-27,FLGC,3.82,248493
2021-05-28,FLGC,4.02,686266
2021-06-01,FLGC,3.88,221830
2021-06-02,FLGC,3.87,416027
2021-06-03,FLGC,3.88,197591
2021-06-04,FLGC,3.66,335614
2021-06-07,FLGC,3.7,327309
2021-06-08,FLGC,3.53,276134
2021-06-09,FLGC,3.68,442575
2021-06-10,FLGC,3.72,169691
2021-06-11,FLGC,3.65,184077
2021-06-14,FLGC,3.65,982445
2021-06-15,FLGC,3.41,275040
2021-06-16,FLGC,3.53,202598
2021-06-17,FLGC,3.6,194543
2021-06-18,FLGC,3.7,155076
2021-06-21,FLGC,3.45,186390
2021-06-22,FLGC,3.36,299301
2021-06-23,FLGC,3.53,232876
2021-06-24,FLGC,3.66,972728
2021-06-25,FLGC,3.87,685343
2021-06-28,FLGC,3.75,290981
2021-06-29,FLGC,3.69,159667
2021-06-30,FLGC,3.72,357792
2021-07-01,FLGC,3.74,217275
2021-07-02,FLGC,3.71,86400
2021-07-06,FLGC,3.6235,54692
2021-07-07,FLGC,3.51,84395
2021-07-08,FLGC,3.45,502010
2021-07-09,FLGC,3.47,103793
2021-07-12,FLGC,3.5,179603
2021-07-13,FLGC,3.58,460690
2021-07-14,FLGC,3.32,327449
2021-07-15,FLGC,3.22,195333
2021-07-16,FLGC,3.18,290449
2021-07-19,FLGC,2.91,171778
2021-07-20,FLGC,3.24,390909
2021-07-21,FLGC,3.13,240350
2021-07-22,FLGC,3.03,125279
2021-07-23,FLGC,3.02,85856
2021-07-26,FLGC,4.52,2130854
2021-07-27,FLGC,5.07,10037857
2021-07-28,FLGC,8.27,47199426
2021-07-29,FLGC,7.0,18870659
2021-07-30,FLGC,7.84,3859162
2021-08-02,FLGC,7.82,1862589
2021-08-03,FLGC,12.71,33252153
2021-08-04,FLGC,10.15,4052566
2021-08-05,FLGC,11.46,19920624
2021-08-06,FLGC,12.56,8262551
2021-08-09,FLGC,12.19,3271337
2021-08-10,FLGC,12.88,3774980
2021-08-11,FLGC,13.12,2367342
2021-08-12,FLGC,12.65,1521108
2021-08-13,FLGC,17.2,14712134
2021-08-16,FLGC,14.93,15810900
2021-08-17,FLGC,11.7,5696813
2021-08-18,FLGC,11.15,2560594
2021-08-19,FLGC,8.81,3299697
2021-08-20,FLGC,12.68,38008961
2021-08-23,FLGC,11.14,3136488
2021-08-24,FLGC,11.3,6414115
2021-08-25,FLGC,10.55,1998481
2021-08-26,FLGC,10.22,2774454
2021-08-27,FLGC,9.37,1740486
2021-08-30,FLGC,9.36,1096374
2021-08-31,FLGC,9.33,1462074
2021-09-01,FLGC,9.32,1395014
2021-09-02,FLGC,8.68,1174425
2021-09-03,FLGC,8.78,955955
2021-09-07,FLGC,8.07,1591903
2021-09-08,FLGC,7.1,1730675
2021-09-09,FLGC,7.39,1289012
2021-09-10,FLGC,7.13,910606
2021-09-13,FLGC,6.31,970104
2021-09-14,FLGC,6.0,970855
2021-09-15,FLGC,6.0,3162496
2021-09-16,FLGC,5.91,1856253
2021-09-17,FLGC,6.32,2905237
2021-09-20,FLGC,5.2,1895194
2021-09-21,FLGC,5.74,1264346
2021-09-22,FLGC,5.38,1015580
2021-09-23,FLGC,5.16,978493
2021-09-24,FLGC,6.9,17297771
2021-09-27,FLGC,6.12,4677859
2021-09-28,FLGC,6.18,1397409
2021-09-29,FLGC,5.84,1171926
2021-09-30,FLGC,5.65,1100046
2021-10-01,FLGC,5.55,685937
2021-10-04,FLGC,5.32,514385
2021-10-05,FLGC,5.3,959131
2021-10-06,FLGC,5.1,665181
2021-10-07,FLGC,5.35,712402
2021-10-08,FLGC,5.68,4031797
2021-10-11,FLGC,5.21,829112
2021-10-12,FLGC,5.29,428173
2021-10-13,FLGC,5.12,1184648
2021-10-14,FLGC,5.12,1014999
2021-10-15,FLGC,5.02,682971
2021-10-18,FLGC,4.9,838601
2021-10-19,FLGC,4.7,1881585
2021-10-20,FLGC,4.46,1228201
2021-10-21,FLGC,4.53,1345606
2021-10-22,FLGC,4.26,655602
2021-10-25,FLGC,4.45,735158
2021-10-26,FLGC,4.28,585440
2021-10-27,FLGC,4.1,2799278
2021-10-28,FLGC,4.44,603806
2021-10-29,FLGC,4.32,365595
2021-11-01,FLGC,4.48,717154
2021-11-02,FLGC,4.39,323049
2021-11-03,FLGC,4.57,2600348
2021-11-04,FLGC,4.76,694968
2021-11-05,FLGC,4.58,593625
2021-11-08,FLGC,5.14,1491935
2021-11-09,FLGC,4.86,638485
2021-11-10,FLGC,4.59,423225
2021-11-11,FLGC,4.8,261973
2021-11-12,FLGC,5.15,902016
2021-11-15,FLGC,4.75,1039385
2021-11-16,FLGC,4.67,484313
2021-11-17,FLGC,4.26,634834
2021-11-18,FLGC,3.69,2224135
2021-11-19,FLGC,2.17,12168871
2021-11-22,FLGC,2.13,3240463
2021-11-23,FLGC,2.16,1632326
2021-11-24,FLGC,2.12,2006264
2021-11-26,FLGC,1.97,1868940
2021-11-29,FLGC,2.16,2281475
2021-11-30,FLGC,2.03,2022415
2021-12-01,FLGC,1.93,1116463
2021-12-02,FLGC,2.01,1401413
2021-12-03,FLGC,1.94,847220
2021-12-06,FLGC,2.1,1234909
2021-12-07,FLGC,2.16,847662
2021-12-08,FLGC,2.22,866487
2021-12-09,FLGC,2.1,506410
2021-12-10,FLGC,2.02,493487
2021-12-13,FLGC,2.08,402335
2021-12-14,FLGC,1.98,687732
2021-12-15,FLGC,2.04,822730
2021-12-16,FLGC,1.94,445043
2021-12-17,FLGC,1.92,573279
2021-12-20,FLGC,1.83,529901
2021-12-21,FLGC,1.92,375968
2021-12-22,FLGC,1.98,476967
2021-12-23,FLGC,2.0,782395
2021-12-27,FLGC,1.84,911086
2021-12-28,FLGC,1.79,1036227
2021-12-29,FLGC,1.76,863066
2021-12-30,FLGC,1.7,814756
2021-12-31,FLGC,1.78,967122
2022-01-03,FLGC,1.95,1006911
2022-01-04,FLGC,2.16,24373231
2022-01-05,FLGC,1.81,2613250
2022-01-06,FLGC,1.79,1489524
2022-01-07,FLGC,1.74,1260447
2022-01-10,FLGC,1.7,2047818
2022-01-11,FLGC,1.75,934013
2022-01-12,FLGC,1.72,571400
2022-01-13,FLGC,1.66,1048751
2022-01-14,FLGC,1.7,725656
2022-01-18,FLGC,1.58,1108817
2022-01-19,FLGC,1.62,991853
2022-01-20,FLGC,1.59,660478
2022-01-21,FLGC,1.45,1164576
2022-01-24,FLGC,1.665,1303437
2022-01-25,FLGC,1.56,721552
2022-01-26,FLGC,1.48,617733
2022-01-27,FLGC,1.37,533176
2022-01-28,FLGC,1.46,573580
2022-01-31,FLGC,1.71,950007
2022-02-01,FLGC,1.76,503493
2022-02-02,FLGC,1.69,675741
2022-02-03,FLGC,1.68,494371
2022-02-04,FLGC,1.73,372180
2022-02-07,FLGC,1.84,778084
2022-02-08,FLGC,1.84,637387
2022-02-09,FLGC,1.89,486604
2022-02-10,FLGC,1.96,935890
2022-02-11,FLGC,1.74,756166
2022-02-14,FLGC,1.75,506691
2022-02-15,FLGC,1.78,377800
2022-02-16,FLGC,2.03,1824140
2022-02-17,FLGC,1.85,786289
2022-02-18,FLGC,1.84,828608
2022-02-22,FLGC,1.85,694142
2022-02-23,FLGC,1.77,471193
2022-02-24,FLGC,1.82,728105
2022-02-25,FLGC,1.82,363005
2022-02-28,FLGC,2.05,1468557
2022-03-01,FLGC,1.95,761218
2022-03-02,FLGC,2.03,400771
2022-03-03,FLGC,1.91,442362
2022-03-04,FLGC,1.91,530280
2022-03-07,FLGC,1.88,580160
2022-03-08,FLGC,1.79,724661
2022-03-09,FLGC,1.84,267311
2022-03-10,FLGC,1.73,841211
2022-03-11,FLGC,1.69,548152
2022-03-14,FLGC,1.75,421999
2022-03-15,FLGC,1.63,1006705
2022-03-16,FLGC,1.71,487760
2022-03-17,FLGC,1.88,665611
2022-03-18,FLGC,1.98,680948
2022-03-21,FLGC,1.83,459241
2022-03-22,FLGC,1.91,392076
2022-03-23,FLGC,1.87,410932
2022-03-24,FLGC,2.03,2531002
2022-03-25,FLGC,2.3,6466569
2022-03-28,FLGC,2.06,1590382
2022-03-29,FLGC,2.14,2365189
2022-03-30,FLGC,1.96,2850345
2022-03-31,FLGC,1.96,747387
2022-04-01,FLGC,1.88,1961213
2022-04-04,FLGC,1.88,528863
2022-04-05,FLGC,1.79,856862
2022-04-06,FLGC,1.83,509934
2022-04-07,FLGC,1.77,396986
2022-04-08,FLGC,1.76,355587
2022-04-11,FLGC,1.72,311476
2022-04-12,FLGC,1.65,550056
2022-04-13,FLGC,1.75,267598
2022-04-14,FLGC,1.68,293434
2022-04-18,FLGC,1.64,330315
2022-04-19,FLGC,1.7,337339
2022-04-20,FLGC,1.65,307066
2022-04-21,FLGC,1.59,407812
2022-04-22,FLGC,1.56,351834
2022-04-25,FLGC,1.61,390851
2022-04-26,FLGC,1.52,331434
2022-04-27,FLGC,1.44,454530
2022-04-28,FLGC,1.54,360763
2022-04-29,FLGC,1.5,208927
2022-05-02,FLGC,1.57,287198
2022-05-03,FLGC,1.59,304848
2022-05-04,FLGC,1.56,591756
2022-05-05,FLGC,1.46,320749
2022-05-06,FLGC,1.45,431011
2022-05-09,FLGC,1.31,575725
2022-05-10,FLGC,1.3,618041
2022-05-11,FLGC,1.18,661332
2022-05-12,FLGC,1.22,357907
2022-05-13,FLGC,1.3,428374
2022-05-16,FLGC,1.25,436002
2022-05-17,FLGC,1.31,116428
2022-05-18,FLGC,1.2,460232
2022-05-19,FLGC,1.25,431029
2022-05-20,FLGC,1.05,1557008
2022-05-23,FLGC,1.07,443177
2022-05-24,FLGC,0.9801,562777
2022-05-25,FLGC,0.97,555921
2022-05-26,FLGC,0.999,526081
2022-05-27,FLGC,0.99,796457
2022-05-31,FLGC,1.0,965933
2022-06-01,FLGC,0.9,821558
2022-06-02,FLGC,0.94,430020
2022-06-03,FLGC,0.892,685335
2022-06-06,FLGC,0.88,478052
2022-06-07,FLGC,0.8853,779189
2022-06-08,FLGC,0.85,674500
2022-06-09,FLGC,0.774,1021532
2022-06-10,FLGC,0.7505,324858
2022-06-13,FLGC,0.6815,543841
2022-06-14,FLGC,0.6949,517003
2022-06-15,FLGC,0.7,307638
2022-06-16,FLGC,0.6496,8724047
2022-06-17,FLGC,0.7405,3947349
2022-06-21,FLGC,0.76,755344
2022-06-22,FLGC,0.7063,866486
2022-06-23,FLGC,0.72,1583793
2022-06-24,FLGC,0.73,806729
2022-06-27,FLGC,0.717,407049
2022-06-28,FLGC,0.69,326536
2022-06-29,FLGC,0.627,368068
2022-06-30,FLGC,0.61,356940
2022-07-01,FLGC,0.6594,285403
2022-07-05,FLGC,0.65,590749
2022-07-06,FLGC,0.6649,1700417
2022-07-07,FLGC,0.66,660371
2022-07-08,FLGC,0.72,828028
2022-07-11,FLGC,0.6827,476941
2022-07-12,FLGC,0.694,324409
2022-07-13,FLGC,0.6673,313721
2022-07-14,FLGC,0.715,1360756
2022-07-15,FLGC,0.6612,699981
2022-07-18,FLGC,0.6499,701415
2022-07-19,FLGC,0.6597,495187
2022-07-20,FLGC,0.693,631825
2022-07-21,FLGC,0.6801,363558
2022-07-22,FLGC,0.66,397268
2022-07-25,FLGC,0.65,270561
2022-07-26,FLGC,0.61,410445
2022-07-27,FLGC,0.6031,767186
2022-07-28,FLGC,0.64,393405
2022-07-29,FLGC,0.6369,219295
2022-08-01,FLGC,0.6293,228650
2022-08-02,FLGC,0.68,414233
2022-08-03,FLGC,0.74,2078357
2022-08-04,FLGC,0.7189,511799
2022-08-05,FLGC,0.7237,252468
2022-08-08,FLGC,0.76,999699
2022-08-09,FLGC,0.6963,333029
2022-08-10,FLGC,0.78,423360
2022-08-11,FLGC,0.7425,833963
2022-08-12,FLGC,0.779,412856
2022-08-15,FLGC,0.86,1052894
2022-08-16,FLGC,0.8782,867889
2022-08-17,FLGC,0.9354,881912
2022-08-18,FLGC,0.9488,529667
2022-08-19,FLGC,0.9832,755213
2022-08-22,FLGC,1.0,642225
2022-08-23,FLGC,0.9801,597648
2022-08-24,FLGC,0.8778,663966
2022-08-25,FLGC,0.9,465922
2022-08-26,FLGC,0.855,288142
2022-08-29,FLGC,0.8407,247661
2022-08-30,FLGC,0.8,261853
2022-08-31,FLGC,0.8902,289543
2022-09-01,FLGC,0.8421,392816
2022-09-02,FLGC,0.7933,241385
2022-09-06,FLGC,0.7927,314382
2022-09-07,FLGC,0.888,227131
2022-09-08,FLGC,1.0,482351
2022-09-09,FLGC,1.1,665635
2022-09-12,FLGC,1.25,918725
2022-09-13,FLGC,1.1,722932
2022-09-14,FLGC,0.9939,521685
2022-09-15,FLGC,1.16,511037
2022-09-16,FLGC,1.02,340069
2022-09-19,FLGC,1.0,268366
2022-09-20,FLGC,0.9178,343417
2022-09-21,FLGC,0.9903,227404
2022-09-22,FLGC,0.9123,209627
2022-09-23,FLGC,0.8803,320826
2022-09-26,FLGC,0.7951,537276
2022-09-27,FLGC,0.7312,506115
2022-09-28,FLGC,0.75,588622
2022-09-29,FLGC,0.6851,610957
2022-09-30,FLGC,0.7057,463094
2022-10-03,FLGC,0.6788,647520
2022-10-04,FLGC,0.73,340203
2022-10-05,FLGC,0.67,284215
2022-10-06,FLGC,0.78,1953617
2022-10-07,FLGC,0.6829,888017
2022-10-10,FLGC,0.6295,408162
2022-10-11,FLGC,0.6044,920047
2022-10-12,FLGC,0.59,507190
2022-10-13,FLGC,0.5793,676315
2022-10-14,FLGC,0.563,182495
2022-10-17,FLGC,0.591,299939
2022-10-18,FLGC,0.5749,283828
2022-10-19,FLGC,0.56,195827
2022-10-20,FLGC,0.5201,891041
2022-10-21,FLGC,0.5391,341882
2022-10-24,FLGC,0.522,474987
2022-10-25,FLGC,0.6005,652082
2022-10-26,FLGC,0.645,271787
2022-10-27,FLGC,0.5888,283516
2022-10-28,FLGC,0.578,316474
2022-10-31,FLGC,0.62,301316
2022-11-01,FLGC,0.5836,236146
2022-11-02,FLGC,0.53,388005
2022-11-03,FLGC,0.5469,401866
2022-11-04,FLGC,0.52,536384
2022-11-07,FLGC,0.5092,649812
2022-11-08,FLGC,0.5,247128
2022-11-09,FLGC,0.5005,322803
2022-11-10,FLGC,0.5475,370437
2022-11-11,FLGC,0.5747,393916
2022-11-14,FLGC,0.52,572682
2022-11-15,FLGC,0.525,377914
2022-11-16,FLGC,0.46,1844430
2022-11-17,FLGC,0.4511,740801
2022-11-18,FLGC,0.4,1034757
2022-11-21,FLGC,0.417,673181
2022-11-22,FLGC,0.4201,423469
2022-11-23,FLGC,0.4697,514457
2022-11-25,FLGC,0.4999,367806
2022-11-28,FLGC,0.4818,639844
2022-11-29,FLGC,0.52,488760
2022-11-30,FLGC,0.46,627092
2022-12-01,FLGC,0.4831,288412
2022-12-02,FLGC,0.44,1006747
2022-12-05,FLGC,0.4667,628195
2022-12-06,FLGC,0.4778,255777
2022-12-07,FLGC,0.448,312409
2022-12-08,FLGC,0.4449,251757
2022-12-09,FLGC,0.3477,2211224
2022-12-12,FLGC,0.298,1947358
2022-12-13,FLGC,0.29,1311541
2022-12-14,FLGC,0.275,966273
2022-12-15,FLGC,0.2775,1254527
2022-12-16,FLGC,0.2677,928276
2022-12-19,FLGC,0.258,641064
2022-12-20,FLGC,0.2438,605935
2022-12-21,FLGC,0.26,376245
2022-12-22,FLGC,0.254,454142
2022-12-23,FLGC,0.2427,299491
2022-12-27,FLGC,0.2368,1792945
2022-12-28,FLGC,0.21895,843293
2022-12-29,FLGC,0.2351,605913
2022-12-30,FLGC,0.2276,912012
2023-01-03,FLGC,0.24,777298
2023-01-04,FLGC,0.25,385501
2023-01-05,FLGC,0.2484,547227
2023-01-06,FLGC,0.255,606148
2023-01-09,FLGC,0.2444,675699
2023-01-10,FLGC,0.24,478703
2023-01-11,FLGC,0.195,3092974
2023-01-12,FLGC,0.2,3133492
2023-01-13,FLGC,0.2136,1651353
2023-01-17,FLGC,0.23,1600398
2023-01-18,FLGC,0.2389,1451908
2023-01-19,FLGC,0.24,789854
2023-01-20,FLGC,0.26,1282579
2023-01-23,FLGC,0.2755,2498707
2023-01-24,FLGC,0.265,751440
2023-01-25,FLGC,0.267,842315
2023-01-26,FLGC,0.265,915462
2023-01-27,FLGC,0.265,548902
2023-01-30,FLGC,0.3,11003929
2023-01-31,FLGC,0.292,2266423
2023-02-01,FLGC,0.4088,41789735
2023-02-02,FLGC,0.3975,3670043
2023-02-03,FLGC,0.407,1816045
2023-02-06,FLGC,0.3538,2726284
2023-02-07,FLGC,0.3386,1437157
2023-02-08,FLGC,0.358,804069
2023-02-09,FLGC,0.3485,937983
2023-02-10,FLGC,0.36,1615108
2023-02-13,FLGC,0.3686,837336
2023-02-14,FLGC,0.41,1487320
2023-02-15,FLGC,0.46,2894539
2023-02-16,FLGC,0.46,1369580
2023-02-17,FLGC,0.43,592853
2023-02-21,FLGC,0.4183,567143
2023-02-22,FLGC,0.403,367747
2023-02-23,FLGC,0.3818,380876
2023-02-24,FLGC,0.365,588478
2023-02-27,FLGC,0.37,312352
2023-02-28,FLGC,0.44,861693
2023-03-01,FLGC,0.4139,358146
2023-03-02,FLGC,0.4125,141803
2023-03-03,FLGC,0.41,262705
2023-03-06,FLGC,0.41,225931
2023-03-07,FLGC,0.39,260931
2023-03-08,FLGC,0.38,144910
2023-03-09,FLGC,0.38,463726
2023-03-10,FLGC,0.3502,620413
2023-03-13,FLGC,0.3327,507310
2023-03-14,FLGC,0.3404,233098
2023-03-15,FLGC,0.3333,489066
2023-03-16,FLGC,0.34,326722
2023-03-17,FLGC,0.345,623847
2023-03-20,FLGC,0.3354,137313
2023-03-21,FLGC,0.3033,1008935
2023-03-22,FLGC,0.2697,1710966
2023-03-23,FLGC,0.28,4211570
2023-03-24,FLGC,0.23,2602881
2023-03-27,FLGC,0.2318,810921
2023-03-28,FLGC,0.221,621472
2023-03-29,FLGC,0.22,1107381
2023-03-30,FLGC,0.25,1689955
2023-03-31,FLGC,0.2938,4168034
2023-04-03,FLGC,0.2629,2132557
2023-04-04,FLGC,0.255,870975
2023-04-05,FLGC,0.240001,675703
2023-04-06,FLGC,0.2382,436068
2023-04-10,FLGC,0.23,455526
2023-04-11,FLGC,0.2299,809825
2023-04-12,FLGC,0.24,770604
2023-04-13,FLGC,0.2451,792586
