ds,symbol,close,volume
2020-01-10,FREY,9.82,1234600
2020-01-13,FREY,9.82,0
2020-01-14,FREY,9.84,243300
2020-01-15,FREY,9.92,165300
2020-01-16,FREY,9.9,108400
2020-01-17,FREY,9.94,600
2020-01-21,FREY,9.88,65500
2020-01-22,FREY,9.87,29800
2020-01-23,FREY,9.88,100100
2020-01-24,FREY,9.89,287000
2020-01-27,FREY,9.88,226300
2020-01-28,FREY,9.88,139600
2020-01-29,FREY,9.89,101000
2020-01-30,FREY,9.89,25200
2020-01-31,FREY,9.94,136400
2020-02-03,FREY,9.94,10800
2020-02-04,FREY,9.95,106500
2020-02-05,FREY,9.95,0
2020-02-06,FREY,9.927,300
2020-02-07,FREY,9.927,0
2020-02-10,FREY,9.93,103200
2020-02-11,FREY,9.92,802100
2020-02-12,FREY,9.93,510800
2020-02-13,FREY,9.92,620800
2020-02-14,FREY,9.91,24000
2020-02-18,FREY,9.91,45400
2020-02-19,FREY,9.925,21700
2020-02-20,FREY,9.95,100
2020-02-21,FREY,9.95,56300
2020-02-24,FREY,9.93,343000
2020-02-25,FREY,9.91,88700
2020-02-26,FREY,9.91,859100
2020-02-27,FREY,9.92,79500
2020-02-28,FREY,9.92,30100
2020-03-02,FREY,9.93,4500
2020-03-03,FREY,9.88,400
2020-03-04,FREY,9.88,200
2020-03-05,FREY,9.9,35600
2020-03-06,FREY,9.88,25200
2020-03-09,FREY,9.89,12400
2020-03-10,FREY,9.86,1800
2020-03-11,FREY,9.85,334900
2020-03-12,FREY,9.75,152500
2020-03-13,FREY,9.67,28200
2020-03-16,FREY,9.55,111500
2020-03-17,FREY,9.4,609600
2020-03-18,FREY,9.25,22800
2020-03-19,FREY,9.26,150100
2020-03-20,FREY,9.5,700
2020-03-23,FREY,9.4,5900
2020-03-24,FREY,9.37,929500
2020-03-25,FREY,9.45,34300
2020-03-26,FREY,9.51,27200
2020-03-27,FREY,9.51,0
2020-03-30,FREY,9.7,300
2020-03-31,FREY,9.6,75600
2020-04-01,FREY,9.61,300
2020-04-02,FREY,9.7,573400
2020-04-03,FREY,9.63,4900
2020-04-06,FREY,9.7,72600
2020-04-07,FREY,9.7,0
2020-04-08,FREY,9.66,16200
2020-04-09,FREY,9.7,100
2020-04-13,FREY,9.7,300
2020-04-14,FREY,9.75,2500
2020-04-15,FREY,9.7,5200
2020-04-16,FREY,9.65,3500
2020-04-17,FREY,9.69,4600
2020-04-20,FREY,9.67,1200
2020-04-21,FREY,9.68,900
2020-04-22,FREY,9.7,100
2020-04-23,FREY,9.7,56100
2020-04-24,FREY,9.69,166200
2020-04-27,FREY,9.67,2100
2020-04-28,FREY,9.67,353000
2020-04-29,FREY,9.7,1020800
2020-04-30,FREY,9.66,200
2020-05-01,FREY,9.65,81300
2020-05-04,FREY,9.7,72700
2020-05-05,FREY,9.72,415600
2020-05-06,FREY,9.68,681900
2020-05-07,FREY,9.68,0
2020-05-08,FREY,9.68,3900
2020-05-11,FREY,9.68,0
2020-05-12,FREY,9.69,252200
2020-05-13,FREY,9.67,100
2020-05-14,FREY,9.71,34500
2020-05-15,FREY,9.66,10900
2020-05-18,FREY,9.66,0
2020-05-19,FREY,9.66,0
2020-05-20,FREY,9.66,1600
2020-05-21,FREY,9.65,400
2020-05-22,FREY,9.65,200
2020-05-26,FREY,9.65,0
2020-05-27,FREY,9.8,500
2020-05-28,FREY,9.72,900
2020-05-29,FREY,9.73,184200
2020-06-01,FREY,9.76,400
2020-06-02,FREY,9.73,4200
2020-06-03,FREY,9.76,309200
2020-06-04,FREY,9.76,0
2020-06-05,FREY,9.77,100000
2020-06-08,FREY,9.77,0
2020-06-09,FREY,9.75,800
2020-06-10,FREY,9.75,335800
2020-06-11,FREY,9.785,34300
2020-06-12,FREY,9.79,991100
2020-06-15,FREY,9.82,500
2020-06-16,FREY,9.82,328300
2020-06-17,FREY,9.81,53600
2020-06-18,FREY,9.81,209700
2020-06-19,FREY,9.81,150600
2020-06-22,FREY,9.88,27500
2020-06-23,FREY,9.82,19500
2020-06-24,FREY,9.82,13100
2020-06-25,FREY,9.83,7800
2020-06-26,FREY,9.8,737000
2020-06-29,FREY,9.82,201100
2020-06-30,FREY,9.85,78000
2020-07-01,FREY,9.81,400
2020-07-02,FREY,9.94,586300
2020-07-06,FREY,9.89,86600
2020-07-07,FREY,9.9,10800
2020-07-08,FREY,9.89,54000
2020-07-09,FREY,9.95,1100
2020-07-10,FREY,10.03,236900
2020-07-13,FREY,10.0,29400
2020-07-14,FREY,10.15,104300
2020-07-15,FREY,10.13,3200
2020-07-16,FREY,10.09,7900
2020-07-17,FREY,10.06,84200
2020-07-20,FREY,10.05,167600
2020-07-21,FREY,10.08,2500
2020-07-22,FREY,10.05,16500
2020-07-23,FREY,10.08,151900
2020-07-24,FREY,10.05,99200
2020-07-27,FREY,10.1,173800
2020-07-28,FREY,10.11,81600
2020-07-29,FREY,10.12,7700
2020-07-30,FREY,10.05,236700
2020-07-31,FREY,10.08,100700
2020-08-03,FREY,10.01,43100
2020-08-04,FREY,10.05,2100
2020-08-05,FREY,9.97,14200
2020-08-06,FREY,9.97,725200
2020-08-07,FREY,9.97,600
2020-08-10,FREY,9.98,100900
2020-08-11,FREY,9.98,0
2020-08-12,FREY,9.95,62300
2020-08-13,FREY,9.98,7900
2020-08-14,FREY,9.99,800
2020-08-17,FREY,9.94,2900
2020-08-18,FREY,9.98,1500
2020-08-19,FREY,9.98,11200
2020-08-20,FREY,9.95,17500
2020-08-21,FREY,9.925,500
2020-08-24,FREY,9.925,0
2020-08-25,FREY,9.9,200
2020-08-26,FREY,9.85,300
2020-08-27,FREY,9.91,400
2020-08-28,FREY,9.85,500
2020-08-31,FREY,9.85,26700
2020-09-01,FREY,9.97,4500
2020-09-02,FREY,9.86,45200
2020-09-03,FREY,9.92,5100
2020-09-04,FREY,9.9,400
2020-09-08,FREY,9.88,51800
2020-09-09,FREY,9.9,85900
2020-09-10,FREY,9.88,40600
2020-09-11,FREY,9.92,3900
2020-09-14,FREY,9.9,135700
2020-09-15,FREY,9.93,6800
2020-09-16,FREY,9.93,1100
2020-09-17,FREY,9.93,95400
2020-09-18,FREY,10.0,64600
2020-09-21,FREY,10.05,483200
2020-09-22,FREY,10.05,62100
2020-09-23,FREY,10.05,320200
2020-09-24,FREY,9.94,2200
2020-09-25,FREY,10.06,287000
2020-09-28,FREY,10.025,5600
2020-09-29,FREY,9.97,434200
2020-09-30,FREY,9.93,323900
2020-10-01,FREY,10.025,147100
2020-10-02,FREY,9.95,51000
2020-10-05,FREY,9.95,14200
2020-10-06,FREY,9.96,30900
2020-10-07,FREY,9.95,2900
2020-10-08,FREY,9.94,200
2020-10-09,FREY,9.925,85000
2020-10-12,FREY,9.94,1100
2020-10-13,FREY,9.94,35100
2020-10-14,FREY,9.92,127100
2020-10-15,FREY,9.93,129900
2020-10-16,FREY,9.92,53200
2020-10-19,FREY,9.96,1100
2020-10-20,FREY,9.9,300
2020-10-21,FREY,9.88,84700
