ds,symbol,close,volume
1990-01-02,FRT,22.0,23900
1990-01-03,FRT,21.75,42800
1990-01-04,FRT,21.875,25600
1990-01-05,FRT,21.875,13200
1990-01-08,FRT,21.75,15900
1990-01-09,FRT,21.875,6300
1990-01-10,FRT,21.75,8200
1990-01-11,FRT,21.25,17300
1990-01-12,FRT,21.0,6700
1990-01-15,FRT,21.0,20600
1990-01-16,FRT,21.125,32700
1990-01-17,FRT,21.25,26200
1990-01-18,FRT,21.25,30300
1990-01-19,FRT,21.0,3000
1990-01-22,FRT,21.0,2400
1990-01-23,FRT,20.75,7300
1990-01-24,FRT,20.75,14700
1990-01-25,FRT,20.75,5700
1990-01-26,FRT,20.875,6800
1990-01-29,FRT,20.75,5400
1990-01-30,FRT,20.875,4600
1990-01-31,FRT,20.875,9500
1990-02-01,FRT,21.125,3100
1990-02-02,FRT,21.0,6300
1990-02-05,FRT,21.0,40200
1990-02-06,FRT,21.0,4600
1990-02-07,FRT,21.0,17800
1990-02-08,FRT,21.0,39700
1990-02-09,FRT,20.375,14300
1990-02-12,FRT,20.25,34400
1990-02-13,FRT,20.0,20100
1990-02-14,FRT,20.0,8700
1990-02-15,FRT,20.0,11200
1990-02-16,FRT,20.25,19100
1990-02-20,FRT,19.875,42500
1990-02-21,FRT,20.0,9500
1990-02-22,FRT,20.25,12000
1990-02-23,FRT,20.125,12200
1990-02-26,FRT,19.875,11100
1990-02-27,FRT,19.875,19100
1990-02-28,FRT,19.875,14900
1990-03-01,FRT,19.875,10300
1990-03-02,FRT,19.875,9400
1990-03-05,FRT,20.5,13700
1990-03-06,FRT,20.25,2500
1990-03-07,FRT,20.75,11000
1990-03-08,FRT,20.75,4300
1990-03-09,FRT,20.5,6500
1990-03-12,FRT,20.625,15100
1990-03-13,FRT,20.875,2300
1990-03-14,FRT,20.75,12100
1990-03-15,FRT,20.5,22200
1990-03-16,FRT,20.5,5900
1990-03-19,FRT,20.5,8800
1990-03-20,FRT,20.875,9400
1990-03-21,FRT,20.75,10300
1990-03-22,FRT,21.0,5200
1990-03-23,FRT,21.0,6600
1990-03-26,FRT,21.125,14400
1990-03-27,FRT,21.0,8900
1990-03-28,FRT,21.125,14200
1990-03-29,FRT,21.0,6600
1990-03-30,FRT,21.125,5200
1990-04-02,FRT,20.875,3100
1990-04-03,FRT,20.5,21400
1990-04-04,FRT,20.625,3200
1990-04-05,FRT,20.5,11200
1990-04-06,FRT,20.75,10900
1990-04-09,FRT,20.625,16100
