ds,symbol,close,volume
2022-08-12,FRZA,7.49,19249296
2022-08-15,FRZA,6.06,3543951
2022-08-16,FRZA,8.25,34335376
2022-08-17,FRZA,6.73,2060788
2022-08-18,FRZA,6.86,5992562
2022-08-19,FRZA,6.28,1050843
2022-08-22,FRZA,5.8,760904
2022-08-23,FRZA,4.93,937539
2022-08-24,FRZA,4.59,1001626
2022-08-25,FRZA,4.42,643850
2022-08-26,FRZA,3.89,1028364
2022-08-29,FRZA,3.91,377036
2022-08-30,FRZA,3.7,354647
2022-08-31,FRZA,3.77,595668
2022-09-01,FRZA,3.72,415780
2022-09-02,FRZA,4.39,12124040
2022-09-06,FRZA,3.4,1026434
2022-09-07,FRZA,3.3,387256
2022-09-08,FRZA,3.26,215145
2022-09-09,FRZA,3.36,547214
2022-09-12,FRZA,3.14,305538
2022-09-13,FRZA,2.82,338996
2022-09-14,FRZA,2.96,237731
2022-09-15,FRZA,2.82,210465
2022-09-16,FRZA,2.58,266659
2022-09-19,FRZA,2.36,266432
2022-09-20,FRZA,2.28,202958
2022-09-21,FRZA,2.19,122707
2022-09-22,FRZA,2.53,2412462
2022-09-23,FRZA,2.14,321089
2022-09-26,FRZA,2.11,164500
2022-09-27,FRZA,2.04,116043
2022-09-28,FRZA,2.1,101701
2022-09-29,FRZA,1.95,115447
2022-09-30,FRZA,1.93,85083
2022-10-03,FRZA,1.97,61460
2022-10-04,FRZA,2.02,49446
2022-10-05,FRZA,2.05,49749
2022-10-06,FRZA,2.08,70510
2022-10-07,FRZA,1.93,54045
2022-10-10,FRZA,1.93,28117
2022-10-11,FRZA,1.87,30757
2022-10-12,FRZA,1.82,61398
2022-10-13,FRZA,1.8,111732
2022-10-14,FRZA,1.8,46353
2022-10-17,FRZA,1.79,102480
2022-10-18,FRZA,1.7356,34452
2022-10-19,FRZA,1.71,13721
2022-10-20,FRZA,1.73,42931
2022-10-21,FRZA,1.72,66217
2022-10-24,FRZA,1.59,85942
2022-10-25,FRZA,1.68,40748
2022-10-26,FRZA,1.67,43649
2022-10-27,FRZA,1.63,23684
2022-10-28,FRZA,1.67,33687
2022-10-31,FRZA,1.66,33269
2022-11-01,FRZA,1.69,35853
2022-11-02,FRZA,2.45,57567377
2022-11-03,FRZA,2.59,5221404
2022-11-04,FRZA,2.34,1372911
2022-11-07,FRZA,2.33,616873
2022-11-08,FRZA,2.09,218338
2022-11-09,FRZA,1.56,458943
2022-11-10,FRZA,1.69,188847
2022-11-11,FRZA,1.79,125670
2022-11-14,FRZA,1.86,73932
2022-11-15,FRZA,2.01,186097
2022-11-16,FRZA,1.91,70827
2022-11-17,FRZA,1.9,60429
2022-11-18,FRZA,1.87,63497
2022-11-21,FRZA,1.72,86133
2022-11-22,FRZA,1.68,56723
2022-11-23,FRZA,1.68,18266
2022-11-25,FRZA,1.67,11769
2022-11-28,FRZA,1.6,41057
2022-11-29,FRZA,1.5,50319
2022-11-30,FRZA,1.53,47254
2022-12-01,FRZA,1.5,75202
2022-12-02,FRZA,1.58,495246
2022-12-05,FRZA,1.59,119253
2022-12-06,FRZA,1.37,281406
2022-12-07,FRZA,1.36,59311
2022-12-08,FRZA,1.47,54735
2022-12-09,FRZA,1.46,44899
2022-12-12,FRZA,1.38,70570
2022-12-13,FRZA,1.45,35293
2022-12-14,FRZA,1.43,37796
2022-12-15,FRZA,1.33,40958
2022-12-16,FRZA,1.24,53935
2022-12-19,FRZA,1.12,53495
