ds,symbol,close,volume
2006-11-17,FSLR,24.74,18310356
2006-11-20,FSLR,25.0,1688963
2006-11-21,FSLR,24.6,1179813
2006-11-22,FSLR,26.88,1260752
2006-11-24,FSLR,27.75,350251
2006-11-27,FSLR,28.35,910473
2006-11-28,FSLR,28.17,587427
2006-11-29,FSLR,28.27,414635
2006-11-30,FSLR,28.3,245668
2006-12-01,FSLR,27.89,257298
2006-12-04,FSLR,27.88,482991
2006-12-05,FSLR,27.08,782351
2006-12-06,FSLR,27.2,138236
2006-12-07,FSLR,27.32,155032
2006-12-08,FSLR,27.53,55222
2006-12-11,FSLR,27.95,232649
2006-12-12,FSLR,27.2,371691
2006-12-13,FSLR,27.64,547779
2006-12-14,FSLR,27.93,837635
2006-12-15,FSLR,29.05,2069209
2006-12-18,FSLR,28.59,738847
2006-12-19,FSLR,27.79,470726
2006-12-20,FSLR,27.78,284125
2006-12-21,FSLR,26.69,616652
2006-12-22,FSLR,27.53,151163
2006-12-26,FSLR,27.1,87501
2006-12-27,FSLR,28.81,788267
2006-12-28,FSLR,29.86,1406102
2006-12-29,FSLR,29.84,355545
2007-01-03,FSLR,28.5,490043
2007-01-04,FSLR,28.75,325428
2007-01-05,FSLR,28.15,524303
2007-01-08,FSLR,28.9,317098
2007-01-09,FSLR,29.27,232733
2007-01-10,FSLR,29.16,267718
2007-01-11,FSLR,29.34,362361
2007-01-12,FSLR,29.53,176341
2007-01-16,FSLR,29.27,214640
2007-01-17,FSLR,29.02,256793
2007-01-18,FSLR,28.32,258483
2007-01-19,FSLR,27.71,352910
2007-01-22,FSLR,27.88,400630
2007-01-23,FSLR,28.85,504190
2007-01-24,FSLR,29.15,211244
2007-01-25,FSLR,29.43,472375
2007-01-26,FSLR,29.14,211002
2007-01-29,FSLR,31.14,569040
2007-01-30,FSLR,32.72,990256
2007-01-31,FSLR,32.37,460582
2007-02-01,FSLR,32.66,142618
2007-02-02,FSLR,31.2,461026
2007-02-05,FSLR,32.78,456111
2007-02-06,FSLR,32.81,246357
2007-02-07,FSLR,33.44,241923
2007-02-08,FSLR,33.79,350365
2007-02-09,FSLR,32.86,478002
2007-02-12,FSLR,33.1,344452
2007-02-13,FSLR,34.28,1443254
2007-02-14,FSLR,43.72,5905949
2007-02-15,FSLR,44.98,2146175
2007-02-16,FSLR,45.26,432370
2007-02-20,FSLR,49.21,1229457
2007-02-21,FSLR,51.19,1787907
2007-02-22,FSLR,49.2,1059041
2007-02-23,FSLR,49.43,936137
2007-02-26,FSLR,51.85,1294326
2007-02-27,FSLR,49.01,1729999
2007-02-28,FSLR,47.75,1583736
2007-03-01,FSLR,47.88,939527
2007-03-02,FSLR,46.27,786899
2007-03-05,FSLR,44.1301,1154530
2007-03-06,FSLR,46.3,1134039
2007-03-07,FSLR,47.62,797835
2007-03-08,FSLR,51.87,1892776
2007-03-09,FSLR,52.06,1500380
2007-03-12,FSLR,57.91,2414373
2007-03-13,FSLR,53.72,2648111
2007-03-14,FSLR,54.46,2064353
2007-03-15,FSLR,52.69,1657891
2007-03-16,FSLR,51.52,1734447
2007-03-19,FSLR,52.5,1144314
2007-03-20,FSLR,52.3,1152066
2007-03-21,FSLR,54.5,1406568
2007-03-22,FSLR,58.14,3086129
2007-03-23,FSLR,58.25,1646872
2007-03-26,FSLR,57.01,1364309
2007-03-27,FSLR,55.44,2644256
2007-03-28,FSLR,54.5,1421864
2007-03-29,FSLR,53.2,1893684
2007-03-30,FSLR,52.01,1335266
2007-04-02,FSLR,55.89,1701810
2007-04-03,FSLR,55.75,1176896
2007-04-04,FSLR,57.29,1205286
2007-04-05,FSLR,56.46,883267
2007-04-09,FSLR,57.51,959181
2007-04-10,FSLR,60.15,2578061
2007-04-11,FSLR,62.23,3056495
2007-04-12,FSLR,62.91,1351598
2007-04-13,FSLR,61.258,1646377
2007-04-16,FSLR,64.9399,2147708
2007-04-17,FSLR,62.39,2005687
2007-04-18,FSLR,61.76,1711356
2007-04-19,FSLR,60.17,1530563
2007-04-20,FSLR,60.91,1158849
2007-04-23,FSLR,63.14,1368598
2007-04-24,FSLR,63.67,1053789
2007-04-25,FSLR,64.89,1730669
2007-04-26,FSLR,63.95,1094281
2007-04-27,FSLR,63.64,821246
2007-04-30,FSLR,59.99,1576381
2007-05-01,FSLR,55.04,3318521
2007-05-02,FSLR,58.9,2191491
2007-05-03,FSLR,57.95,2068502
2007-05-04,FSLR,66.7,6101000
2007-05-07,FSLR,69.63,4185162
2007-05-08,FSLR,68.82,2037959
2007-05-09,FSLR,68.58,1422449
2007-05-10,FSLR,68.7,2976648
2007-05-11,FSLR,67.87,2068433
2007-05-14,FSLR,65.26,1938848
2007-05-15,FSLR,63.37,2245531
2007-05-16,FSLR,64.126,2284962
2007-05-17,FSLR,65.17,1667781
2007-05-18,FSLR,63.42,3615526
2007-05-21,FSLR,62.03,2553331
2007-05-22,FSLR,64.9,2567432
2007-05-23,FSLR,65.87,2455981
2007-05-24,FSLR,65.03,1784236
2007-05-25,FSLR,66.72,984301
2007-05-29,FSLR,67.13,1281278
2007-05-30,FSLR,68.3,1494517
2007-05-31,FSLR,68.04,1893350
2007-06-01,FSLR,68.17,830835
2007-06-04,FSLR,68.733,1167205
2007-06-05,FSLR,71.83,1708174
2007-06-06,FSLR,71.36,1982972
2007-06-07,FSLR,70.54,1322197
2007-06-08,FSLR,71.29,961649
2007-06-11,FSLR,70.94,1065607
2007-06-12,FSLR,71.04,2221027
2007-06-13,FSLR,74.34,1810122
2007-06-14,FSLR,74.96,1609350
2007-06-15,FSLR,78.09,1872323
2007-06-18,FSLR,78.28,1185485
2007-06-19,FSLR,79.2,1416489
2007-06-20,FSLR,80.82,2221387
2007-06-21,FSLR,80.21,1868590
2007-06-22,FSLR,84.64,5489239
2007-06-25,FSLR,86.35,2666772
2007-06-26,FSLR,88.27,2667179
2007-06-27,FSLR,88.66,2404432
2007-06-28,FSLR,90.15,2069562
2007-06-29,FSLR,89.27,2262310
2007-07-02,FSLR,93.74,1539792
2007-07-03,FSLR,97.46,2042535
2007-07-05,FSLR,94.53,2463687
2007-07-06,FSLR,96.33,1308867
2007-07-09,FSLR,119.3401,9021395
2007-07-10,FSLR,114.7048,4147856
2007-07-11,FSLR,113.45,2828815
2007-07-12,FSLR,114.56,2527997
2007-07-13,FSLR,115.92,2620266
2007-07-16,FSLR,112.05,3944028
2007-07-17,FSLR,109.4,3745785
2007-07-18,FSLR,109.9101,3176626
2007-07-19,FSLR,111.64,2022430
2007-07-20,FSLR,110.07,1988700
2007-07-23,FSLR,108.75,1025855
2007-07-24,FSLR,107.1601,2162361
2007-07-25,FSLR,108.0799,1814500
2007-07-26,FSLR,107.26,1887361
2007-07-27,FSLR,110.6899,1800478
2007-07-30,FSLR,120.3499,3186498
2007-07-31,FSLR,112.53,4026187
2007-08-01,FSLR,107.69,5270962
2007-08-02,FSLR,104.53,4311278
2007-08-03,FSLR,100.08,2270847
2007-08-06,FSLR,98.5,3245130
2007-08-07,FSLR,105.32,3225596
2007-08-08,FSLR,109.51,2454308
2007-08-09,FSLR,103.02,2350383
2007-08-10,FSLR,94.4201,6818854
2007-08-13,FSLR,95.25,2233506
2007-08-14,FSLR,91.55,2025892
2007-08-15,FSLR,87.54,3040903
2007-08-16,FSLR,81.87,5322025
2007-08-17,FSLR,85.05,3599982
2007-08-20,FSLR,94.01,4202322
2007-08-21,FSLR,96.49,2380296
2007-08-22,FSLR,99.07,1883157
2007-08-23,FSLR,94.2,1905128
2007-08-24,FSLR,97.55,1518482
2007-08-27,FSLR,96.0,714046
2007-08-28,FSLR,90.81,1387519
2007-08-29,FSLR,95.79,1617043
2007-08-30,FSLR,102.49,3185772
2007-08-31,FSLR,103.74,3483788
2007-09-04,FSLR,106.98,1919253
2007-09-05,FSLR,106.5,1795499
2007-09-06,FSLR,104.1801,1479306
2007-09-07,FSLR,100.064,2114888
2007-09-10,FSLR,100.42,1530603
2007-09-11,FSLR,101.81,2893499
2007-09-12,FSLR,98.18,5783099
2007-09-13,FSLR,99.9,2596581
2007-09-14,FSLR,98.33,1092221
2007-09-17,FSLR,94.79,1575862
2007-09-18,FSLR,101.082,2215690
2007-09-19,FSLR,100.9301,2240502
2007-09-20,FSLR,103.0,2782014
2007-09-21,FSLR,112.55,4141174
2007-09-24,FSLR,112.8,3452949
2007-09-25,FSLR,113.82,2146886
2007-09-26,FSLR,114.4,2102231
2007-09-27,FSLR,110.03,5591572
2007-09-28,FSLR,117.7399,5686180
2007-10-01,FSLR,126.96,4780400
2007-10-02,FSLR,131.53,3647301
2007-10-03,FSLR,127.92,3400646
2007-10-04,FSLR,131.84,2307630
2007-10-05,FSLR,137.0301,2772072
2007-10-08,FSLR,137.3,1612433
2007-10-09,FSLR,137.22,2404764
2007-10-10,FSLR,135.9,1739148
2007-10-11,FSLR,130.0,2907909
2007-10-12,FSLR,135.7199,1892075
2007-10-15,FSLR,134.95,1767567
2007-10-16,FSLR,138.93,1854703
2007-10-17,FSLR,139.09,5455043
2007-10-18,FSLR,140.57,2431429
2007-10-19,FSLR,133.24,2347008
2007-10-22,FSLR,136.9,2948374
2007-10-23,FSLR,150.16,4227076
2007-10-24,FSLR,148.38,4033496
2007-10-25,FSLR,149.97,4355316
2007-10-26,FSLR,150.44,1890726
2007-10-29,FSLR,156.2,2088477
2007-10-30,FSLR,149.75,1988012
2007-10-31,FSLR,158.81,2606630
2007-11-01,FSLR,155.35,2528148
