ds,symbol,close,volume
2019-05-17,FSLY,23.99,16103220
2019-05-20,FSLY,24.25,2737185
2019-05-21,FSLY,22.66,1635200
2019-05-22,FSLY,22.52,1105683
2019-05-23,FSLY,22.5,1571928
2019-05-24,FSLY,21.5,1146123
2019-05-28,FSLY,21.98,626044
2019-05-29,FSLY,21.26,827479
2019-05-30,FSLY,21.79,232618
2019-05-31,FSLY,20.8,715945
2019-06-03,FSLY,20.04,974196
2019-06-04,FSLY,20.92,350733
2019-06-05,FSLY,19.77,604817
2019-06-06,FSLY,20.13,526392
2019-06-07,FSLY,21.24,570639
2019-06-10,FSLY,22.86,866201
2019-06-11,FSLY,22.87,1151276
2019-06-12,FSLY,20.61,755656
2019-06-13,FSLY,21.0,477708
2019-06-14,FSLY,19.85,417341
2019-06-17,FSLY,19.28,541628
2019-06-18,FSLY,18.07,986130
2019-06-19,FSLY,19.17,973493
2019-06-20,FSLY,19.48,537512
2019-06-21,FSLY,18.2,1295533
2019-06-24,FSLY,17.5,755895
2019-06-25,FSLY,17.13,1023388
2019-06-26,FSLY,17.48,801667
2019-06-27,FSLY,18.86,846032
2019-06-28,FSLY,20.28,1089030
2019-07-01,FSLY,20.47,842898
2019-07-02,FSLY,20.13,601313
2019-07-03,FSLY,20.55,396739
2019-07-05,FSLY,21.1,311181
2019-07-08,FSLY,20.38,386272
2019-07-09,FSLY,19.5,675476
2019-07-10,FSLY,19.44,454540
2019-07-11,FSLY,20.05,648817
2019-07-12,FSLY,21.08,409261
2019-07-15,FSLY,22.14,495951
2019-07-16,FSLY,21.28,566756
2019-07-17,FSLY,21.63,381024
2019-07-18,FSLY,21.36,206038
2019-07-19,FSLY,21.89,533533
2019-07-22,FSLY,21.53,375420
2019-07-23,FSLY,21.78,368027
2019-07-24,FSLY,22.0,478973
2019-07-25,FSLY,22.97,766713
2019-07-26,FSLY,24.68,894288
2019-07-29,FSLY,23.37,934658
2019-07-30,FSLY,23.19,553575
2019-07-31,FSLY,21.7,1261937
2019-08-01,FSLY,19.53,1193869
2019-08-02,FSLY,18.94,887143
2019-08-05,FSLY,19.8,680257
2019-08-06,FSLY,20.74,576212
2019-08-07,FSLY,19.58,1140594
2019-08-08,FSLY,21.1,1153578
2019-08-09,FSLY,17.29,4307167
2019-08-12,FSLY,16.02,982164
2019-08-13,FSLY,15.95,947627
2019-08-14,FSLY,14.85,934814
2019-08-15,FSLY,15.77,681644
2019-08-16,FSLY,16.39,1697225
2019-08-19,FSLY,17.42,770700
2019-08-20,FSLY,19.74,1480021
2019-08-21,FSLY,21.0,1935150
2019-08-22,FSLY,24.53,4921267
2019-08-23,FSLY,25.0,5511440
2019-08-26,FSLY,27.56,3542917
2019-08-27,FSLY,29.41,3423938
2019-08-28,FSLY,31.92,2804481
2019-08-29,FSLY,27.94,5356539
2019-08-30,FSLY,31.6,2678525
2019-09-03,FSLY,31.02,1430447
2019-09-04,FSLY,32.53,2214594
2019-09-05,FSLY,33.81,1742897
2019-09-06,FSLY,31.47,1352579
2019-09-09,FSLY,27.23,3059011
2019-09-10,FSLY,28.64,2149276
2019-09-11,FSLY,32.3,2880600
2019-09-12,FSLY,30.11,1592807
2019-09-13,FSLY,29.04,2103035
2019-09-16,FSLY,27.97,1189696
2019-09-17,FSLY,28.2,1062291
2019-09-18,FSLY,28.61,996145
2019-09-19,FSLY,26.62,1411521
2019-09-20,FSLY,25.14,1496801
2019-09-23,FSLY,27.36,1133181
2019-09-24,FSLY,26.66,992302
2019-09-25,FSLY,26.53,506612
2019-09-26,FSLY,24.39,1373674
2019-09-27,FSLY,21.63,2305278
2019-09-30,FSLY,24.0,1293509
2019-10-01,FSLY,23.57,1389441
2019-10-02,FSLY,22.66,681594
2019-10-03,FSLY,23.35,820297
2019-10-04,FSLY,23.4,519788
2019-10-07,FSLY,25.11,978856
2019-10-08,FSLY,25.99,1000025
2019-10-09,FSLY,25.77,476259
2019-10-10,FSLY,24.89,603728
2019-10-11,FSLY,24.08,865147
2019-10-14,FSLY,23.0,715379
2019-10-15,FSLY,23.34,419073
2019-10-16,FSLY,22.32,775910
2019-10-17,FSLY,23.46,617203
2019-10-18,FSLY,22.7,780691
2019-10-21,FSLY,22.07,947628
2019-10-22,FSLY,19.94,1574809
2019-10-23,FSLY,20.02,632488
2019-10-24,FSLY,20.75,553818
2019-10-25,FSLY,21.23,600510
2019-10-28,FSLY,20.7,525687
2019-10-29,FSLY,20.52,472173
2019-10-30,FSLY,20.98,487755
2019-10-31,FSLY,20.02,419191
2019-11-01,FSLY,20.74,369514
2019-11-04,FSLY,21.04,451224
2019-11-05,FSLY,21.36,540184
2019-11-06,FSLY,19.42,1206034
2019-11-07,FSLY,18.97,1064374
2019-11-08,FSLY,18.68,3105803
2019-11-11,FSLY,18.48,981622
2019-11-12,FSLY,19.04,2089483
2019-11-13,FSLY,20.79,10739324
2019-11-14,FSLY,20.61,1750945
2019-11-15,FSLY,20.65,1993470
2019-11-18,FSLY,21.28,2654663
2019-11-19,FSLY,21.25,2705841
2019-11-20,FSLY,22.1,2292426
2019-11-21,FSLY,22.08,2070815
2019-11-22,FSLY,23.3,1234060
2019-11-25,FSLY,21.77,2124118
2019-11-26,FSLY,20.26,2319930
2019-11-27,FSLY,20.54,1148376
2019-11-29,FSLY,20.41,463840
2019-12-02,FSLY,19.85,1320591
2019-12-03,FSLY,19.18,1296014
2019-12-04,FSLY,20.47,1387896
2019-12-05,FSLY,20.47,1201820
2019-12-06,FSLY,21.18,1438211
2019-12-09,FSLY,20.82,1020366
2019-12-10,FSLY,21.0,691276
2019-12-11,FSLY,20.25,1048308
2019-12-12,FSLY,19.85,1029474
2019-12-13,FSLY,20.01,772257
2019-12-16,FSLY,19.79,1399274
2019-12-17,FSLY,18.94,1539573
2019-12-18,FSLY,18.75,1327679
2019-12-19,FSLY,18.97,895588
2019-12-20,FSLY,19.14,1047269
2019-12-23,FSLY,18.9,1039147
2019-12-24,FSLY,18.79,547768
2019-12-26,FSLY,20.22,1218117
2019-12-27,FSLY,20.57,1486029
2019-12-30,FSLY,19.52,1182803
2019-12-31,FSLY,20.07,708203
2020-01-02,FSLY,21.5,2028184
2020-01-03,FSLY,21.76,1319094
2020-01-06,FSLY,21.86,1626137
2020-01-07,FSLY,21.4,1293830
2020-01-08,FSLY,21.79,758513
2020-01-09,FSLY,21.61,880139
2020-01-10,FSLY,21.23,838469
2020-01-13,FSLY,22.15,906482
2020-01-14,FSLY,22.05,742013
2020-01-15,FSLY,22.76,1238338
2020-01-16,FSLY,24.08,2963011
2020-01-17,FSLY,24.41,1642055
2020-01-21,FSLY,24.44,1985087
2020-01-22,FSLY,24.66,1730083
2020-01-23,FSLY,25.18,1483495
2020-01-24,FSLY,24.01,1757301
2020-01-27,FSLY,22.86,1045492
2020-01-28,FSLY,23.66,965750
2020-01-29,FSLY,24.3,1224894
2020-01-30,FSLY,23.35,1207743
2020-01-31,FSLY,22.51,1427062
2020-02-03,FSLY,22.43,1398181
2020-02-04,FSLY,22.75,1422573
2020-02-05,FSLY,21.07,3297820
2020-02-06,FSLY,21.71,1093839
