ds,symbol,close,volume
2019-07-18,FULC,13.5,1241204
2019-07-19,FULC,12.55,330378
2019-07-22,FULC,12.8,147130
2019-07-23,FULC,13.01,152226
2019-07-24,FULC,13.25,92984
2019-07-25,FULC,13.25,18309
2019-07-26,FULC,14.14,83979
2019-07-29,FULC,14.89,108709
2019-07-30,FULC,14.75,21523
2019-07-31,FULC,13.85,34307
2019-08-01,FULC,14.74,40564
2019-08-02,FULC,12.84,59859
2019-08-05,FULC,12.45,44746
2019-08-06,FULC,12.49,30440
2019-08-07,FULC,12.05,32278
2019-08-08,FULC,12.5,55580
2019-08-09,FULC,11.62,54363
2019-08-12,FULC,11.15,116741
2019-08-13,FULC,11.31,59748
2019-08-14,FULC,10.15,53161
2019-08-15,FULC,9.26,41690
2019-08-16,FULC,9.04,39279
2019-08-19,FULC,10.96,135805
2019-08-20,FULC,11.49,100807
2019-08-21,FULC,11.36,84452
2019-08-22,FULC,11.61,68509
2019-08-23,FULC,10.14,71806
2019-08-26,FULC,11.03,33369
2019-08-27,FULC,10.87,54543
2019-08-28,FULC,10.09,39669
2019-08-29,FULC,10.92,46656
2019-08-30,FULC,10.76,55667
2019-09-03,FULC,10.41,138060
2019-09-04,FULC,10.99,80066
2019-09-05,FULC,11.43,137387
2019-09-06,FULC,11.97,81649
2019-09-09,FULC,11.64,16063
2019-09-10,FULC,11.2,63238
2019-09-11,FULC,11.41,38330
2019-09-12,FULC,10.85,20590
2019-09-13,FULC,10.0,21764
2019-09-16,FULC,9.13,43891
2019-09-17,FULC,9.45,21151
2019-09-18,FULC,8.89,34549
2019-09-19,FULC,8.55,51847
2019-09-20,FULC,8.67,379203
2019-09-23,FULC,8.68,44705
2019-09-24,FULC,7.76,110897
2019-09-25,FULC,7.55,97700
2019-09-26,FULC,7.69,29780
2019-09-27,FULC,7.6,23841
2019-09-30,FULC,6.64,55142
2019-10-01,FULC,6.7,84722
2019-10-02,FULC,6.59,20350
2019-10-03,FULC,6.48,86135
2019-10-04,FULC,6.67,31149
2019-10-07,FULC,6.46,71547
2019-10-08,FULC,5.77,74211
2019-10-09,FULC,5.26,37769
2019-10-10,FULC,5.33,34055
2019-10-11,FULC,5.29,29242
2019-10-14,FULC,5.1,88942
2019-10-15,FULC,4.96,43989
2019-10-16,FULC,4.77,37853
2019-10-17,FULC,4.72,22576
2019-10-18,FULC,4.57,44748
2019-10-21,FULC,4.46,24403
2019-10-22,FULC,5.17,421243
2019-10-23,FULC,5.84,76126
2019-10-24,FULC,5.81,95764
2019-10-25,FULC,5.95,79430
2019-10-28,FULC,6.06,89187
2019-10-29,FULC,6.35,73016
2019-10-30,FULC,6.33,43958
2019-10-31,FULC,6.27,53620
2019-11-01,FULC,6.11,26237
2019-11-04,FULC,6.09,46673
2019-11-05,FULC,6.37,54305
2019-11-06,FULC,6.41,32306
2019-11-07,FULC,6.56,53288
2019-11-08,FULC,7.02,57767
2019-11-11,FULC,7.92,72896
2019-11-12,FULC,7.88,84441
2019-11-13,FULC,7.9,34213
2019-11-14,FULC,7.64,93506
2019-11-15,FULC,8.0,54998
2019-11-18,FULC,8.07,78231
2019-11-19,FULC,10.09,57203
2019-11-20,FULC,12.16,81299
2019-11-21,FULC,12.65,60455
2019-11-22,FULC,14.02,109016
2019-11-25,FULC,15.01,145356
2019-11-26,FULC,13.52,117723
2019-11-27,FULC,13.89,63992
2019-11-29,FULC,12.35,34572
2019-12-02,FULC,12.28,17203
2019-12-03,FULC,12.29,51818
2019-12-04,FULC,11.58,45427
2019-12-05,FULC,10.96,25145
2019-12-06,FULC,12.17,72551
2019-12-09,FULC,12.36,22898
2019-12-10,FULC,12.91,10917
2019-12-11,FULC,13.53,9980
2019-12-12,FULC,13.5,46150
2019-12-13,FULC,11.76,36213
2019-12-16,FULC,12.36,32720
2019-12-17,FULC,11.33,26759
2019-12-18,FULC,13.07,59678
2019-12-19,FULC,13.38,20281
2019-12-20,FULC,14.28,106000
2019-12-23,FULC,16.48,214248
2019-12-24,FULC,17.79,32740
2019-12-26,FULC,18.14,84178
2019-12-27,FULC,16.95,51945
2019-12-30,FULC,17.45,28322
2019-12-31,FULC,16.64,64795
2020-01-02,FULC,15.86,22465
2020-01-03,FULC,15.94,34811
2020-01-06,FULC,16.56,54838
2020-01-07,FULC,16.77,27860
2020-01-08,FULC,18.15,69099
2020-01-09,FULC,18.27,18286
2020-01-10,FULC,18.51,92284
2020-01-13,FULC,21.26,212510
2020-01-14,FULC,18.54,161580
2020-01-15,FULC,18.36,51154
2020-01-16,FULC,18.88,45575
2020-01-17,FULC,19.89,150556
2020-01-21,FULC,18.98,60474
2020-01-22,FULC,17.53,85350
2020-01-23,FULC,16.87,65997
2020-01-24,FULC,17.0,105622
2020-01-27,FULC,18.13,109050
2020-01-28,FULC,17.4,95968
2020-01-29,FULC,18.23,96862
2020-01-30,FULC,17.89,64923
2020-01-31,FULC,17.24,61220
2020-02-03,FULC,17.12,69691
2020-02-04,FULC,17.0,113098
2020-02-05,FULC,16.86,55555
2020-02-06,FULC,16.72,58747
2020-02-07,FULC,17.97,50519
2020-02-10,FULC,16.2,47971
2020-02-11,FULC,16.2,58493
2020-02-12,FULC,15.68,41328
2020-02-13,FULC,14.96,58537
2020-02-14,FULC,15.2,24894
2020-02-18,FULC,18.5,83877
2020-02-19,FULC,17.19,110704
2020-02-20,FULC,18.96,60801
2020-02-21,FULC,19.22,51943
2020-02-24,FULC,16.4,88701
2020-02-25,FULC,16.17,55504
2020-02-26,FULC,18.29,96853
2020-02-27,FULC,18.39,80019
2020-02-28,FULC,18.92,122022
2020-03-02,FULC,18.06,64114
2020-03-03,FULC,17.7,60265
2020-03-04,FULC,18.0,45726
2020-03-05,FULC,18.5,74711
2020-03-06,FULC,17.6,98751
2020-03-09,FULC,14.34,73887
2020-03-10,FULC,13.0,94429
2020-03-11,FULC,11.1,104348
2020-03-12,FULC,10.41,88999
2020-03-13,FULC,16.03,110278
2020-03-16,FULC,10.45,84607
2020-03-17,FULC,11.65,71809
