ds,symbol,close,volume
2021-10-01,FWRG,22.13,3651966
2021-10-04,FWRG,21.5,873426
2021-10-05,FWRG,21.3,845636
2021-10-06,FWRG,22.18,520028
2021-10-07,FWRG,21.71,245235
2021-10-08,FWRG,22.31,173796
2021-10-11,FWRG,20.83,274130
2021-10-12,FWRG,21.31,497165
2021-10-13,FWRG,22.0,324565
2021-10-14,FWRG,21.65,296969
2021-10-15,FWRG,21.59,106979
2021-10-18,FWRG,21.71,233300
2021-10-19,FWRG,21.23,328717
2021-10-20,FWRG,21.11,485695
2021-10-21,FWRG,21.8,162316
2021-10-22,FWRG,22.52,310690
2021-10-25,FWRG,21.48,216417
2021-10-26,FWRG,21.9,282232
2021-10-27,FWRG,21.84,146279
2021-10-28,FWRG,21.88,282295
2021-10-29,FWRG,21.58,216952
2021-11-01,FWRG,20.99,317342
2021-11-02,FWRG,21.08,320988
2021-11-03,FWRG,20.6,267367
2021-11-04,FWRG,20.37,639426
2021-11-05,FWRG,20.12,567501
2021-11-08,FWRG,20.69,355529
2021-11-09,FWRG,20.49,352178
2021-11-10,FWRG,20.05,303165
2021-11-11,FWRG,19.42,365730
2021-11-12,FWRG,20.06,142629
2021-11-15,FWRG,20.38,203280
2021-11-16,FWRG,20.43,384983
2021-11-17,FWRG,20.03,209528
2021-11-18,FWRG,20.0,149188
2021-11-19,FWRG,21.14,366410
2021-11-22,FWRG,20.66,137427
2021-11-23,FWRG,19.78,198308
2021-11-24,FWRG,20.29,122237
2021-11-26,FWRG,20.37,104791
2021-11-29,FWRG,20.41,215783
2021-11-30,FWRG,19.93,143888
2021-12-01,FWRG,19.76,156900
2021-12-02,FWRG,20.28,192658
2021-12-03,FWRG,20.15,193803
2021-12-06,FWRG,20.24,184899
2021-12-07,FWRG,21.12,220660
2021-12-08,FWRG,20.52,199898
2021-12-09,FWRG,19.97,131239
2021-12-10,FWRG,19.52,369436
2021-12-13,FWRG,18.0,409070
2021-12-14,FWRG,17.47,520760
2021-12-15,FWRG,17.75,289379
2021-12-16,FWRG,16.36,367330
2021-12-17,FWRG,16.08,2079519
2021-12-20,FWRG,15.67,300003
2021-12-21,FWRG,15.35,456223
2021-12-22,FWRG,15.58,163976
2021-12-23,FWRG,15.97,243520
2021-12-27,FWRG,16.75,207189
2021-12-28,FWRG,16.39,157442
2021-12-29,FWRG,15.94,280316
2021-12-30,FWRG,16.59,308859
2021-12-31,FWRG,16.76,130929
2022-01-03,FWRG,17.43,184897
2022-01-04,FWRG,16.99,304306
2022-01-05,FWRG,16.05,150466
2022-01-06,FWRG,15.79,176142
2022-01-07,FWRG,15.3,309263
2022-01-10,FWRG,15.69,507720
2022-01-11,FWRG,15.53,123035
2022-01-12,FWRG,14.8,167894
2022-01-13,FWRG,15.18,130593
2022-01-14,FWRG,15.53,157036
2022-01-18,FWRG,14.62,249901
2022-01-19,FWRG,13.54,210210
2022-01-20,FWRG,13.79,299464
2022-01-21,FWRG,13.68,166560
2022-01-24,FWRG,14.74,276568
2022-01-25,FWRG,14.11,186966
2022-01-26,FWRG,13.73,137114
2022-01-27,FWRG,13.72,141729
2022-01-28,FWRG,14.0,126175
2022-01-31,FWRG,15.04,236486
2022-02-01,FWRG,15.48,141047
2022-02-02,FWRG,15.2,120727
2022-02-03,FWRG,14.95,106661
2022-02-04,FWRG,14.71,251643
2022-02-07,FWRG,14.72,214236
2022-02-08,FWRG,15.11,221154
2022-02-09,FWRG,15.93,266940
2022-02-10,FWRG,16.37,507204
2022-02-11,FWRG,16.41,185693
2022-02-14,FWRG,16.09,97514
2022-02-15,FWRG,16.52,94838
2022-02-16,FWRG,16.29,136369
2022-02-17,FWRG,15.54,69118
2022-02-18,FWRG,15.44,63155
2022-02-22,FWRG,14.83,93920
2022-02-23,FWRG,14.18,112846
2022-02-24,FWRG,14.42,507239
2022-02-25,FWRG,14.79,99027
2022-02-28,FWRG,14.51,172801
2022-03-01,FWRG,14.13,188738
2022-03-02,FWRG,14.19,180724
2022-03-03,FWRG,13.88,104023
2022-03-04,FWRG,13.47,80246
2022-03-07,FWRG,12.43,190476
2022-03-08,FWRG,12.34,365500
2022-03-09,FWRG,12.6,461752
2022-03-10,FWRG,12.44,282422
2022-03-11,FWRG,12.26,204853
2022-03-14,FWRG,11.82,168162
2022-03-15,FWRG,12.37,201616
2022-03-16,FWRG,13.04,154324
2022-03-17,FWRG,12.96,112347
2022-03-18,FWRG,13.46,290310
2022-03-21,FWRG,12.8,168945
2022-03-22,FWRG,13.05,200664
2022-03-23,FWRG,12.71,447929
2022-03-24,FWRG,12.83,145115
2022-03-25,FWRG,12.58,166026
2022-03-28,FWRG,12.62,193945
2022-03-29,FWRG,13.51,298379
2022-03-30,FWRG,13.49,211620
2022-03-31,FWRG,13.05,111549
2022-04-01,FWRG,12.75,171620
2022-04-04,FWRG,13.46,422872
2022-04-05,FWRG,12.88,167320
2022-04-06,FWRG,12.53,155895
2022-04-07,FWRG,12.18,153521
2022-04-08,FWRG,12.02,61911
2022-04-11,FWRG,12.17,119006
2022-04-12,FWRG,12.27,98411
2022-04-13,FWRG,12.76,47966
2022-04-14,FWRG,12.65,60321
2022-04-18,FWRG,12.43,95546
2022-04-19,FWRG,12.71,83047
2022-04-20,FWRG,12.65,93573
2022-04-21,FWRG,12.31,68263
2022-04-22,FWRG,12.27,62359
