ds,symbol,close,volume
2003-12-16,GBLI,29.2094277727,2079000
2003-12-17,GBLI,28.7086947252,130600
2003-12-18,GBLI,28.5417837094,106400
2003-12-19,GBLI,28.5751659125,33600
2003-12-22,GBLI,28.3748726935,25500
2003-12-23,GBLI,28.7086947252,48100
2003-12-24,GBLI,28.5751659125,4500
2003-12-26,GBLI,28.75876803,7300
2003-12-29,GBLI,28.7921502331,21200
2003-12-30,GBLI,29.1259722648,20400
2003-12-31,GBLI,29.4931764997,24600
2004-01-02,GBLI,29.5098676013,6200
2004-01-05,GBLI,29.7936163282,26500
2004-01-06,GBLI,29.559940906,20500
2004-01-07,GBLI,29.9939095472,13300
2004-01-08,GBLI,29.8804100564,7800
2004-01-09,GBLI,30.043982852,9800
2004-01-12,GBLI,30.8785379312,16100
2004-01-13,GBLI,30.7950824233,24000
2004-01-14,GBLI,31.045448947,56300
2004-01-15,GBLI,31.930077331,57300
2004-01-16,GBLI,32.0469150421,8200
2004-01-20,GBLI,32.2472082611,30100
2004-01-21,GBLI,31.729784112,22100
2004-01-22,GBLI,31.9818197459,13300
2004-01-23,GBLI,31.7130930104,17900
2004-01-26,GBLI,32.0302239405,21200
2004-01-27,GBLI,31.8299307215,26200
2004-01-28,GBLI,33.9497006227,10900
2004-01-29,GBLI,32.3807370738,18100
2004-01-30,GBLI,32.3807370738,5400
2004-02-02,GBLI,32.5977213944,12600
2004-02-03,GBLI,32.3807370738,74000
2004-02-04,GBLI,32.2638993627,6700
2004-02-05,GBLI,32.1954658462,7500
2004-02-06,GBLI,32.2138260579,93900
2004-02-09,GBLI,32.13037055,41400
2004-02-10,GBLI,32.7980146134,21200
2004-02-11,GBLI,32.13037055,3000
2004-02-12,GBLI,32.5643391912,7600
2004-02-13,GBLI,32.7980146134,4700
2004-02-17,GBLI,32.7980146134,14900
2004-02-18,GBLI,32.3139726674,1700
2004-02-19,GBLI,32.1136794484,34600
2004-02-20,GBLI,31.0788311502,76000
2004-02-23,GBLI,30.7950824233,10800
2004-02-24,GBLI,29.6600875155,32100
2004-02-25,GBLI,29.3112434924,21700
2004-02-26,GBLI,29.9438362424,4200
2004-02-27,GBLI,30.2108938678,3400
2004-03-01,GBLI,30.7116269153,44300
2004-03-02,GBLI,30.043982852,50200
2004-03-03,GBLI,30.2108938678,61900
2004-03-04,GBLI,29.8770718361,15000
2004-03-05,GBLI,29.5098676013,8800
2004-03-08,GBLI,29.760234125,18300
2004-03-09,GBLI,29.7852707774,9000
2004-03-10,GBLI,29.7936163282,5700
2004-03-11,GBLI,29.8603807345,134800
2004-03-12,GBLI,29.0425167569,95500
2004-03-15,GBLI,28.8255324363,26600
2004-03-16,GBLI,28.1745794745,20100
2004-03-17,GBLI,28.3581815919,10300
2004-03-18,GBLI,28.7420769284,6100
2004-03-19,GBLI,28.5417837094,5900
2004-03-22,GBLI,28.4416370998,29400
2004-03-23,GBLI,28.4249459983,8500
2004-03-24,GBLI,28.6085481157,7500
2004-03-25,GBLI,27.9075218491,4900
2004-03-26,GBLI,27.7739930365,25100
2004-03-29,GBLI,27.3734065984,26700
2004-03-30,GBLI,27.6237731222,61100
2004-03-31,GBLI,28.3081082872,99500
2004-04-01,GBLI,28.274726084,34400
2004-04-02,GBLI,28.7086947252,60400
2004-04-05,GBLI,28.5584748109,92400
2004-04-06,GBLI,28.8255324363,30300
2004-04-07,GBLI,29.9772184456,11100
2004-04-08,GBLI,30.043982852,3700
2004-04-12,GBLI,30.2275849694,7900
2004-04-13,GBLI,30.9286112359,9900
2004-04-14,GBLI,30.7450091185,4700
2004-04-15,GBLI,29.960527344,6200
2004-04-16,GBLI,30.8618468296,13200
2004-04-19,GBLI,30.8618468296,3100
2004-04-20,GBLI,30.6782447122,7800
2004-04-21,GBLI,30.043982852,10500
2004-04-22,GBLI,31.6630197056,13800
2004-04-23,GBLI,31.7130930104,6900
2004-04-26,GBLI,30.2609671726,11800
2004-04-27,GBLI,30.043982852,9600
2004-04-28,GBLI,28.6419303189,31200
2004-04-29,GBLI,28.074432865,6300
2004-04-30,GBLI,27.4234799032,28000
2004-05-03,GBLI,27.8407574428,22700
2004-05-04,GBLI,28.8088413347,4800
2004-05-05,GBLI,28.5084015062,3300
2004-05-06,GBLI,27.7573019349,13600
2004-05-07,GBLI,27.9409040523,2700
2004-05-10,GBLI,27.9575951539,24000
2004-05-11,GBLI,27.3066421921,25500
2004-05-12,GBLI,26.8726735509,10000
2004-05-13,GBLI,26.4387049097,6000
2004-05-14,GBLI,25.5874587289,16700
2004-05-17,GBLI,25.5206943226,4600
2004-05-18,GBLI,26.989511262,15100
2004-05-19,GBLI,25.0533434782,6100
2004-05-20,GBLI,27.4234799032,9800
2004-05-21,GBLI,27.5403176143,3800
2004-05-24,GBLI,26.7224536367,1600
2004-05-25,GBLI,26.8226002462,1600
2004-05-26,GBLI,26.4720871129,1300
2004-05-27,GBLI,26.6223070271,1800
2004-05-28,GBLI,25.8044430495,3100
2004-06-01,GBLI,25.5707676273,4300
2004-06-02,GBLI,26.0548095733,12900
2004-06-03,GBLI,25.2202544941,30400
2004-06-04,GBLI,25.6208409321,21900
2004-06-07,GBLI,25.5206943226,2000
2004-06-08,GBLI,25.4539299162,13400
2004-06-09,GBLI,25.2369455956,16000
2004-06-10,GBLI,24.9698879703,5300
2004-06-14,GBLI,24.8697413608,24300
2004-06-15,GBLI,25.0032701735,14400
2004-06-16,GBLI,25.0867256814,4100
2004-06-17,GBLI,25.019961275,3900
2004-06-18,GBLI,25.0032701735,2700
2004-06-21,GBLI,24.903123564,15100
2004-06-22,GBLI,24.8864324624,13300
2004-06-23,GBLI,25.0366523766,22000
2004-06-24,GBLI,25.0533434782,56400
2004-06-25,GBLI,25.3537833067,91500
2004-06-28,GBLI,24.8864324624,4200
2004-06-29,GBLI,25.0867256814,7200
2004-06-30,GBLI,25.3704744083,10800
2004-07-01,GBLI,25.7543697448,3000
2004-07-02,GBLI,25.5373854242,1800
2004-07-06,GBLI,26.9561290588,4100
2004-07-07,GBLI,25.3704744083,12900
2004-07-08,GBLI,25.504003221,500
2004-07-09,GBLI,25.6709142368,500
2004-07-12,GBLI,25.6208409321,16100
2004-07-13,GBLI,25.8378252527,5300
2004-07-14,GBLI,27.2899510905,4900
2004-07-15,GBLI,26.7224536367,1800
2004-07-16,GBLI,26.6056159256,12200
2004-07-19,GBLI,26.5722337224,400
2004-07-20,GBLI,26.2050294875,3900
2004-07-21,GBLI,25.8712074558,17100
2004-07-22,GBLI,25.1201078845,17900
2004-07-23,GBLI,25.1534900877,7500
2004-07-26,GBLI,25.0366523766,31400
2004-07-27,GBLI,24.8363591576,12200
2004-07-28,GBLI,24.5192282275,15700
2004-07-29,GBLI,24.4524638212,5700
2004-07-30,GBLI,24.5192282275,13100
2004-08-02,GBLI,24.5693015323,600
2004-08-03,GBLI,24.4023905164,2000
2004-08-04,GBLI,25.1201078845,35000
2004-08-05,GBLI,25.8378252527,12200
2004-08-06,GBLI,25.4539299162,5600
2004-08-09,GBLI,24.7529036497,16000
2004-08-10,GBLI,23.9016574689,10200
2004-08-11,GBLI,23.4843799293,48900
2004-08-12,GBLI,23.4242919636,4800
2004-08-13,GBLI,23.7846528468,11300
2004-08-16,GBLI,24.1687150942,3100
2004-08-17,GBLI,24.1520239927,2200
2004-08-18,GBLI,24.619374837,1900
2004-08-19,GBLI,24.3356261101,1500
2004-08-20,GBLI,24.2855528053,14000
2004-08-23,GBLI,23.534453234,14500
2004-08-24,GBLI,24.5192282275,7200
2004-08-25,GBLI,25.5874587289,20300
2004-08-26,GBLI,25.019961275,2900
2004-08-27,GBLI,25.3871655099,4000
2004-08-30,GBLI,25.7209875416,600
2004-08-31,GBLI,25.7209875416,500
2004-09-01,GBLI,25.8545163543,50
2004-09-02,GBLI,25.872876566,800
2004-09-03,GBLI,25.8545163543,400
2004-09-07,GBLI,26.1633017336,10700
2004-09-08,GBLI,25.8545163543,2800
2004-09-09,GBLI,25.8545163543,600
2004-09-10,GBLI,25.303710002,6300
2004-09-13,GBLI,25.4539299162,9500
2004-09-14,GBLI,25.4539299162,2000
2004-09-15,GBLI,25.019961275,9800
2004-09-16,GBLI,25.103416783,8200
2004-09-17,GBLI,25.3871655099,2200
2004-09-20,GBLI,26.3719405034,29200
2004-09-21,GBLI,25.8545163543,1800
2004-09-22,GBLI,25.8044430495,100
2004-09-23,GBLI,24.3356261101,1300
2004-09-24,GBLI,24.7028303449,7800
2004-09-27,GBLI,24.7028303449,800
2004-09-28,GBLI,24.7028303449,22000
2004-09-29,GBLI,24.2521706022,2700
2004-09-30,GBLI,24.2354795006,300
2004-10-01,GBLI,24.2020972974,5500
2004-10-04,GBLI,24.1186417895,27900
2004-10-05,GBLI,24.2004281872,29600
2004-10-06,GBLI,25.0366523766,2100
