ds,symbol,close,volume
1990-01-02,GCI,10.7075,453600
1990-01-03,GCI,10.7687,654400
1990-01-04,GCI,10.8604,619400
1990-01-05,GCI,10.6463,475600
1990-01-08,GCI,10.6157,322800
1990-01-09,GCI,10.4933,363400
1990-01-10,GCI,10.3404,437600
1990-01-11,GCI,10.4321,494200
1990-01-12,GCI,10.2792,610200
1990-01-15,GCI,10.0956,445400
1990-01-16,GCI,9.9121,749400
1990-01-17,GCI,10.0038,506400
1990-01-18,GCI,10.0344,522000
1990-01-19,GCI,10.0956,431200
1990-01-22,GCI,9.9121,400800
1990-01-23,GCI,9.7897,535000
1990-01-24,GCI,9.7897,631400
1990-01-25,GCI,9.6979,610000
1990-01-26,GCI,9.7285,491800
1990-01-29,GCI,9.6979,353000
1990-01-30,GCI,9.7591,595600
1990-01-31,GCI,10.0344,391600
1990-02-01,GCI,9.8203,273800
1990-02-02,GCI,9.8203,531800
1990-02-05,GCI,9.7897,376600
1990-02-06,GCI,9.7897,518400
1990-02-07,GCI,9.8815,304600
1990-02-08,GCI,9.7591,635600
1990-02-09,GCI,9.6979,813000
1990-02-12,GCI,9.7285,431400
1990-02-13,GCI,9.6979,628600
1990-02-14,GCI,9.7285,265800
1990-02-15,GCI,9.7897,313200
1990-02-16,GCI,9.7897,312800
1990-02-20,GCI,9.6979,543200
1990-02-21,GCI,9.6979,663800
1990-02-22,GCI,9.6979,589200
1990-02-23,GCI,9.6673,283800
1990-02-26,GCI,9.7285,386600
1990-02-27,GCI,9.8815,262000
1990-02-28,GCI,9.8815,676200
1990-03-01,GCI,9.7591,861600
1990-03-02,GCI,9.9733,345200
1990-03-05,GCI,9.6979,633200
1990-03-06,GCI,9.9121,917600
1990-03-07,GCI,9.7897,651800
1990-03-08,GCI,9.8509,739800
1990-03-09,GCI,9.6979,947600
1990-03-12,GCI,9.7897,290200
1990-03-13,GCI,9.9121,607400
1990-03-14,GCI,9.9733,222600
1990-03-15,GCI,10.1262,493000
1990-03-16,GCI,10.0956,940200
1990-03-19,GCI,9.9733,320800
1990-03-20,GCI,9.9427,667800
1990-03-21,GCI,9.7285,600200
1990-03-22,GCI,9.6367,1472000
1990-03-23,GCI,9.7897,661000
1990-03-26,GCI,9.7285,153800
1990-03-27,GCI,9.8509,671000
1990-03-28,GCI,9.7897,665600
1990-03-29,GCI,9.7285,780400
1990-03-30,GCI,9.6979,1071200
1990-04-02,GCI,9.7285,547200
1990-04-03,GCI,9.8203,466600
1990-04-04,GCI,9.7591,787200
1990-04-05,GCI,9.7285,299600
1990-04-06,GCI,9.5755,245400
1990-04-09,GCI,9.6061,344400
1990-04-10,GCI,9.5144,273000
1990-04-11,GCI,9.5755,144400
1990-04-12,GCI,9.5144,580000
1990-04-16,GCI,9.4226,282000
1990-04-17,GCI,9.2696,688400
1990-04-18,GCI,9.2084,650000
1990-04-19,GCI,9.0249,668800
1990-04-20,GCI,8.9331,911400
1990-04-23,GCI,8.8107,1022000
1990-04-24,GCI,8.6884,753200
1990-04-25,GCI,8.9943,727800
1990-04-26,GCI,9.0861,802800
1990-04-27,GCI,8.8413,616200
1990-04-30,GCI,9.0249,399400
1990-05-01,GCI,9.0861,492800
1990-05-02,GCI,9.0249,590000
1990-05-03,GCI,8.9943,401800
1990-05-04,GCI,9.0555,524600
1990-05-07,GCI,8.9943,848600
1990-05-08,GCI,8.8719,647200
1990-05-09,GCI,8.9637,457800
1990-05-10,GCI,8.9637,563800
1990-05-11,GCI,9.4226,734200
1990-05-14,GCI,9.4532,430200
1990-05-15,GCI,9.6061,359600
1990-05-16,GCI,9.4532,604200
1990-05-17,GCI,9.239,301400
1990-05-18,GCI,9.1472,635400
1990-05-21,GCI,9.4226,591200
1990-05-22,GCI,9.6061,1150400
1990-05-23,GCI,9.5755,510000
1990-05-24,GCI,9.6979,714200
1990-05-25,GCI,9.7285,446800
1990-05-29,GCI,9.9427,465400
1990-05-30,GCI,10.065,1048400
1990-05-31,GCI,10.065,991800
1990-06-01,GCI,10.218,405800
1990-06-04,GCI,10.2486,726800
1990-06-05,GCI,10.3404,361200
1990-06-06,GCI,10.218,624400
1990-06-07,GCI,10.065,500800
1990-06-08,GCI,9.9121,396800
1990-06-11,GCI,9.8509,312000
1990-06-12,GCI,10.065,446400
1990-06-13,GCI,9.9733,408000
1990-06-14,GCI,9.8203,325200
