ds,symbol,close,volume
1990-01-02,GCO,7.375,166000
1990-01-03,GCO,7.125,45300
1990-01-04,GCO,6.875,111800
1990-01-05,GCO,6.875,68700
1990-01-08,GCO,6.75,59400
1990-01-09,GCO,6.875,166400
1990-01-10,GCO,6.75,106900
1990-01-11,GCO,6.75,110900
1990-01-12,GCO,6.5,118900
1990-01-15,GCO,6.125,270400
1990-01-16,GCO,6.125,210300
1990-01-17,GCO,6.5,173600
1990-01-18,GCO,6.625,32300
1990-01-19,GCO,6.625,32000
1990-01-22,GCO,6.25,22500
1990-01-23,GCO,6.25,31100
1990-01-24,GCO,6.125,81400
1990-01-25,GCO,6.0,46200
1990-01-26,GCO,6.125,28500
1990-01-29,GCO,6.25,34300
1990-01-30,GCO,6.25,20700
1990-01-31,GCO,6.375,67100
1990-02-01,GCO,6.375,35800
1990-02-02,GCO,6.375,66900
1990-02-05,GCO,6.0,21300
1990-02-06,GCO,5.875,40200
1990-02-07,GCO,5.875,57500
1990-02-08,GCO,5.875,24700
1990-02-09,GCO,5.5,105000
1990-02-12,GCO,5.5,43300
1990-02-13,GCO,5.875,56300
1990-02-14,GCO,6.125,33700
1990-02-15,GCO,6.0,7100
1990-02-16,GCO,6.125,17700
1990-02-20,GCO,5.875,37800
1990-02-21,GCO,5.75,25500
1990-02-22,GCO,5.625,25600
1990-02-23,GCO,5.625,11900
1990-02-26,GCO,5.25,51000
1990-02-27,GCO,5.5,113200
1990-02-28,GCO,5.625,120200
1990-03-01,GCO,5.625,40700
1990-03-02,GCO,5.625,67500
1990-03-05,GCO,5.875,45500
1990-03-06,GCO,5.75,28900
1990-03-07,GCO,5.75,70800
1990-03-08,GCO,5.625,81200
1990-03-09,GCO,5.625,143100
1990-03-12,GCO,5.875,116300
1990-03-13,GCO,6.0,130000
1990-03-14,GCO,5.875,92300
1990-03-15,GCO,6.0,41300
1990-03-16,GCO,6.125,56800
1990-03-19,GCO,5.875,52500
1990-03-20,GCO,6.25,41300
1990-03-21,GCO,6.125,42200
1990-03-22,GCO,5.875,78700
1990-03-23,GCO,6.125,39000
1990-03-26,GCO,6.125,12900
1990-03-27,GCO,6.625,65600
1990-03-28,GCO,6.875,65000
1990-03-29,GCO,6.75,28000
1990-03-30,GCO,6.625,11400
1990-04-02,GCO,6.75,24600
1990-04-03,GCO,6.5,50800
1990-04-04,GCO,6.125,15500
1990-04-05,GCO,5.875,41500
1990-04-06,GCO,6.0,34500
1990-04-09,GCO,5.75,41400
1990-04-10,GCO,6.0,35400
1990-04-11,GCO,5.875,42900
1990-04-12,GCO,6.0,28800
1990-04-16,GCO,5.875,23800
1990-04-17,GCO,6.125,23400
1990-04-18,GCO,6.0,12900
1990-04-19,GCO,5.875,24300
1990-04-20,GCO,5.625,94900
1990-04-23,GCO,5.375,64300
1990-04-24,GCO,5.875,166600
1990-04-25,GCO,6.0,27600
1990-04-26,GCO,6.0,23400
1990-04-27,GCO,5.875,8400
1990-04-30,GCO,6.0,53400
1990-05-01,GCO,5.875,3600
1990-05-02,GCO,6.125,11600
1990-05-03,GCO,6.125,10000
1990-05-04,GCO,6.0,14800
1990-05-07,GCO,5.75,7700
1990-05-08,GCO,5.875,14300
1990-05-09,GCO,6.0,30900
1990-05-10,GCO,5.875,10800
1990-05-11,GCO,6.125,29400
1990-05-14,GCO,6.0,56200
1990-05-15,GCO,6.25,31300
1990-05-16,GCO,6.125,9000
1990-05-17,GCO,6.25,128600
1990-05-18,GCO,6.125,12700
1990-05-21,GCO,6.125,33800
1990-05-22,GCO,6.0,59800
1990-05-23,GCO,5.625,103200
1990-05-24,GCO,5.75,58000
1990-05-25,GCO,5.875,113000
1990-05-29,GCO,5.875,89100
1990-05-30,GCO,6.0,128000
1990-05-31,GCO,6.0,32800
1990-06-01,GCO,6.0,24000
1990-06-04,GCO,6.0,15300
1990-06-05,GCO,5.75,67900
1990-06-06,GCO,5.875,26200
1990-06-07,GCO,5.875,15400
1990-06-08,GCO,5.75,27900
1990-06-11,GCO,5.875,23600
1990-06-12,GCO,5.75,76100
1990-06-13,GCO,5.75,48500
1990-06-14,GCO,5.625,33800
1990-06-15,GCO,6.0,118600
1990-06-18,GCO,5.625,99500
1990-06-19,GCO,5.625,62200
1990-06-20,GCO,5.625,26600
1990-06-21,GCO,5.625,49200
1990-06-22,GCO,5.25,115100
1990-06-25,GCO,5.375,45300
1990-06-26,GCO,5.25,17300
1990-06-27,GCO,5.625,35000
1990-06-28,GCO,5.375,20400
1990-06-29,GCO,5.5,30900
1990-07-02,GCO,5.625,82700
1990-07-03,GCO,5.375,29600
1990-07-05,GCO,5.25,16100
1990-07-06,GCO,5.375,11600
1990-07-09,GCO,5.25,7400
