ds,symbol,close,volume
1999-01-04,GDEN,8.375,56100
1999-01-05,GDEN,10.5,167000
1999-01-06,GDEN,11.875,190800
1999-01-07,GDEN,9.375,120700
1999-01-08,GDEN,9.875,80700
1999-01-11,GDEN,10.25,404100
1999-01-12,GDEN,9.875,90800
1999-01-13,GDEN,9.625,67500
1999-01-14,GDEN,9.4375,48900
1999-01-15,GDEN,9.625,50000
1999-01-19,GDEN,10.0625,121600
1999-01-20,GDEN,9.625,72700
1999-01-21,GDEN,9.875,69000
1999-01-22,GDEN,9.75,27900
1999-01-25,GDEN,9.625,67600
1999-01-26,GDEN,9.75,75600
1999-01-27,GDEN,9.9375,39500
1999-01-28,GDEN,9.875,71700
1999-01-29,GDEN,9.6875,56500
1999-02-01,GDEN,10.0,21200
1999-02-02,GDEN,10.0,34400
1999-02-03,GDEN,9.875,74000
1999-02-04,GDEN,10.0,95800
1999-02-05,GDEN,10.0,49600
1999-02-08,GDEN,9.875,20200
1999-02-09,GDEN,9.875,28200
1999-02-10,GDEN,9.8125,14900
1999-02-11,GDEN,9.625,10500
1999-02-12,GDEN,9.875,30500
1999-02-16,GDEN,9.75,85000
1999-02-17,GDEN,9.125,20600
1999-02-18,GDEN,9.0,146800
1999-02-19,GDEN,9.125,36400
1999-02-22,GDEN,9.0625,77500
1999-02-23,GDEN,8.9375,48600
1999-02-24,GDEN,8.9375,17200
1999-02-25,GDEN,9.0,79100
1999-02-26,GDEN,9.125,72700
1999-03-01,GDEN,9.1875,25600
1999-03-02,GDEN,9.0,36100
1999-03-03,GDEN,8.9375,18700
1999-03-04,GDEN,8.875,19800
1999-03-05,GDEN,8.625,30500
1999-03-08,GDEN,8.625,3700
1999-03-09,GDEN,8.375,35100
1999-03-10,GDEN,8.375,21800
1999-03-11,GDEN,8.3125,9700
1999-03-12,GDEN,8.25,19800
1999-03-15,GDEN,8.375,112600
1999-03-16,GDEN,8.625,164700
1999-03-17,GDEN,8.375,23000
1999-03-18,GDEN,8.375,21300
1999-03-19,GDEN,8.25,25400
1999-03-22,GDEN,8.1875,14200
1999-03-23,GDEN,7.9375,63100
1999-03-24,GDEN,8.25,983200
1999-03-25,GDEN,8.125,13700
1999-03-26,GDEN,8.125,8100
1999-03-29,GDEN,8.34375,18800
1999-03-30,GDEN,8.1875,53100
1999-03-31,GDEN,8.1875,66300
1999-04-01,GDEN,8.5,74200
1999-04-05,GDEN,8.625,12200
1999-04-06,GDEN,8.1875,39000
1999-04-07,GDEN,8.125,37200
1999-04-08,GDEN,8.3125,17000
1999-04-09,GDEN,8.125,27500
1999-04-12,GDEN,8.125,10500
1999-04-13,GDEN,8.25,13100
1999-04-14,GDEN,8.5,10300
1999-04-15,GDEN,8.5,24600
1999-04-16,GDEN,8.0625,65900
1999-04-19,GDEN,8.875,59100
1999-04-20,GDEN,8.375,37900
1999-04-21,GDEN,9.3125,81700
1999-04-22,GDEN,9.9375,102800
1999-04-23,GDEN,9.875,48100
1999-04-26,GDEN,9.875,74300
1999-04-27,GDEN,9.75,91000
1999-04-28,GDEN,9.625,87700
1999-04-29,GDEN,9.8125,11200
1999-04-30,GDEN,9.625,30300
1999-05-03,GDEN,9.9375,28400
1999-05-04,GDEN,10.0,25700
1999-05-05,GDEN,10.0,27800
1999-05-06,GDEN,9.8125,30100
1999-05-07,GDEN,9.9375,9000
1999-05-10,GDEN,10.125,29300
1999-05-11,GDEN,9.90625,6000
1999-05-12,GDEN,10.25,41800
1999-05-13,GDEN,10.0,12900
1999-05-14,GDEN,10.125,34600
1999-05-17,GDEN,9.9375,22900
1999-05-18,GDEN,10.0,23400
1999-05-19,GDEN,10.125,37000
1999-05-20,GDEN,10.25,24200
1999-05-21,GDEN,10.25,31100
1999-05-24,GDEN,10.375,21000
1999-05-25,GDEN,10.875,31500
1999-05-26,GDEN,10.625,39100
1999-05-27,GDEN,11.0,38300
1999-05-28,GDEN,11.625,57000
1999-06-01,GDEN,10.875,45000
1999-06-02,GDEN,10.875,17500
1999-06-03,GDEN,11.125,20400
1999-06-04,GDEN,11.0,58800
1999-06-07,GDEN,11.125,10000
1999-06-08,GDEN,11.25,30600
1999-06-09,GDEN,11.125,28000
1999-06-10,GDEN,11.125,21500
1999-06-11,GDEN,11.375,36600
1999-06-14,GDEN,11.125,33500
1999-06-15,GDEN,11.1875,14100
1999-06-16,GDEN,11.1875,14100
1999-06-17,GDEN,11.1875,23900
1999-06-18,GDEN,11.25,28700
1999-06-21,GDEN,10.8125,165800
1999-06-22,GDEN,10.375,97400
1999-06-23,GDEN,10.5,183200
1999-06-24,GDEN,10.6875,66400
1999-06-25,GDEN,11.125,24100
1999-06-28,GDEN,11.125,27000
1999-06-29,GDEN,10.875,399300
1999-06-30,GDEN,10.9375,69400
1999-07-01,GDEN,11.0625,32300
1999-07-02,GDEN,11.609375,59600
1999-07-06,GDEN,11.75,37600
1999-07-07,GDEN,11.75,37900
1999-07-08,GDEN,11.1875,29000
1999-07-09,GDEN,11.5,3700
1999-07-12,GDEN,11.625,35500
1999-07-13,GDEN,11.75,44200
1999-07-14,GDEN,11.5,8200
1999-07-15,GDEN,11.875,44700
1999-07-16,GDEN,12.875,58300
1999-07-19,GDEN,12.875,30100
1999-07-20,GDEN,12.5,8900
1999-07-21,GDEN,12.75,12900
1999-07-22,GDEN,13.125,40100
1999-07-23,GDEN,13.125,17700
1999-07-26,GDEN,12.75,13600
1999-07-27,GDEN,12.9375,23500
1999-07-28,GDEN,13.0,2700
1999-07-29,GDEN,12.625,9500
1999-07-30,GDEN,12.625,13000
1999-08-02,GDEN,12.5,4000
1999-08-03,GDEN,12.5,51000
1999-08-04,GDEN,12.375,241500
1999-08-05,GDEN,12.625,52900
1999-08-06,GDEN,12.625,11300
1999-08-09,GDEN,12.625,28100
1999-08-10,GDEN,12.5,43100
1999-08-11,GDEN,12.75,15900
1999-08-12,GDEN,12.25,34100
1999-08-13,GDEN,12.875,19300
1999-08-16,GDEN,12.8125,20400
1999-08-17,GDEN,13.0,27200
1999-08-18,GDEN,13.0,25500
1999-08-19,GDEN,12.875,27500
1999-08-20,GDEN,12.75,27700
1999-08-23,GDEN,12.5,45500
1999-08-24,GDEN,11.875,99100
1999-08-25,GDEN,11.5,7100
1999-08-26,GDEN,11.1875,35700
1999-08-27,GDEN,11.125,6700
1999-08-30,GDEN,11.25,10400
1999-08-31,GDEN,11.3125,1400
1999-09-01,GDEN,11.1875,4800
1999-09-02,GDEN,11.0,2900
1999-09-03,GDEN,11.125,5200
1999-09-07,GDEN,10.75,29000
1999-09-08,GDEN,10.25,38300
1999-09-09,GDEN,10.3125,5400
1999-09-10,GDEN,10.265625,6900
1999-09-13,GDEN,10.3125,9200
1999-09-14,GDEN,10.0,17900
1999-09-15,GDEN,9.75,16600
1999-09-16,GDEN,9.6875,37100
1999-09-17,GDEN,9.5,209500
1999-09-20,GDEN,9.75,3200
1999-09-21,GDEN,9.625,14700
1999-09-22,GDEN,9.875,80800
1999-09-23,GDEN,9.75,15800
1999-09-24,GDEN,9.875,6900
1999-09-27,GDEN,9.875,6800
1999-09-28,GDEN,9.875,13700
1999-09-29,GDEN,9.875,1500
1999-09-30,GDEN,9.625,35900
1999-10-01,GDEN,9.65625,23900
1999-10-04,GDEN,9.75,29100
1999-10-05,GDEN,9.875,42600
1999-10-06,GDEN,9.875,1500
1999-10-07,GDEN,9.9375,12700
1999-10-08,GDEN,10.0,8400
1999-10-11,GDEN,10.1875,6000
1999-10-12,GDEN,10.0,53600
1999-10-13,GDEN,9.875,2100
1999-10-14,GDEN,9.8125,3900
1999-10-15,GDEN,9.375,7800
1999-10-18,GDEN,9.4375,19300
1999-10-19,GDEN,9.4375,27500
