ds,symbol,close,volume
1990-01-02,GEN,1.03125,1700800
1990-01-03,GEN,1.0625,6456000
1990-01-04,GEN,1.046875,294400
1990-01-05,GEN,1.125,1577600
1990-01-08,GEN,1.132813,732800
1990-01-09,GEN,1.140625,3304000
1990-01-10,GEN,1.109375,211200
1990-01-11,GEN,1.109375,150400
1990-01-12,GEN,1.046875,417600
1990-01-15,GEN,1.046875,188800
1990-01-16,GEN,1.0625,188800
1990-01-17,GEN,1.054688,416000
1990-01-18,GEN,1.046875,24000
1990-01-19,GEN,1.0625,8950400
1990-01-22,GEN,1.0625,547200
1990-01-23,GEN,1.078125,252800
1990-01-24,GEN,1.046875,449600
1990-01-25,GEN,1.023438,1920000
1990-01-26,GEN,1.015625,158400
1990-01-29,GEN,1.015625,25600
1990-01-30,GEN,1.015625,121600
1990-01-31,GEN,1.03125,11200
1990-02-01,GEN,1.039063,336000
1990-02-02,GEN,1.03125,56000
1990-02-05,GEN,1.109375,1088000
1990-02-06,GEN,1.109375,262400
1990-02-07,GEN,1.109375,1441600
1990-02-08,GEN,1.109375,110400
1990-02-09,GEN,1.109375,36800
1990-02-12,GEN,1.0625,368000
1990-02-13,GEN,1.09375,57600
1990-02-14,GEN,1.078125,176000
1990-02-15,GEN,1.0625,115200
1990-02-16,GEN,1.085938,2939200
1990-02-20,GEN,1.078125,121600
1990-02-21,GEN,1.0625,212800
1990-02-22,GEN,1.101563,4353600
1990-02-23,GEN,1.09375,30400
1990-02-26,GEN,1.09375,281600
1990-02-27,GEN,1.09375,16000
1990-02-28,GEN,1.109375,512000
1990-03-01,GEN,1.171875,1947200
1990-03-02,GEN,1.1875,900800
1990-03-05,GEN,1.25,542400
1990-03-06,GEN,1.265625,542400
1990-03-07,GEN,1.25,1288000
1990-03-08,GEN,1.25,272000
1990-03-09,GEN,1.234375,27200
1990-03-12,GEN,1.25,822400
1990-03-13,GEN,1.265625,987200
1990-03-14,GEN,1.265625,878400
1990-03-15,GEN,1.265625,195200
1990-03-16,GEN,1.28125,2417600
1990-03-19,GEN,1.265625,1352000
1990-03-20,GEN,1.296875,1480000
1990-03-21,GEN,1.265625,150400
1990-03-22,GEN,1.234375,425600
1990-03-23,GEN,1.234375,16000
1990-03-26,GEN,1.234375,27200
1990-03-27,GEN,1.234375,363200
1990-03-28,GEN,1.203125,678400
1990-03-29,GEN,1.226563,233600
1990-03-30,GEN,1.25,139200
1990-04-02,GEN,1.234375,118400
1990-04-03,GEN,1.234375,830400
1990-04-04,GEN,1.25,243200
1990-04-05,GEN,1.25,24000
1990-04-06,GEN,1.25,518400
1990-04-09,GEN,1.25,211200
1990-04-10,GEN,1.234375,1732800
1990-04-11,GEN,1.234375,75200
1990-04-12,GEN,1.234375,243200
1990-04-16,GEN,1.203125,171200
1990-04-17,GEN,1.203125,521600
1990-04-18,GEN,1.1875,38400
1990-04-19,GEN,1.203125,968000
1990-04-20,GEN,1.203125,470400
1990-04-23,GEN,1.171875,774400
1990-04-24,GEN,1.1875,35200
1990-04-25,GEN,1.203125,153600
1990-04-26,GEN,1.203125,94400
1990-04-27,GEN,1.234375,705600
1990-04-30,GEN,1.265625,80000
1990-05-01,GEN,1.25,163200
1990-05-02,GEN,1.25,113600
1990-05-03,GEN,1.296875,332800
1990-05-04,GEN,1.3125,67200
1990-05-07,GEN,1.3125,84800
1990-05-08,GEN,1.296875,121600
1990-05-09,GEN,1.3125,160000
1990-05-10,GEN,1.304688,233600
1990-05-11,GEN,1.34375,1302400
