ds,symbol,close,volume
2018-10-04,GH,32.2,10336255
2018-10-05,GH,29.2,1703289
2018-10-08,GH,29.55,1062010
2018-10-09,GH,31.51,720344
2018-10-10,GH,30.92,1297441
2018-10-11,GH,31.6,478515
2018-10-12,GH,33.58,483836
2018-10-15,GH,33.37,471284
2018-10-16,GH,37.72,690352
2018-10-17,GH,40.73,936339
2018-10-18,GH,40.11,1297538
2018-10-19,GH,35.79,774047
2018-10-22,GH,37.41,363686
2018-10-23,GH,34.48,502244
2018-10-24,GH,34.71,308509
2018-10-25,GH,35.14,379541
2018-10-26,GH,34.99,329620
2018-10-29,GH,32.59,516287
2018-10-30,GH,34.07,340912
2018-10-31,GH,33.48,339975
2018-11-01,GH,34.23,295388
2018-11-02,GH,40.11,453831
2018-11-05,GH,35.13,523188
2018-11-06,GH,35.69,374213
2018-11-07,GH,36.86,392963
2018-11-08,GH,38.18,198908
2018-11-09,GH,38.1,453384
2018-11-12,GH,39.12,339158
2018-11-13,GH,37.67,388362
2018-11-14,GH,37.26,254940
2018-11-15,GH,37.5,288918
2018-11-16,GH,37.25,138855
2018-11-19,GH,33.62,507804
2018-11-20,GH,34.74,542724
2018-11-21,GH,37.16,680737
2018-11-23,GH,38.4,393151
2018-11-26,GH,39.81,643202
2018-11-27,GH,38.05,492205
2018-11-28,GH,37.73,264678
2018-11-29,GH,37.55,341399
2018-11-30,GH,35.73,893273
2018-12-03,GH,45.94,2034494
2018-12-04,GH,42.46,1196041
2018-12-06,GH,46.1,798739
2018-12-07,GH,45.01,1339184
2018-12-10,GH,43.66,318885
2018-12-11,GH,43.74,427831
2018-12-12,GH,42.44,406027
2018-12-13,GH,41.89,537332
2018-12-14,GH,39.81,778020
2018-12-17,GH,36.24,757744
2018-12-18,GH,34.92,689333
2018-12-19,GH,36.23,674039
2018-12-20,GH,35.68,880463
2018-12-21,GH,34.35,2787395
2018-12-24,GH,32.53,304098
2018-12-26,GH,35.46,427868
2018-12-27,GH,35.63,351377
2018-12-28,GH,37.71,468774
2018-12-31,GH,37.59,361808
2019-01-02,GH,36.5,524471
2019-01-03,GH,34.3,414507
2019-01-04,GH,36.2,559533
2019-01-07,GH,38.14,349210
2019-01-08,GH,39.93,410955
2019-01-09,GH,39.97,445467
2019-01-10,GH,41.54,456583
2019-01-11,GH,42.94,380397
2019-01-14,GH,39.53,479725
2019-01-15,GH,40.08,425192
2019-01-16,GH,40.34,232989
2019-01-17,GH,41.39,264343
2019-01-18,GH,41.25,234418
2019-01-22,GH,40.61,242061
2019-01-23,GH,39.99,200056
2019-01-24,GH,39.47,199865
2019-01-25,GH,39.25,709444
2019-01-28,GH,41.14,380173
2019-01-29,GH,40.47,142918
2019-01-30,GH,39.86,260837
2019-01-31,GH,40.34,251412
2019-02-01,GH,40.2,184154
2019-02-04,GH,39.9,231970
2019-02-05,GH,42.02,391231
2019-02-06,GH,41.27,128824
2019-02-07,GH,39.97,184417
2019-02-08,GH,39.92,217376
2019-02-11,GH,41.43,289628
2019-02-12,GH,42.03,173802
2019-02-13,GH,43.06,245426
2019-02-14,GH,48.87,1217457
