ds,symbol,close,volume
2012-02-27,GLPG,15.37,300.0
2012-02-28,GLPG,15.37,0.0
2012-02-29,GLPG,17.5,1000.0
2012-03-01,GLPG,17.450001,7300.0
2012-03-02,GLPG,17.049999,3300.0
2012-03-05,GLPG,17.190001,4000.0
2012-03-06,GLPG,16.299999,2300.0
2012-03-07,GLPG,16.32,200.0
2012-03-08,GLPG,16.32,0.0
2012-03-09,GLPG,16.65,1500.0
2012-03-12,GLPG,16.65,700.0
2012-03-13,GLPG,16.540001,100.0
2012-03-14,GLPG,16.450001,300.0
2012-03-15,GLPG,16.450001,500.0
2012-03-16,GLPG,16.49,500.0
2012-03-19,GLPG,16.309999,1200.0
2012-03-20,GLPG,16.209999,1600.0
2012-03-21,GLPG,16.5,2200.0
2012-03-22,GLPG,16.5,0.0
2012-03-23,GLPG,16.5,0.0
2012-03-26,GLPG,16.5,0.0
2012-03-27,GLPG,16.5,0.0
2012-03-28,GLPG,16.200001,200.0
2012-03-29,GLPG,15.5,600.0
2012-03-30,GLPG,15.5,0.0
2012-04-02,GLPG,16.15,1800.0
2012-04-03,GLPG,16.0,200.0
2012-04-04,GLPG,15.9,300.0
2012-04-05,GLPG,15.15,600.0
2012-04-09,GLPG,15.07,1000.0
2012-04-10,GLPG,14.85,600.0
2012-04-11,GLPG,14.85,0.0
2012-04-12,GLPG,15.9,900.0
2012-04-13,GLPG,15.69,900.0
2012-04-16,GLPG,15.55,600.0
2012-04-17,GLPG,15.55,0.0
2012-04-18,GLPG,15.89,1600.0
2012-04-19,GLPG,15.89,0.0
2012-04-20,GLPG,15.63,200.0
2012-04-23,GLPG,15.63,0.0
2012-04-24,GLPG,15.04,700.0
2012-04-25,GLPG,14.91,500.0
2012-04-26,GLPG,15.0,500.0
2012-04-27,GLPG,15.1,100.0
2012-04-30,GLPG,15.1,0.0
2012-05-01,GLPG,15.11,700.0
2012-05-02,GLPG,15.02,400.0
2012-05-03,GLPG,15.02,0.0
2012-05-04,GLPG,15.02,0.0
2012-05-07,GLPG,13.92,700.0
2012-05-08,GLPG,13.52,700.0
2012-05-09,GLPG,13.27,500.0
2012-05-10,GLPG,13.7,100.0
2012-05-11,GLPG,14.11,1400.0
2012-05-14,GLPG,14.11,0.0
2012-05-15,GLPG,14.11,0.0
2012-05-16,GLPG,13.63,100.0
2012-05-17,GLPG,13.63,0.0
2012-05-18,GLPG,13.63,0.0
2012-05-21,GLPG,13.63,0.0
2012-05-22,GLPG,13.63,0.0
2012-05-23,GLPG,13.86,700.0
2012-05-24,GLPG,14.7,1000.0
2012-05-25,GLPG,14.7,0.0
2012-05-29,GLPG,14.7,0.0
2012-05-30,GLPG,14.7,0.0
2012-05-31,GLPG,14.7,0.0
2012-06-01,GLPG,14.07,1300.0
2012-06-04,GLPG,14.49,500.0
2012-06-05,GLPG,14.77,400.0
2012-06-06,GLPG,15.07,500.0
2012-06-07,GLPG,15.1,100.0
2012-06-08,GLPG,15.05,1300.0
2012-06-11,GLPG,15.05,0.0
2012-06-12,GLPG,15.05,0.0
2012-06-13,GLPG,15.05,0.0
2012-06-14,GLPG,15.05,0.0
2012-06-15,GLPG,15.05,0.0
2012-06-18,GLPG,15.05,0.0
2012-06-19,GLPG,15.21,1000.0
2012-06-20,GLPG,15.21,0.0
2012-06-21,GLPG,15.21,0.0
2012-06-22,GLPG,15.65,200.0
2012-06-25,GLPG,15.65,0.0
2012-06-26,GLPG,15.65,0.0
2012-06-27,GLPG,15.62,300.0
2012-06-28,GLPG,15.5,900.0
2012-06-29,GLPG,15.63,100.0
2012-07-02,GLPG,15.63,0.0
2012-07-03,GLPG,15.63,0.0
2012-07-05,GLPG,15.2,200.0
