ds,symbol,close,volume
1990-01-02,GLW,7.375,2587800
1990-01-03,GLW,7.458333,1426800
1990-01-04,GLW,7.395833,1096200
1990-01-05,GLW,7.375,1009800
1990-01-08,GLW,7.479167,801600
1990-01-09,GLW,7.333333,878400
1990-01-10,GLW,7.291667,1151400
1990-01-11,GLW,7.333333,943200
1990-01-12,GLW,7.125,821400
1990-01-15,GLW,6.979167,1327800
1990-01-16,GLW,7.104167,1357200
1990-01-17,GLW,7.0,1390800
1990-01-18,GLW,7.041667,1628400
1990-01-19,GLW,7.0,921600
1990-01-22,GLW,6.895833,1071600
1990-01-23,GLW,7.0,1036200
1990-01-24,GLW,7.0,1573800
1990-01-25,GLW,6.958333,992400
1990-01-26,GLW,7.020833,2654400
1990-01-29,GLW,7.041667,1152600
1990-01-30,GLW,7.0,2229000
1990-01-31,GLW,7.083333,889200
1990-02-01,GLW,7.229167,1104600
1990-02-02,GLW,7.333333,1200600
1990-02-05,GLW,7.291667,324600
1990-02-06,GLW,7.145833,1171800
1990-02-07,GLW,7.1875,1056600
1990-02-08,GLW,7.145833,545400
1990-02-09,GLW,7.208333,1500600
1990-02-12,GLW,7.166667,754800
1990-02-13,GLW,7.333333,1149000
1990-02-14,GLW,7.354167,718200
1990-02-15,GLW,7.416667,759000
1990-02-16,GLW,7.458333,898800
1990-02-20,GLW,7.270833,1083600
1990-02-21,GLW,7.291667,681000
1990-02-22,GLW,7.083333,799200
1990-02-23,GLW,7.041667,1426800
1990-02-26,GLW,7.208333,726600
1990-02-27,GLW,7.3125,1851600
1990-02-28,GLW,7.520833,1404600
1990-03-01,GLW,7.729167,1604400
1990-03-02,GLW,7.583333,704400
1990-03-05,GLW,7.4375,902400
1990-03-06,GLW,7.541667,1434600
1990-03-07,GLW,7.458333,696000
1990-03-08,GLW,7.354167,1342800
1990-03-09,GLW,7.291667,1005600
1990-03-12,GLW,7.291667,759000
1990-03-13,GLW,7.479167,1090800
1990-03-14,GLW,7.5,477600
1990-03-15,GLW,7.520833,579000
1990-03-16,GLW,7.458333,1560000
1990-03-19,GLW,7.458333,928200
1990-03-20,GLW,7.541667,1043400
1990-03-21,GLW,7.541667,920400
1990-03-22,GLW,7.395833,302400
1990-03-23,GLW,7.604167,453000
1990-03-26,GLW,7.645833,451200
1990-03-27,GLW,7.833333,711600
1990-03-28,GLW,7.75,439200
1990-03-29,GLW,7.666667,288600
1990-03-30,GLW,7.791667,1512000
1990-04-02,GLW,7.666667,595800
1990-04-03,GLW,7.625,1773600
1990-04-04,GLW,7.75,2185200
1990-04-05,GLW,7.708333,1321800
1990-04-06,GLW,7.6875,844200
1990-04-09,GLW,7.666667,283800
1990-04-10,GLW,7.708333,1257000
1990-04-11,GLW,7.791667,704400
1990-04-12,GLW,7.833333,1122600
1990-04-16,GLW,7.895833,874800
1990-04-17,GLW,7.9375,627600
1990-04-18,GLW,7.916667,716400
1990-04-19,GLW,7.666667,954000
1990-04-20,GLW,7.5,955800
1990-04-23,GLW,7.458333,903000
1990-04-24,GLW,7.5,753600
1990-04-25,GLW,7.5625,565200
1990-04-26,GLW,7.75,629400
1990-04-27,GLW,7.645833,811200
1990-04-30,GLW,7.770833,666600
1990-05-01,GLW,7.791667,541200
1990-05-02,GLW,7.833333,273000
1990-05-03,GLW,7.833333,512400
1990-05-04,GLW,7.833333,1449000
1990-05-07,GLW,7.854167,659400
1990-05-08,GLW,7.854167,501000
1990-05-09,GLW,7.8125,1323000
1990-05-10,GLW,7.791667,834000
1990-05-11,GLW,8.041667,1546200
1990-05-14,GLW,8.25,1753200
1990-05-15,GLW,8.145833,555000
1990-05-16,GLW,8.166667,576000
1990-05-17,GLW,8.145833,2059200
1990-05-18,GLW,8.229167,622200
1990-05-21,GLW,8.395833,1032600
