ds,symbol,close,volume
1997-10-30,GPI,12.625,2106900
1997-10-31,GPI,13.0625,488300
1997-11-03,GPI,13.9375,155000
1997-11-04,GPI,13.375,258400
1997-11-05,GPI,13.5,58000
1997-11-06,GPI,13.4375,57200
1997-11-07,GPI,13.0,67100
1997-11-10,GPI,12.875,85200
1997-11-11,GPI,12.1875,167000
1997-11-12,GPI,11.9375,82900
1997-11-13,GPI,11.0,133100
1997-11-14,GPI,11.0,68000
1997-11-17,GPI,11.0625,31400
1997-11-18,GPI,10.3125,71200
1997-11-19,GPI,9.625,70300
1997-11-20,GPI,10.875,39800
1997-11-21,GPI,10.875,21600
1997-11-24,GPI,10.375,14700
1997-11-25,GPI,10.25,142200
1997-11-26,GPI,9.8125,46700
1997-11-28,GPI,9.6875,1600
1997-12-01,GPI,10.375,194000
1997-12-02,GPI,10.625,85300
1997-12-03,GPI,10.5,25700
1997-12-04,GPI,10.375,40300
1997-12-05,GPI,10.8125,137800
1997-12-08,GPI,10.875,28700
1997-12-09,GPI,10.75,38100
1997-12-10,GPI,10.75,74000
1997-12-11,GPI,10.75,20000
1997-12-12,GPI,10.3125,14600
1997-12-15,GPI,9.5,73300
1997-12-16,GPI,9.8125,50600
1997-12-17,GPI,9.25,49600
1997-12-18,GPI,9.1875,30100
1997-12-19,GPI,9.125,180000
1997-12-22,GPI,9.0625,14000
1997-12-23,GPI,8.625,90000
1997-12-24,GPI,8.4375,88500
1997-12-26,GPI,8.1875,98700
1997-12-29,GPI,8.125,199500
1997-12-30,GPI,8.75,140100
1997-12-31,GPI,9.0625,103800
1998-01-02,GPI,9.375,15400
1998-01-05,GPI,9.9375,104300
1998-01-06,GPI,10.25,92700
1998-01-07,GPI,9.625,47600
1998-01-08,GPI,9.5,67200
1998-01-09,GPI,9.4375,17000
1998-01-12,GPI,9.625,15000
1998-01-13,GPI,9.25,3500
1998-01-14,GPI,9.25,16000
1998-01-15,GPI,9.375,21700
1998-01-16,GPI,9.25,22700
1998-01-20,GPI,9.125,12900
1998-01-21,GPI,9.25,44300
1998-01-22,GPI,9.0,17400
1998-01-23,GPI,9.0,31400
1998-01-26,GPI,9.0,7200
1998-01-27,GPI,9.75,39300
1998-01-28,GPI,9.6875,27600
1998-01-29,GPI,9.5,9800
1998-01-30,GPI,9.25,11300
1998-02-02,GPI,9.5,13000
1998-02-03,GPI,9.375,21100
1998-02-04,GPI,9.0,28200
1998-02-05,GPI,8.75,144500
1998-02-06,GPI,9.0,19300
1998-02-09,GPI,9.125,14100
1998-02-10,GPI,9.9375,34300
1998-02-11,GPI,9.75,109500
1998-02-12,GPI,9.9375,13700
1998-02-13,GPI,9.625,7300
1998-02-17,GPI,9.75,36100
1998-02-18,GPI,9.6875,49800
1998-02-19,GPI,9.5,14400
1998-02-20,GPI,9.4375,14300
1998-02-23,GPI,9.1875,38500
1998-02-24,GPI,9.5,2900
1998-02-25,GPI,9.75,13100
1998-02-26,GPI,9.9375,18000
1998-02-27,GPI,10.0,26700
1998-03-02,GPI,10.5,20800
1998-03-03,GPI,10.125,14000
1998-03-04,GPI,9.9375,19600
1998-03-05,GPI,9.75,19100
1998-03-06,GPI,9.5625,8900
1998-03-09,GPI,9.5,15100
1998-03-10,GPI,9.75,7700
1998-03-11,GPI,9.75,22400
1998-03-12,GPI,10.4375,105200
1998-03-13,GPI,10.875,33200
1998-03-16,GPI,10.6875,13800
1998-03-17,GPI,10.5,24900
1998-03-18,GPI,10.6875,16900
1998-03-19,GPI,10.875,36900
1998-03-20,GPI,11.375,50200
1998-03-23,GPI,11.1875,33400
1998-03-24,GPI,10.8125,10200
1998-03-25,GPI,10.9375,21600
1998-03-26,GPI,11.0,18100
1998-03-27,GPI,10.8125,5600
1998-03-30,GPI,10.875,25000
1998-03-31,GPI,10.9375,1600
1998-04-01,GPI,11.625,169400
1998-04-02,GPI,12.5625,107600
1998-04-03,GPI,12.9375,147400
1998-04-06,GPI,12.8125,17500
1998-04-07,GPI,12.25,32000
1998-04-08,GPI,12.5,8000
1998-04-09,GPI,12.4375,17300
1998-04-13,GPI,12.5,54100
1998-04-14,GPI,12.625,5900
1998-04-15,GPI,12.6875,8400
1998-04-16,GPI,12.75,50000
1998-04-17,GPI,13.0,11700
1998-04-20,GPI,14.25,185400
1998-04-21,GPI,14.75,126200
1998-04-22,GPI,14.8125,45000
1998-04-23,GPI,14.8125,57000
1998-04-24,GPI,14.75,50300
1998-04-27,GPI,14.0,129800
1998-04-28,GPI,14.3125,106900
1998-04-29,GPI,14.0625,4400
1998-04-30,GPI,15.0,33500
1998-05-01,GPI,14.375,168100
1998-05-04,GPI,14.4375,10000
1998-05-05,GPI,14.375,32900
1998-05-06,GPI,14.3125,23700
1998-05-07,GPI,13.8125,35900
1998-05-08,GPI,14.125,35200
1998-05-11,GPI,15.5,32000
1998-05-12,GPI,15.5,30200
1998-05-13,GPI,15.4375,29600
1998-05-14,GPI,15.9375,102800
1998-05-15,GPI,16.1875,62000
1998-05-18,GPI,15.75,22200
1998-05-19,GPI,15.9375,31100
1998-05-20,GPI,16.125,238900
1998-05-21,GPI,16.0,17700
1998-05-22,GPI,16.1875,24000
1998-05-26,GPI,16.3125,20100
1998-05-27,GPI,16.25,24700
1998-05-28,GPI,16.375,74800
1998-05-29,GPI,16.8125,73100
1998-06-01,GPI,16.6875,27700
1998-06-02,GPI,16.75,111700
1998-06-03,GPI,16.5,8500
1998-06-04,GPI,16.5625,74200
1998-06-05,GPI,16.0,207000
1998-06-08,GPI,16.4375,7500
1998-06-09,GPI,16.5,12100
1998-06-10,GPI,16.5,11200
1998-06-11,GPI,16.5625,10800
1998-06-12,GPI,17.0,52100
1998-06-15,GPI,16.75,35700
1998-06-16,GPI,16.875,5300
1998-06-17,GPI,17.0,39000
1998-06-18,GPI,16.9375,168600
1998-06-19,GPI,17.8125,88500
1998-06-22,GPI,18.0,38700
1998-06-23,GPI,18.25,85900
1998-06-24,GPI,18.0,31900
1998-06-25,GPI,17.625,15300
1998-06-26,GPI,17.0,45100
1998-06-29,GPI,17.5,121700
1998-06-30,GPI,16.0,46700
1998-07-01,GPI,17.0625,160300
1998-07-02,GPI,17.125,86100
1998-07-06,GPI,18.0,46100
1998-07-07,GPI,18.375,43900
1998-07-08,GPI,18.375,8600
1998-07-09,GPI,17.9375,20300
1998-07-10,GPI,17.875,44800
1998-07-13,GPI,17.875,900
1998-07-14,GPI,17.4375,206400
1998-07-15,GPI,17.75,26600
1998-07-16,GPI,17.6875,12900
1998-07-17,GPI,17.5625,25700
1998-07-20,GPI,17.6875,14100
1998-07-21,GPI,18.0,16900
1998-07-22,GPI,17.875,131700
1998-07-23,GPI,17.4375,406900
1998-07-24,GPI,17.0,103400
1998-07-27,GPI,17.0,26300
1998-07-28,GPI,16.5,17300
1998-07-29,GPI,16.375,33100
1998-07-30,GPI,15.75,25800
1998-07-31,GPI,15.0,81900
1998-08-03,GPI,14.25,82000
1998-08-04,GPI,13.9375,89700
1998-08-05,GPI,14.5625,145500
1998-08-06,GPI,15.0,63200
1998-08-07,GPI,14.5625,37400
1998-08-10,GPI,15.0625,67300
1998-08-11,GPI,14.25,51600
1998-08-12,GPI,14.9375,99800
1998-08-13,GPI,14.9375,80000
1998-08-14,GPI,14.625,50000
