ds,symbol,close,volume
2000-12-08,GRMN,10.0,17149800
2000-12-11,GRMN,10.59375,2919200
2000-12-12,GRMN,9.9375,1077400
2000-12-13,GRMN,9.9375,422400
2000-12-14,GRMN,10.0625,265400
2000-12-15,GRMN,10.0625,950200
2000-12-18,GRMN,10.03125,483600
2000-12-19,GRMN,9.8125,457400
2000-12-20,GRMN,9.125,1228800
2000-12-21,GRMN,9.09375,1017400
2000-12-22,GRMN,9.625,416000
2000-12-26,GRMN,9.5,754000
2000-12-27,GRMN,9.28125,361400
2000-12-28,GRMN,9.3125,1048600
2000-12-29,GRMN,9.875,232800
2001-01-02,GRMN,9.625,330400
2001-01-03,GRMN,8.8125,545400
2001-01-04,GRMN,9.03125,287600
2001-01-05,GRMN,9.0625,962000
2001-01-08,GRMN,8.75,631000
2001-01-09,GRMN,8.625,821800
2001-01-10,GRMN,8.5,976800
2001-01-11,GRMN,9.09375,1357000
2001-01-12,GRMN,9.5625,566200
2001-01-16,GRMN,9.5,663200
2001-01-17,GRMN,9.6875,486000
2001-01-18,GRMN,9.5,292800
2001-01-19,GRMN,9.1875,254200
2001-01-22,GRMN,8.9375,764600
2001-01-23,GRMN,8.9375,442600
2001-01-24,GRMN,8.5,1197200
2001-01-25,GRMN,8.9375,985800
2001-01-26,GRMN,9.3125,249000
2001-01-29,GRMN,9.96875,206600
2001-01-30,GRMN,10.03125,188800
2001-01-31,GRMN,9.71875,84200
2001-02-01,GRMN,9.9375,100600
2001-02-02,GRMN,10.8125,477200
2001-02-05,GRMN,11.9375,562400
2001-02-06,GRMN,12.375,585600
2001-02-07,GRMN,12.1875,189400
2001-02-08,GRMN,12.5625,451400
2001-02-09,GRMN,12.0,730200
2001-02-12,GRMN,11.75,2362200
2001-02-13,GRMN,12.1875,228600
2001-02-14,GRMN,11.125,1363600
2001-02-15,GRMN,10.625,359400
2001-02-16,GRMN,10.6875,264200
2001-02-20,GRMN,9.8125,391400
2001-02-21,GRMN,9.8125,196800
2001-02-22,GRMN,9.28125,197400
2001-02-23,GRMN,10.25,122800
2001-02-26,GRMN,10.609375,118600
2001-02-27,GRMN,11.0,271800
2001-02-28,GRMN,10.9375,142600
2001-03-01,GRMN,10.0,232000
2001-03-02,GRMN,10.0625,167000
2001-03-05,GRMN,10.4375,110000
2001-03-06,GRMN,10.0,257000
2001-03-07,GRMN,10.3125,175800
2001-03-08,GRMN,9.9375,137000
