ds,symbol,close,volume
2016-11-11,GRWG,2.3,40920
2016-11-14,GRWG,2.88,97940
2016-11-15,GRWG,2.96,87588
2016-11-16,GRWG,2.9,9346
2016-11-17,GRWG,2.96,32773
2016-11-18,GRWG,2.85,2809
2016-11-21,GRWG,2.78,36972
2016-11-22,GRWG,2.32,19939
2016-11-23,GRWG,2.95,9000
2016-11-25,GRWG,2.65,4900
2016-11-28,GRWG,2.55,19200
2016-11-29,GRWG,2.45,1400
2016-11-30,GRWG,2.51,82651
2016-12-01,GRWG,2.78,65604
2016-12-02,GRWG,2.7,17087
2016-12-05,GRWG,2.7,48730
2016-12-06,GRWG,2.6,11534
2016-12-07,GRWG,2.65,14397
2016-12-08,GRWG,2.58,41496
2016-12-09,GRWG,2.6,27875
2016-12-12,GRWG,2.5,17939
2016-12-13,GRWG,2.4,22106
2016-12-14,GRWG,2.35,25717
2016-12-15,GRWG,2.35,27275
2016-12-16,GRWG,2.35,44632
2016-12-19,GRWG,2.25,12877
2016-12-20,GRWG,2.16,14248
2016-12-21,GRWG,2.27,30982
2016-12-22,GRWG,2.28,13331
2016-12-23,GRWG,2.25,36633
2016-12-27,GRWG,2.18,18260
2016-12-28,GRWG,2.25,40710
2016-12-29,GRWG,2.37,12847
2016-12-30,GRWG,2.35,18136
2017-01-03,GRWG,2.44,19010
2017-01-04,GRWG,2.16,98046
2017-01-05,GRWG,2.25,29247
2017-01-06,GRWG,2.25,8125
2017-01-09,GRWG,2.27,12431
2017-01-10,GRWG,2.25,17480
2017-01-11,GRWG,2.29,16564
2017-01-12,GRWG,2.19,22261
2017-01-13,GRWG,2.11,13060
2017-01-17,GRWG,2.22,19245
2017-01-18,GRWG,2.22,14489
2017-01-19,GRWG,2.15,18340
2017-01-20,GRWG,2.43,102001
2017-01-23,GRWG,2.34,42030
2017-01-24,GRWG,2.37,15307
2017-01-25,GRWG,2.4,36801
2017-01-26,GRWG,2.35,18026
2017-01-27,GRWG,2.36,8593
2017-01-30,GRWG,2.48,71088
2017-01-31,GRWG,2.4,52526
2017-02-01,GRWG,2.38,90289
2017-02-02,GRWG,2.35,50980
2017-02-03,GRWG,2.35,26428
2017-02-06,GRWG,2.3,17585
2017-02-07,GRWG,2.29,11801
2017-02-08,GRWG,2.35,14189
2017-02-09,GRWG,2.22,33163
2017-02-10,GRWG,2.155,23893
2017-02-13,GRWG,2.28,11765
2017-02-14,GRWG,2.15,13885
2017-02-15,GRWG,2.35,58924
2017-02-16,GRWG,2.4,40319
2017-02-17,GRWG,2.3,25365
2017-02-21,GRWG,2.375,29947
2017-02-22,GRWG,2.42,68720
2017-02-23,GRWG,2.03,75841
2017-02-24,GRWG,2.06,121821
2017-02-27,GRWG,2.0,41924
2017-02-28,GRWG,1.94,47224
2017-03-01,GRWG,1.94,17570
2017-03-02,GRWG,1.93,29142
2017-03-03,GRWG,1.9,44226
2017-03-06,GRWG,2.0,44177
2017-03-07,GRWG,1.9,10697
2017-03-08,GRWG,1.86,28253
2017-03-09,GRWG,1.88,7907
2017-03-10,GRWG,1.87,11478
2017-03-13,GRWG,1.67,18523
2017-03-14,GRWG,1.89,69970
2017-03-15,GRWG,1.8,34731
2017-03-16,GRWG,1.77,22813
2017-03-17,GRWG,1.77,9068
2017-03-20,GRWG,1.78,34803
2017-03-21,GRWG,1.76,6159
2017-03-22,GRWG,1.8,14212
2017-03-23,GRWG,1.78,15684
2017-03-24,GRWG,1.9,4661
2017-03-27,GRWG,1.955,26139
2017-03-28,GRWG,1.9,12847
2017-03-29,GRWG,1.95,8801
2017-03-30,GRWG,2.06,24729
2017-03-31,GRWG,1.9,24619
2017-04-03,GRWG,2.14,56127
2017-04-04,GRWG,2.05,22771
2017-04-05,GRWG,2.099,75636
2017-04-06,GRWG,2.08,16686
2017-04-07,GRWG,2.0,31632
2017-04-10,GRWG,2.02,20245
2017-04-11,GRWG,2.05,27071
2017-04-12,GRWG,2.05,17028
2017-04-13,GRWG,2.12,14440
2017-04-17,GRWG,2.1,11283
2017-04-18,GRWG,2.05,15242
2017-04-19,GRWG,1.9654,24033
2017-04-20,GRWG,1.9623,15575
2017-04-21,GRWG,1.96,14179
2017-04-24,GRWG,1.985,15074
2017-04-25,GRWG,2.0,4210
2017-04-26,GRWG,1.97,64530
2017-04-27,GRWG,2.033,32102
2017-04-28,GRWG,2.01,12415
2017-05-01,GRWG,2.01,16289
2017-05-02,GRWG,2.0023,9889
2017-05-03,GRWG,1.9885,18865
2017-05-04,GRWG,2.0,12168
2017-05-05,GRWG,1.963,10125
2017-05-08,GRWG,1.96,10146
2017-05-09,GRWG,1.9,9795
