ds,symbol,close,volume
2018-09-17,GTX,19.1784,313410
2018-09-18,GTX,18.26,148458
2018-09-19,GTX,16.76,192249
2018-09-20,GTX,16.25,727526
2018-09-21,GTX,16.25,558321
2018-09-24,GTX,15.9,100777
2018-09-25,GTX,15.3,267653
2018-09-26,GTX,15.58,645093
2018-09-27,GTX,16.75,1663688
2018-09-28,GTX,18.5,1914688
2020-09-21,GTX,2.01,0
2020-09-22,GTX,1.76,22265669
2020-09-23,GTX,1.75,11817228
2020-09-24,GTX,1.34,34688456
2020-09-25,GTX,1.75,8773510
2020-09-28,GTX,2.1,3227668
2020-09-29,GTX,2.85,4475029
2020-09-30,GTX,3.45,5054973
2020-10-01,GTX,3.0,2602104
2020-10-02,GTX,3.1,1305391
2020-10-05,GTX,3.15,1009629
2020-10-06,GTX,3.03,1091094
2020-10-07,GTX,3.2,442561
2020-10-08,GTX,3.025,351169
2020-10-09,GTX,3.0,795701
2020-10-12,GTX,3.0,160611
2020-10-13,GTX,3.0,448089
2020-10-14,GTX,3.0,273918
2020-10-15,GTX,3.0,1495871
2020-10-16,GTX,2.9,283271
2020-10-19,GTX,2.83,590015
2020-10-20,GTX,2.98,1454210
2020-10-21,GTX,2.74,1032849
2020-10-22,GTX,2.65,612107
2020-10-23,GTX,3.27,2291340
2020-10-26,GTX,3.49,1483580
2020-10-27,GTX,3.66,596828
2020-10-28,GTX,3.74,867096
2020-10-29,GTX,3.682,4291022
2020-10-30,GTX,3.75,427049
2020-11-02,GTX,3.94,627442
2020-11-03,GTX,4.15,747549
2020-11-04,GTX,4.05,171241
2020-11-05,GTX,4.15,333635
2020-11-06,GTX,4.2175,239594
2020-11-09,GTX,4.2,852781
2020-11-10,GTX,4.2,154195
2020-11-11,GTX,4.19,119560
2020-11-12,GTX,4.17,191139
2020-11-13,GTX,4.29,576559
2020-11-16,GTX,4.32,350717
2020-11-17,GTX,4.28,423592
2020-11-18,GTX,4.27,367153
2020-11-19,GTX,4.3,682186
2020-11-20,GTX,4.26,572635
2020-11-23,GTX,4.71,507381
2020-11-24,GTX,4.85,403086
2020-11-25,GTX,4.85,347613
2020-11-27,GTX,4.86,42330
2020-11-30,GTX,4.85,82755
2020-12-01,GTX,4.76,238939
2020-12-02,GTX,4.72,93114
2020-12-03,GTX,4.7,57031
2020-12-04,GTX,4.5,153489
2020-12-07,GTX,4.47,144489
2020-12-08,GTX,4.74,397975
2020-12-09,GTX,4.52,84594
2020-12-10,GTX,4.5,48181
2020-12-11,GTX,4.47,174528
2020-12-14,GTX,4.42,62652
2020-12-15,GTX,4.34,108676
2020-12-16,GTX,4.345,192883
2020-12-17,GTX,4.25,217990
2020-12-18,GTX,4.95,637043
2020-12-21,GTX,4.7,231744
2020-12-22,GTX,4.8,137927
2020-12-23,GTX,5.15,206924
2020-12-24,GTX,5.25,92541
2020-12-28,GTX,5.22,218415
2020-12-29,GTX,4.63,281594
2020-12-30,GTX,4.5,138535
2020-12-31,GTX,4.43,116596
2021-01-04,GTX,4.25,197257
2021-01-05,GTX,4.52,225727
2021-01-06,GTX,4.7,198877
2021-01-07,GTX,4.81,152930
2021-01-08,GTX,4.82,227125
2021-01-11,GTX,6.11,2738611
2021-01-12,GTX,6.2,704070
2021-01-13,GTX,6.26,580394
2021-01-14,GTX,6.22,587085
2021-01-15,GTX,6.212,385957
2021-01-19,GTX,6.212,385957
2021-01-20,GTX,6.24,428827
2021-01-21,GTX,6.16,328057
2021-01-22,GTX,6.16,215168
2021-01-25,GTX,6.17,248063
2021-01-26,GTX,6.26,402671
2021-01-27,GTX,6.235,141304
2021-01-28,GTX,6.34,134676
2021-01-29,GTX,6.25,195393
2021-02-01,GTX,6.4,491082
2021-02-02,GTX,6.375,228097
2021-02-03,GTX,6.48,411493
2021-02-04,GTX,6.48,124819
2021-02-05,GTX,6.51,174998
2021-02-08,GTX,6.7,765872
2021-02-09,GTX,6.95,600904
2021-02-10,GTX,6.76,343544
2021-02-11,GTX,6.86,234869
2021-02-12,GTX,6.9,241729
2021-02-16,GTX,7.0,476041
2021-02-17,GTX,7.18,327993
2021-02-18,GTX,7.18,327993
2021-02-19,GTX,7.0,48664
2021-02-22,GTX,6.7,80237
2021-02-23,GTX,6.4,194863
2021-02-24,GTX,6.45,246941
2021-02-25,GTX,6.45,246941
2021-02-26,GTX,6.48,15159
2021-03-01,GTX,6.63,152994
2021-03-02,GTX,6.61,75136
2021-03-03,GTX,6.44,68950
2021-03-04,GTX,6.43,638292
2021-03-05,GTX,6.4,2539674
2021-03-08,GTX,6.52,487015
2021-03-09,GTX,6.46,157225
2021-03-10,GTX,6.65,2135391
2021-03-11,GTX,6.5,1846899
2021-03-12,GTX,5.85,443550
2021-03-15,GTX,5.57,1335820
2021-03-16,GTX,5.5,76548
2021-03-17,GTX,5.44,13807
2021-03-18,GTX,5.44,37436
2021-03-19,GTX,5.31,43389
2021-03-22,GTX,5.28,14848
2021-03-23,GTX,4.84,76676
2021-03-24,GTX,4.76,31816
2021-03-25,GTX,4.8,39278
2021-03-26,GTX,5.02,46830
2021-03-29,GTX,5.29,54542
2021-03-30,GTX,5.19,24601
2021-03-31,GTX,5.19,43358
2021-04-01,GTX,5.28,21072
2021-04-05,GTX,5.15,52485
2021-04-06,GTX,5.2,41032
2021-04-07,GTX,5.2,27792
2021-04-08,GTX,5.13,40227
2021-04-09,GTX,5.14,64984
2021-04-12,GTX,5.05,44639
2021-04-13,GTX,5.0,120387
2021-04-14,GTX,4.96,49519
2021-04-15,GTX,5.05,24257
2021-04-16,GTX,5.0,11393
2021-04-19,GTX,5.195,68158
2021-04-20,GTX,5.29,22737
2021-04-21,GTX,5.18,44760
2021-04-22,GTX,5.05,80036
2021-04-23,GTX,5.05,8831
2021-04-26,GTX,5.06,11540
2021-04-27,GTX,5.13,16899
2021-04-28,GTX,5.04,36284
2021-04-29,GTX,5.5015,90211
2021-04-30,GTX,5.51,32122
2021-05-03,GTX,5.74,104160
2021-05-04,GTX,6.0,336349
2021-05-05,GTX,6.05,239252
2021-05-06,GTX,5.8,166607
2021-05-07,GTX,5.68,313108
2021-05-10,GTX,5.97,412115
2021-05-11,GTX,5.86,196133
2021-05-12,GTX,5.77,202361
2021-05-13,GTX,5.83,220569
2021-05-14,GTX,6.09,146073
2021-05-17,GTX,6.53,410492
2021-05-18,GTX,6.43,696055
2021-05-19,GTX,6.2,383614
2021-05-20,GTX,6.3,888296
2021-05-21,GTX,6.64,1065179
2021-05-24,GTX,7.42,2987620
2021-05-25,GTX,8.13,2009579
2021-05-26,GTX,8.67,1475608
2021-05-27,GTX,8.48,1440423
2021-05-28,GTX,8.63,744847
2021-06-01,GTX,8.36,718365
2021-06-02,GTX,8.15,670122
2021-06-03,GTX,8.11,616316
2021-06-04,GTX,8.2,360314
2021-06-07,GTX,7.99,483210
2021-06-08,GTX,7.75,472693
2021-06-09,GTX,7.83,554634
2021-06-10,GTX,7.68,221207
2021-06-11,GTX,7.81,184838
2021-06-14,GTX,8.11,496144
2021-06-15,GTX,8.07,1313755
2021-06-16,GTX,8.01,395270
