ds,symbol,close,volume
2021-01-04,GWH,10.1,94600
2021-01-05,GWH,10.215,221900
2021-01-06,GWH,10.24,16300
2021-01-07,GWH,10.34,55700
2021-01-08,GWH,10.31,59100
2021-01-11,GWH,10.42,73500
2021-01-12,GWH,10.51,55400
2021-01-13,GWH,10.65,123700
2021-01-14,GWH,10.6,567900
2021-01-15,GWH,10.63,328500
2021-01-19,GWH,10.51,178200
2021-01-20,GWH,10.65,131600
2021-01-21,GWH,10.61,180600
2021-01-22,GWH,10.68,266600
2021-01-25,GWH,10.9,569300
2021-01-26,GWH,10.49,280000
2021-01-27,GWH,10.27,442600
2021-01-28,GWH,10.3,175000
2021-01-29,GWH,10.35,80000
2021-02-01,GWH,10.55,72500
2021-02-02,GWH,10.68,332400
2021-02-03,GWH,10.73,288300
2021-02-04,GWH,10.74,57600
2021-02-05,GWH,10.79,162300
2021-02-08,GWH,10.74,457200
2021-02-09,GWH,10.9,136200
2021-02-10,GWH,10.93,424300
2021-02-11,GWH,10.76,172400
2021-02-12,GWH,10.72,158500
2021-02-16,GWH,10.8,202000
2021-02-17,GWH,10.71,104400
2021-02-18,GWH,10.73,61200
2021-02-19,GWH,10.81,76000
2021-02-22,GWH,10.71,171800
2021-02-23,GWH,10.59,114900
2021-02-24,GWH,10.62,87600
2021-02-25,GWH,10.4,478300
2021-02-26,GWH,10.4,403400
2021-03-01,GWH,10.37,213200
2021-03-02,GWH,10.29,188700
2021-03-03,GWH,10.095,71600
2021-03-04,GWH,10.0,427000
2021-03-05,GWH,10.0,357200
2021-03-08,GWH,9.95,69000
2021-03-09,GWH,9.97,569700
2021-03-10,GWH,10.0,46900
2021-03-11,GWH,9.98,221300
2021-03-12,GWH,10.045,87800
2021-03-15,GWH,9.97,41400
2021-03-16,GWH,10.01,33100
2021-03-17,GWH,10.0,44500
2021-03-18,GWH,9.96,48700
2021-03-19,GWH,9.9,89600
2021-03-22,GWH,9.94,9700
2021-03-23,GWH,9.86,141700
2021-03-24,GWH,9.75,278600
2021-03-25,GWH,9.73,475300
2021-03-26,GWH,9.88,241200
2021-03-29,GWH,9.88,8000
2021-03-30,GWH,9.89,240700
2021-03-31,GWH,9.81,21300
2021-04-01,GWH,9.8,20900
2021-04-05,GWH,9.85,21800
2021-04-06,GWH,9.86,83400
2021-04-07,GWH,9.9,115500
2021-04-08,GWH,9.99,23500
2021-04-09,GWH,9.965,67300
2021-04-12,GWH,9.91,55800
2021-04-13,GWH,9.93,43500
2021-04-14,GWH,9.92,13100
2021-04-15,GWH,9.88,14600
2021-04-16,GWH,9.89,63900
2021-04-19,GWH,9.84,19200
2021-04-20,GWH,9.83,22100
2021-04-21,GWH,9.85,31400
2021-04-22,GWH,9.83,6800
2021-04-23,GWH,9.9,21200
2021-04-26,GWH,9.88,7200
2021-04-27,GWH,9.84,133100
2021-04-28,GWH,9.83,10200
2021-04-29,GWH,9.88,2900
2021-04-30,GWH,9.88,6500
2021-05-03,GWH,9.83,26400
2021-05-04,GWH,9.88,29900
2021-05-05,GWH,9.8,2100
2021-05-06,GWH,9.86,38200
2021-05-07,GWH,9.9,4071300
2021-05-10,GWH,9.86,1367800
2021-05-11,GWH,9.88,1146800
2021-05-12,GWH,9.86,31800
2021-05-13,GWH,9.85,140100
2021-05-14,GWH,9.85,61500
2021-05-17,GWH,9.86,37300
2021-05-18,GWH,9.87,43300
2021-05-19,GWH,9.87,40300
2021-05-20,GWH,9.86,217200
2021-05-21,GWH,9.85,32600
2021-05-24,GWH,9.84,189400
2021-05-25,GWH,9.85,50000
2021-05-26,GWH,9.88,213500
2021-05-27,GWH,9.9,12100
2021-05-28,GWH,9.9,180200
2021-06-01,GWH,9.89,14400
2021-06-02,GWH,9.89,31500
2021-06-03,GWH,9.87,7300
2021-06-04,GWH,9.88,11500
2021-06-07,GWH,9.9,54200
2021-06-08,GWH,9.91,15000
2021-06-09,GWH,9.93,106200
2021-06-10,GWH,9.91,10200
2021-06-11,GWH,9.92,85800
2021-06-14,GWH,9.9,13700
2021-06-15,GWH,9.91,25300
2021-06-16,GWH,9.93,119800
2021-06-17,GWH,9.91,55600
2021-06-18,GWH,9.93,150500
2021-06-21,GWH,9.88,5300
2021-06-22,GWH,9.89,93100
2021-06-23,GWH,9.92,506900
2021-06-24,GWH,9.91,373800
2021-06-25,GWH,9.93,189300
2021-06-28,GWH,9.9,50200
2021-06-29,GWH,9.92,8800
2021-06-30,GWH,9.9,57200
2021-07-01,GWH,9.91,17500
2021-07-02,GWH,9.9,15900
2021-07-06,GWH,9.905,23300
2021-07-07,GWH,9.9,10400
2021-07-08,GWH,9.89,17500
2021-07-09,GWH,9.88,274600
2021-07-12,GWH,9.88,9800
2021-07-13,GWH,9.91,14900
2021-07-14,GWH,9.91,4100
2021-07-15,GWH,9.92,11300
2021-07-16,GWH,9.96,52500
2021-07-19,GWH,9.89,491200
2021-07-20,GWH,9.96,142100
2021-07-21,GWH,9.9,19500
2021-07-22,GWH,9.9,205400
2021-07-23,GWH,9.92,1900
2021-07-26,GWH,9.92,14200
2021-07-27,GWH,9.9,16300
2021-07-28,GWH,9.92,3600
2021-07-29,GWH,9.95,422400
2021-07-30,GWH,9.95,85700
2021-08-02,GWH,9.94,63000
2021-08-03,GWH,9.93,233900
2021-08-04,GWH,9.94,61300
2021-08-05,GWH,9.95,20800
2021-08-06,GWH,9.95,30600
2021-08-09,GWH,9.94,40300
2021-08-10,GWH,9.93,24800
2021-08-11,GWH,9.97,89500
2021-08-12,GWH,9.92,26400
2021-08-13,GWH,9.94,27200
2021-08-16,GWH,9.95,18800
2021-08-17,GWH,9.895,180000
2021-08-18,GWH,9.93,113000
2021-08-19,GWH,9.89,10100
2021-08-20,GWH,9.9,209000
2021-08-23,GWH,9.88,5600
2021-08-24,GWH,9.9,10600
2021-08-25,GWH,9.9,6100
2021-08-26,GWH,9.93,12300
2021-08-27,GWH,9.925,195500
2021-08-30,GWH,9.91,254000
2021-08-31,GWH,9.92,48700
2021-09-01,GWH,9.93,50300
2021-09-02,GWH,9.93,36900
2021-09-03,GWH,9.94,2800
2021-09-07,GWH,9.95,161100
2021-09-08,GWH,9.935,3400
2021-09-09,GWH,9.96,27200
2021-09-10,GWH,9.945,64300
2021-09-13,GWH,9.97,48300
2021-09-14,GWH,9.96,22000
2021-09-15,GWH,9.97,275100
2021-09-16,GWH,9.989,167800
2021-09-17,GWH,9.99,13000
2021-09-20,GWH,9.99,150600
2021-09-21,GWH,9.98,40200
2021-09-22,GWH,9.98,105600
2021-09-23,GWH,9.99,892100
2021-09-24,GWH,9.99,775700
2021-09-27,GWH,9.99,359700
2021-09-28,GWH,9.99,116800
2021-09-29,GWH,9.985,62200
2021-09-30,GWH,9.97,116800
2021-10-01,GWH,9.94,201700
2021-10-04,GWH,8.92,182600
2021-10-05,GWH,8.94,103400
2021-10-06,GWH,7.51,374200
2021-10-07,GWH,7.64,151800
2021-10-08,GWH,8.21,230600
2021-10-11,GWH,10.42,3140083
2021-10-12,GWH,23.8,69923562
2021-10-13,GWH,19.07,13510580
2021-10-14,GWH,16.94,3501606
2021-10-15,GWH,17.41,3423194
2021-10-18,GWH,18.66,3589782
2021-10-19,GWH,17.16,1966045
2021-10-20,GWH,15.78,1507964
2021-10-21,GWH,15.94,1478272
2021-10-22,GWH,16.69,1793119
2021-10-25,GWH,15.4,1178905
2021-10-26,GWH,17.0,1589401
2021-10-27,GWH,16.58,706519
2021-10-28,GWH,16.38,770094
2021-10-29,GWH,18.0,2018756
2021-11-01,GWH,18.75,1285063
2021-11-02,GWH,18.26,1241496
2021-11-03,GWH,17.41,865780
2021-11-04,GWH,17.61,661293
2021-11-05,GWH,18.75,2671715
2021-11-08,GWH,16.93,1942469
2021-11-09,GWH,16.8,928445
2021-11-10,GWH,16.83,653403
2021-11-11,GWH,15.02,1650489
2021-11-12,GWH,15.15,946171
2021-11-15,GWH,15.26,792760
2021-11-16,GWH,14.98,787074
2021-11-17,GWH,15.14,629217
2021-11-18,GWH,14.97,567691
2021-11-19,GWH,15.11,1095041
2021-11-22,GWH,15.1,1002999
2021-11-23,GWH,14.91,559743
2021-11-24,GWH,15.35,524418
2021-11-26,GWH,15.96,648020
2021-11-29,GWH,16.45,755860
2021-11-30,GWH,15.95,837610
2021-12-01,GWH,15.61,576077
2021-12-02,GWH,15.81,712944
2021-12-03,GWH,16.07,824821
2021-12-06,GWH,13.84,1376228
2021-12-07,GWH,13.93,767509
2021-12-08,GWH,14.41,385607
2021-12-09,GWH,14.5,393668
2021-12-10,GWH,14.53,430990
2021-12-13,GWH,14.69,283358
2021-12-14,GWH,13.87,514142
2021-12-15,GWH,13.16,491179
2021-12-16,GWH,12.3,771601
2021-12-17,GWH,11.61,3805469
2021-12-20,GWH,11.4,561607
2021-12-21,GWH,12.36,489252
2021-12-22,GWH,12.67,652532
2021-12-23,GWH,13.5,1800602
2021-12-27,GWH,13.08,571082
2021-12-28,GWH,12.85,538781
2021-12-29,GWH,12.18,739680
2021-12-30,GWH,11.64,2871352
2021-12-31,GWH,11.44,404967
2022-01-03,GWH,11.5,581262
2022-01-04,GWH,11.31,556832
2022-01-05,GWH,10.6,417655
2022-01-06,GWH,10.03,577588
2022-01-07,GWH,9.55,480221
2022-01-10,GWH,9.15,478077
2022-01-11,GWH,9.27,474961
2022-01-12,GWH,9.04,326810
2022-01-13,GWH,8.6,342641
2022-01-14,GWH,8.0,534873
2022-01-18,GWH,7.65,493446
2022-01-19,GWH,7.28,567181
2022-01-20,GWH,6.91,577365
2022-01-21,GWH,6.62,754053
2022-01-24,GWH,6.02,1205093
2022-01-25,GWH,5.88,617111
2022-01-26,GWH,5.51,645513
2022-01-27,GWH,5.01,488601
2022-01-28,GWH,5.06,722090
2022-01-31,GWH,5.45,1144284
2022-02-01,GWH,5.56,990839
2022-02-02,GWH,5.29,1524822
2022-02-03,GWH,4.96,885543
2022-02-04,GWH,5.3,671830
2022-02-07,GWH,5.2,702944
2022-02-08,GWH,5.46,1133876
2022-02-09,GWH,5.82,1151921
2022-02-10,GWH,5.38,622998
2022-02-11,GWH,4.95,567436
2022-02-14,GWH,4.75,622790
2022-02-15,GWH,5.12,617464
2022-02-16,GWH,5.2,428178
2022-02-17,GWH,4.73,605140
2022-02-18,GWH,4.6,424932
2022-02-22,GWH,4.21,553502
2022-02-23,GWH,3.98,600395
2022-02-24,GWH,4.5,950475
2022-02-25,GWH,4.46,1100964
2022-02-28,GWH,5.19,1007525
2022-03-01,GWH,5.0,811252
2022-03-02,GWH,4.99,365311
2022-03-03,GWH,4.89,411051
2022-03-04,GWH,4.63,486255
2022-03-07,GWH,4.45,1022202
2022-03-08,GWH,4.98,988575
2022-03-09,GWH,4.91,634279
2022-03-10,GWH,4.78,474734
2022-03-11,GWH,4.61,406676
2022-03-14,GWH,4.27,563728
2022-03-15,GWH,4.25,865753
2022-03-16,GWH,4.86,1055753
2022-03-17,GWH,5.0,1007700
2022-03-18,GWH,5.02,1223828
2022-03-21,GWH,5.24,3355373
2022-03-22,GWH,5.4,1667156
2022-03-23,GWH,5.39,1121021
2022-03-24,GWH,5.51,1815010
2022-03-25,GWH,5.7,1276566
2022-03-28,GWH,5.45,1119786
2022-03-29,GWH,5.35,851086
2022-03-30,GWH,5.6,3212116
2022-03-31,GWH,5.57,726637
2022-04-01,GWH,5.63,661801
2022-04-04,GWH,5.99,1914295
2022-04-05,GWH,5.94,1299875
2022-04-06,GWH,5.71,902053
2022-04-07,GWH,5.75,664649
2022-04-08,GWH,5.67,474984
2022-04-11,GWH,5.68,568709
2022-04-12,GWH,5.88,866589
2022-04-13,GWH,5.88,582752
2022-04-14,GWH,5.87,626707
2022-04-18,GWH,5.87,375928
2022-04-19,GWH,6.08,950352
2022-04-20,GWH,6.07,625939
2022-04-21,GWH,5.64,1147662
2022-04-22,GWH,5.44,1076796
2022-04-25,GWH,5.73,826053
2022-04-26,GWH,5.58,740469
2022-04-27,GWH,5.56,502820
2022-04-28,GWH,5.68,518091
2022-04-29,GWH,5.57,374468
2022-05-02,GWH,5.68,657146
2022-05-03,GWH,5.62,582839
2022-05-04,GWH,5.53,1130634
2022-05-05,GWH,5.23,521874
2022-05-06,GWH,5.06,584128
2022-05-09,GWH,4.6,974310
2022-05-10,GWH,4.19,919051
2022-05-11,GWH,3.77,906488
2022-05-12,GWH,4.09,2108663
2022-05-13,GWH,4.95,2035886
2022-05-16,GWH,5.38,2636685
2022-05-17,GWH,5.52,2950085
2022-05-18,GWH,5.37,2521630
2022-05-19,GWH,5.48,2287528
2022-05-20,GWH,5.19,4843128
2022-05-23,GWH,4.62,1379827
2022-05-24,GWH,4.23,1629537
2022-05-25,GWH,4.24,638047
2022-05-26,GWH,4.05,989653
2022-05-27,GWH,4.33,1494768
2022-05-31,GWH,4.13,2735061
2022-06-01,GWH,3.85,1275543
2022-06-02,GWH,4.04,1398457
2022-06-03,GWH,3.91,996694
2022-06-06,GWH,4.22,1974464
2022-06-07,GWH,3.9,1430357
2022-06-08,GWH,3.78,657095
2022-06-09,GWH,3.46,1252400
2022-06-10,GWH,3.24,1087000
2022-06-13,GWH,2.97,1337301
2022-06-14,GWH,2.98,1364460
2022-06-15,GWH,3.31,1492843
2022-06-16,GWH,3.32,1251833
2022-06-17,GWH,3.65,1676909
2022-06-21,GWH,3.59,1406030
2022-06-22,GWH,3.56,1122199
2022-06-23,GWH,3.93,1608998
2022-06-24,GWH,3.58,10014006
2022-06-27,GWH,3.36,1449936
2022-06-28,GWH,3.11,1520983
2022-06-29,GWH,2.91,2405648
2022-06-30,GWH,2.81,895449
2022-07-01,GWH,2.68,932218
2022-07-05,GWH,2.94,1028626
2022-07-06,GWH,3.05,744878
2022-07-07,GWH,3.24,811066
2022-07-08,GWH,3.3,1116552
2022-07-11,GWH,2.96,697683
2022-07-12,GWH,2.87,459099
2022-07-13,GWH,2.8,548258
2022-07-14,GWH,2.72,1288862
2022-07-15,GWH,3.12,1018649
2022-07-18,GWH,3.33,919098
2022-07-19,GWH,3.52,1092186
2022-07-20,GWH,3.55,652988
2022-07-21,GWH,3.58,649525
2022-07-22,GWH,3.27,540531
2022-07-25,GWH,3.41,379129
2022-07-26,GWH,3.18,554973
2022-07-27,GWH,3.36,443266
2022-07-28,GWH,3.68,821510
2022-07-29,GWH,3.8,860607
2022-08-01,GWH,3.8,590118
2022-08-02,GWH,3.99,592023
2022-08-03,GWH,3.96,527736
2022-08-04,GWH,4.21,707376
2022-08-05,GWH,4.51,1398212
2022-08-08,GWH,4.13,1026401
2022-08-09,GWH,4.07,695301
2022-08-10,GWH,4.36,854782
2022-08-11,GWH,4.18,987309
2022-08-12,GWH,4.95,3594179
2022-08-15,GWH,4.92,901427
2022-08-16,GWH,5.16,4039871
2022-08-17,GWH,4.6,1586488
2022-08-18,GWH,4.7,837102
2022-08-19,GWH,4.07,1271610
2022-08-22,GWH,3.97,786129
2022-08-23,GWH,3.98,621261
2022-08-24,GWH,4.48,930860
2022-08-25,GWH,4.47,1086285
2022-08-26,GWH,4.1,1079449
