ds,symbol,close,volume
2007-03-20,HAYN,68.15,1807963
2007-03-21,HAYN,67.86,136137
2007-03-22,HAYN,70.68,834515
2007-03-23,HAYN,71.0,409290
2007-03-26,HAYN,73.03,320791
2007-03-27,HAYN,73.99,139818
2007-03-28,HAYN,71.23,196606
2007-03-29,HAYN,71.71,179655
2007-03-30,HAYN,72.93,220105
2007-04-02,HAYN,72.5,137537
2007-04-03,HAYN,71.09,98247
2007-04-04,HAYN,74.59,170933
2007-04-05,HAYN,74.4,158888
2007-04-09,HAYN,76.63,91620
2007-04-10,HAYN,76.99,133397
2007-04-11,HAYN,75.82,288897
2007-04-12,HAYN,77.3,160035
2007-04-13,HAYN,77.42,78622
2007-04-16,HAYN,79.81,128328
2007-04-17,HAYN,80.0,143685
2007-04-18,HAYN,79.75,186211
2007-04-19,HAYN,78.82,175140
2007-04-20,HAYN,78.6,258140
2007-04-23,HAYN,77.5,192060
2007-04-24,HAYN,76.96,80793
2007-04-25,HAYN,78.55,135216
2007-04-26,HAYN,78.118,91287
2007-04-27,HAYN,79.14,152690
2007-04-30,HAYN,77.96,164453
2007-05-01,HAYN,76.89,142526
2007-05-02,HAYN,78.43,113365
2007-05-03,HAYN,77.21,151390
2007-05-04,HAYN,77.97,63956
2007-05-07,HAYN,78.95,184398
2007-05-08,HAYN,84.48,399922
2007-05-09,HAYN,91.0,554800
2007-05-10,HAYN,90.27,431864
2007-05-11,HAYN,89.66,147521
2007-05-14,HAYN,89.68,184763
2007-05-15,HAYN,88.69,158575
2007-05-16,HAYN,88.705,292960
2007-05-17,HAYN,87.86,157620
2007-05-18,HAYN,89.0,163876
2007-05-21,HAYN,89.94,108887
2007-05-22,HAYN,88.25,122032
2007-05-23,HAYN,86.55,183034
2007-05-24,HAYN,83.72,182678
2007-05-25,HAYN,85.2,141404
2007-05-29,HAYN,87.13,134495
2007-05-30,HAYN,87.0,118257
2007-05-31,HAYN,88.66,136318
2007-06-01,HAYN,89.75,76931
2007-06-04,HAYN,88.34,45502
2007-06-05,HAYN,87.86,60675
2007-06-06,HAYN,86.97,70322
2007-06-07,HAYN,86.45,57506
2007-06-08,HAYN,87.38,76058
2007-06-11,HAYN,85.89,114992
2007-06-12,HAYN,82.5,206739
2007-06-13,HAYN,82.26,161414
2007-06-14,HAYN,82.5,164987
2007-06-15,HAYN,82.39,219290
2007-06-18,HAYN,83.84,186897
2007-06-19,HAYN,87.93,208557
2007-06-20,HAYN,87.86,176680
2007-06-21,HAYN,89.25,258313
2007-06-22,HAYN,90.0,1571337
2007-06-25,HAYN,87.0,153946
2007-06-26,HAYN,87.26,140725
2007-06-27,HAYN,87.5,194719
2007-06-28,HAYN,85.97,175349
2007-06-29,HAYN,84.4,324642
2007-07-02,HAYN,86.62,246894
2007-07-03,HAYN,85.57,36122
2007-07-05,HAYN,86.08,182278
2007-07-06,HAYN,91.3,632669
2007-07-09,HAYN,90.99,441455
2007-07-10,HAYN,89.7,365457
2007-07-11,HAYN,90.0,218881
2007-07-12,HAYN,95.25,546809
2007-07-13,HAYN,96.99,318350
2007-07-16,HAYN,95.63,175990
2007-07-17,HAYN,95.41,139703
2007-07-18,HAYN,97.02,225364
2007-07-19,HAYN,97.21,264369
2007-07-20,HAYN,96.78,142869
2007-07-23,HAYN,97.7179,212087
2007-07-24,HAYN,92.87,189068
2007-07-25,HAYN,90.33,366374
2007-07-26,HAYN,87.27,448771
2007-07-27,HAYN,86.66,245542
2007-07-30,HAYN,89.2,195596
2007-07-31,HAYN,89.81,292379
2007-08-01,HAYN,84.58,345293
2007-08-02,HAYN,87.39,187780
2007-08-03,HAYN,85.65,193649
2007-08-06,HAYN,82.02,548462
2007-08-07,HAYN,77.0,1293192
2007-08-08,HAYN,74.74,666409
2007-08-09,HAYN,72.51,536658
2007-08-10,HAYN,76.92,292973
2007-08-13,HAYN,76.89,262020
2007-08-14,HAYN,75.1,197086
2007-08-15,HAYN,71.71,246383
2007-08-16,HAYN,69.06,442824
2007-08-17,HAYN,72.21,193524
2007-08-20,HAYN,69.3,204943
2007-08-21,HAYN,69.18,108426
2007-08-22,HAYN,74.39,194622
2007-08-23,HAYN,76.27,288596
2007-08-24,HAYN,79.23,338217
2007-08-27,HAYN,78.18,165015
2007-08-28,HAYN,75.83,129041
