ds,symbol,close,volume
2017-09-26,HBB,27.34,3300
2017-09-27,HBB,25.88,5800
2017-09-28,HBB,27.56,13775
2017-09-29,HBB,29.19,14695
2017-10-02,HBB,30.23,141318
2017-10-03,HBB,33.9,73233
2017-10-04,HBB,34.59,92665
2017-10-05,HBB,35.51,84409
2017-10-06,HBB,37.6,31104
2017-10-09,HBB,38.63,38109
2017-10-10,HBB,37.0,50324
2017-10-11,HBB,38.12,64042
2017-10-12,HBB,37.95,29995
2017-10-13,HBB,38.22,33182
2017-10-16,HBB,38.93,44248
2017-10-17,HBB,39.33,32695
2017-10-18,HBB,39.5,32477
2017-10-19,HBB,39.55,25969
2017-10-20,HBB,39.67,34121
2017-10-23,HBB,39.67,25169
2017-10-24,HBB,39.87,40980
2017-10-25,HBB,39.29,50596
2017-10-26,HBB,38.85,8642
2017-10-27,HBB,39.89,35660
2017-10-30,HBB,39.5,16118
2017-10-31,HBB,38.77,25917
2017-11-01,HBB,38.59,16531
2017-11-02,HBB,37.24,43694
2017-11-03,HBB,36.25,50632
2017-11-06,HBB,32.77,43392
2017-11-07,HBB,32.09,40138
2017-11-08,HBB,31.84,26624
2017-11-09,HBB,30.5,30590
2017-11-10,HBB,30.8,25557
2017-11-13,HBB,31.88,59203
2017-11-14,HBB,32.38,20844
2017-11-15,HBB,32.84,39220
2017-11-16,HBB,32.69,27968
2017-11-17,HBB,31.84,61491
2017-11-20,HBB,31.89,23467
2017-11-21,HBB,31.35,34605
2017-11-22,HBB,30.12,30551
2017-11-24,HBB,27.89,31542
2017-11-27,HBB,25.76,93198
2017-11-28,HBB,25.61,78681
2017-11-29,HBB,27.75,49868
2017-11-30,HBB,28.58,92056
2017-12-01,HBB,28.31,50102
2017-12-04,HBB,27.12,52330
2017-12-05,HBB,27.15,59948
2017-12-06,HBB,27.07,55512
2017-12-07,HBB,27.03,54856
2017-12-08,HBB,26.81,36841
2017-12-11,HBB,26.06,63617
2017-12-12,HBB,26.49,78855
2017-12-13,HBB,26.64,117117
2017-12-14,HBB,24.97,149934
2017-12-15,HBB,26.5,494085
2017-12-18,HBB,26.14,50214
2017-12-19,HBB,25.9,31753
2017-12-20,HBB,25.27,38167
2017-12-21,HBB,25.8,41255
2017-12-22,HBB,25.91,16876
2017-12-26,HBB,25.97,31235
2017-12-27,HBB,25.67,35063
2017-12-28,HBB,26.02,10902
2017-12-29,HBB,25.69,32018
2018-01-02,HBB,26.15,20318
2018-01-03,HBB,24.93,49000
2018-01-04,HBB,25.79,37437
2018-01-05,HBB,25.44,12645
2018-01-08,HBB,25.93,32075
2018-01-09,HBB,26.19,21683
2018-01-10,HBB,26.36,64765
2018-01-11,HBB,25.9,43391
2018-01-12,HBB,26.77,59491
2018-01-16,HBB,26.19,53602
2018-01-17,HBB,25.77,55791
2018-01-18,HBB,25.66,11132
2018-01-19,HBB,26.02,24856
2018-01-22,HBB,26.37,78200
2018-01-23,HBB,26.1,49437
2018-01-24,HBB,26.21,37932
2018-01-25,HBB,26.35,28201
2018-01-26,HBB,26.1,35312
2018-01-29,HBB,25.7,36646
2018-01-30,HBB,25.71,54025
2018-01-31,HBB,25.71,39019
2018-02-01,HBB,25.47,26279
2018-02-02,HBB,25.0,87677
