ds,symbol,close,volume
2019-11-04,HCP,35.78,4855905
2021-12-09,HCP,85.19,12946367
2021-12-10,HCP,85.7,2651261
2021-12-13,HCP,85.99,1493810
2021-12-14,HCP,84.01,1173334
2021-12-15,HCP,84.92,1909651
2021-12-16,HCP,82.0,497623
2021-12-17,HCP,80.89,940206
2021-12-20,HCP,80.0,404604
2021-12-21,HCP,84.97,485913
2021-12-22,HCP,85.87,578339
2021-12-23,HCP,89.82,386061
2021-12-27,HCP,97.6,901589
2021-12-28,HCP,93.18,316341
2021-12-29,HCP,89.83,279286
2021-12-30,HCP,90.54,246600
2021-12-31,HCP,91.04,470319
2022-01-03,HCP,84.01,634227
2022-01-04,HCP,78.83,1288498
2022-01-05,HCP,72.79,852539
2022-01-06,HCP,77.75,1183328
2022-01-07,HCP,71.77,896757
2022-01-10,HCP,70.75,748584
2022-01-11,HCP,73.76,1009221
2022-01-12,HCP,72.27,402475
2022-01-13,HCP,66.97,735069
2022-01-14,HCP,66.69,721823
2022-01-18,HCP,64.5,540328
2022-01-19,HCP,62.63,472961
2022-01-20,HCP,62.97,529413
2022-01-21,HCP,58.93,846026
2022-01-24,HCP,62.08,2873413
2022-01-25,HCP,55.51,721550
2022-01-26,HCP,57.88,1392466
2022-01-27,HCP,58.65,760218
2022-01-28,HCP,63.01,306678
2022-01-31,HCP,66.39,330094
2022-02-01,HCP,71.75,711413
2022-02-02,HCP,68.7,646765
2022-02-03,HCP,59.95,680389
2022-02-04,HCP,64.89,611860
2022-02-07,HCP,70.3,499032
2022-02-08,HCP,76.0,418761
2022-02-09,HCP,77.97,552683
2022-02-10,HCP,76.67,859922
2022-02-11,HCP,69.53,652796
2022-02-14,HCP,68.15,424015
2022-02-15,HCP,69.75,618992
2022-02-16,HCP,66.06,366968
2022-02-17,HCP,58.51,784306
2022-02-18,HCP,54.41,955961
2022-02-22,HCP,53.68,621412
2022-02-23,HCP,48.89,477161
2022-02-24,HCP,53.5,1414317
2022-02-25,HCP,50.9,581662
2022-02-28,HCP,50.39,960367
2022-03-01,HCP,49.0,715272
2022-03-02,HCP,49.3,753158
2022-03-03,HCP,44.99,1144486
2022-03-04,HCP,42.01,670435
2022-03-07,HCP,37.49,1602122
2022-03-08,HCP,38.96,1714205
2022-03-09,HCP,42.25,915355
2022-03-10,HCP,37.74,1200187
2022-03-11,HCP,33.56,3572107
2022-03-14,HCP,32.45,2489769
2022-03-15,HCP,33.79,1172192
2022-03-16,HCP,41.16,1905891
2022-03-17,HCP,44.2,1433106
2022-03-18,HCP,46.8,2031490
2022-03-21,HCP,48.44,2053118
2022-03-22,HCP,50.36,1212010
2022-03-23,HCP,50.69,766516
2022-03-24,HCP,54.3,912743
2022-03-25,HCP,51.3,1469059
2022-03-28,HCP,53.1,891723
2022-03-29,HCP,56.96,700771
2022-03-30,HCP,55.32,1317850
2022-03-31,HCP,54.0,1814341
2022-04-01,HCP,54.0,1672038
2022-04-04,HCP,58.02,985680
2022-04-05,HCP,58.14,1783429
2022-04-06,HCP,53.85,2805942
2022-04-07,HCP,53.64,1411503
2022-04-08,HCP,50.86,1319584
2022-04-11,HCP,53.8,967239
2022-04-12,HCP,54.29,1280075
2022-04-13,HCP,58.22,1034168
2022-04-14,HCP,56.07,821991
2022-04-18,HCP,53.15,1193278
2022-04-19,HCP,57.68,774078
2022-04-20,HCP,56.6,721775
2022-04-21,HCP,50.34,947263
2022-04-22,HCP,45.14,1418780
2022-04-25,HCP,50.39,1009707
2022-04-26,HCP,49.76,1152135
2022-04-27,HCP,49.13,704588
2022-04-28,HCP,50.35,856154
2022-04-29,HCP,47.08,844789
2022-05-02,HCP,47.01,1122348
2022-05-03,HCP,47.68,821890
2022-05-04,HCP,54.54,1522005
2022-05-05,HCP,46.33,1795752
2022-05-06,HCP,39.0,2809294
2022-05-09,HCP,33.39,4183716
2022-05-10,HCP,32.44,2236243
2022-05-11,HCP,32.35,2120597
2022-05-12,HCP,34.15,2106583
2022-05-13,HCP,38.49,1472736
2022-05-16,HCP,34.49,1539907
2022-05-17,HCP,36.17,1011965
2022-05-18,HCP,33.62,1099214
2022-05-19,HCP,35.58,1142713
2022-05-20,HCP,34.04,1054676
2022-05-23,HCP,34.65,1091842
2022-05-24,HCP,30.96,1821250
2022-05-25,HCP,32.5,1161965
2022-05-26,HCP,33.89,1506356
2022-05-27,HCP,36.95,827531
2022-05-31,HCP,35.02,993667
2022-06-01,HCP,35.61,749283
2022-06-02,HCP,41.27,2133589
2022-06-03,HCP,34.0,4625732
2022-06-06,HCP,35.57,2960741
2022-06-07,HCP,38.33,3488605
2022-06-08,HCP,32.76,3895239
2022-06-09,HCP,30.15,3040052
2022-06-10,HCP,30.09,3400396
2022-06-13,HCP,28.02,2536995
2022-06-14,HCP,26.95,2261500
2022-06-15,HCP,28.47,1686144
2022-06-16,HCP,26.62,1546575
2022-06-17,HCP,27.19,5023884
2022-06-21,HCP,29.14,1736806
2022-06-22,HCP,29.42,1048147
2022-06-23,HCP,31.35,1841743
2022-06-24,HCP,32.77,1137441
2022-06-27,HCP,31.58,2079904
2022-06-28,HCP,28.66,1428411
2022-06-29,HCP,29.7,1156590
2022-06-30,HCP,29.44,1375069
2022-07-01,HCP,29.97,816735
2022-07-05,HCP,32.74,1177810
2022-07-06,HCP,32.92,991005
2022-07-07,HCP,34.97,1459908
2022-07-08,HCP,34.96,1067306
2022-07-11,HCP,34.1,723540
2022-07-12,HCP,34.17,1349916
2022-07-13,HCP,35.19,1482937
2022-07-14,HCP,32.47,744931
2022-07-15,HCP,34.14,753689
2022-07-18,HCP,33.25,828782
2022-07-19,HCP,32.11,872633
2022-07-20,HCP,36.25,2225618
2022-07-21,HCP,35.99,929382
2022-07-22,HCP,33.44,1443833
2022-07-25,HCP,34.68,1499369
2022-07-26,HCP,31.99,2777812
2022-07-27,HCP,35.37,1155980
2022-07-28,HCP,36.21,685563
2022-07-29,HCP,36.24,1085421
2022-08-01,HCP,36.48,842276
2022-08-02,HCP,36.87,760905
2022-08-03,HCP,39.5,1511929
2022-08-04,HCP,36.91,2800049
2022-08-05,HCP,37.82,1236096
2022-08-08,HCP,39.67,1436404
2022-08-09,HCP,38.92,1164850
2022-08-10,HCP,40.85,1894915
2022-08-11,HCP,40.62,1515781
2022-08-12,HCP,43.62,1133085
2022-08-15,HCP,40.99,3133627
2022-08-16,HCP,40.89,1634356
2022-08-17,HCP,39.5,871105
2022-08-18,HCP,40.24,792437
2022-08-19,HCP,38.58,1378064
2022-08-22,HCP,37.13,989516
2022-08-23,HCP,37.91,820160
2022-08-24,HCP,39.24,1076091
2022-08-25,HCP,39.25,1357575
2022-08-26,HCP,37.96,867892
2022-08-29,HCP,37.49,763970
2022-08-30,HCP,36.19,644493
2022-08-31,HCP,35.35,977975
2022-09-01,HCP,30.26,3342166
2022-09-02,HCP,30.11,4026983
2022-09-06,HCP,28.55,2402590
2022-09-07,HCP,30.23,1845316
2022-09-08,HCP,29.54,2463113
2022-09-09,HCP,30.7,1426501
2022-09-12,HCP,32.56,1702230
2022-09-13,HCP,30.84,1318972
2022-09-14,HCP,32.05,1284812
2022-09-15,HCP,31.44,1044723
2022-09-16,HCP,30.07,1750811
2022-09-19,HCP,30.27,1071540
2022-09-20,HCP,29.27,802665
2022-09-21,HCP,29.13,1262446
2022-09-22,HCP,27.12,1369788
2022-09-23,HCP,27.76,1585212
2022-09-26,HCP,28.93,1528028
2022-09-27,HCP,29.72,871272
2022-09-28,HCP,32.83,1518078
2022-09-29,HCP,32.49,1226471
2022-09-30,HCP,32.19,1661007
2022-10-03,HCP,31.7,1298980
2022-10-04,HCP,33.32,1148796
2022-10-05,HCP,33.68,989027
2022-10-06,HCP,33.0,1968743
2022-10-07,HCP,32.28,1904766
2022-10-10,HCP,29.27,1568390
2022-10-11,HCP,28.71,1046311
2022-10-12,HCP,28.67,944850
2022-10-13,HCP,28.94,1393412
2022-10-14,HCP,27.34,1245496
2022-10-17,HCP,29.58,1164674
2022-10-18,HCP,30.81,1291727
2022-10-19,HCP,29.69,1200049
2022-10-20,HCP,30.58,1509290
2022-10-21,HCP,30.58,1247221
2022-10-24,HCP,30.92,899629
2022-10-25,HCP,33.94,1800343
2022-10-26,HCP,30.83,1362597
2022-10-27,HCP,31.04,591208
2022-10-28,HCP,31.88,1260412
2022-10-31,HCP,30.73,1091542
2022-11-01,HCP,30.28,859828
2022-11-02,HCP,27.86,1306293
2022-11-03,HCP,26.51,2140161
2022-11-04,HCP,23.81,2702575
2022-11-07,HCP,22.6,2520615
2022-11-08,HCP,22.84,1432638
2022-11-09,HCP,22.04,1380125
2022-11-10,HCP,25.96,2743910
2022-11-11,HCP,29.5,3413804
2022-11-14,HCP,28.89,1227061
2022-11-15,HCP,29.98,1715552
2022-11-16,HCP,27.66,1108880
2022-11-17,HCP,25.43,1723969
2022-11-18,HCP,24.68,757629
2022-11-21,HCP,24.6,935839
2022-11-22,HCP,25.02,1119615
2022-11-23,HCP,27.77,1946522
2022-11-25,HCP,27.5,196139
2022-11-28,HCP,26.83,628628
2022-11-29,HCP,26.31,795022
2022-11-30,HCP,27.3,1084599
2022-12-01,HCP,27.35,1116051
2022-12-02,HCP,27.45,1050325
2022-12-05,HCP,26.11,1854041
2022-12-06,HCP,25.47,1190016
2022-12-07,HCP,26.72,2614848
2022-12-08,HCP,28.9,3680515
2022-12-09,HCP,29.63,2519920
2022-12-12,HCP,31.44,2558598
2022-12-13,HCP,31.77,1977471
2022-12-14,HCP,30.37,2787135
2022-12-15,HCP,28.2,2360702
2022-12-16,HCP,29.02,4164991
2022-12-19,HCP,27.1,1798553
2022-12-20,HCP,26.83,2031853
2022-12-21,HCP,27.02,1464387
2022-12-22,HCP,26.76,1189199
2022-12-23,HCP,26.61,1051332
2022-12-27,HCP,25.54,1408280
2022-12-28,HCP,25.52,701113
2022-12-29,HCP,27.14,1119066
2022-12-30,HCP,27.34,629183
2023-01-03,HCP,25.92,1506029
2023-01-04,HCP,25.92,790555
2023-01-05,HCP,23.92,1094724
2023-01-06,HCP,24.33,1033133
2023-01-09,HCP,26.47,1390102
2023-01-10,HCP,27.56,1158337
2023-01-11,HCP,28.8,1484068
2023-01-12,HCP,29.5,1138760
2023-01-13,HCP,29.26,1777666
2023-01-17,HCP,29.45,1530516
2023-01-18,HCP,28.79,1222873
2023-01-19,HCP,27.4,1556169
2023-01-20,HCP,28.43,919523
2023-01-23,HCP,29.42,1369680
2023-01-24,HCP,29.02,1577172
2023-01-25,HCP,28.98,1367371
2023-01-26,HCP,30.06,1093378
2023-01-27,HCP,31.83,2097120
2023-01-30,HCP,31.27,981284
2023-01-31,HCP,32.18,936242
2023-02-01,HCP,33.35,1608975
2023-02-02,HCP,37.28,3104994
2023-02-03,HCP,33.73,3535085
2023-02-06,HCP,32.82,1289205
2023-02-07,HCP,33.49,1907382
2023-02-08,HCP,32.57,923146
2023-02-09,HCP,31.3,1157295
2023-02-10,HCP,30.25,1265919
2023-02-13,HCP,30.96,1356242
2023-02-14,HCP,33.5,1602012
2023-02-15,HCP,34.9,1609560
2023-02-16,HCP,32.43,1151335
2023-02-17,HCP,30.69,1541021
2023-02-21,HCP,30.43,1060923
2023-02-22,HCP,30.75,1055193
2023-02-23,HCP,30.01,810573
2023-02-24,HCP,28.37,1238790
2023-02-27,HCP,28.74,879783
2023-02-28,HCP,29.2,2202117
2023-03-01,HCP,28.89,845674
2023-03-02,HCP,29.37,811824
2023-03-03,HCP,31.65,1480027
2023-03-06,HCP,32.46,2119585
2023-03-07,HCP,31.92,911346
2023-03-08,HCP,31.43,1076368
2023-03-09,HCP,29.73,1871521
2023-03-10,HCP,27.93,2564442
2023-03-13,HCP,29.25,2076208
2023-03-14,HCP,29.08,2786352
2023-03-15,HCP,29.69,1467615
2023-03-16,HCP,31.13,2166104
2023-03-17,HCP,29.74,2148850
2023-03-20,HCP,29.38,1137428
2023-03-21,HCP,30.33,1694184
2023-03-22,HCP,28.15,1285754
2023-03-23,HCP,29.62,1664266
2023-03-24,HCP,28.11,1698581
2023-03-27,HCP,27.9,1598327
2023-03-28,HCP,27.25,1568264
2023-03-29,HCP,27.77,935337
2023-03-30,HCP,27.87,878059
2023-03-31,HCP,29.29,2275136
2023-04-03,HCP,29.04,1057866
2023-04-04,HCP,28.66,1088377
2023-04-05,HCP,26.31,2016297
2023-04-06,HCP,26.65,1245314
2023-04-10,HCP,27.78,1757400
