ds,symbol,close,volume
2017-04-05,HESM,25.6,9770537
2017-04-06,HESM,26.07,859984
2017-04-07,HESM,25.89,358110
2017-04-10,HESM,25.99,786396
2017-04-11,HESM,25.93,185725
2017-04-12,HESM,25.84,332765
2017-04-13,HESM,25.45,303851
2017-04-17,HESM,25.29,382578
2017-04-18,HESM,25.84,181949
2017-04-19,HESM,25.75,174244
2017-04-20,HESM,25.48,30735
2017-04-21,HESM,25.44,207990
2017-04-24,HESM,25.43,160602
2017-04-25,HESM,25.5,63499
2017-04-26,HESM,25.75,180120
2017-04-27,HESM,25.5,47238
2017-04-28,HESM,25.58,261892
2017-05-01,HESM,26.13,331148
2017-05-02,HESM,26.27,88776
2017-05-03,HESM,26.06,311030
2017-05-04,HESM,25.14,267592
2017-05-05,HESM,25.35,478143
2017-05-08,HESM,25.37,96445
2017-05-09,HESM,24.87,103695
2017-05-10,HESM,25.14,170870
2017-05-11,HESM,25.45,192465
2017-05-12,HESM,25.55,258720
2017-05-15,HESM,25.94,104335
2017-05-16,HESM,25.7,60316
2017-05-17,HESM,25.44,29863
2017-05-18,HESM,24.99,729102
2017-05-19,HESM,25.21,41461
2017-05-22,HESM,25.03,24596
2017-05-23,HESM,24.7,22744
2017-05-24,HESM,24.68,66183
2017-05-25,HESM,24.17,72945
2017-05-26,HESM,24.14,56192
2017-05-30,HESM,23.87,84323
2017-05-31,HESM,23.24,152812
2017-06-01,HESM,23.18,29264
2017-06-02,HESM,23.33,26736
2017-06-05,HESM,23.22,76018
2017-06-06,HESM,23.09,88832
2017-06-07,HESM,22.25,146156
2017-06-08,HESM,22.73,131453
2017-06-09,HESM,22.59,54910
2017-06-12,HESM,22.9,129746
2017-06-13,HESM,22.4,66971
2017-06-14,HESM,22.05,56078
2017-06-15,HESM,21.6,78810
2017-06-16,HESM,21.5,57281
2017-06-19,HESM,21.31,25431
2017-06-20,HESM,19.57,212151
2017-06-21,HESM,19.09,209846
2017-06-22,HESM,19.39,82202
2017-06-23,HESM,19.42,129649
2017-06-26,HESM,18.95,141420
2017-06-27,HESM,19.01,404941
2017-06-28,HESM,19.34,96767
2017-06-29,HESM,20.16,125420
2017-06-30,HESM,20.37,107575
2017-07-03,HESM,20.66,12397
2017-07-05,HESM,20.15,154130
2017-07-06,HESM,20.21,45355
2017-07-07,HESM,20.02,28059
2017-07-10,HESM,20.21,48649
2017-07-11,HESM,20.22,5842
2017-07-12,HESM,19.88,72460
